Date,Close,SPG
04/04/2014,165.39,0.006064668
03/04/2014,164.39,-0.000486529
02/04/2014,164.47,-0.002732325
01/04/2014,164.92,0.00559408
31/03/2014,164,0.000854023
28/03/2014,163.86,0.015250572
27/03/2014,161.38,0.011655216
26/03/2014,159.51,-0.014934009
25/03/2014,161.91,0.009806434
24/03/2014,160.33,-0.005907794
21/03/2014,161.28,0.005907794
20/03/2014,160.33,0.004312911
19/03/2014,159.64,-0.023708207
18/03/2014,163.47,0.004598555
17/03/2014,162.72,0.010191879
14/03/2014,161.07,-0.004151055
13/03/2014,161.74,-0.003271507
12/03/2014,162.27,0.001171574
11/03/2014,162.08,0.007306987
10/03/2014,160.9,-0.005021554
07/03/2014,161.71,-0.011436426
06/03/2014,163.57,-0.003295901
05/03/2014,164.11,-0.001522209
04/03/2014,164.36,0.014833248
03/03/2014,161.94,0.004021909
28/02/2014,161.29,0.005657988
27/02/2014,160.38,-0.004230967
26/02/2014,161.06,0.010611173
25/02/2014,159.36,-0.003445363
24/02/2014,159.91,0.00219113
21/02/2014,159.56,-0.002253663
20/02/2014,159.92,-0.001624493
19/02/2014,160.18,-0.00056171
18/02/2014,160.27,0.000499282
14/02/2014,160.19,0.009155965
13/02/2014,158.73,0.004989432
12/02/2014,157.94,-0.007946059
11/02/2014,159.2,0.005416654
10/02/2014,158.34,0.008689915
07/02/2014,156.97,0.010567199
06/02/2014,155.32,0.008989551
05/02/2014,153.93,0.003383878
04/02/2014,153.41,0.014642896
03/02/2014,151.18,-0.023921146
31/01/2014,154.84,0.012281255
30/01/2014,152.95,0.015350962
29/01/2014,150.62,-0.009449305
28/01/2014,152.05,0.000789526
27/01/2014,151.93,-0.008259093
24/01/2014,153.19,-0.019010013
23/01/2014,156.13,-0.008482464
22/01/2014,157.46,-0.002853793
21/01/2014,157.91,0.007628287
17/01/2014,156.71,-0.004393372
16/01/2014,157.4,0.001398691
15/01/2014,157.18,0.005998359
14/01/2014,156.24,0.006871996
13/01/2014,155.17,-0.003409789
10/01/2014,155.7,0.009680618
09/01/2014,154.2,-0.00097229
08/01/2014,154.35,-0.003427873
07/01/2014,154.88,-0.000709975
06/01/2014,154.99,0.006732724
03/01/2014,153.95,0.012155423
02/01/2014,152.09,-0.000460148
31/12/2013,152.16,-0.00811629
30/12/2013,153.4,0.001174092
27/12/2013,153.22,-0.006570198
26/12/2013,154.23,0.000713475
24/12/2013,154.12,0.001038691
23/12/2013,153.96,-0.004859568
20/12/2013,154.71,0.004599794
19/12/2013,154,-0.006924025
18/12/2013,155.07,0.016056509
17/12/2013,152.6,0.002099187
16/12/2013,152.28,0.004277589
13/12/2013,151.63,0.021734189
12/12/2013,148.37,-0.01385518
11/12/2013,150.44,-0.017657594
10/12/2013,153.12,-0.004040936
09/12/2013,153.74,0.006460266
06/12/2013,152.75,0.012848142
05/12/2013,150.8,0.009594956
04/12/2013,149.36,0.003286057
03/12/2013,148.87,0.000201538
02/12/2013,148.84,-0.00676289
29/11/2013,149.85,-0.012467832
27/11/2013,151.73,0.01060104
26/11/2013,150.13,0.008629682
25/11/2013,148.84,-0.004959463
22/11/2013,149.58,-0.00739338
21/11/2013,150.69,0.004256175
20/11/2013,150.05,-0.013701111
19/11/2013,152.12,-0.002101393
18/11/2013,152.44,-0.007124912
15/11/2013,153.53,0.009620808
14/11/2013,152.06,0.015775498
13/11/2013,149.68,-0.000801389
12/11/2013,149.8,-0.017732369
11/11/2013,152.48,-0.003469839
08/11/2013,153.01,-0.014984226
07/11/2013,155.32,-0.005393618
06/11/2013,156.16,0.006102084
05/11/2013,155.21,-0.012230806
04/11/2013,157.12,0.003315061
01/11/2013,156.6,0.013177115
31/10/2013,154.55,-0.0084405
30/10/2013,155.86,-0.00524734
29/10/2013,156.68,-0.005537359
28/10/2013,157.55,-0.013554187
25/10/2013,159.7,-0.004996887
24/10/2013,160.5,0.010648394
23/10/2013,158.8,-0.005964544
22/10/2013,159.75,0.01883033
21/10/2013,156.77,-0.007878559
18/10/2013,158.01,-0.003726987
17/10/2013,158.6,0.008993664
16/10/2013,157.18,0.020893692
15/10/2013,153.93,-0.002530415
14/10/2013,154.32,0.002140703
11/10/2013,153.99,0.008085067
10/10/2013,152.75,0.023112846
09/10/2013,149.26,0.001475025
08/10/2013,149.04,-0.013462383
07/10/2013,151.06,0.012590514
04/10/2013,149.17,0.00261789
03/10/2013,148.78,-0.018710803
02/10/2013,151.59,0.013615592
01/10/2013,149.54,0.008798794
30/09/2013,148.23,-0.012536617
27/09/2013,150.1,-0.007764581
26/09/2013,151.27,0.006832304
25/09/2013,150.24,0.001598721
24/09/2013,150,-0.008563231
23/09/2013,151.29,0.001918688
20/09/2013,151,-0.023043701
19/09/2013,154.52,0.000388375
18/09/2013,154.46,0.019811691
17/09/2013,151.43,-0.001847332
16/09/2013,151.71,0.021251174
13/09/2013,148.52,0.00148238
12/09/2013,148.3,-0.005514102
11/09/2013,149.12,0.002618769
10/09/2013,148.73,0.001951745
