Date,Close,CINF
04/04/2014,48.19,-0.001244297
03/04/2014,48.25,0.002282395
02/04/2014,48.14,0.006460375
01/04/2014,47.83,-0.01720428
31/03/2014,48.66,0.00846151
28/03/2014,48.25,0.00832471
27/03/2014,47.85,-0.003338205
26/03/2014,48.01,0.001250521
25/03/2014,47.95,-0.000625456
24/03/2014,47.98,0.001251304
21/03/2014,47.92,0.007120449
20/03/2014,47.58,0.010776649
19/03/2014,47.07,-0.007408225
18/03/2014,47.42,0.008683736
17/03/2014,47.01,-0.00614995
14/03/2014,47.3,0.002540222
13/03/2014,47.18,-0.009492741
12/03/2014,47.63,0.004207875
11/03/2014,47.43,-0.005047329
10/03/2014,47.67,-0.00355984
07/03/2014,47.84,0.00397948
06/03/2014,47.65,0.011821966
05/03/2014,47.09,-0.000636875
04/03/2014,47.12,0.014105812
03/03/2014,46.46,-0.008999418
28/02/2014,46.88,0.004918218
27/02/2014,46.65,0.0040812
26/02/2014,46.46,-0.001720431
25/02/2014,46.54,-0.002360769
24/02/2014,46.65,-0.002141328
21/02/2014,46.75,-0.000855249
20/02/2014,46.79,0.004927701
19/02/2014,46.56,-0.013016294
18/02/2014,47.17,0.003610496
14/02/2014,47,0.001703578
13/02/2014,46.92,0.008776681
12/02/2014,46.51,0.00409351
11/02/2014,46.32,0.011726519
10/02/2014,45.78,0.001092777
07/02/2014,45.73,0.011436236
06/02/2014,45.21,-0.0409547
05/02/2014,47.1,-0.003179653
04/02/2014,47.25,-0.007590169
03/02/2014,47.61,-0.017489515
31/01/2014,48.45,-0.015970855
30/01/2014,49.23,0.012673923
29/01/2014,48.61,-0.013283122
28/01/2014,49.26,0.009997023
27/01/2014,48.77,-0.00081984
24/01/2014,48.81,-0.026883883
23/01/2014,50.14,-0.011106818
22/01/2014,50.7,0.004348692
21/01/2014,50.48,-0.000792079
17/01/2014,50.52,0.000197961
16/01/2014,50.51,-0.007102022
15/01/2014,50.87,0.001377004
14/01/2014,50.8,0.005725018
13/01/2014,50.51,-0.012591156
10/01/2014,51.15,0.00078232
09/01/2014,51.11,0.004313732
08/01/2014,50.89,-0.003139104
