Date,Close,AIG
04/04/2014,50.55,-0.005523786
03/04/2014,50.83,0.005325982
02/04/2014,50.56,0.011737924
01/04/2014,49.97,-0.00080016
31/03/2014,50.01,0.002602865
28/03/2014,49.88,0.009467288
27/03/2014,49.41,-0.0058521
26/03/2014,49.7,-0.010209277
25/03/2014,50.21,0.01000809
24/03/2014,49.71,-0.006216805
21/03/2014,50.02,-0.007171345
20/03/2014,50.38,0.012985898
19/03/2014,49.73,-0.000603076
18/03/2014,49.76,0.017025138
17/03/2014,48.92,0.006768562
14/03/2014,48.59,-0.0030823
13/03/2014,48.74,-0.024121976
12/03/2014,49.93,-0.011945195
11/03/2014,50.53,-0.009650493
10/03/2014,51.02,-0.004497905
07/03/2014,51.25,-0.000195103
06/03/2014,51.26,0.00724428
05/03/2014,50.89,0.012655894
04/03/2014,50.25,0.016048489
03/03/2014,49.45,-0.006450335
28/02/2014,49.77,0.009285493
27/02/2014,49.31,0.012037277
26/02/2014,48.72,-0.005934736
25/02/2014,49.01,-0.008937699
24/02/2014,49.45,0.009550007
21/02/2014,48.98,-0.004887993
20/02/2014,49.22,-0.000609323
19/02/2014,49.25,-0.018507871
18/02/2014,50.17,0.024005187
14/02/2014,48.98,-0.012377149
13/02/2014,49.59,0.011152909
12/02/2014,49.04,0.000815994
11/02/2014,49,0.002451983
10/02/2014,48.88,-0.002656044
07/02/2014,49.01,0.026673762
06/02/2014,47.72,0.001677853
05/02/2014,47.64,0.000419903
04/02/2014,47.62,0.015661696
03/02/2014,46.88,-0.022776185
31/01/2014,47.96,-0.019000985
30/01/2014,48.88,0.019209514
29/01/2014,47.95,-0.010579914
28/01/2014,48.46,0.024439859
27/01/2014,47.29,-0.011981226
24/01/2014,47.86,-0.027816772
23/01/2014,49.21,-0.021709395
22/01/2014,50.29,-0.005749991
21/01/2014,50.58,-0.006110199
17/01/2014,50.89,-0.011915367
16/01/2014,51.5,-0.011775061
15/01/2014,52.11,0.006739219
14/01/2014,51.76,0.005812843
13/01/2014,51.46,-0.014660756
10/01/2014,52.22,0.002108694
09/01/2014,52.11,0.005773688
08/01/2014,51.81,0.011648355
07/01/2014,51.21,0.013565528
06/01/2014,50.52,-0.007886476
03/01/2014,50.92,0.004132644
02/01/2014,50.71,-0.006682415
31/12/2013,51.05,-0.001174628
30/12/2013,51.11,-0.001368658
27/12/2013,51.18,0.003523198
26/12/2013,51,-0.00547518
24/12/2013,51.28,0.000780336
23/12/2013,51.24,0.004106782
20/12/2013,51.03,0.013216486
19/12/2013,50.36,0.002186662
18/12/2013,50.25,0.017870167
17/12/2013,49.36,-0.018467004
16/12/2013,50.28,0.010999011
13/12/2013,49.73,0.006253172
12/12/2013,49.42,0.01467617
11/12/2013,48.7,-0.012245051
10/12/2013,49.3,-0.005259976
09/12/2013,49.56,0.000201796
06/12/2013,49.55,0.02783073
05/12/2013,48.19,-0.015443527
04/12/2013,48.94,0.005943249
03/12/2013,48.65,-0.021554311
02/12/2013,49.71,-0.000804343
29/11/2013,49.75,0.002012073
27/11/2013,49.65,0.005250416
26/11/2013,49.39,-0.008267009
25/11/2013,49.8,0.004225784
22/11/2013,49.59,0.01360289
21/11/2013,48.92,0.013583251
20/11/2013,48.26,-0.010717333
19/11/2013,48.78,-0.003683245
18/11/2013,48.96,-0.006920443
15/11/2013,49.3,-0.000202819
14/11/2013,49.31,0.014914977
13/11/2013,48.58,0.008060393
12/11/2013,48.19,-0.013398119
11/11/2013,48.84,0.006161449
08/11/2013,48.54,0.025877905
07/11/2013,47.3,-0.00611236
06/11/2013,47.59,-0.014601845
05/11/2013,48.29,-0.01622712
04/11/2013,49.08,0.016434224
01/11/2013,48.28,-0.067472799
31/10/2013,51.65,-0.006176433
30/10/2013,51.97,-0.005373262
29/10/2013,52.25,0.015818231
28/10/2013,51.43,-0.008133275
25/10/2013,51.85,0.000964785
24/10/2013,51.8,-0.001157631
23/10/2013,51.86,-0.008257368
22/10/2013,52.29,0.00556143
21/10/2013,52,-0.005752652
18/10/2013,52.3,0.008641436
17/10/2013,51.85,0.011444214
16/10/2013,51.26,0.024487795
15/10/2013,50.02,-0.004189532
14/10/2013,50.23,0.004589452
11/10/2013,50,0.008435479
10/10/2013,49.58,0.038027396
09/10/2013,47.73,0.000628733
08/10/2013,47.7,-0.021363459
07/10/2013,48.73,-0.01628369
04/10/2013,49.53,0.013824168
03/10/2013,48.85,-0.007545666
02/10/2013,49.22,0.00244101
01/10/2013,49.1,0.00961841
30/09/2013,48.63,-0.010636222
27/09/2013,49.15,-0.006085211
26/09/2013,49.45,-0.001818366
25/09/2013,49.54,0.006074123
24/09/2013,49.24,0.001626017
23/09/2013,49.16,-0.01594222
20/09/2013,49.95,0.001803427
19/09/2013,49.86,-0.014139437
18/09/2013,50.57,0.002177572
17/09/2013,50.46,0.015377238
16/09/2013,49.69,-0.000201227
13/09/2013,49.7,0.008486614
12/09/2013,49.28,-0.009492144
11/09/2013,49.75,0.006655263
10/09/2013,49.42,0.00466485
09/09/2013,49.19,0.020746354
