Date,Close,TDC
04/04/2014,47.79,-0.024595639
03/04/2014,48.98,-0.004074985
02/04/2014,49.18,0.018676787
01/04/2014,48.27,-0.018880101
31/03/2014,49.19,0.022408174
28/03/2014,48.1,0.006256538
27/03/2014,47.8,0.008403411
26/03/2014,47.4,-0.014036053
25/03/2014,48.07,0.009405441
24/03/2014,47.62,-0.003563572
21/03/2014,47.79,-0.008542608
20/03/2014,48.2,0.044763014
19/03/2014,46.09,-0.004329948
18/03/2014,46.29,0.010860228
17/03/2014,45.79,0.024315964
14/03/2014,44.69,-0.005800998
13/03/2014,44.95,-0.010842013
12/03/2014,45.44,-0.010072343
11/03/2014,45.9,-0.012987196
10/03/2014,46.5,-0.007285226
07/03/2014,46.84,-0.002984441
06/03/2014,46.98,0.008550715
05/03/2014,46.58,0.006029303
04/03/2014,46.3,0.023602494
03/03/2014,45.22,-0.015361285
28/02/2014,45.92,-0.00780915
27/02/2014,46.28,0.000432246
26/02/2014,46.26,0.014808633
25/02/2014,45.58,-0.001753617
24/02/2014,45.66,0.001753617
21/02/2014,45.58,0.013695818
20/02/2014,44.96,0.01456282
19/02/2014,44.31,0.020290221
18/02/2014,43.42,0.002536609
14/02/2014,43.31,0.011845453
13/02/2014,42.8,0.000233672
12/02/2014,42.79,-0.011848205
11/02/2014,43.3,0.052874707
10/02/2014,41.07,0.002926118
07/02/2014,40.95,-0.001220256
06/02/2014,41,-0.001462345
05/02/2014,41.06,0.012252052
04/02/2014,40.56,0.013902905
03/02/2014,40,-0.027615167
31/01/2014,41.12,-0.024265455
30/01/2014,42.13,0.001425178
29/01/2014,42.07,-0.042579422
28/01/2014,43.9,0.011454879
27/01/2014,43.4,-0.008717651
24/01/2014,43.78,-0.027485398
23/01/2014,45,-0.016529302
22/01/2014,45.75,-0.023972641
21/01/2014,46.86,-0.008076558
17/01/2014,47.24,-0.001269304
16/01/2014,47.3,-0.006952519
15/01/2014,47.63,0.039397088
14/01/2014,45.79,0.039194507
13/01/2014,44.03,-0.006339165
10/01/2014,44.31,-0.024081431
09/01/2014,45.39,-0.010519492
08/01/2014,45.87,-0.002395211
07/01/2014,45.98,0.009615459
