Date,Close,TMK
04/04/2014,78.42,-0.009771031
03/04/2014,79.19,0.000757959
02/04/2014,79.13,0.000505625
01/04/2014,79.09,0.004943289
31/03/2014,78.7,0.017302578
28/03/2014,77.35,0.004794929
27/03/2014,76.98,-0.01110979
26/03/2014,77.84,-0.011876776
25/03/2014,78.77,-0.000761421
24/03/2014,78.83,-0.004808918
21/03/2014,79.21,0.005062661
20/03/2014,78.81,0.002540975
19/03/2014,78.61,-0.003428792
18/03/2014,78.88,0.006358918
17/03/2014,78.38,0.004988179
14/03/2014,77.99,-0.001921476
13/03/2014,78.14,-0.010059294
12/03/2014,78.93,-0.000380011
11/03/2014,78.96,-0.010957979
10/03/2014,79.83,-0.005496578
07/03/2014,80.27,0.010897584
06/03/2014,79.4,0.009109375
05/03/2014,78.68,0.001017294
04/03/2014,78.6,0.020306571
03/03/2014,77.02,-0.006341832
28/02/2014,77.51,0.011809884
27/02/2014,76.6,0.006811659
26/02/2014,76.08,0.000657419
25/02/2014,76.03,-0.000131518
24/02/2014,76.04,-0.000525901
21/02/2014,76.08,-0.000131432
20/02/2014,76.09,0.004874524
19/02/2014,75.72,-0.012859382
18/02/2014,76.7,0.011012172
14/02/2014,75.86,0.00013183
13/02/2014,75.85,0.007543211
12/02/2014,75.28,-0.003183027
11/02/2014,75.52,0.004113321
10/02/2014,75.21,0.001729989
07/02/2014,75.08,0.014489119
06/02/2014,74,0.012099937
05/02/2014,73.11,0.002053811
04/02/2014,72.96,0.005635366
03/02/2014,72.55,-0.035210137
31/01/2014,75.15,-0.007292044
30/01/2014,75.7,0.021767568
29/01/2014,74.07,-0.007665965
28/01/2014,74.64,0.006316801
27/01/2014,74.17,-0.005244415
24/01/2014,74.56,-0.025163558
23/01/2014,76.46,-0.012864839
22/01/2014,77.45,0.001421281
21/01/2014,77.34,-0.004772663
17/01/2014,77.71,-0.003340188
16/01/2014,77.97,-0.005627333
15/01/2014,78.41,0.001148472
14/01/2014,78.32,0.014792218
13/01/2014,77.17,-0.014153607
10/01/2014,78.27,-0.005351695
09/01/2014,78.69,0.002035365
08/01/2014,78.53,0.007541417
07/01/2014,77.94,0.008245344
06/01/2014,77.3,-0.003615706
03/01/2014,77.58,0.00193536
02/01/2014,77.43,-0.009255754
31/12/2013,78.15,-0.001662086
30/12/2013,78.28,0.000511117
27/12/2013,78.24,-0.003699692
26/12/2013,78.53,0.00331633
24/12/2013,78.27,0.002814741
23/12/2013,78.05,0.002565749
20/12/2013,77.85,0.010978476
19/12/2013,77,0.001559657
18/12/2013,76.88,0.010460346
17/12/2013,76.08,-0.000788333
16/12/2013,76.14,0.003947893
13/12/2013,75.84,-0.003553804
12/12/2013,76.11,-0.000656728
11/12/2013,76.16,-0.00484643
10/12/2013,76.53,-0.005343077
09/12/2013,76.94,0.002081708
06/12/2013,76.78,0.016017147
05/12/2013,75.56,-0.002775393
04/12/2013,75.77,0.007019432
03/12/2013,75.24,-0.01228468
02/12/2013,76.17,0.002234344
29/11/2013,76,-0.004856609
27/11/2013,76.37,0.00446195
26/11/2013,76.03,0.006730477
25/11/2013,75.52,0.00145763
22/11/2013,75.41,0.003320718
21/11/2013,75.16,0.009760088
20/11/2013,74.43,-0.002549481
19/11/2013,74.62,-0.007210607
18/11/2013,75.16,-0.003453317
15/11/2013,75.42,0
14/11/2013,75.42,0.007987263
13/11/2013,74.82,0.015896873
12/11/2013,73.64,-0.005552184
11/11/2013,74.05,0.002027713
08/11/2013,73.9,0.01156869
07/11/2013,73.05,-0.006821309
06/11/2013,73.55,0.009562914
05/11/2013,72.85,-0.000274499
04/11/2013,72.87,0.001373249
01/11/2013,72.77,-0.001236009
31/10/2013,72.86,-0.006020817
30/10/2013,73.3,-0.003268867
29/10/2013,73.54,0.002859674
28/10/2013,73.33,-0.000409026
25/10/2013,73.36,-0.004081083
24/10/2013,73.66,-0.010802157
23/10/2013,74.46,-0.008824766
22/10/2013,75.12,-0.000266205
21/10/2013,75.14,0.001598295
18/10/2013,75.02,-0.000799467
17/10/2013,75.08,0.013678636
16/10/2013,74.06,0.018121621
15/10/2013,72.73,-0.00767022
14/10/2013,73.29,0.00177535
11/10/2013,73.16,0.003834571
10/10/2013,72.88,0.030793098
09/10/2013,70.67,-0.002120292
08/10/2013,70.82,-0.013603744
07/10/2013,71.79,-0.010668615
04/10/2013,72.56,0.017377236
03/10/2013,71.31,-0.005593638
02/10/2013,71.71,-0.00570119
01/10/2013,72.12,-0.003184055
30/09/2013,72.35,-0.006749802
27/09/2013,72.84,-0.001920176
26/09/2013,72.98,0.004532041
25/09/2013,72.65,0.007183344
24/09/2013,72.13,0.001942826
23/09/2013,71.99,0.000694782
20/09/2013,71.94,0.001669449
19/09/2013,71.82,-0.005969338
18/09/2013,72.25,-0.007583628
17/09/2013,72.8,-0.001372684
16/09/2013,72.9,0.010064192
13/09/2013,72.17,0.000277162
12/09/2013,72.15,-0.005942117
11/09/2013,72.58,0.006080726
10/09/2013,72.14,0.009890726
09/09/2013,71.43,0.012396271
06/09/2013,70.55,-0.004525535
05/09/2013,70.87,0.010211406
04/09/2013,70.15,0.014068564
03/09/2013,69.17,0.004056213
30/08/2013,68.89,-0.010684479
29/08/2013,69.63,0.003885176
28/08/2013,69.36,0.003755602
27/08/2013,69.1,-0.028110576
26/08/2013,71.07,-0.003511486
23/08/2013,71.32,0.000140223
22/08/2013,71.31,0.01911292
21/08/2013,69.96,-0.006837633
20/08/2013,70.44,0.006266042
19/08/2013,70,-0.013198233
16/08/2013,70.93,0.007358177
15/08/2013,70.41,-0.010455026
14/08/2013,71.15,-0.005186806
13/08/2013,71.52,0.005327364
12/08/2013,71.14,-0.000281096
09/08/2013,71.16,0
08/08/2013,71.16,0.004648223
07/08/2013,70.83,-0.00366404
06/08/2013,71.09,-0.007567301
05/08/2013,71.63,-0.010692319
02/08/2013,72.4,-0.007430886
01/08/2013,72.94,0.025831182
31/07/2013,71.08,0.005077585
30/07/2013,70.72,0.005245635
29/07/2013,70.35,0.000142157
26/07/2013,70.34,-0.003972763
25/07/2013,70.62,0.012252611
24/07/2013,69.76,-0.008279847
23/07/2013,70.34,-0.003406191
22/07/2013,70.58,0.0147009
19/07/2013,69.55,0.000287604
18/07/2013,69.53,0.012009115
17/07/2013,68.7,-0.001309186
16/07/2013,68.79,-0.006953526
15/07/2013,69.27,0.000433182
12/07/2013,69.24,0.00521287
11/07/2013,68.88,0.004364913
10/07/2013,68.58,0.007611278
09/07/2013,68.06,0.006190145
08/07/2013,67.64,0.008313587
05/07/2013,67.08,0.018810275
03/07/2013,65.83,-0.001669576
02/07/2013,65.94,0.001669576
01/07/2013,65.83,0.010536862
28/06/2013,65.14,-0.008864493
27/06/2013,65.72,0.010400828
26/06/2013,65.04,0.006788054
25/06/2013,64.6,0.011834458
24/06/2013,63.84,-0.011060164
21/06/2013,64.55,-0.001238582
20/06/2013,64.63,-0.002626904
19/06/2013,64.8,-0.007226909
18/06/2013,65.27,-0.001836829
17/06/2013,65.39,0.011226569
14/06/2013,64.66,-0.009696113
13/06/2013,65.29,0.012173661
12/06/2013,64.5,0.002017538
11/06/2013,64.37,-0.011430461
10/06/2013,65.11,0.002306451
07/06/2013,64.96,0.015513808
06/06/2013,63.96,0.01909931
05/06/2013,62.75,-0.008252705
04/06/2013,63.27,-0.015214786
03/06/2013,64.24,-0.004194181
31/05/2013,64.51,-0.013549091
30/05/2013,65.39,0.012309742
29/05/2013,64.59,-0.001392435
28/05/2013,64.68,0.006514681
24/05/2013,64.26,-0.001244168
23/05/2013,64.34,-0.001553036
22/05/2013,64.44,-0.011264682
21/05/2013,65.17,0
20/05/2013,65.17,0.004768139
17/05/2013,64.86,0.004636077
16/05/2013,64.56,-0.012468414
15/05/2013,65.37,0.007369909
14/05/2013,64.89,0.011001893
13/05/2013,64.18,-0.000311575
10/05/2013,64.2,0.002026975
09/05/2013,64.07,-0.002026975
08/05/2013,64.2,0.010490975
07/05/2013,63.53,0.008377509
06/05/2013,63,0.00589033
03/05/2013,62.63,0.006407198
02/05/2013,62.23,0.014894237
01/05/2013,61.31,-0.012319819
30/04/2013,62.07,0.002742601
29/04/2013,61.9,0.009577218
26/04/2013,61.31,-0.001792553
25/04/2013,61.42,0.012286173
24/04/2013,60.67,0.009273125
23/04/2013,60.11,0.014410437
22/04/2013,59.25,-0.000843526
19/04/2013,59.3,0.010680783
18/04/2013,58.67,0.002218242
17/04/2013,58.54,-0.015425342
16/04/2013,59.45,0.020563219
15/04/2013,58.24,-0.023418684
12/04/2013,59.62,-0.003516119
11/04/2013,59.83,-0.002503966
10/04/2013,59.98,0.02738045
09/04/2013,58.36,-0.000171336
08/04/2013,58.37,0.003948164
05/04/2013,58.14,-0.014174945
04/04/2013,58.97,0.010912299
03/04/2013,58.33,-0.021874547
02/04/2013,59.62,0.002687271
01/04/2013,59.46,-0.005701843
28/03/2013,59.8,0.007722046
27/03/2013,59.34,0.000337098
26/03/2013,59.32,0.00236287
25/03/2013,59.18,-0.001857011
22/03/2013,59.29,0.006260066
21/03/2013,58.92,-0.004234065
20/03/2013,59.17,0.007463987
19/03/2013,58.73,0.001192606
18/03/2013,58.66,-0.011862535
15/03/2013,59.36,-0.004538204
14/03/2013,59.63,0.004032941
13/03/2013,59.39,0.010494341
12/03/2013,58.77,-0.00017014
11/03/2013,58.78,0.007342302
08/03/2013,58.35,0.006878789
07/03/2013,57.95,0.002072898
06/03/2013,57.83,0.007289168
05/03/2013,57.41,0.011915333
04/03/2013,56.73,0.007608636
01/03/2013,56.3,0.00195573
28/02/2013,56.19,0.001602993
27/02/2013,56.1,0.014001306
26/02/2013,55.32,0.005801322
25/02/2013,55,-0.020337244
22/02/2013,56.13,0.007690282
21/02/2013,55.7,-0.003941951
20/02/2013,55.92,-0.014381073
19/02/2013,56.73,0.009208494
15/02/2013,56.21,0.004100193
14/02/2013,55.98,-0.002675945
13/02/2013,56.13,0.002318738
12/02/2013,56,0.003219463
11/02/2013,55.82,0.004848712
08/02/2013,55.55,0.001260921
07/02/2013,55.48,-0.005392787
06/02/2013,55.78,0.013536891
05/02/2013,55.03,-0.006340027
04/02/2013,55.38,-0.011490252
01/02/2013,56.02,0.005549106
31/01/2013,55.71,0.00233624
30/01/2013,55.58,-0.001438332
29/01/2013,55.66,0.000179678
28/01/2013,55.65,-0.005912406
25/01/2013,55.98,0.008431299
24/01/2013,55.51,0.019464007
23/01/2013,54.44,0.000183705
22/01/2013,54.43,0.012385776
18/01/2013,53.76,0.002794078
17/01/2013,53.61,0.000746408
16/01/2013,53.57,0.002429681
15/01/2013,53.44,-0.001495887
14/01/2013,53.52,0.001308778
11/01/2013,53.45,0.003936644
10/01/2013,53.24,0.003952202
09/01/2013,53.03,-0.000377074
08/01/2013,53.05,-0.009007379
07/01/2013,53.53,0.001308534
04/01/2013,53.46,0.00619197
03/01/2013,53.13,0.010976643
02/01/2013,52.55,0.016887755
31/12/2012,51.67,0.013836331
28/12/2012,50.96,-0.003525959
27/12/2012,51.14,-0.008954703
26/12/2012,51.6,-0.009643276
24/12/2012,52.1,-0.00019192
21/12/2012,52.11,-0.016368847
20/12/2012,52.97,0.020985127
19/12/2012,51.87,0.000192808
18/12/2012,51.86,0.000964599
17/12/2012,51.81,0.02402694
14/12/2012,50.58,-0.011010729
13/12/2012,51.14,-0.018406022
12/12/2012,52.09,0.001729273
11/12/2012,52,-0.00211315
10/12/2012,52.11,0.006546038
07/12/2012,51.77,0.002707932
06/12/2012,51.63,-0.003673276
05/12/2012,51.82,0.002898833
04/12/2012,51.67,-0.002705839
03/12/2012,51.81,-0.003468212
30/11/2012,51.99,0.001732602
29/11/2012,51.9,0.002507959
28/11/2012,51.77,0.00367683
27/11/2012,51.58,-0.002323781
26/11/2012,51.7,-0.002704271
23/11/2012,51.84,0.011836754
21/11/2012,51.23,0.001367321
20/11/2012,51.16,0.004702203
19/11/2012,50.92,0.008876673
16/11/2012,50.47,0.012761888
15/11/2012,49.83,0.005634952
14/11/2012,49.55,-0.009240725
13/11/2012,50.01,-0.000999301
12/11/2012,50.06,-0.003191068
09/11/2012,50.22,0.009000961
08/11/2012,49.77,-0.001004117
07/11/2012,49.82,-0.019479845
06/11/2012,50.8,0.003154577
05/11/2012,50.64,0.001581028
02/11/2012,50.56,-0.008664883
01/11/2012,51,0.008071704
31/10/2012,50.59,0.002572985
26/10/2012,50.46,0.005763705
25/10/2012,50.17,-0.016212297
24/10/2012,50.99,0.002946089
23/10/2012,50.84,-0.006860754
22/10/2012,51.19,0.001759703
19/10/2012,51.1,-0.016304709
18/10/2012,51.94,-0.002883786
17/10/2012,52.09,0.013529391
16/10/2012,51.39,0.012531983
15/10/2012,50.75,-0.000394011
12/10/2012,50.77,-0.008824452
11/10/2012,51.22,0.006856722
10/10/2012,50.87,-0.004315425
09/10/2012,51.09,-0.012835649
