Date,Close,LM
04/04/2014,47.27,-0.020105389
03/04/2014,48.23,-0.014205077
02/04/2014,48.92,-0.001021555
01/04/2014,48.97,-0.001428426
31/03/2014,49.04,0.01417007
28/03/2014,48.35,0.025556481
27/03/2014,47.13,-0.016205763
26/03/2014,47.9,0.030739039
25/03/2014,46.45,-0.003438645
24/03/2014,46.61,-0.016807118
21/03/2014,47.4,-0.002738862
20/03/2014,47.53,0.02600317
19/03/2014,46.31,-0.006242621
18/03/2014,46.6,0.013611531
17/03/2014,45.97,0.01578634
14/03/2014,45.25,-0.003749867
13/03/2014,45.42,-0.016161086
12/03/2014,46.16,0.001300672
11/03/2014,46.1,-0.009069378
10/03/2014,46.52,-0.005787177
07/03/2014,46.79,0.005787177
06/03/2014,46.52,-0.00042983
05/03/2014,46.54,-0.002360769
04/03/2014,46.65,0.029145169
03/03/2014,45.31,-0.014243694
28/02/2014,45.96,0.016674366
27/02/2014,45.2,0.020563979
26/02/2014,44.28,-0.005854554
25/02/2014,44.54,-0.008495468
24/02/2014,44.92,0.02001191
21/02/2014,44.03,-0.003627299
20/02/2014,44.19,0.006584199
19/02/2014,43.9,-0.011325149
18/02/2014,44.4,0.007233305
14/02/2014,44.08,-0.013072082
13/02/2014,44.66,0.013525905
12/02/2014,44.06,0.037696682
11/02/2014,42.43,0.004014647
10/02/2014,42.26,0.009749215
07/02/2014,41.85,0.016624886
06/02/2014,41.16,0.028837488
05/02/2014,39.99,-0.016861297
04/02/2014,40.67,0.014363793
03/02/2014,40.09,-0.054841494
31/01/2014,42.35,-0.022184214
30/01/2014,43.3,0.017002855
29/01/2014,42.57,-0.00678921
28/01/2014,42.86,0.035866569
27/01/2014,41.35,-0.021058447
24/01/2014,42.23,-0.039694198
23/01/2014,43.94,-0.034887259
22/01/2014,45.5,0.028987537
21/01/2014,44.2,0.006582705
17/01/2014,43.91,-0.007713287
16/01/2014,44.25,0.008852628
15/01/2014,43.86,-0.001822324
14/01/2014,43.94,0.015596646
13/01/2014,43.26,-0.013546298
10/01/2014,43.85,-0.002050348
09/01/2014,43.94,0.004562052
08/01/2014,43.74,-0.00774315
07/01/2014,44.08,0.013245227
06/01/2014,43.5,-0.001837391
03/01/2014,43.58,0.01177163
02/01/2014,43.07,-0.009474363
31/12/2013,43.48,0.000230017
30/12/2013,43.47,-0.004819286
27/12/2013,43.68,-0.002286761
26/12/2013,43.78,-0.002281543
24/12/2013,43.88,-0.000227868
23/12/2013,43.89,0.009615459
20/12/2013,43.47,0.002303087
19/12/2013,43.37,-0.001152207
18/12/2013,43.42,0.021180822
17/12/2013,42.51,0.011117796
16/12/2013,42.04,0.015823874
13/12/2013,41.38,0.018290962
12/12/2013,40.63,0.000738643
11/12/2013,40.6,-0.004914015
10/12/2013,40.8,0.014815086
09/12/2013,40.2,0.007490672
06/12/2013,39.9,0.035977857
05/12/2013,38.49,-0.010338681
04/12/2013,38.89,-0.004873679
03/12/2013,39.08,-0.019762488
02/12/2013,39.86,0.018995126
29/11/2013,39.11,-0.005355107
27/11/2013,39.32,0.009197817
26/11/2013,38.96,-0.005375669
25/11/2013,39.17,0.000510725
22/11/2013,39.15,-0.003569611
21/11/2013,39.29,0.01435554
20/11/2013,38.73,-0.006947153
19/11/2013,39,-0.007662873
18/11/2013,39.3,-0.005582354
15/11/2013,39.52,-0.004544315
14/11/2013,39.7,0.002522069
13/11/2013,39.6,0.004048589
12/11/2013,39.44,-0.015597801
11/11/2013,40.06,0.012812636
08/11/2013,39.55,0.024831687
07/11/2013,38.58,-0.018999288
06/11/2013,39.32,0.006890419
05/11/2013,39.05,0.002820876
04/11/2013,38.94,0.00851069
01/11/2013,38.61,0.003632594
31/10/2013,38.47,-0.006219248
30/10/2013,38.71,-0.007207238
29/10/2013,38.99,0.018377636
28/10/2013,38.28,0.009712637
25/10/2013,37.91,0.027816717
24/10/2013,36.87,0.01173114
23/10/2013,36.44,-0.01173114
22/10/2013,36.87,0.008443466
21/10/2013,36.56,-0.005183479
18/10/2013,36.75,0.013974744
17/10/2013,36.24,0.019223325
16/10/2013,35.55,0.012454166
15/10/2013,35.11,0.001995724
14/10/2013,35.04,0.010038805
11/10/2013,34.69,0.00781367
10/10/2013,34.42,0.042433306
09/10/2013,32.99,0.011892197
08/10/2013,32.6,-0.032591901
07/10/2013,33.68,-0.011219486
04/10/2013,34.06,0.014490864
03/10/2013,33.57,-0.01155055
02/10/2013,33.96,0.004722559
01/10/2013,33.8,0.010708014
30/09/2013,33.44,-0.013367197
27/09/2013,33.89,-0.007935383
26/09/2013,34.16,0.002344667
25/09/2013,34.08,0
24/09/2013,34.08,-0.001759015
23/09/2013,34.14,-0.011937833
20/09/2013,34.55,-0.010652181
19/09/2013,34.92,0.002293579
18/09/2013,34.84,0.009227286
17/09/2013,34.52,0.00726853
16/09/2013,34.27,0.008203972
13/09/2013,33.99,-0.000294161
12/09/2013,34,-0.0114053
11/09/2013,34.39,-0.013574216
10/09/2013,34.86,0.023216365
09/09/2013,34.06,0.016876788
06/09/2013,33.49,0.007492917
05/09/2013,33.24,-0.003303802
04/09/2013,33.35,0.016629257
03/09/2013,32.8,0.008573231
30/08/2013,32.52,-0.015863664
29/08/2013,33.04,0.01494158
28/08/2013,32.55,-0.001228124
27/08/2013,32.59,-0.021852159
26/08/2013,33.31,-0.002398802
23/08/2013,33.39,0.002699057
22/08/2013,33.3,0.019406309
21/08/2013,32.66,-0.000918133
20/08/2013,32.69,0.013241148
19/08/2013,32.26,-0.015380186
16/08/2013,32.76,-0.00820798
15/08/2013,33.03,-0.028944285
14/08/2013,34,0.007676447
13/08/2013,33.74,0.006243517
12/08/2013,33.53,-0.001787843
09/08/2013,33.59,0.003877708
08/08/2013,33.46,-0.002388061
07/08/2013,33.54,-0.016558628
06/08/2013,34.1,-0.016577375
05/08/2013,34.67,-0.002304812
02/08/2013,34.75,-0.005738897
01/08/2013,34.95,0.016152644
31/07/2013,34.39,-0.002323556
30/07/2013,34.47,-0.006938449
29/07/2013,34.71,-0.009462436
26/07/2013,35.04,0.004003437
25/07/2013,34.9,0.025244341
24/07/2013,34.03,-0.024671111
23/07/2013,34.88,0.007482049
22/07/2013,34.62,0.012790872
