Date,Close,ZION
04/04/2014,31.37,-0.008570121
03/04/2014,31.64,-0.001579031
02/04/2014,31.69,0.014942259
01/04/2014,31.22,0.00771708
31/03/2014,30.98,0.02252421
28/03/2014,30.29,0.015303027
27/03/2014,29.83,-0.012327326
26/03/2014,30.2,-0.013158085
25/03/2014,30.6,0.009522318
24/03/2014,30.31,-0.030221634
21/03/2014,31.24,-0.05450516
20/03/2014,32.99,0.031406522
19/03/2014,31.97,0.017035112
18/03/2014,31.43,0.000636537
17/03/2014,31.41,0.001912046
14/03/2014,31.35,-0.00095648
13/03/2014,31.38,-0.002228236
12/03/2014,31.45,-0.000635728
11/03/2014,31.47,-0.001587554
10/03/2014,31.52,-0.001585038
07/03/2014,31.57,0.003808319
06/03/2014,31.45,0.004142112
05/03/2014,31.32,-0.002869442
04/03/2014,31.41,0.01572309
03/03/2014,30.92,-0.009014871
28/02/2014,31.2,0.013228133
27/02/2014,30.79,0.008480155
26/02/2014,30.53,0.008883098
25/02/2014,30.26,-0.000990917
24/02/2014,30.29,0.012624752
21/02/2014,29.91,0.002678274
20/02/2014,29.83,-0.009674804
19/02/2014,30.12,-0.026213821
18/02/2014,30.92,0.00064704
14/02/2014,30.9,0.018618862
13/02/2014,30.33,0.00761215
12/02/2014,30.1,0.005998019
11/02/2014,29.92,0.012105057
10/02/2014,29.56,0.021542977
07/02/2014,28.93,-0.003795071
06/02/2014,29.04,0.010732317
05/02/2014,28.73,0.0052347
04/02/2014,28.58,0.023722125
03/02/2014,27.91,-0.02965272
31/01/2014,28.75,-0.020654779
30/01/2014,29.35,0.005809003
29/01/2014,29.18,-0.019681667
28/01/2014,29.76,-0.005696112
27/01/2014,29.93,-0.009973487
24/01/2014,30.23,-0.030300412
23/01/2014,31.16,-0.01970194
22/01/2014,31.78,0.00980245
21/01/2014,31.47,0.042518168
17/01/2014,30.16,0.011337234
16/01/2014,29.82,-0.012000144
15/01/2014,30.18,0.017043019
14/01/2014,29.67,0.000674309
13/01/2014,29.65,-0.013733259
10/01/2014,30.06,-0.005308573
09/01/2014,30.22,0.007306575
08/01/2014,30,0.008704441
07/01/2014,29.74,0.003030816
06/01/2014,29.65,-0.007057667
03/01/2014,29.86,0.007057667
02/01/2014,29.65,-0.010401033
31/12/2013,29.96,0.003678319
30/12/2013,29.85,0.002012073
27/12/2013,29.79,-0.001677009
26/12/2013,29.84,0
24/12/2013,29.84,0.004029555
23/12/2013,29.72,0.016966814
20/12/2013,29.22,0
19/12/2013,29.22,0.013783816
18/12/2013,28.82,0.0263682
17/12/2013,28.07,-0.017305747
16/12/2013,28.56,0.003156236
13/12/2013,28.47,-0.0108298
12/12/2013,28.78,0.009075106
11/12/2013,28.52,-0.02698192
10/12/2013,29.3,-0.012548918
09/12/2013,29.67,-0.002020203
06/12/2013,29.73,0.01935873
05/12/2013,29.16,-0.003423488
04/12/2013,29.26,0.013072082
03/12/2013,28.88,-0.011019395
02/12/2013,29.2,-0.004442174
29/11/2013,29.33,-0.00544034
27/11/2013,29.49,0.011939422
26/11/2013,29.14,-0.010582109
25/11/2013,29.45,0.00203943
22/11/2013,29.39,0.010603828
21/11/2013,29.08,0.028249481
20/11/2013,28.27,0.002124647
19/11/2013,28.21,-0.023126469
18/11/2013,28.87,-0.011365716
15/11/2013,29.2,0.002743486
14/11/2013,29.12,0.00447428
13/11/2013,28.99,0.003455428
12/11/2013,28.89,-0.011015602
11/11/2013,29.21,-0.014613684
08/11/2013,29.64,0.048385388
07/11/2013,28.24,-0.021717141
06/11/2013,28.86,0.005907923
05/11/2013,28.69,0.010159485
04/11/2013,28.4,-0.000703978
01/11/2013,28.42,0.000703978
31/10/2013,28.4,-0.00105578
30/10/2013,28.43,-0.000351679
29/10/2013,28.44,-0.005260401
28/10/2013,28.59,0.002802103
25/10/2013,28.51,0.001404002
24/10/2013,28.47,0.012014279
23/10/2013,28.13,0.009285781
22/10/2013,27.87,-0.068968951
21/10/2013,29.86,-0.001673081
18/10/2013,29.91,0.021629772
17/10/2013,29.27,0.008577853
16/10/2013,29.02,0.019837087
15/10/2013,28.45,-0.003158451
14/10/2013,28.54,0.007738343
11/10/2013,28.32,0.012793351
10/10/2013,27.96,0.039020447
09/10/2013,26.89,-0.00334138
08/10/2013,26.98,-0.004806813
07/10/2013,27.11,-0.026571172
04/10/2013,27.84,0.027678387
03/10/2013,27.08,-0.007724887
02/10/2013,27.29,-0.024254583
01/10/2013,27.96,0.019502243
30/09/2013,27.42,0.003287674
27/09/2013,27.33,0.002564574
26/09/2013,27.26,-0.0127576
25/09/2013,27.61,0
24/09/2013,27.61,-0.000362122
23/09/2013,27.62,-0.012592359
20/09/2013,27.97,0.00035759
19/09/2013,27.96,-0.02786285
18/09/2013,28.75,-0.023376795
17/09/2013,29.43,0.004768401
16/09/2013,29.29,0.010295218
13/09/2013,28.99,0.001380739
12/09/2013,28.95,-0.004480449
11/09/2013,29.08,-0.004460464
10/09/2013,29.21,0.007560173
09/09/2013,28.99,0.011099663
06/09/2013,28.67,-0.009027839
05/09/2013,28.93,0.018137923
04/09/2013,28.41,0.002114166
03/09/2013,28.35,0.013494523
30/08/2013,27.97,-0.013494523
29/08/2013,28.35,0.006724499
28/08/2013,28.16,0.008559253
27/08/2013,27.92,-0.045167839
26/08/2013,29.21,-0.00886168
23/08/2013,29.47,-0.004739345
22/08/2013,29.61,0.013258736
21/08/2013,29.22,-0.010891871
20/08/2013,29.54,0.028499783
19/08/2013,28.71,-0.005211059
16/08/2013,28.86,0.004862809
15/08/2013,28.72,-0.016917372
14/08/2013,29.21,0.002056204
13/08/2013,29.15,-0.015657229
12/08/2013,29.61,0.004060919
09/08/2013,29.49,-0.001016777
08/08/2013,29.52,0.016049516
