Date,Close,APD
04/04/2014,119.1,-0.017065971
03/04/2014,121.15,-0.005022447
02/04/2014,121.76,0.014560151
01/04/2014,120,0.008032172
31/03/2014,119.04,0.014724815
28/03/2014,117.3,-0.009671748
27/03/2014,118.44,-0.008240188
26/03/2014,119.42,-0.012730546
25/03/2014,120.95,0.006303413
24/03/2014,120.19,-0.016175974
21/03/2014,122.15,-0.000491079
20/03/2014,122.21,0.009619807
19/03/2014,121.04,-0.006505561
18/03/2014,121.83,0.008076523
17/03/2014,120.85,0.00897687
14/03/2014,119.77,0.003848089
13/03/2014,119.31,-0.003681088
12/03/2014,119.75,-0.006575412
11/03/2014,120.54,-0.004635003
10/03/2014,121.1,-0.004695811
07/03/2014,121.67,-0.006390322
06/03/2014,122.45,0.007130301
05/03/2014,121.58,-0.007620177
04/03/2014,122.51,0.016376945
03/03/2014,120.52,-0.006615969
28/02/2014,121.32,0.016455121
27/02/2014,119.34,0.01579358
26/02/2014,117.47,-0.018554973
25/02/2014,119.67,0.007885947
24/02/2014,118.73,0.003881861
21/02/2014,118.27,0.004746174
20/02/2014,117.71,0.005366511
19/02/2014,117.08,-0.008166088
18/02/2014,118.04,0.005607015
14/02/2014,117.38,0.00384107
13/02/2014,116.93,0.044237982
12/02/2014,111.87,-0.000625531
11/02/2014,111.94,0.019211414
10/02/2014,109.81,0.005295849
07/02/2014,109.23,0.018386437
06/02/2014,107.24,0.028181534
05/02/2014,104.26,0.002689206
04/02/2014,103.98,0.002214414
03/02/2014,103.75,-0.013308636
31/01/2014,105.14,-0.007391297
30/01/2014,105.92,-0.000755002
29/01/2014,106,-0.016745796
28/01/2014,107.79,0.014484204
27/01/2014,106.24,-0.004414189
24/01/2014,106.71,-0.039505413
23/01/2014,111.01,-0.011553574
22/01/2014,112.3,0.002228661
21/01/2014,112.05,0.000357047
17/01/2014,112.01,0.002860976
16/01/2014,111.69,0.003947256
15/01/2014,111.25,0.009755294
14/01/2014,110.17,0.014537399
13/01/2014,108.58,-0.009623831
10/01/2014,109.63,-0.00027361
09/01/2014,109.66,-0.003913543
08/01/2014,110.09,-0.000181653
07/01/2014,110.11,-0.012455035
06/01/2014,111.49,0.002424679
03/01/2014,111.22,-0.001976108
02/01/2014,111.44,-0.003046324
31/12/2013,111.78,-0.007220248
30/12/2013,112.59,-0.007433005
27/12/2013,113.43,-0.002025629
26/12/2013,113.66,0.007683853
24/12/2013,112.79,0.002396699
23/12/2013,112.52,0.010901725
20/12/2013,111.3,0.003420038
19/12/2013,110.92,0.033366982
18/12/2013,107.28,-0.001117943
17/12/2013,107.4,0.000931532
16/12/2013,107.3,-0.003906618
13/12/2013,107.72,0.002230484
12/12/2013,107.48,0.006065998
11/12/2013,106.83,-0.021026107
10/12/2013,109.1,-0.000733004
09/12/2013,109.18,-0.003017973
06/12/2013,109.51,0.027776992
05/12/2013,106.51,-0.008786746
04/12/2013,107.45,0.002702578
03/12/2013,107.16,-0.004933685
02/12/2013,107.69,-0.010530302
29/11/2013,108.83,-0.002661162
27/11/2013,109.12,0.002477406
26/11/2013,108.85,-0.007960878
25/11/2013,109.72,-0.013128895
22/11/2013,111.17,0.01322004
21/11/2013,109.71,0.001003146
20/11/2013,109.6,-0.004460839
19/11/2013,110.09,0.001363451
18/11/2013,109.94,-0.005894907
15/11/2013,110.59,0.017513902
14/11/2013,108.67,0.005814238
13/11/2013,108.04,0.000648118
12/11/2013,107.97,-0.010319819
11/11/2013,109.09,-0.003294594
