Date,Close,CLX
04/04/2014,88.49,0.002715855
03/04/2014,88.25,0.004087663
02/04/2014,87.89,-0.000227531
01/04/2014,87.91,-0.001136881
31/03/2014,88.01,-0.000908575
28/03/2014,88.09,0.000454184
27/03/2014,88.05,0.00170503
26/03/2014,87.9,0.007422244
25/03/2014,87.25,-0.008900104
24/03/2014,88.03,0.005581834
21/03/2014,87.54,0.001943857
20/03/2014,87.37,0.001030633
19/03/2014,87.28,-0.0108257
18/03/2014,88.23,0.004543913
17/03/2014,87.83,0.005251154
14/03/2014,87.37,0.006314964
13/03/2014,86.82,0.000345602
12/03/2014,86.79,0.002422566
11/03/2014,86.58,-0.001500375
10/03/2014,86.71,0.003118686
07/03/2014,86.44,-0.002195644
06/03/2014,86.63,0.000808361
05/03/2014,86.56,-0.011486458
04/03/2014,87.56,0.010331856
03/03/2014,86.66,-0.007128925
28/02/2014,87.28,0.005860402
27/02/2014,86.77,0.003463407
26/02/2014,86.47,-0.003924289
25/02/2014,86.81,-0.002875714
24/02/2014,87.06,0.000574482
21/02/2014,87.01,0.000689814
20/02/2014,86.95,0.000920493
19/02/2014,86.87,-0.005510288
18/02/2014,87.35,-0.008662997
14/02/2014,88.11,0.013137791
13/02/2014,86.96,0.004841508
12/02/2014,86.54,-0.003345449
11/02/2014,86.83,0.008210512
10/02/2014,86.12,0.005705983
07/02/2014,85.63,0.006678799
06/02/2014,85.06,0.005895548
05/02/2014,84.56,-0.014674208
04/02/2014,85.81,-0.006389056
03/02/2014,86.36,-0.021875693
31/01/2014,88.27,0.009104422
30/01/2014,87.47,0.004468641
29/01/2014,87.08,-0.015044733
28/01/2014,88.4,0.010804768
27/01/2014,87.45,-0.015657229
24/01/2014,88.83,-0.00471699
23/01/2014,89.25,-0.007256521
22/01/2014,89.9,-0.002333205
21/01/2014,90.11,0.001554865
17/01/2014,89.97,-0.001665834
16/01/2014,90.12,0.004894337
15/01/2014,89.68,0.000111514
14/01/2014,89.67,0.00637693
13/01/2014,89.1,-0.002018164
10/01/2014,89.28,0.00168152
09/01/2014,89.13,0.001571974
08/01/2014,88.99,-0.016715343
07/01/2014,90.49,-0.00682822
06/01/2014,91.11,-0.004162109
03/01/2014,91.49,0.003613472
02/01/2014,91.16,-0.017399308
31/12/2013,92.76,-0.010082677
30/12/2013,93.7,0.004492467
27/12/2013,93.28,0.006345131
26/12/2013,92.69,0.000323712
24/12/2013,92.66,0.001836349
23/12/2013,92.49,-0.005068763
20/12/2013,92.96,0.00452831
19/12/2013,92.54,-0.009250362
18/12/2013,93.4,0.012497469
17/12/2013,92.24,-0.011854865
16/12/2013,93.34,0.000964682
13/12/2013,93.25,-0.000643225
12/12/2013,93.31,-0.013730193
11/12/2013,94.6,0.000951827
10/12/2013,94.51,-0.013348246
09/12/2013,95.78,-0.000521893
06/12/2013,95.83,0.030514074
05/12/2013,92.95,-0.00942292
04/12/2013,93.83,0.005771713
03/12/2013,93.29,0.008180005
02/12/2013,92.53,-0.006892865
29/11/2013,93.17,0.000107336
27/11/2013,93.16,0.001611431
26/11/2013,93.01,0.003986
25/11/2013,92.64,-0.011377175
