Date,Close,FOSL
04/04/2014,114.35,-0.027599855
03/04/2014,117.55,-0.003312246
02/04/2014,117.94,-0.003301311
01/04/2014,118.33,0.01498538
31/03/2014,116.57,-0.003169032
28/03/2014,116.94,0.010919673
27/03/2014,115.67,-0.009721761
26/03/2014,116.8,0
25/03/2014,116.8,0.000256882
24/03/2014,116.77,-0.022440503
21/03/2014,119.42,0.003439168
20/03/2014,119.01,-0.010199052
19/03/2014,120.23,0.018383025
18/03/2014,118.04,0.045052664
17/03/2014,112.84,0.00364008
14/03/2014,112.43,-0.006295184
13/03/2014,113.14,-0.019518365
12/03/2014,115.37,0.003212227
11/03/2014,115,-0.013302433
10/03/2014,116.54,-0.002057261
07/03/2014,116.78,0.001542549
06/03/2014,116.6,0.017912477
05/03/2014,114.53,0.00903396
04/03/2014,113.5,0.003618875
03/03/2014,113.09,-0.015965251
28/02/2014,114.91,-0.02092649
27/02/2014,117.34,-0.017654722
26/02/2014,119.43,0.009422127
25/02/2014,118.31,-0.009505855
24/02/2014,119.44,-0.001840235
21/02/2014,119.66,0.002594035
20/02/2014,119.35,0.001677149
19/02/2014,119.15,-0.015407342
18/02/2014,121,0.001488711
14/02/2014,120.82,-0.005365484
13/02/2014,121.47,0.003381028
12/02/2014,121.06,0.034454294
11/02/2014,116.96,0.016899868
10/02/2014,115,-0.0078819
07/02/2014,115.91,0.006925835
06/02/2014,115.11,0.025159666
05/02/2014,112.25,-0.020457463
04/02/2014,114.57,0.058869595
03/02/2014,108.02,-0.034663466
31/01/2014,111.83,-0.030123821
30/01/2014,115.25,0.021930703
29/01/2014,112.75,-0.015052439
28/01/2014,114.46,-0.002181787
27/01/2014,114.71,0.012544574
24/01/2014,113.28,-0.002996917
23/01/2014,113.62,-0.015718102
22/01/2014,115.42,-8.66363E-05
21/01/2014,115.43,0.002949855
17/01/2014,115.09,-0.008392868
16/01/2014,116.06,-0.012331035
15/01/2014,117.5,0.000681083
14/01/2014,117.42,0.024483982
13/01/2014,114.58,-0.029496098
10/01/2014,118.01,-0.011039593
09/01/2014,119.32,0.010192566
08/01/2014,118.11,-0.015125068
07/01/2014,119.91,-0.000916934
06/01/2014,120.02,-0.009948681
03/01/2014,121.22,0.023791765
02/01/2014,118.37,-0.013176306
31/12/2013,119.94,-0.002997005
30/12/2013,120.3,0.00149738
27/12/2013,120.12,-0.012163486
26/12/2013,121.59,0.012996334
24/12/2013,120.02,0.000750156
23/12/2013,119.93,0.009046045
20/12/2013,118.85,0.000336615
19/12/2013,118.81,-0.014041183
18/12/2013,120.49,-0.001907053
17/12/2013,120.72,-0.003803229
16/12/2013,121.18,-0.003542159
13/12/2013,121.61,0.008754598
12/12/2013,120.55,-0.005294957
11/12/2013,121.19,-0.016368317
10/12/2013,123.19,0.007250836
09/12/2013,122.3,-0.008791981
06/12/2013,123.38,-0.005496296
05/12/2013,124.06,0.009882624
04/12/2013,122.84,-0.013182027
03/12/2013,124.47,-0.005368388
02/12/2013,125.14,-0.016877703
29/11/2013,127.27,0.008046746
27/11/2013,126.25,-0.005844275
26/11/2013,126.99,0.012041657
25/11/2013,125.47,-0.006276587
22/11/2013,126.26,-0.008124675
21/11/2013,127.29,0.012092619
20/11/2013,125.76,-0.013584161
19/11/2013,127.48,-0.00726878
18/11/2013,128.41,-0.008915824
15/11/2013,129.56,0.004952037
14/11/2013,128.92,-0.00170503
13/11/2013,129.14,0.023980461
12/11/2013,126.08,-0.009786976
11/11/2013,127.32,-0.004623289
08/11/2013,127.91,0.01846352
07/11/2013,125.57,-0.0227542
06/11/2013,128.46,-0.042371471
05/11/2013,134.02,0.028917313
04/11/2013,130.2,0.011898464
01/11/2013,128.66,0.013458732
31/10/2013,126.94,-0.002360533
30/10/2013,127.24,-0.004469719
29/10/2013,127.81,0.016408036
28/10/2013,125.73,-0.004127318
25/10/2013,126.25,-0.002610451
24/10/2013,126.58,0.006260669
23/10/2013,125.79,0.012640168
22/10/2013,124.21,0.02502678
21/10/2013,121.14,-0.00502286
18/10/2013,121.75,0.021922326
17/10/2013,119.11,-0.002431765
16/10/2013,119.4,0.021844912
15/10/2013,116.82,-0.02893862
14/10/2013,120.25,0.011374213
11/10/2013,118.89,-0.004112987
10/10/2013,119.38,0.035555133
09/10/2013,115.21,-0.00415765
08/10/2013,115.69,-0.025769344
07/10/2013,118.71,-0.009891112
04/10/2013,119.89,0.016992333
03/10/2013,117.87,-0.012478031
02/10/2013,119.35,0.017581384
01/10/2013,117.27,0.008821949
30/09/2013,116.24,-0.001890847
27/09/2013,116.46,0.002923727
26/09/2013,116.12,-0.00103288
25/09/2013,116.24,-0.015027605
24/09/2013,118,0.004246291
23/09/2013,117.5,-0.009233832
20/09/2013,118.59,0.000927996
19/09/2013,118.48,0.018829097
18/09/2013,116.27,0.012636485
17/09/2013,114.81,-0.001827438
16/09/2013,115.02,-0.010292873
