Date,Close,CAT
04/04/2014,102.17,-0.003712392
03/04/2014,102.55,-0.000779803
02/04/2014,102.63,0.027861909
01/04/2014,99.81,0.004418121
31/03/2014,99.37,-0.000201248
28/03/2014,99.39,0.0095027
27/03/2014,98.45,0.006624228
26/03/2014,97.8,-0.00804526
25/03/2014,98.59,0.017806447
24/03/2014,96.85,-0.005560146
21/03/2014,97.39,0.012190234
20/03/2014,96.21,0.001768531
19/03/2014,96.04,-0.003845159
18/03/2014,96.41,0.007705161
17/03/2014,95.67,0.002931019
14/03/2014,95.39,-0.002303666
13/03/2014,95.61,-0.012576167
12/03/2014,96.82,-0.000206548
11/03/2014,96.84,0.0009298
10/03/2014,96.75,-0.003095978
07/03/2014,97.05,-0.005651184
06/03/2014,97.6,0.012682544
05/03/2014,96.37,-0.006722193
04/03/2014,97.02,0.007344987
03/03/2014,96.31,-0.006829497
28/02/2014,96.97,0.00278825
27/02/2014,96.7,-0.005157309
26/02/2014,97.2,0.008160781
25/02/2014,96.41,-0.009394587
24/02/2014,97.32,-0.00184786
21/02/2014,97.5,0.005966482
20/02/2014,96.92,0.007352594
19/02/2014,96.21,-0.003631274
18/02/2014,96.56,0.000103568
14/02/2014,96.55,0.00456764
13/02/2014,96.11,-0.00062409
12/02/2014,96.17,0.012661708
11/02/2014,94.96,0.004855916
10/02/2014,94.5,-0.003907699
07/02/2014,94.87,0.011022899
06/02/2014,93.83,0.020130934
05/02/2014,91.96,-0.005854945
04/02/2014,92.5,0.000865239
03/02/2014,92.42,-0.015993471
31/01/2014,93.91,0.007589155
30/01/2014,93.2,0.028072782
29/01/2014,90.62,-0.020209328
28/01/2014,92.47,0.012843015
27/01/2014,91.29,0.057719163
24/01/2014,86.17,-0.026454449
23/01/2014,88.48,-0.013025111
22/01/2014,89.64,-0.010652564
21/01/2014,90.6,-0.009228806
17/01/2014,91.44,-0.006214247
16/01/2014,92.01,-0.004337931
15/01/2014,92.41,0.020222583
14/01/2014,90.56,0.007425914
13/01/2014,89.89,-0.006873641
10/01/2014,90.51,0.008878096
09/01/2014,89.71,0.006374078
08/01/2014,89.14,0.002358624
07/01/2014,88.93,0.00326632
06/01/2014,88.64,-0.013224445
03/01/2014,89.82,-0.000556514
02/01/2014,89.87,-0.01040523
31/12/2013,90.81,-0.000660502
30/12/2013,90.87,0
27/12/2013,90.87,-0.003076587
26/12/2013,91.15,0.002636495
24/12/2013,90.91,0.010504879
23/12/2013,89.96,0.011515584
20/12/2013,88.93,0.015753712
19/12/2013,87.54,-0.007170937
18/12/2013,88.17,0.014278614
17/12/2013,86.92,-0.005278268
16/12/2013,87.38,0.015337901
13/12/2013,86.05,0.005593768
12/12/2013,85.57,0.003394794
11/12/2013,85.28,-0.01327917
10/12/2013,86.42,0.00382587
09/12/2013,86.09,0.006876885
06/12/2013,85.5,0.012830498
05/12/2013,84.41,0.005226286
04/12/2013,83.97,0.001191611
03/12/2013,83.87,-0.004520588
02/12/2013,84.25,-0.004145697
29/11/2013,84.6,-0.000827081
27/11/2013,84.67,0.003667992
26/11/2013,84.36,-0.000474046
25/11/2013,84.4,0.018173623
22/11/2013,82.88,0.009212186
21/11/2013,82.12,-0.006796143
20/11/2013,82.68,-0.011902755
19/11/2013,83.67,-0.004412386
18/11/2013,84.04,0.003576115
15/11/2013,83.74,-0.000238806
14/11/2013,83.76,-0.005239355
13/11/2013,84.2,0.004165433
12/11/2013,83.85,-0.003571432
11/11/2013,84.15,-0.001068947
08/11/2013,84.24,0.00702844
07/11/2013,83.65,-0.006790995
06/11/2013,84.22,0.002020563
05/11/2013,84.05,0.001905443
04/11/2013,83.89,0.003582521
01/11/2013,83.59,0.002755318
31/10/2013,83.36,-0.001558286
30/10/2013,83.49,-0.006922921
29/10/2013,84.07,-0.002494804
28/10/2013,84.28,-0.005797118
25/10/2013,84.77,0.002835206
24/10/2013,84.53,0.009150934
23/10/2013,83.76,-0.062589094
22/10/2013,89.17,0.016622761
21/10/2013,87.7,0.004113351
18/10/2013,87.34,0.017206961
17/10/2013,85.85,-0.004880326
16/10/2013,86.27,0.006045827
15/10/2013,85.75,-0.005698021
14/10/2013,86.24,0.007332008
11/10/2013,85.61,0.010332369
10/10/2013,84.73,0.014383606
09/10/2013,83.52,0.00805438
08/10/2013,82.85,-0.008174105
07/10/2013,83.53,-0.007989072
04/10/2013,84.2,0.002735329
03/10/2013,83.97,-0.001190193
02/10/2013,84.07,0.003694219
01/10/2013,83.76,0.004307257
30/09/2013,83.4,-0.004784698
27/09/2013,83.8,-0.004761914
26/09/2013,84.2,-0.003556613
25/09/2013,84.5,-0.007193003
24/09/2013,85.11,0.000940402
23/09/2013,85.03,0.003298389
20/09/2013,84.75,-0.034786116
19/09/2013,87.75,-0.001025115
18/09/2013,87.84,0.008804585
17/09/2013,87.07,-0.001262554
16/09/2013,87.18,0.001951892
13/09/2013,87.01,0.00195571
12/09/2013,86.84,-0.003333911
11/09/2013,87.13,0.005985974
10/09/2013,86.61,0.011846828
09/09/2013,85.59,0.026040056
06/09/2013,83.39,0.005290381
05/09/2013,82.95,-0.007087542
04/09/2013,83.54,0.012406061
03/09/2013,82.51,-0.000363526
30/08/2013,82.54,0.000121161
29/08/2013,82.53,0.000969815
28/08/2013,82.45,-0.003027553
27/08/2013,82.7,-0.010345335
26/08/2013,83.56,-0.00394148
23/08/2013,83.89,-0.003332146
22/08/2013,84.17,0.014721108
21/08/2013,82.94,-0.011031287
20/08/2013,83.86,-0.00404618
19/08/2013,84.2,-0.011336919
16/08/2013,85.16,-0.008186223
15/08/2013,85.86,0.000465983
14/08/2013,85.82,-0.008701256
13/08/2013,86.57,0.002892014
12/08/2013,86.32,0.02119145
09/08/2013,84.51,0.006529376
08/08/2013,83.96,0.018391047
07/08/2013,82.43,-0.001212415
06/08/2013,82.53,-0.012403073
05/08/2013,83.56,-0.008816928
02/08/2013,84.3,-0.001659358
01/08/2013,84.44,0.018285541
31/07/2013,82.91,-0.003371466
30/07/2013,83.19,0.002045606
29/07/2013,83.02,0.011630856
26/07/2013,82.06,-0.000974422
25/07/2013,82.14,-0.015702702
24/07/2013,83.44,-0.024622456
23/07/2013,85.52,-0.00559703
22/07/2013,86,0.004078071
19/07/2013,85.65,-0.000816946
18/07/2013,85.72,-0.011021633
17/07/2013,86.67,-0.017158966
16/07/2013,88.17,0.008771486
15/07/2013,87.4,0.002635048
12/07/2013,87.17,0.005406351
11/07/2013,86.7,0.020273326
10/07/2013,84.96,-0.004345535
09/07/2013,85.33,0.025278745
08/07/2013,83.2,0.012822239
05/07/2013,82.14,0.003536805
03/07/2013,81.85,-0.007667536
02/07/2013,82.48,-0.002905571
01/07/2013,82.72,0.002784337
28/06/2013,82.49,-0.00568149
27/06/2013,82.96,0.010420547
26/06/2013,82.1,-0.002797545
25/06/2013,82.33,0.009887172
24/06/2013,81.52,-0.019436958
21/06/2013,83.12,-0.000962001
20/06/2013,83.2,-0.012541221
19/06/2013,84.25,-0.003554506
18/06/2013,84.55,0.007479111
17/06/2013,83.92,0.000595983
