Date,Close,ACT
04/04/2014,201.31,-0.027776162
03/04/2014,206.98,-0.008610997
02/04/2014,208.77,-0.002153162
01/04/2014,209.22,0.016238582
31/03/2014,205.85,0.010155841
28/03/2014,203.77,0.004426527
27/03/2014,202.87,-0.000344989
26/03/2014,202.94,-0.016275621
25/03/2014,206.27,-9.69556E-05
24/03/2014,206.29,-0.014820076
21/03/2014,209.37,-0.029878249
20/03/2014,215.72,-0.003516894
19/03/2014,216.48,-0.01011131
18/03/2014,218.68,0.020699316
17/03/2014,214.2,-0.001492816
14/03/2014,214.52,0.017018887
13/03/2014,210.9,-0.006993035
12/03/2014,212.38,0.010793515
11/03/2014,210.1,0.00678163
10/03/2014,208.68,-0.021334901
07/03/2014,213.18,-0.003605464
06/03/2014,213.95,-0.048356057
05/03/2014,224.55,-0.006967432
04/03/2014,226.12,0.032816358
03/03/2014,218.82,-0.009098416
28/02/2014,220.82,-0.028262702
27/02/2014,227.15,-0.000484144
26/02/2014,227.26,0.009994334
25/02/2014,225,0.011757741
24/02/2014,222.37,0.017968631
21/02/2014,218.41,-0.008933921
20/02/2014,220.37,0.045537304
19/02/2014,210.56,0.044130161
18/02/2014,201.47,0.04877031
14/02/2014,191.88,0.001303747
13/02/2014,191.63,0.008700265
12/02/2014,189.97,-0.006715308
11/02/2014,191.25,0.013105106
10/02/2014,188.76,0.002918006
07/02/2014,188.21,0.028837528
06/02/2014,182.86,-0.005236185
05/02/2014,183.82,-0.006723079
04/02/2014,185.06,0.016288868
03/02/2014,182.07,-0.037249961
31/01/2014,188.98,0.012191702
30/01/2014,186.69,0.032279303
29/01/2014,180.76,-0.01863476
28/01/2014,184.16,0.030096523
27/01/2014,178.7,0.008485819
24/01/2014,177.19,-0.03319208
23/01/2014,183.17,-0.01210097
22/01/2014,185.4,-0.002370435
21/01/2014,185.84,0.01387105
17/01/2014,183.28,0.014066166
16/01/2014,180.72,-0.00595831
15/01/2014,181.8,-0.022839492
14/01/2014,186,0.025648715
13/01/2014,181.29,-0.011135301
10/01/2014,183.32,0.018609798
09/01/2014,179.94,0.015852454
08/01/2014,177.11,0.04156098
07/01/2014,169.9,0.011662803
06/01/2014,167.93,-0.000535794
03/01/2014,168.02,-0.000178534
02/01/2014,168.05,0.000297575
31/12/2013,168,0.014147221
30/12/2013,165.64,0.00302316
27/12/2013,165.14,-0.002962786
26/12/2013,165.63,0.004417155
24/12/2013,164.9,-0.006407566
23/12/2013,165.96,0.021007257
20/12/2013,162.51,-0.016961969
19/12/2013,165.29,0.002362277
18/12/2013,164.9,0.030853151
17/12/2013,159.89,0.001439525
16/12/2013,159.66,-0.001001628
13/12/2013,159.82,0.002756894
12/12/2013,159.38,-0.006254711
11/12/2013,160.38,-0.019572755
10/12/2013,163.55,-0.015832426
09/12/2013,166.16,-0.003424558
06/12/2013,166.73,0.023239222
05/12/2013,162.9,0.01142164
04/12/2013,161.05,-0.009701315
03/12/2013,162.62,-0.004662585
02/12/2013,163.38,0.001899219
29/11/2013,163.07,-0.003855928
27/11/2013,163.7,0.007172884
26/11/2013,162.53,-0.002396683
25/11/2013,162.92,-0.011655357
22/11/2013,164.83,0.011471234
21/11/2013,162.95,-0.001533037
20/11/2013,163.2,0.014504189
19/11/2013,160.85,-0.012971152
18/11/2013,162.95,-0.014137095
15/11/2013,165.27,0.011195736
14/11/2013,163.43,0.003371031
13/11/2013,162.88,0.007518369
12/11/2013,161.66,0.008573079
11/11/2013,160.28,0.022397706
08/11/2013,156.73,0.014913177
07/11/2013,154.41,-0.010821362
06/11/2013,156.09,-0.002814921
05/11/2013,156.53,-0.005542651
04/11/2013,157.4,-0.004563902
01/11/2013,158.12,0.022642477
31/10/2013,154.58,-0.013174574
30/10/2013,156.63,0.015182022
29/10/2013,154.27,0.056057056
28/10/2013,145.86,-0.015578016
25/10/2013,148.15,0.01174607
24/10/2013,146.42,0.004586379
23/10/2013,145.75,-0.007791182
22/10/2013,146.89,0.001976218
21/10/2013,146.6,-0.002180431
18/10/2013,146.92,0.000340379
17/10/2013,146.87,0.01938738
16/10/2013,144.05,0.024668316
15/10/2013,140.54,-0.007867081
14/10/2013,141.65,-0.00042349
11/10/2013,141.71,0.007294908
10/10/2013,140.68,0.024319495
09/10/2013,137.3,-0.018044517
08/10/2013,139.8,-0.030710964
07/10/2013,144.16,-0.018828289
04/10/2013,146.9,0.016541782
03/10/2013,144.49,-0.012995679
02/10/2013,146.38,0.00878282
01/10/2013,145.1,0.00760986
30/09/2013,144,-0.002081166
27/09/2013,144.3,0.011360195
26/09/2013,142.67,0.025413066
25/09/2013,139.09,-0.001724015
24/09/2013,139.33,0.005253133
23/09/2013,138.6,0.022620446
20/09/2013,135.5,-0.021176403
19/09/2013,138.4,-0.005045056
18/09/2013,139.1,0.010188317
17/09/2013,137.69,0.00641168
16/09/2013,136.81,0.008957475
13/09/2013,135.59,-0.005882802
12/09/2013,136.39,0.009133156
11/09/2013,135.15,-0.003913899
10/09/2013,135.68,-0.001620149
09/09/2013,135.9,-0.010904276
06/09/2013,137.39,-0.019247305
05/09/2013,140.06,0.007596969
04/09/2013,139,0.014931059
03/09/2013,136.94,0.01293565
30/08/2013,135.18,-0.001404547
29/08/2013,135.37,0.024376861
28/08/2013,132.11,0.005160518
27/08/2013,131.43,-0.027910882
26/08/2013,135.15,0.009366705
23/08/2013,133.89,-0.006031516
22/08/2013,134.7,0.008424398
21/08/2013,133.57,-0.011019395
20/08/2013,135.05,0.003857858
19/08/2013,134.53,7.43356E-05
16/08/2013,134.52,-0.002598465
15/08/2013,134.87,-0.022507456
14/08/2013,137.94,0.024214258
13/08/2013,134.64,0.010452537
12/08/2013,133.24,-0.004717166
09/08/2013,133.87,-0.004100047
08/08/2013,134.42,-0.007485675
07/08/2013,135.43,-0.001401956
06/08/2013,135.62,-0.009028578
05/08/2013,136.85,0.007039701
02/08/2013,135.89,0.000809806
01/08/2013,135.78,0.011183231
31/07/2013,134.27,-0.008232941
30/07/2013,135.38,0.00667015
29/07/2013,134.48,0.013249193
26/07/2013,132.71,0.029517359
