Date,Close,PGR
04/04/2014,24.27,-0.009432098
03/04/2014,24.5,0.016046425
02/04/2014,24.11,0.000829876
01/04/2014,24.09,-0.005381921
31/03/2014,24.22,0.009958589
28/03/2014,23.98,0.008795868
27/03/2014,23.77,-0.005454178
26/03/2014,23.9,-0.010819914
25/03/2014,24.16,0.002071681
24/03/2014,24.11,-0.004552046
21/03/2014,24.22,0.016653174
20/03/2014,23.82,0.016081599
19/03/2014,23.44,-0.00891915
18/03/2014,23.65,-0.003376956
17/03/2014,23.73,0.001265022
14/03/2014,23.7,0.012739026
13/03/2014,23.4,-0.007662873
12/03/2014,23.58,-0.039090216
11/03/2014,24.52,0.000815994
10/03/2014,24.5,0.002042902
07/03/2014,24.45,0
06/03/2014,24.45,0.006153866
05/03/2014,24.3,0.003297612
04/03/2014,24.22,0.004137366
03/03/2014,24.12,-0.015223499
28/02/2014,24.49,0.012739026
27/02/2014,24.18,0.011647386
26/02/2014,23.9,0.008403411
25/02/2014,23.7,-0.002528446
24/02/2014,23.76,-0.006711435
21/02/2014,23.92,-0.002088119
20/02/2014,23.97,0.009220518
19/02/2014,23.75,-0.00503991
18/02/2014,23.87,-0.004597709
14/02/2014,23.98,0.005435932
13/02/2014,23.85,0.012233859
12/02/2014,23.56,0.00297556
11/02/2014,23.49,0.013284961
10/02/2014,23.18,0.002159362
07/02/2014,23.13,0.009993566
06/02/2014,22.9,0.013187004
05/02/2014,22.6,-0.000884564
04/02/2014,22.62,0.00132714
03/02/2014,22.59,-0.028367602
31/01/2014,23.24,-0.013675427
30/01/2014,23.56,0.004679864
29/01/2014,23.45,-0.000426348
28/01/2014,23.46,0.012007005
27/01/2014,23.18,-0.067553815
24/01/2014,24.8,-0.015603437
23/01/2014,25.19,-0.008695707
22/01/2014,25.41,-0.020257802
21/01/2014,25.93,0.007742973
17/01/2014,25.73,-0.004652975
16/01/2014,25.85,-0.005401248
15/01/2014,25.99,-0.002689723
14/01/2014,26.06,0.01391058
13/01/2014,25.7,-0.009295187
10/01/2014,25.94,0.00154321
09/01/2014,25.9,0.006974069
08/01/2014,25.72,-0.01198082
07/01/2014,26.03,-0.005363998
06/01/2014,26.17,-0.00647498
03/01/2014,26.34,-0.014323652
02/01/2014,26.72,-0.020374848
31/12/2013,27.27,0.004041894
30/12/2013,27.16,0.003319199
27/12/2013,27.07,0
26/12/2013,27.07,0.005185197
24/12/2013,26.93,0.003720242
23/12/2013,26.83,0.000372787
20/12/2013,26.82,0.004484312
19/12/2013,26.7,0.007141545
18/12/2013,26.51,0.013290494
17/12/2013,26.16,-0.00609758
16/12/2013,26.32,0.003044142
13/12/2013,26.24,-0.010614201
12/12/2013,26.52,-0.017937701
11/12/2013,27,-0.012513965
10/12/2013,27.34,-0.006198744
09/12/2013,27.51,-0.000726744
06/12/2013,27.53,0.014267665
05/12/2013,27.14,-0.011357514
04/12/2013,27.45,-0.016260521
03/12/2013,27.9,-0.008565363
02/12/2013,28.14,0.007490672
29/11/2013,27.93,-0.001431127
27/11/2013,27.97,-0.001786034
26/11/2013,28.02,0.009682701
25/11/2013,27.75,0.002887046
22/11/2013,27.67,0.001446655
21/11/2013,27.63,0.012015437
20/11/2013,27.3,-0.000366233
19/11/2013,27.31,0.001832509
18/11/2013,27.26,-0.005122587
15/11/2013,27.4,0.00036503
14/11/2013,27.39,0.01175188
13/11/2013,27.07,0.020526938
12/11/2013,26.52,0
11/11/2013,26.52,-0.002259888
08/11/2013,26.58,0.015927527
07/11/2013,26.16,-0.013667639
06/11/2013,26.52,0.010614201
05/11/2013,26.24,0.001907306
04/11/2013,26.19,0.006512185
01/11/2013,26.02,0.001923447
31/10/2013,25.97,-0.007289501
30/10/2013,26.16,-0.003434462
29/10/2013,26.25,0.000381025
28/10/2013,26.24,-0.007971194
25/10/2013,26.45,-0.014637154
24/10/2013,26.84,-0.004460974
23/10/2013,26.96,0.007446051
22/10/2013,26.76,-0.014837067
21/10/2013,27.16,0.000736648
18/10/2013,27.14,0.000368528
17/10/2013,27.13,0.001475471
16/10/2013,27.09,0.017501843
15/10/2013,26.62,-0.005245422
14/10/2013,26.76,0.000747664
11/10/2013,26.74,-0.007451599
10/10/2013,26.94,0.015336003
09/10/2013,26.53,-0.002635048
08/10/2013,26.6,-0.016406035
07/10/2013,27.04,-0.011399278
04/10/2013,27.35,0.00623512
03/10/2013,27.18,-0.003672424
02/10/2013,27.28,-0.002562696
01/10/2013,27.35,0.004397222
30/09/2013,27.23,-0.003299728
27/09/2013,27.32,-0.001097494
26/09/2013,27.35,0.002929332
25/09/2013,27.27,0.007730574
24/09/2013,27.06,0.002960772
23/09/2013,26.98,0
20/09/2013,26.98,-0.000741015
19/09/2013,27,0.010424517
18/09/2013,26.72,0.015083242
17/09/2013,26.32,0.003425313
16/09/2013,26.23,0.011503194
13/09/2013,25.93,-0.00077101
12/09/2013,25.95,-0.021350411
11/09/2013,26.51,0.020195009
10/09/2013,25.98,0.002698017
09/09/2013,25.91,0.016342776
06/09/2013,25.49,0.004324756
05/09/2013,25.38,0.002366865
04/09/2013,25.32,0.002768442
03/09/2013,25.25,0.007154244
30/08/2013,25.07,-0.004775178
29/08/2013,25.19,0.007571265
28/08/2013,25,0.00040008
27/08/2013,24.99,-0.020594787
26/08/2013,25.51,0.000784314
23/08/2013,25.49,0.001177625
22/08/2013,25.46,0.009867852
21/08/2013,25.21,-0.001585415
20/08/2013,25.25,0.009150651
19/08/2013,25.02,-0.004784698
16/08/2013,25.14,-0.008318527
15/08/2013,25.35,-0.015267472
14/08/2013,25.74,0
13/08/2013,25.74,0.008191971
12/08/2013,25.53,-0.007414668
09/08/2013,25.72,0.00233554
08/08/2013,25.66,0.000779727
07/08/2013,25.64,-0.01240326
06/08/2013,25.96,-0.001924188
05/08/2013,26.01,-0.007278331
02/08/2013,26.2,-0.008740318
01/08/2013,26.43,0.016018649
31/07/2013,26.01,0.003852085
30/07/2013,25.91,-0.001927897
29/07/2013,25.96,-0.001539646
26/07/2013,26,0.003467543
25/07/2013,25.91,0.002318394
24/07/2013,25.85,-0.009241498
23/07/2013,26.09,-0.011054048
22/07/2013,26.38,0.003037208
19/07/2013,26.3,0.012626914
18/07/2013,25.97,0.009284399
17/07/2013,25.73,0.001555815
16/07/2013,25.69,-0.003497186
15/07/2013,25.78,-0.007343028
12/07/2013,25.97,0.008895824
11/07/2013,25.74,-0.010819271
10/07/2013,26.02,-0.00345291
09/07/2013,26.11,-0.001913144
08/07/2013,26.16,0.008445348
05/07/2013,25.94,0.019070436
03/07/2013,25.45,-0.00039285
02/07/2013,25.46,-0.005093057
01/07/2013,25.59,0.006665384
28/06/2013,25.42,0.00671011
27/06/2013,25.25,0.013155462
26/06/2013,24.92,0.023549606
25/06/2013,24.34,0.009909247
24/06/2013,24.1,-0.018500014
21/06/2013,24.55,-0.00244101
20/06/2013,24.61,-0.01612288
19/06/2013,25.01,-0.011528651
18/06/2013,25.3,0.011128891
17/06/2013,25.02,0.012872261
14/06/2013,24.7,-0.005249356
13/06/2013,24.83,0.007275699
12/06/2013,24.65,0
11/06/2013,24.65,-0.005259976
10/06/2013,24.78,-0.00040347
07/06/2013,24.79,0.012583888
06/06/2013,24.48,-0.002040401
05/06/2013,24.53,-0.019778647
04/06/2013,25.02,-0.004784698
03/06/2013,25.14,-0.013826015
31/05/2013,25.49,-0.011312779
30/05/2013,25.78,-0.003484999
29/05/2013,25.87,-0.003472896
28/05/2013,25.96,0.005794878
24/05/2013,25.81,-0.000774593
23/05/2013,25.83,-0.001933863
22/05/2013,25.88,-0.00961361
21/05/2013,26.13,-0.002675331
20/05/2013,26.2,0.000381752
17/05/2013,26.19,0.001146132
16/05/2013,26.16,-0.00609758
15/05/2013,26.32,0.008777007
14/05/2013,26.09,0.015061107
13/05/2013,25.7,-0.000777907
10/05/2013,25.72,0.005458103
09/05/2013,25.58,-0.000781555
08/05/2013,25.6,0.007056086
07/05/2013,25.42,0.005522696
06/05/2013,25.28,0.009139742
03/05/2013,25.05,-0.002790514
02/05/2013,25.12,0.001194981
01/05/2013,25.09,-0.0079397
30/04/2013,25.29,0.001979023
29/04/2013,25.24,0.001982947
26/04/2013,25.19,-0.008302084
25/04/2013,25.4,0.00275971
24/04/2013,25.33,0.000789889
23/04/2013,25.31,0.014325752
22/04/2013,24.95,0.008452455
19/04/2013,24.74,0.01097349
18/04/2013,24.47,-0.008545322
17/04/2013,24.68,-0.012482546
16/04/2013,24.99,0.002002805
15/04/2013,24.94,-0.02572871
12/04/2013,25.59,-0.005067249
11/04/2013,25.72,0.011732634
10/04/2013,25.42,-0.013286635
09/04/2013,25.76,0.005059361
08/04/2013,25.63,0.010196167
05/04/2013,25.37,0.001972776
04/04/2013,25.32,-0.000394867
03/04/2013,25.33,-0.005511825
02/04/2013,25.47,0.006301714
01/04/2013,25.31,0.001581653
28/03/2013,25.27,0.010742097
27/03/2013,25,0.00080032
