Date,Close,EA
04/04/2014,28.6,-0.009396276
03/04/2014,28.87,-0.008965577
02/04/2014,29.13,-0.011604226
01/04/2014,29.47,0.015732199
31/03/2014,29.01,0.016684433
28/03/2014,28.53,0.001754079
27/03/2014,28.48,-0.00315513
26/03/2014,28.57,-0.024888945
25/03/2014,29.29,0.009950331
24/03/2014,29,-0.025533302
21/03/2014,29.75,-0.016667052
20/03/2014,30.25,0.000661376
19/03/2014,30.23,-0.000330743
18/03/2014,30.24,0.00464038
17/03/2014,30.1,0.01675081
14/03/2014,29.6,-0.003709328
13/03/2014,29.71,-0.009046803
12/03/2014,29.98,0.006022099
11/03/2014,29.8,0.019997277
10/03/2014,29.21,-0.005803054
07/03/2014,29.38,0.005803054
06/03/2014,29.21,0.004116644
05/03/2014,29.09,0.009671923
04/03/2014,28.81,0.025308908
03/03/2014,28.09,-0.017643365
28/02/2014,28.59,0.001750394
27/02/2014,28.54,0.00950544
26/02/2014,28.27,0.006031595
25/02/2014,28.1,0.004994659
24/02/2014,27.96,-0.001429593
21/02/2014,28,0.007528266
20/02/2014,27.79,-0.004308804
19/02/2014,27.91,-0.017404098
18/02/2014,28.4,0.029298273
14/02/2014,27.58,0.000725426
13/02/2014,27.56,-0.010826522
12/02/2014,27.86,0.016284058
11/02/2014,27.41,0.019525395
10/02/2014,26.88,-0.011834458
07/02/2014,27.2,0.027582815
06/02/2014,26.46,0.011402632
05/02/2014,26.16,-0.000764234
04/02/2014,26.18,0.003827023
03/02/2014,26.08,-0.012195273
31/01/2014,26.4,0.014114291
30/01/2014,26.03,0.031612388
29/01/2014,25.22,0.013975073
28/01/2014,24.87,0.01621438
27/01/2014,24.47,0.026083035
24/01/2014,23.84,-0.001257598
23/01/2014,23.87,-0.012489754
22/01/2014,24.17,-0.006186862
21/01/2014,24.32,0.009087217
17/01/2014,24.1,0.112300169
16/01/2014,21.54,-0.017943891
15/01/2014,21.93,-0.023880387
14/01/2014,22.46,0.003568246
13/01/2014,22.38,-0.027761201
10/01/2014,23.01,0.011363759
09/01/2014,22.75,-0.024317308
08/01/2014,23.31,0.009049836
07/01/2014,23.1,0.024984863
06/01/2014,22.53,-0.006635724
03/01/2014,22.68,-0.006591982
02/01/2014,22.83,-0.004806651
31/12/2013,22.94,0.002181978
30/12/2013,22.89,-0.012158204
27/12/2013,23.17,-0.021350085
26/12/2013,23.67,-0.006736868
24/12/2013,23.83,-0.001258126
23/12/2013,23.86,0.013502315
20/12/2013,23.54,0.005110744
19/12/2013,23.42,0.0242017
18/12/2013,22.86,0.004823513
17/12/2013,22.75,0.030799132
16/12/2013,22.06,-0.00722677
13/12/2013,22.22,0.057899939
12/12/2013,20.97,-0.005231879
11/12/2013,21.08,-0.04544129
10/12/2013,22.06,-0.005875723
09/12/2013,22.19,-0.002250732
06/12/2013,22.24,0.056893955
05/12/2013,21.01,-0.061380279
04/12/2013,22.34,0.036467122
03/12/2013,21.54,-0.016574965
02/12/2013,21.9,-0.012253387
29/11/2013,22.17,0.002710029
27/11/2013,22.11,-0.018373808
26/11/2013,22.52,-0.011479155
25/11/2013,22.78,-0.015679764
22/11/2013,23.14,-0.010745859
21/11/2013,23.39,0.016814365
20/11/2013,23,-0.013817146
19/11/2013,23.32,-0.03373001
18/11/2013,24.12,0.002490661
15/11/2013,24.06,-0.076006181
14/11/2013,25.96,-0.017564407
13/11/2013,26.42,-0.000756716
12/11/2013,26.44,0.017166166
11/11/2013,25.99,0.011220857
08/11/2013,25.7,0.014501528
07/11/2013,25.33,-0.016056738
06/11/2013,25.74,0.007017573
05/11/2013,25.56,-0.006628997
04/11/2013,25.73,0.003894086
01/11/2013,25.63,-0.023902449
31/10/2013,26.25,0.009569451
30/10/2013,26,0.074640658
29/10/2013,24.13,-0.02859672
28/10/2013,24.83,0.003227111
25/10/2013,24.75,0.000404122
24/10/2013,24.74,0.005268503
23/10/2013,24.61,-0.024880898
22/10/2013,25.23,0.029360645
21/10/2013,24.5,-0.021401988
18/10/2013,25.03,0.020178247
17/10/2013,24.53,0.013131087
16/10/2013,24.21,0.009962723
15/10/2013,23.97,-0.025536808
14/10/2013,24.59,-0.005272776
11/10/2013,24.72,-0.020024698
10/10/2013,25.22,0.04335295
09/10/2013,24.15,0.003318128
08/10/2013,24.07,-0.047859904
07/10/2013,25.25,-0.019996746
04/10/2013,25.76,0.026752185
03/10/2013,25.08,-0.021302581
02/10/2013,25.62,-0.030748003
01/10/2013,26.42,0.033483982
30/09/2013,25.55,-0.015534293
27/09/2013,25.95,-0.007677581
26/09/2013,26.15,-0.017062025
25/09/2013,26.6,0.001881468
24/09/2013,26.55,0.013652089
23/09/2013,26.19,-0.01327537
20/09/2013,26.54,-0.016442822
19/09/2013,26.98,0.00445766
18/09/2013,26.86,-0.027177582
17/09/2013,27.6,0.023461487
16/09/2013,26.96,0.010814948
13/09/2013,26.67,0.010554188
12/09/2013,26.39,-0.012052877
11/09/2013,26.71,-0.00894527
10/09/2013,26.95,-0.005919366
09/09/2013,27.11,0.012994428
06/09/2013,26.76,-0.033801895
05/09/2013,27.68,-0.011137173
04/09/2013,27.99,0.022765211
03/09/2013,27.36,0.026668247
30/08/2013,26.64,-0.034314379
29/08/2013,27.57,0.016088098
28/08/2013,27.13,0.0051737
27/08/2013,26.99,-0.031725541
26/08/2013,27.86,-0.003940539
23/08/2013,27.97,0.00681617
22/08/2013,27.78,0.041152023
