Date,Close,DRI
04/04/2014,51.24,-0.014146152
03/04/2014,51.97,-0.002306363
02/04/2014,52.09,0.011779609
01/04/2014,51.48,0.01408474
31/03/2014,50.76,0.002761888
28/03/2014,50.62,0.008530951
27/03/2014,50.19,-0.012277382
26/03/2014,50.81,0.001970056
25/03/2014,50.71,0.000591774
24/03/2014,50.68,0.000394711
21/03/2014,50.66,0.027212564
20/03/2014,49.3,0.004472461
19/03/2014,49.08,-0.007914805
18/03/2014,49.47,-0.004638508
17/03/2014,49.7,0.009704888
14/03/2014,49.22,0.004275686
13/03/2014,49.01,-0.026576962
12/03/2014,50.33,0.003582806
11/03/2014,50.15,0.001396788
10/03/2014,50.08,0.002599222
07/03/2014,49.95,0.021040631
06/03/2014,48.91,0.020031646
05/03/2014,47.94,-0.01408474
04/03/2014,48.62,0.005982483
03/03/2014,48.33,-0.054948926
28/02/2014,51.06,0.024986428
27/02/2014,49.8,-0.004008021
26/02/2014,50,-0.011730923
25/02/2014,50.59,-0.008267764
24/02/2014,51.01,0
21/02/2014,51.01,0.010048356
20/02/2014,50.5,0.030969698
19/02/2014,48.96,-0.001020721
18/02/2014,49.01,0.012937854
14/02/2014,48.38,0.004350085
13/02/2014,48.17,-0.00662117
12/02/2014,48.49,-0.006987287
11/02/2014,48.83,0.008638474
10/02/2014,48.41,0.003103344
07/02/2014,48.26,0.009159098
06/02/2014,47.82,0.010510923
05/02/2014,47.32,-0.00820798
04/02/2014,47.71,0.00820798
03/02/2014,47.32,-0.043826774
31/01/2014,49.44,-0.001212856
30/01/2014,49.5,0.006688988
29/01/2014,49.17,-0.019934215
28/01/2014,50.16,-0.001394561
27/01/2014,50.23,0.00259145
24/01/2014,50.1,-0.019567775
23/01/2014,51.09,0.004118864
22/01/2014,50.88,0.00216429
21/01/2014,50.77,-0.003735382
17/01/2014,50.96,-0.024807474
16/01/2014,52.24,0.007107897
15/01/2014,51.87,0.013782612
14/01/2014,51.16,0.006471245
13/01/2014,50.83,-0.025062021
10/01/2014,52.12,0.015078577
09/01/2014,51.34,-0.005245277
08/01/2014,51.61,-0.018620367
07/01/2014,52.58,0.010899812
06/01/2014,52.01,-0.019044567
03/01/2014,53.01,-0.00583092
02/01/2014,53.32,-0.019501036
31/12/2013,54.37,-0.00183756
30/12/2013,54.47,0.002573531
