Date,Close,DHR
04/04/2014,75.4,-0.005818583
03/04/2014,75.84,0.00528822
02/04/2014,75.44,0.002388853
01/04/2014,75.26,0.003460672
31/03/2014,75,0.015181322
28/03/2014,73.87,0.005838045
27/03/2014,73.44,0.001089918
26/03/2014,73.36,-0.014480258
25/03/2014,74.43,0.001478992
24/03/2014,74.32,-0.01310004
21/03/2014,75.3,0.007330923
20/03/2014,74.75,0.005096578
19/03/2014,74.37,-0.01189615
18/03/2014,75.26,0.005462674
17/03/2014,74.85,0.01426289
14/03/2014,73.79,-0.008635865
13/03/2014,74.43,-0.018503024
12/03/2014,75.82,-0.008013179
11/03/2014,76.43,-0.00937629
10/03/2014,77.15,-0.003622724
07/03/2014,77.43,0.007128538
06/03/2014,76.88,0.006524883
05/03/2014,76.38,0.000130933
04/03/2014,76.37,0.01026595
03/03/2014,75.59,-0.011836014
28/02/2014,76.49,-0.007034943
27/02/2014,77.03,0.002729933
26/02/2014,76.82,0
25/02/2014,76.82,0.003390276
24/02/2014,76.56,0.005369668
21/02/2014,76.15,0.000525417
20/02/2014,76.11,0.010965167
19/02/2014,75.28,-0.00872906
18/02/2014,75.94,-0.006431734
14/02/2014,76.43,0.002751394
13/02/2014,76.22,0.008829207
12/02/2014,75.55,0.002120048
11/02/2014,75.39,0.004253629
10/02/2014,75.07,-0.000665823
07/02/2014,75.12,0.01894836
06/02/2014,73.71,0.016689854
05/02/2014,72.49,-0.006051456
04/02/2014,72.93,0.005086271
03/02/2014,72.56,-0.024907718
31/01/2014,74.39,-0.012158611
30/01/2014,75.3,0.002260188
29/01/2014,75.13,-0.001064254
28/01/2014,75.21,0.014868669
27/01/2014,74.1,-0.000404776
24/01/2014,74.13,-0.039412665
23/01/2014,77.11,-0.010706326
22/01/2014,77.94,-0.000769527
21/01/2014,78,0.001668057
17/01/2014,77.87,-0.008439948
16/01/2014,78.53,0.004083201
15/01/2014,78.21,-0.0006391
14/01/2014,78.26,0.027331537
13/01/2014,76.15,-0.019892745
10/01/2014,77.68,0.002577985
09/01/2014,77.48,0.011945091
08/01/2014,76.56,0.000522603
07/01/2014,76.52,0.008267221
06/01/2014,75.89,-0.008789824
03/01/2014,76.56,0.001437815
02/01/2014,76.45,-0.009762525
31/12/2013,77.2,0.004934434
30/12/2013,76.82,-0.002989539
27/12/2013,77.05,0.001688641
26/12/2013,76.92,0.001691497
24/12/2013,76.79,0.000651339
23/12/2013,76.74,0.002609605
20/12/2013,76.54,-0.000522466
19/12/2013,76.58,-0.003649639
18/12/2013,76.86,0.027702603
17/12/2013,74.76,-0.007329946
16/12/2013,75.31,0.017412709
13/12/2013,74.01,-0.003237558
12/12/2013,74.25,0.004319078
11/12/2013,73.93,-0.016367417
10/12/2013,75.15,-0.003055872
09/12/2013,75.38,0.003455153
06/12/2013,75.12,0.019898479
05/12/2013,73.64,-0.000271555
04/12/2013,73.66,-0.001492234
03/12/2013,73.77,-0.010786137
02/12/2013,74.57,-0.003079603
29/11/2013,74.8,-0.007458745
27/11/2013,75.36,-0.000132688
26/11/2013,75.37,0.011341772
25/11/2013,74.52,-0.001742978
22/11/2013,74.65,0.004295885
21/11/2013,74.33,0.007291418
20/11/2013,73.79,-0.004597088
19/11/2013,74.13,-0.005649733
18/11/2013,74.55,0.000805153
15/11/2013,74.49,0.000671456
14/11/2013,74.44,0.009176853
13/11/2013,73.76,-0.001896249
12/11/2013,73.9,-0.006205335
11/11/2013,74.36,-0.003222344
08/11/2013,74.6,0.038116765
07/11/2013,71.81,-0.016161689
06/11/2013,72.98,0.00535826
05/11/2013,72.59,-0.002201735
04/11/2013,72.75,0.001650846
01/11/2013,72.63,0.007462721
31/10/2013,72.09,0.000693818
30/10/2013,72.04,-0.006916614
29/10/2013,72.54,0.005252258
28/10/2013,72.16,0.000693145
25/10/2013,72.11,0.000832408
24/10/2013,72.05,0.002084058
23/10/2013,71.9,-0.004717644
22/10/2013,72.24,0.004300485
21/10/2013,71.93,-0.000972695
18/10/2013,72,-0.004296313
17/10/2013,72.31,0.044684374
16/10/2013,69.15,0.00188174
15/10/2013,69.02,-0.007649601
14/10/2013,69.55,0.001582848
11/10/2013,69.44,0.006646463
10/10/2013,68.98,0.027036616
09/10/2013,67.14,-0.002528822
08/10/2013,67.31,-0.008137945
07/10/2013,67.86,-0.009678914
04/10/2013,68.52,0.007765038
03/10/2013,67.99,-0.016628154
02/10/2013,69.13,-0.004906215
01/10/2013,69.47,0.00216154
30/09/2013,69.32,-0.007902908
27/09/2013,69.87,0.001432255
26/09/2013,69.77,0.003014428
25/09/2013,69.56,0.008953128
24/09/2013,68.94,-0.008809357
23/09/2013,69.55,-0.000287522
20/09/2013,69.57,-0.010153823
19/09/2013,70.28,-0.002983592
18/09/2013,70.49,0.006547134
17/09/2013,70.03,-0.001141716
16/09/2013,70.11,0.005004658
13/09/2013,69.76,0.00445371
12/09/2013,69.45,0.002017873
11/09/2013,69.31,0.012339563
10/09/2013,68.46,0.011902278
09/09/2013,67.65,0.012195273
06/09/2013,66.83,-0.005818741
05/09/2013,67.22,0.00312896
04/09/2013,67.01,0.017158759
03/09/2013,65.87,0.005327663
30/08/2013,65.52,-0.001372684
29/08/2013,65.61,0.004889238
28/08/2013,65.29,-0.001683373
27/08/2013,65.4,-0.018782739
26/08/2013,66.64,-0.010449416
23/08/2013,67.34,0.000742777
22/08/2013,67.29,0.016633335
21/08/2013,66.18,-0.002113208
20/08/2013,66.32,-0.00810937
19/08/2013,66.86,0.001946254
16/08/2013,66.73,0.003302315
15/08/2013,66.51,-0.002402764
14/08/2013,66.67,-0.014296595
13/08/2013,67.63,0.016549017
12/08/2013,66.52,-0.0070407
09/08/2013,66.99,-0.005062548
08/08/2013,67.33,-0.002373536
07/08/2013,67.49,0.006540829
06/08/2013,67.05,-0.001043452
05/08/2013,67.12,-0.001637514
02/08/2013,67.23,-0.006079948
01/08/2013,67.64,0.00444511
31/07/2013,67.34,0.002527694
30/07/2013,67.17,-0.000297708
29/07/2013,67.19,0.007019669
26/07/2013,66.72,-0.008358258
