Date,Close,NBR
04/04/2014,24.01,-0.006641784
03/04/2014,24.17,-0.017227662
02/04/2014,24.59,-0.002842642
01/04/2014,24.66,0.000405597
31/03/2014,24.65,-0.005259976
28/03/2014,24.78,0.014224991
27/03/2014,24.43,0.016508836
26/03/2014,24.03,-0.033957036
25/03/2014,24.86,0.033540976
24/03/2014,24.04,0.019744393
21/03/2014,23.57,0.002548854
20/03/2014,23.51,0.000425441
19/03/2014,23.5,0.014142083
18/03/2014,23.17,0.026679912
17/03/2014,22.56,0.025135973
14/03/2014,22,0.008673873
13/03/2014,21.81,-0.022666428
12/03/2014,22.31,-0.003132694
11/03/2014,22.38,-0.015077891
10/03/2014,22.72,-0.01615403
07/03/2014,23.09,0
06/03/2014,23.09,0.006081687
05/03/2014,22.95,-0.010403215
04/03/2014,23.19,0.013021017
03/03/2014,22.89,-0.005663269
28/02/2014,23.02,0.021515649
27/02/2014,22.53,0.009364617
26/02/2014,22.32,-0.015118118
25/02/2014,22.66,0.021410274
24/02/2014,22.18,0.008148529
21/02/2014,22,0.001819837
20/02/2014,21.96,0.037582711
19/02/2014,21.15,0.12525771
18/02/2014,18.66,0.031022896
14/02/2014,18.09,-0.002760145
13/02/2014,18.14,0.008859416
12/02/2014,17.98,-0.017641031
11/02/2014,18.3,0.041277472
10/02/2014,17.56,0.00972826
07/02/2014,17.39,-0.005733961
06/02/2014,17.49,0.052829185
05/02/2014,16.59,-0.014956905
04/02/2014,16.84,0.014956905
03/02/2014,16.59,-0.029108084
31/01/2014,17.08,-0.003506725
30/01/2014,17.14,0.008789977
29/01/2014,16.99,-0.008206377
28/01/2014,17.13,0.005854818
27/01/2014,17.03,-0.000587027
24/01/2014,17.04,-0.023202897
23/01/2014,17.44,0.001147447
22/01/2014,17.42,0.001723643
21/01/2014,17.39,0.006345565
17/01/2014,17.28,0.005221944
16/01/2014,17.19,0.008177616
15/01/2014,17.05,0.019544596
14/01/2014,16.72,0.011428696
13/01/2014,16.53,-0.032145625
10/01/2014,17.07,0.025513101
09/01/2014,16.64,-0.003000302
08/01/2014,16.69,0.003000302
07/01/2014,16.64,-0.018458398
06/01/2014,16.95,0.008293886
03/01/2014,16.81,-0.005931215
02/01/2014,16.91,-0.004719773
31/12/2013,16.99,0.007088039
30/12/2013,16.87,0.001779888
27/12/2013,16.84,0.027085616
26/12/2013,16.39,-0.005476132
24/12/2013,16.48,0.01467019
23/12/2013,16.24,-0.001230769
20/12/2013,16.26,0.006788054
19/12/2013,16.15,0.014343869
18/12/2013,15.92,0.009466779
17/12/2013,15.77,-0.001900539
16/12/2013,15.8,0.005076153
13/12/2013,15.72,0.01216015
12/12/2013,15.53,0.005164634
11/12/2013,15.45,-0.024297871
10/12/2013,15.83,-0.00629725
09/12/2013,15.93,0.011363759
06/12/2013,15.75,-0.023840527
05/12/2013,16.13,-0.041887762
04/12/2013,16.82,0.002380954
03/12/2013,16.78,0.010785006
02/12/2013,16.6,0.003016594
29/11/2013,16.55,-0.006024115
27/11/2013,16.65,-0.01312668
26/11/2013,16.87,0.003562949
25/11/2013,16.81,-0.023516663
22/11/2013,17.21,-0.007525361
21/11/2013,17.34,0.006944472
20/11/2013,17.22,-0.001160766
19/11/2013,17.24,-0.001738627
18/11/2013,17.27,-0.02966561
15/11/2013,17.79,0.007334307
14/11/2013,17.66,0.002835273
13/11/2013,17.61,0
12/11/2013,17.61,-0.029652522
11/11/2013,18.14,0.012202037
08/11/2013,17.92,0.038105264
07/11/2013,17.25,-0.038105264
06/11/2013,17.92,0.005595986
05/11/2013,17.82,-0.007268693
04/11/2013,17.95,0.011768138
01/11/2013,17.74,0.014764607
31/10/2013,17.48,-0.000571919
30/10/2013,17.49,-0.007972707
29/10/2013,17.63,0.028770684
28/10/2013,17.13,0.021836217
25/10/2013,16.76,0.004185357
24/10/2013,16.69,-0.010134215
23/10/2013,16.86,-0.055938479
22/10/2013,17.83,0.013551873
21/10/2013,17.59,-0.011867899
18/10/2013,17.8,0.017569168
17/10/2013,17.49,0.004584535
16/10/2013,17.41,0.023243347
15/10/2013,17.01,-0.016326893
14/10/2013,17.29,0.011634803
11/10/2013,17.09,-0.002921416
10/10/2013,17.14,0.021823337
09/10/2013,16.77,-0.001191895
08/10/2013,16.79,-0.010663608
07/10/2013,16.97,-0.027892569
04/10/2013,17.45,0.019092278
03/10/2013,17.12,0.017084363
02/10/2013,16.83,0.01919675
01/10/2013,16.51,0.027634549
30/09/2013,16.06,-0.022168396
27/09/2013,16.42,-0.000608828
26/09/2013,16.43,0.004269601
25/09/2013,16.36,0.006131227
24/09/2013,16.26,0.006788054
23/09/2013,16.15,-0.012919282
20/09/2013,16.36,-0.005486146
19/09/2013,16.45,0
18/09/2013,16.45,0.017786424
17/09/2013,16.16,-0.007398307
16/09/2013,16.28,-0.005513031
13/09/2013,16.37,0.001834302
12/09/2013,16.34,-0.003055303
11/09/2013,16.39,-0.001219512
10/09/2013,16.41,0.007339482
09/09/2013,16.29,0.020465831
06/09/2013,15.96,-0.011215071
05/09/2013,16.14,0.03467098
04/09/2013,15.59,0.010964315
03/09/2013,15.42,0.001297859
30/08/2013,15.4,-0.006472515
29/08/2013,15.5,-0.013457428
28/08/2013,15.71,0.021229488
27/08/2013,15.38,-0.02883891
26/08/2013,15.83,-0.004412235
23/08/2013,15.9,0.005676458
22/08/2013,15.81,0.025626002
21/08/2013,15.41,-0.022458435
20/08/2013,15.76,0.014701447
19/08/2013,15.53,-0.006418507
16/08/2013,15.63,-0.005105308
15/08/2013,15.71,0.00063674
14/08/2013,15.7,-0.009508788
13/08/2013,15.85,0.017823514
12/08/2013,15.57,-0.000642055
09/08/2013,15.58,-0.004482877
08/08/2013,15.65,0.012214874
07/08/2013,15.46,0.009749833
06/08/2013,15.31,-0.028334156
05/08/2013,15.75,0.000635122
02/08/2013,15.74,-0.003171585
01/08/2013,15.79,0.02565888
31/07/2013,15.39,0.013739176
30/07/2013,15.18,0.021305733
29/07/2013,14.86,-0.004699572
26/07/2013,14.93,-0.011984165
25/07/2013,15.11,0.001324504
24/07/2013,15.09,-0.013166747
23/07/2013,15.29,0.002619517
22/07/2013,15.25,-0.023972641
19/07/2013,15.62,-0.004471422
18/07/2013,15.69,0.029100016
17/07/2013,15.24,0.02457779
16/07/2013,14.87,-0.000672269
15/07/2013,14.88,0.005390849
12/07/2013,14.8,0.013605652
11/07/2013,14.6,-0.026361783
10/07/2013,14.99,-0.06520541
09/07/2013,16,-0.003742986
08/07/2013,16.06,-0.006825965
05/07/2013,16.17,0.024414358
03/07/2013,15.78,-0.012594625
02/07/2013,15.98,0.010062978
01/07/2013,15.82,0.032768753
28/06/2013,15.31,-0.021325525
