Date,Close,STI
04/04/2014,39.68,-0.013765704
03/04/2014,40.23,-0.003721627
02/04/2014,40.38,0.002727838
01/04/2014,40.27,0.01199115
31/03/2014,39.79,0.019285043
28/03/2014,39.03,0.001795102
27/03/2014,38.96,-0.015788461
26/03/2014,39.58,-0.020010673
25/03/2014,40.38,0.003721627
24/03/2014,40.23,-0.00322621
21/03/2014,40.36,0.004220987
20/03/2014,40.19,0.015294268
19/03/2014,39.58,0.007608457
18/03/2014,39.28,0.003315061
17/03/2014,39.15,0.013630145
14/03/2014,38.62,-0.001035197
13/03/2014,38.66,-0.010549435
12/03/2014,39.07,-0.001534527
11/03/2014,39.13,-0.010423382
10/03/2014,39.54,-0.005045419
07/03/2014,39.74,0.02110695
06/03/2014,38.91,0.009035817
05/03/2014,38.56,0.009118208
04/03/2014,38.21,0.026519719
03/03/2014,37.21,-0.012551907
28/02/2014,37.68,0.002391392
27/02/2014,37.59,0.006137444
26/02/2014,37.36,0.001607287
25/02/2014,37.3,-0.007744731
24/02/2014,37.59,0.009891806
21/02/2014,37.22,0.003768511
20/02/2014,37.08,0.004324331
19/02/2014,36.92,-0.019845114
18/02/2014,37.66,-0.004768221
14/02/2014,37.84,0.010627093
13/02/2014,37.44,0.008314383
12/02/2014,37.13,-0.031024628
11/02/2014,38.3,0.008653522
10/02/2014,37.97,-0.00210471
07/02/2014,38.05,0.00924099
06/02/2014,37.7,0.021990696
05/02/2014,36.88,-0.000271113
04/02/2014,36.89,0.013371737
03/02/2014,36.4,-0.016889533
31/01/2014,37.02,-0.021115311
30/01/2014,37.81,0.00690024
29/01/2014,37.55,-0.012964859
28/01/2014,38.04,0.005007258
27/01/2014,37.85,-0.005270104
24/01/2014,38.05,-0.029010063
23/01/2014,39.17,-0.017462167
22/01/2014,39.86,-0.000250847
21/01/2014,39.87,0.013382348
17/01/2014,39.34,0.03439253
16/01/2014,38.01,-0.011249301
15/01/2014,38.44,0.006786766
14/01/2014,38.18,0.000786061
13/01/2014,38.15,-0.006271251
10/01/2014,38.39,0.009947726
09/01/2014,38.01,0.01966057
08/01/2014,37.27,0.008081941
07/01/2014,36.97,0.004608928
06/01/2014,36.8,0.006816659
03/01/2014,36.55,0.00082113
02/01/2014,36.52,-0.007909492
31/12/2013,36.81,0.005994568
30/12/2013,36.59,-0.000546448
27/12/2013,36.61,-0.00272777
26/12/2013,36.71,-0.001633098
24/12/2013,36.77,0.000271998
23/12/2013,36.76,0.010116286
20/12/2013,36.39,0.007724176
19/12/2013,36.11,0.008342651
18/12/2013,35.81,0.015478007
17/12/2013,35.26,-0.002549215
16/12/2013,35.35,0.010236086
13/12/2013,34.99,-0.003423684
12/12/2013,35.11,-0.002560092
11/12/2013,35.2,-0.008768264
10/12/2013,35.51,-0.001125809
09/12/2013,35.55,0.002816903
06/12/2013,35.45,0.011918416
05/12/2013,35.03,-0.001711352
04/12/2013,35.09,-0.009642729
03/12/2013,35.43,-0.01596002
02/12/2013,36,-0.006368566
29/11/2013,36.23,-0.005779567
27/11/2013,36.44,-0.001097093
26/11/2013,36.48,-0.002190581
25/11/2013,36.56,0.004111284
22/11/2013,36.41,0.015499895
21/11/2013,35.85,0.000558036
20/11/2013,35.83,0.002794859
19/11/2013,35.73,-0.006416538
18/11/2013,35.96,-0.001944715
15/11/2013,36.03,0.002222841
14/11/2013,35.95,0.014570165
13/11/2013,35.43,0.008218836
12/11/2013,35.14,-0.015810606
11/11/2013,35.7,-0.000560067
08/11/2013,35.72,0.040565402
07/11/2013,34.3,0.003504676
06/11/2013,34.18,0.009701678
05/11/2013,33.85,0.001774099
04/11/2013,33.79,0.001184483
01/11/2013,33.75,0.003264582
31/10/2013,33.64,-0.014753882
30/10/2013,34.14,0.00352113
29/10/2013,34.02,-0.001468645
28/10/2013,34.07,0.010622702
25/10/2013,33.71,0.010436952
24/10/2013,33.36,-0.010436952
23/10/2013,33.71,-0.025770094
22/10/2013,34.59,0.000867679
21/10/2013,34.56,-0.003177816
18/10/2013,34.67,0.018632271
17/10/2013,34.03,0.005598954
16/10/2013,33.84,0.018792499
15/10/2013,33.21,-0.006602665
14/10/2013,33.43,-0.002390201
11/10/2013,33.51,0.004786129
10/10/2013,33.35,0.032919766
09/10/2013,32.27,0.003414562
08/10/2013,32.16,-0.00403414
07/10/2013,32.29,-0.0214469
04/10/2013,32.99,0.012198992
03/10/2013,32.59,-0.001839363
02/10/2013,32.65,-0.00458366
01/10/2013,32.8,0.011652999
30/09/2013,32.42,-0.005536772
27/09/2013,32.6,-0.001226242
26/09/2013,32.64,0.000306419
25/09/2013,32.63,0.004607595
24/09/2013,32.48,-0.002152853
23/09/2013,32.55,-0.011910356
20/09/2013,32.94,-0.006053287
19/09/2013,33.14,-0.030607054
18/09/2013,34.17,0.006164705
17/09/2013,33.96,0.010657294
16/09/2013,33.6,0.008668415
13/09/2013,33.31,0.002705548
12/09/2013,33.22,-0.00120337
11/09/2013,33.26,0.003011143
10/09/2013,33.16,0.004836769
09/09/2013,33,0.002730999
06/09/2013,32.91,0.010999194
05/09/2013,32.55,0.005854276
04/09/2013,32.36,0.014317082
03/09/2013,31.9,-0.003754698
30/08/2013,32.02,-0.012414809
29/08/2013,32.42,0.003708286
28/08/2013,32.3,-0.004324999
27/08/2013,32.44,-0.040180605
26/08/2013,33.77,-0.013821717
23/08/2013,34.24,-0.003207467
22/08/2013,34.35,0.013777149
21/08/2013,33.88,-0.010277583
20/08/2013,34.23,0.007330336
19/08/2013,33.98,-0.018081566
16/08/2013,34.6,0.006378682
15/08/2013,34.38,-0.01730147
14/08/2013,34.98,0.001716739
13/08/2013,34.92,0.003442344
12/08/2013,34.8,-0.004873164
09/08/2013,34.97,-0.015323796
08/08/2013,35.51,0.017327518
07/08/2013,34.9,-0.009411163
06/08/2013,35.23,-0.00537864
05/08/2013,35.42,-0.000564493
02/08/2013,35.44,-0.008709143
01/08/2013,35.75,0.02722028
31/07/2013,34.79,0.003743705
30/07/2013,34.66,0.004047418
29/07/2013,34.52,-0.010661389
26/07/2013,34.89,-0.007139828
25/07/2013,35.14,0.001423893
24/07/2013,35.09,-0.001992883
23/07/2013,35.16,0.002277905
22/07/2013,35.08,0.007152083
19/07/2013,34.83,0.01533373
18/07/2013,34.3,0.014093011
17/07/2013,33.82,0.010402828
16/07/2013,33.47,-0.018354571
15/07/2013,34.09,0.003526304
12/07/2013,33.97,0.018719905
11/07/2013,33.34,-0.017541701
10/07/2013,33.93,-0.011720029
09/07/2013,34.33,0.007895932
08/07/2013,34.06,-0.007313182
05/07/2013,34.31,0.041356481
03/07/2013,32.92,0.012532641
02/07/2013,32.51,0.01612438
01/07/2013,31.99,0.013216051
28/06/2013,31.57,-0.004109378
27/06/2013,31.7,0.010783485
26/06/2013,31.36,0.00447428
25/06/2013,31.22,0.025958628
24/06/2013,30.42,-0.026278884
21/06/2013,31.23,0.009329326
20/06/2013,30.94,-0.009969531
19/06/2013,31.25,-0.015873349
18/06/2013,31.75,0.012678458
17/06/2013,31.35,0.008328043
14/06/2013,31.09,-0.027285957
13/06/2013,31.95,0.019596076
12/06/2013,31.33,-0.011740576
11/06/2013,31.7,-0.023075548
10/06/2013,32.44,0.005874186
07/06/2013,32.25,0.011539189
06/06/2013,31.88,0.010405265
05/06/2013,31.55,-0.014787119
04/06/2013,32.02,-0.00684721
03/06/2013,32.24,0.004663463
31/05/2013,32.09,-0.015767833
30/05/2013,32.6,0.018576386
29/05/2013,32,-0.010568951
28/05/2013,32.34,0.012445711
24/05/2013,31.94,0.005966417
23/05/2013,31.75,-0.004086129
22/05/2013,31.88,-0.008433597
21/05/2013,32.15,-0.00465478
20/05/2013,32.3,0.013088376
17/05/2013,31.88,0.019319682
16/05/2013,31.27,0.001920615
15/05/2013,31.21,0.011277709
14/05/2013,30.86,0.010423547
13/05/2013,30.54,0.002622952
10/05/2013,30.46,-0.002950338
09/05/2013,30.55,-0.009772065
08/05/2013,30.85,0.018319125
07/05/2013,30.29,0.015638316
06/05/2013,29.82,0.015205564
