Date,Close,TEG
04/04/2014,59.82,0.008224973
03/04/2014,59.33,0.001855758
02/04/2014,59.22,-0.00471699
01/04/2014,59.5,-0.002517836
31/03/2014,59.65,0.011126211
28/03/2014,58.99,0.003566277
27/03/2014,58.78,0.006485771
26/03/2014,58.4,0.001885338
25/03/2014,58.29,0.004987542
24/03/2014,58,0.002416711
21/03/2014,57.86,0.007111295
20/03/2014,57.45,-0.000696015
19/03/2014,57.49,-0.015019704
18/03/2014,58.36,-0.00290872
17/03/2014,58.53,0.013416094
14/03/2014,57.75,0.008171827
13/03/2014,57.28,0.009295866
12/03/2014,56.75,0.011519844
11/03/2014,56.1,-0.001425009
10/03/2014,56.18,-0.001245219
07/03/2014,56.25,0.000355619
06/03/2014,56.23,-0.00850014
05/03/2014,56.71,-0.008603336
04/03/2014,57.2,0.012490267
03/03/2014,56.49,-0.013713295
28/02/2014,57.27,0.011767941
27/02/2014,56.6,0.016926907
26/02/2014,55.65,-0.014627446
25/02/2014,56.47,-0.001238829
24/02/2014,56.54,-0.003354819
21/02/2014,56.73,0.00849713
20/02/2014,56.25,0.007494682
19/02/2014,55.83,-0.009093403
18/02/2014,56.34,0.011604165
14/02/2014,55.69,0.008294314
13/02/2014,55.23,0.012388572
12/02/2014,54.55,-0.001099304
11/02/2014,54.61,0.017549171
10/02/2014,53.66,0.008797436
07/02/2014,53.19,0.009824375
06/02/2014,52.67,0.007432145
05/02/2014,52.28,-0.006862398
04/02/2014,52.64,-0.009829947
03/02/2014,53.16,-0.02195437
31/01/2014,54.34,0.000184043
30/01/2014,54.33,0.015208008
29/01/2014,53.51,-0.001680516
28/01/2014,53.6,0
27/01/2014,53.6,-0.00018655
24/01/2014,53.61,-0.016098044
23/01/2014,54.48,-0.005308937
22/01/2014,54.77,0.001278889
21/01/2014,54.7,0.019568651
17/01/2014,53.64,-0.003535874
16/01/2014,53.83,0.005215136
15/01/2014,53.55,-0.003541806
14/01/2014,53.74,0.002421985
13/01/2014,53.61,-0.006507414
10/01/2014,53.96,0.013245227
09/01/2014,53.25,0.002067864
08/01/2014,53.14,-0.011413727
07/01/2014,53.75,0.009345862
06/01/2014,53.25,-0.001313691
03/01/2014,53.32,-0.002060891
02/01/2014,53.43,-0.018175575
31/12/2013,54.41,0.000551521
30/12/2013,54.38,-0.000735294
27/12/2013,54.42,-0.000183739
26/12/2013,54.43,-0.004948237
24/12/2013,54.7,0.001280527
23/12/2013,54.63,-0.004201303
20/12/2013,54.86,0.015615271
19/12/2013,54.01,-0.010498301
18/12/2013,54.58,0.017931897
17/12/2013,53.61,-0.003909527
16/12/2013,53.82,0.013279911
13/12/2013,53.11,0.002828323
12/12/2013,52.96,0.001511716
11/12/2013,52.88,-0.014642649
10/12/2013,53.66,-0.015899762
09/12/2013,54.52,-0.007492041
06/12/2013,54.93,0.014486363
05/12/2013,54.14,-0.003503276
04/12/2013,54.33,0.0018423
03/12/2013,54.23,0.007403328
02/12/2013,53.83,0.001673329
29/11/2013,53.74,0.000744602
27/11/2013,53.7,-0.001488649
26/11/2013,53.78,-0.027328615
25/11/2013,55.27,-0.020238893
22/11/2013,56.4,0.001064396
