Date,Close,AMT
04/04/2014,80.73,-0.006420568
03/04/2014,81.25,-0.000246124
02/04/2014,81.27,-0.004174859
01/04/2014,81.61,-0.00318082
31/03/2014,81.87,-0.003170734
28/03/2014,82.13,0.017936599
27/03/2014,80.67,-0.001733961
26/03/2014,80.81,-0.011075673
25/03/2014,81.71,0.009962569
24/03/2014,80.9,-0.002099155
21/03/2014,81.07,-0.001971658
20/03/2014,81.23,0.006793924
19/03/2014,80.68,-0.013786531
18/03/2014,81.8,0.000733765
17/03/2014,81.74,0.016653688
14/03/2014,80.39,0.000497698
13/03/2014,80.35,-0.0060798
12/03/2014,80.84,-0.010582109
11/03/2014,81.7,0.00638509
10/03/2014,81.18,-0.001600099
07/03/2014,81.31,-0.007474151
06/03/2014,81.92,0.013766196
05/03/2014,80.8,-0.009116732
04/03/2014,81.54,0.000981595
03/03/2014,81.46,-0.000122752
28/02/2014,81.47,0.000122752
27/02/2014,81.46,0.007763918
26/02/2014,80.83,0.008323546
25/02/2014,80.16,-0.034574978
24/02/2014,82.98,-0.012812245
21/02/2014,84.05,-0.005458011
20/02/2014,84.51,0.0090337
19/02/2014,83.75,0.002630322
18/02/2014,83.53,0.003958501
14/02/2014,83.2,0.008570274
13/02/2014,82.49,0.008522087
12/02/2014,81.79,-0.001588175
11/02/2014,81.92,0.004894772
10/02/2014,81.52,0.014083
07/02/2014,80.38,0.007743263
06/02/2014,79.76,0.009447699
05/02/2014,79.01,-0.001644009
04/02/2014,79.14,0.003924801
03/02/2014,78.83,-0.02567294
31/01/2014,80.88,-0.003702337
30/01/2014,81.18,0.020157457
29/01/2014,79.56,-0.012490794
28/01/2014,80.56,0.016394836
27/01/2014,79.25,-0.004657905
24/01/2014,79.62,-0.044943107
23/01/2014,83.28,-0.001679664
22/01/2014,83.42,-0.002514219
21/01/2014,83.63,0.005756102
17/01/2014,83.15,-0.001442135
16/01/2014,83.27,0.000120098
15/01/2014,83.26,0.007232433
14/01/2014,82.66,0.006310701
13/01/2014,82.14,-0.006068716
10/01/2014,82.64,0.006555808
09/01/2014,82.1,0.001950744
08/01/2014,81.94,0.007841256
07/01/2014,81.3,0.013747198
06/01/2014,80.19,0.006380206
03/01/2014,79.68,0.00289072
02/01/2014,79.45,-0.004646207
31/12/2013,79.82,0.000250595
30/12/2013,79.8,0.012356733
27/12/2013,78.82,-0.000253711
26/12/2013,78.84,0.00165027
24/12/2013,78.71,0.003691215
23/12/2013,78.42,0.006011401
20/12/2013,77.95,-0.002050494
19/12/2013,78.11,-0.00140728
18/12/2013,78.22,0.023673572
17/12/2013,76.39,0.003934947
16/12/2013,76.09,-0.008766821
13/12/2013,76.76,0.000912349
12/12/2013,76.69,-0.014498636
11/12/2013,77.81,-0.017832596
10/12/2013,79.21,0.004682071
09/12/2013,78.84,0.00968654
06/12/2013,78.08,0.004235391
05/12/2013,77.75,0.004124249
04/12/2013,77.43,-0.003609647
03/12/2013,77.71,-0.006413567
02/12/2013,78.21,0.005641764
29/11/2013,77.77,-0.007685448
27/11/2013,78.37,0.004347833
26/11/2013,78.03,0.013287946
25/11/2013,77,-0.003629768
22/11/2013,77.28,-0.004003363
21/11/2013,77.59,-0.006935553
20/11/2013,78.13,0.000384049
19/11/2013,78.1,-0.00599989
18/11/2013,78.57,-0.008995943
15/11/2013,79.28,0.002273015
14/11/2013,79.1,0.011826933
13/11/2013,78.17,0.002690068
12/11/2013,77.96,0.006563308
11/11/2013,77.45,-0.004380321
08/11/2013,77.79,-0.012519325
07/11/2013,78.77,-0.009602095
06/11/2013,79.53,0.01176261
05/11/2013,78.6,-0.005076153
04/11/2013,79,-0.004672611
01/11/2013,79.37,0.000252016
31/10/2013,79.35,-0.016746205
30/10/2013,80.69,0.004969572
29/10/2013,80.29,-0.000124541
28/10/2013,80.3,-0.006454839
25/10/2013,80.82,0.005459071
24/10/2013,80.38,0.017317537
23/10/2013,79,-0.014202463
22/10/2013,80.13,0.007767516
21/10/2013,79.51,0.006308373
18/10/2013,79.01,-0.004167988
17/10/2013,79.34,0.028379765
16/10/2013,77.12,0.031481032
15/10/2013,74.73,0.001205061
14/10/2013,74.64,0.002683125
11/10/2013,74.44,0.011484285
10/10/2013,73.59,0.027134782
09/10/2013,71.62,-0.003762808
08/10/2013,71.89,-0.015733143
07/10/2013,73.03,0.004666492
04/10/2013,72.69,-0.010128748
03/10/2013,73.43,-0.007597377
02/10/2013,73.99,-0.000945627
01/10/2013,74.06,-0.000944733
30/09/2013,74.13,-0.005247237
27/09/2013,74.52,-0.001475025
26/09/2013,74.63,0.011590426
25/09/2013,73.77,0.012549612
24/09/2013,72.85,-0.001508813
23/09/2013,72.96,-0.013072082
20/09/2013,73.92,-0.012101802
19/09/2013,74.82,-0.012353215
18/09/2013,75.75,0.024455017
17/09/2013,73.92,-0.004723674
16/09/2013,74.27,0.007568626
13/09/2013,73.71,-0.005546926
12/09/2013,74.12,-0.012069343
11/09/2013,75.02,0.00588237
10/09/2013,74.58,0.004299926
09/09/2013,74.26,0.032157112
06/09/2013,71.91,0.044938601
05/09/2013,68.75,-0.007101994
04/09/2013,69.24,0.000144436
03/09/2013,69.23,-0.003748563
30/08/2013,69.49,-0.002873978
