Date,Close,FTI
04/04/2014,54.69,0.01306727
03/04/2014,53.98,-0.000370439
02/04/2014,54,0.020958851
01/04/2014,52.88,0.011220047
31/03/2014,52.29,-0.002292265
28/03/2014,52.41,0.013446226
27/03/2014,51.71,-0.005015443
26/03/2014,51.97,-0.006329742
25/03/2014,52.3,0.004599472
24/03/2014,52.06,-0.009177885
21/03/2014,52.54,0.002477371
20/03/2014,52.41,0.023162587
19/03/2014,51.21,-0.001950839
18/03/2014,51.31,0.001560367
17/03/2014,51.23,-0.002339638
14/03/2014,51.35,0.013725706
13/03/2014,50.65,-0.013336146
12/03/2014,51.33,-0.012006341
11/03/2014,51.95,-0.018121621
10/03/2014,52.9,-0.006969982
07/03/2014,53.27,0.013227706
06/03/2014,52.57,0.036416962
05/03/2014,50.69,0.010710138
04/03/2014,50.15,0.009013581
03/03/2014,49.7,-0.010806589
28/02/2014,50.24,0.004988537
27/02/2014,49.99,-0.004192041
26/02/2014,50.2,0.001994019
25/02/2014,50.1,-0.011115636
24/02/2014,50.66,0.012713719
21/02/2014,50.02,-0.015867052
20/02/2014,50.82,0.00592068
19/02/2014,50.52,-0.008475462
18/02/2014,50.95,-0.005675717
14/02/2014,51.24,-0.002339182
13/02/2014,51.36,0.013723015
12/02/2014,50.66,0.007728167
11/02/2014,50.27,0.023345798
10/02/2014,49.11,0.015182893
07/02/2014,48.37,-0.032142718
06/02/2014,49.95,0.011072081
05/02/2014,49.4,-0.006456842
04/02/2014,49.72,0.015812209
03/02/2014,48.94,-0.010164755
31/01/2014,49.44,-0.00946157
30/01/2014,49.91,0.020443987
29/01/2014,48.9,-0.005912954
28/01/2014,49.19,0.005299646
27/01/2014,48.93,-0.009559719
24/01/2014,49.4,-0.015865379
23/01/2014,50.19,-0.027512052
22/01/2014,51.59,0.005637103
21/01/2014,51.3,0.005865119
17/01/2014,51,-0.001567398
16/01/2014,51.08,-0.002346501
15/01/2014,51.2,-0.013771918
14/01/2014,51.91,0.016705905
13/01/2014,51.05,-0.024382013
10/01/2014,52.31,0.015994175
09/01/2014,51.48,0.00155521
08/01/2014,51.4,0.00194742
07/01/2014,51.3,-0.011628038
06/01/2014,51.9,0
03/01/2014,51.9,0.012603172
02/01/2014,51.25,-0.018558429
31/12/2013,52.21,0.012915842
30/12/2013,51.54,-0.006960585
27/12/2013,51.9,-0.007103803
26/12/2013,52.27,0.001148545
24/12/2013,52.21,0.010977481
23/12/2013,51.64,-0.012699805
20/12/2013,52.3,0.007292299
19/12/2013,51.92,-0.016049255
18/12/2013,52.76,-0.007552906
17/12/2013,53.16,0.001129306
16/12/2013,53.1,0.02943075
13/12/2013,51.56,0.010724486
12/12/2013,51.01,0.008860942
11/12/2013,50.56,0.008142235
10/12/2013,50.15,-0.016414885
09/12/2013,50.98,0.005113089
06/12/2013,50.72,0.0101061
05/12/2013,50.21,0.018492989
04/12/2013,49.29,0.016157423
03/12/2013,48.5,0.00599733
02/12/2013,48.21,0.002284291
29/11/2013,48.1,0.006675035
27/11/2013,47.78,-0.004593869
26/11/2013,48,-0.00415801
25/11/2013,48.2,-0.017277271
22/11/2013,49.04,-0.008325766
21/11/2013,49.45,0.01261718
20/11/2013,48.83,0.005956678
19/11/2013,48.54,-0.000823723
18/11/2013,48.58,-0.0195685
15/11/2013,49.54,-0.000605388
14/11/2013,49.57,0.008712445
13/11/2013,49.14,0.004282662
12/11/2013,48.93,-0.016418733
11/11/2013,49.74,-0.000201025
08/11/2013,49.75,0.00625065
07/11/2013,49.44,-0.016449719
06/11/2013,50.26,0.003787506
