Date,Close,EW
04/04/2014,74.25,-0.012580466
03/04/2014,75.19,0.005334057
02/04/2014,74.79,0.007650531
01/04/2014,74.22,0.0006739
31/03/2014,74.17,0.041428893
28/03/2014,71.16,-0.001404297
27/03/2014,71.26,-0.026040253
26/03/2014,73.14,0.011412981
25/03/2014,72.31,0.019127983
24/03/2014,70.94,-0.016635597
21/03/2014,72.13,-0.012400269
20/03/2014,73.03,-0.012248384
19/03/2014,73.93,0.013618623
18/03/2014,72.93,0.007708228
17/03/2014,72.37,0.003183173
14/03/2014,72.14,0.001942556
13/03/2014,72,-0.02550529
12/03/2014,73.86,0.00911261
11/03/2014,73.19,0.001777778
10/03/2014,73.06,0.013643152
07/03/2014,72.07,-0.00318626
06/03/2014,72.3,-0.002900354
05/03/2014,72.51,0.0302417
04/03/2014,70.35,0.019086466
03/03/2014,69.02,-0.010664462
28/02/2014,69.76,0.022176429
27/02/2014,68.23,0.005584965
26/02/2014,67.85,-0.000147373
25/02/2014,67.86,-0.015209419
24/02/2014,68.9,0.009625275
21/02/2014,68.24,0.00205369
20/02/2014,68.1,0.015986131
19/02/2014,67.02,-0.008468961
18/02/2014,67.59,0.0008881
14/02/2014,67.53,0.005047517
13/02/2014,67.19,0.00716956
12/02/2014,66.71,-0.003591205
11/02/2014,66.95,-0.00089579
10/02/2014,67.01,0.001045166
07/02/2014,66.94,0.005092118
06/02/2014,66.6,0.001051604
05/02/2014,66.53,0.011945406
04/02/2014,65.74,0.024171756
03/02/2014,64.17,-0.01469591
31/01/2014,65.12,-0.005513031
30/01/2014,65.48,0.005052449
29/01/2014,65.15,-0.017195889
28/01/2014,66.28,-0.001507614
27/01/2014,66.38,-0.035953277
24/01/2014,68.81,0.00758574
23/01/2014,68.29,0.000878992
22/01/2014,68.23,-0.02160287
21/01/2014,69.72,0.017069704
17/01/2014,68.54,-0.058511128
16/01/2014,72.67,0.010791472
15/01/2014,71.89,0.018107028
14/01/2014,70.6,0.026698873
13/01/2014,68.74,0.00378954
10/01/2014,68.48,0.001022719
09/01/2014,68.41,0.024714539
08/01/2014,66.74,-0.007612545
07/01/2014,67.25,0.013322553
06/01/2014,66.36,-0.013471241
03/01/2014,67.26,0.020123821
02/01/2014,65.92,0.002430135
31/12/2013,65.76,0.001217286
30/12/2013,65.68,-0.005011781
27/12/2013,66.01,0.009436904
26/12/2013,65.39,-0.003511186
24/12/2013,65.62,0.001677725
23/12/2013,65.51,0.00489672
20/12/2013,65.19,0.018891859
19/12/2013,63.97,0.003445039
18/12/2013,63.75,0.016129382
17/12/2013,62.73,-0.001752011
16/12/2013,62.84,0.022530725
13/12/2013,61.44,-0.002925404
12/12/2013,61.62,-0.004533687
11/12/2013,61.9,-0.010126262
10/12/2013,62.53,-0.003193361
09/12/2013,62.73,-0.055199254
06/12/2013,66.29,0.016426225
05/12/2013,65.21,0.005227564
04/12/2013,64.87,-0.004000005
03/12/2013,65.13,-0.00520675
02/12/2013,65.47,-0.000916031
29/11/2013,65.53,0.003516017
27/11/2013,65.3,0.009230835
26/11/2013,64.7,-0.000772499
25/11/2013,64.75,-0.0016974
22/11/2013,64.86,0.002160828
21/11/2013,64.72,0.027570669
20/11/2013,62.96,-0.013880349
19/11/2013,63.84,-0.00203427
18/11/2013,63.97,-0.015819188
15/11/2013,64.99,0.022091751
14/11/2013,63.57,-0.001728881
13/11/2013,63.68,0.000628338
12/11/2013,63.64,-0.006577941
11/11/2013,64.06,-0.00311721
08/11/2013,64.26,0.010166663
07/11/2013,63.61,0.016644594
06/11/2013,62.56,0.003362424
05/11/2013,62.35,-0.014331455
04/11/2013,63.25,-0.015997832
01/11/2013,64.27,-0.014213124
31/10/2013,65.19,-0.016732973
30/10/2013,66.29,-0.052454183
29/10/2013,69.86,-0.04724848
28/10/2013,73.24,-0.050842619
25/10/2013,77.06,-0.005177335
24/10/2013,77.46,-0.008740416
23/10/2013,78.14,0.000255984
22/10/2013,78.12,0.004233218
21/10/2013,77.79,0.007613431
18/10/2013,77.2,0.001685357
17/10/2013,77.07,0.005203602
16/10/2013,76.67,0.021622464
15/10/2013,75.03,0.001600641
14/10/2013,74.91,0.012492607
11/10/2013,73.98,0.003249394
10/10/2013,73.74,0.01173114
09/10/2013,72.88,0.006746085
08/10/2013,72.39,-0.002621233
07/10/2013,72.58,-0.003163907
04/10/2013,72.81,0.008551776
03/10/2013,72.19,0.004999316
02/10/2013,71.83,0.007265646
01/10/2013,71.31,0.023841061
30/09/2013,69.63,0.012137123
27/09/2013,68.79,0.003057439
26/09/2013,68.58,0.001897395
25/09/2013,68.45,-0.017953284
24/09/2013,69.69,0.006044923
23/09/2013,69.27,-0.01091181
20/09/2013,70.03,-0.009663284
19/09/2013,70.71,-0.001836807
18/09/2013,70.84,-0.012764042
17/09/2013,71.75,0.00181349
16/09/2013,71.62,0.000139636
13/09/2013,71.61,-0.001256019
12/09/2013,71.7,-0.009577421
11/09/2013,72.39,0.003875437
10/09/2013,72.11,0.005423082
09/09/2013,71.72,0.003491868
06/09/2013,71.47,-0.004467409
05/09/2013,71.79,0.006007702
04/09/2013,71.36,0.011274077
03/09/2013,70.56,0.00255428
30/08/2013,70.38,-0.004394988
29/08/2013,70.69,0.002549576
28/08/2013,70.51,-0.009316838
27/08/2013,71.17,-0.025251064
26/08/2013,72.99,0.00068526
23/08/2013,72.94,0.008813056
22/08/2013,72.3,0.008333382
21/08/2013,71.7,0.017445575
20/08/2013,70.46,0.014150168
19/08/2013,69.47,-0.007743084
16/08/2013,70.01,-0.018398481
15/08/2013,71.31,-0.020267212
14/08/2013,72.77,0.010359924
13/08/2013,72.02,-0.004156858
12/08/2013,72.32,-0.004827929
09/08/2013,72.67,-0.002199314
08/08/2013,72.83,0.0111841
07/08/2013,72.02,-0.002634682
06/08/2013,72.21,-0.008274768
05/08/2013,72.81,0.002750655
02/08/2013,72.61,-0.010821282
01/08/2013,73.4,0.027906218
31/07/2013,71.38,0.012263174
30/07/2013,70.51,-0.007066168
29/07/2013,71.01,-0.011063764
26/07/2013,71.8,0.015721829
25/07/2013,70.68,0.007099277
24/07/2013,70.18,-0.009642729
23/07/2013,70.86,0.017797864
22/07/2013,69.61,0.019730801
19/07/2013,68.25,0.018335572
18/07/2013,67.01,0.008091144
17/07/2013,66.47,0.000903071
16/07/2013,66.41,-0.015390666
15/07/2013,67.44,-0.006061073
12/07/2013,67.85,0.030831535
11/07/2013,65.79,0.004875829
10/07/2013,65.47,-0.004115546
09/07/2013,65.74,-0.016145202
08/07/2013,66.81,0.003148192
05/07/2013,66.6,0.020478531
03/07/2013,65.25,-0.012337374
02/07/2013,66.06,-0.015024321
01/07/2013,67.06,-0.002085506
28/06/2013,67.2,0.005670811
27/06/2013,66.82,0.008868904
26/06/2013,66.23,-0.014390894
25/06/2013,67.19,0.012580666
24/06/2013,66.35,-0.001506024
21/06/2013,66.45,-0.003605231
20/06/2013,66.69,-0.031439384
19/06/2013,68.82,-0.019283948
18/06/2013,70.16,-0.004550634
17/06/2013,70.48,0.00683374
14/06/2013,70,-0.027476191
13/06/2013,71.95,0.052501002
12/06/2013,68.27,-0.000292912
11/06/2013,68.29,-0.016843726
10/06/2013,69.45,0.032933822
07/06/2013,67.2,0.0104713
06/06/2013,66.5,-0.001052078
