Date,Close,GE
04/04/2014,26.02,-0.008038321
03/04/2014,26.23,0.007269977
02/04/2014,26.04,0.006549821
01/04/2014,25.87,-0.000772798
31/03/2014,25.89,0.000386324
28/03/2014,25.88,0.002708456
27/03/2014,25.81,0.007388717
26/03/2014,25.62,-0.003117695
25/03/2014,25.7,0.011348195
24/03/2014,25.41,0.000393623
21/03/2014,25.4,0.005131253
20/03/2014,25.27,-0.000395648
19/03/2014,25.28,-0.014530002
18/03/2014,25.65,0.008613992
17/03/2014,25.43,0.012663406
14/03/2014,25.11,-0.009118002
13/03/2014,25.34,-0.016438726
12/03/2014,25.76,-0.005420067
11/03/2014,25.9,-0.005390849
10/03/2014,26.04,-0.003450262
07/03/2014,26.13,-0.003438399
06/03/2014,26.22,0.011121879
05/03/2014,25.93,0.010857028
04/03/2014,25.65,0.02087923
03/03/2014,25.12,-0.013836947
28/02/2014,25.47,-0.001177163
27/02/2014,25.5,0.007874056
26/02/2014,25.3,0.001186474
25/02/2014,25.27,-0.000791139
24/02/2014,25.29,0.01393612
21/02/2014,24.94,-0.007191401
20/02/2014,25.12,-0.011084832
19/02/2014,25.4,-0.009794398
18/02/2014,25.65,-0.003502631
14/02/2014,25.74,0.011723464
13/02/2014,25.44,0.001967343
12/02/2014,25.39,-0.001574184
11/02/2014,25.43,0.015055752
10/02/2014,25.05,-0.005573263
07/02/2014,25.19,0.009573268
06/02/2014,24.95,0.017384711
05/02/2014,24.52,-0.002037075
04/02/2014,24.57,0.008994337
03/02/2014,24.35,-0.031530502
31/01/2014,25.13,-0.014616101
30/01/2014,25.5,0.008269391
29/01/2014,25.29,-0.006699532
28/01/2014,25.46,0.015436681
27/01/2014,25.07,0.00479809
24/01/2014,24.95,-0.034275563
23/01/2014,25.82,-0.006562463
22/01/2014,25.99,-0.01147679
21/01/2014,26.29,-0.010970415
17/01/2014,26.58,-0.02305792
16/01/2014,27.2,-0.005133858
15/01/2014,27.34,0.013625694
14/01/2014,26.97,0.008938607
13/01/2014,26.73,-0.008567756
10/01/2014,26.96,-0.009597711
09/01/2014,27.22,0.000367444
08/01/2014,27.21,-0.002935782
07/01/2014,27.29,0.001099908
06/01/2014,27.26,-0.008038041
03/01/2014,27.48,-0.000727537
02/01/2014,27.5,-0.019089361
31/12/2013,28.03,0.005007164
30/12/2013,27.89,0.002153626
27/12/2013,27.83,0
26/12/2013,27.83,0.00793655
24/12/2013,27.61,0.007635013
23/12/2013,27.4,0.001460921
20/12/2013,27.36,0.001463058
19/12/2013,27.32,-0.003288876
18/12/2013,27.41,0.01396055
17/12/2013,27.03,0.00185151
16/12/2013,26.98,0.005202539
13/12/2013,26.84,0.011240283
12/12/2013,26.54,-0.001506024
11/12/2013,26.58,-0.020849601
10/12/2013,27.14,-0.001840604
09/12/2013,27.19,0.009237088
06/12/2013,26.94,0.018356013
05/12/2013,26.45,-0.007157687
04/12/2013,26.64,0.003007521
03/12/2013,26.56,-0.00375799
02/12/2013,26.66,0
29/11/2013,26.66,-0.00635635
27/11/2013,26.83,0.001865324
26/11/2013,26.78,0.00186881
25/11/2013,26.73,-0.013008918
22/11/2013,27.08,0.006297483
21/11/2013,26.91,-0.001856321
20/11/2013,26.96,-0.002593074
19/11/2013,27.03,-0.007004637
18/11/2013,27.22,0.000735024
15/11/2013,27.2,0.007750546
14/11/2013,26.99,-0.005910619
13/11/2013,27.15,0.003690041
12/11/2013,27.05,0.001479837
11/11/2013,27.01,-0.001479837
08/11/2013,27.05,0.01677579
07/11/2013,26.6,-0.011215071
06/11/2013,26.9,0.018004988
05/11/2013,26.42,-0.00037843
04/11/2013,26.43,-0.0041533
01/11/2013,26.54,0.015186321
31/10/2013,26.14,-0.008760292
30/10/2013,26.37,0.006085983
29/10/2013,26.21,0.004588918
28/10/2013,26.09,0.00808163
25/10/2013,25.88,-0.002315709
