Date,Close,CHRW
04/04/2014,52.41,-0.011760378
03/04/2014,53.03,0.001132076
02/04/2014,52.97,0.015409798
01/04/2014,52.16,-0.004399816
31/03/2014,52.39,0.029049293
28/03/2014,50.89,-0.002159192
27/03/2014,51,0.006886402
26/03/2014,50.65,-0.008845267
25/03/2014,51.1,0.003921574
24/03/2014,50.9,-0.002550772
21/03/2014,51.03,0.007869409
20/03/2014,50.63,0.001779184
19/03/2014,50.54,-0.008275909
18/03/2014,50.96,-0.002156229
17/03/2014,51.07,-0.001369729
14/03/2014,51.14,-0.018214028
13/03/2014,52.08,-0.007079337
12/03/2014,52.45,0.001335496
11/03/2014,52.38,-0.003620776
10/03/2014,52.57,0.005723022
07/03/2014,52.27,-0.003437742
06/03/2014,52.45,0.013242685
05/03/2014,51.76,-0.00808163
04/03/2014,52.18,0.008274848
03/03/2014,51.75,-0.002123348
28/02/2014,51.86,-0.009595161
27/02/2014,52.36,-0.003051108
26/02/2014,52.52,0.001905852
25/02/2014,52.42,-0.017398321
24/02/2014,53.34,-0.014517285
21/02/2014,54.12,-0.000738825
20/02/2014,54.16,0.007226938
19/02/2014,53.77,-0.012016043
18/02/2014,54.42,-0.004034482
14/02/2014,54.64,0.011226767
13/02/2014,54.03,0.004451872
12/02/2014,53.79,-0.00148616
11/02/2014,53.87,0.017603451
10/02/2014,52.93,0.010254552
07/02/2014,52.39,-0.001716411
06/02/2014,52.48,-0.012874089
05/02/2014,53.16,-0.098110824
04/02/2014,58.64,0.015640089
03/02/2014,57.73,-0.013933312
31/01/2014,58.54,0.0044513
30/01/2014,58.28,0.011215716
29/01/2014,57.63,0.003128261
28/01/2014,57.45,0.007863736
27/01/2014,57,-0.00367744
24/01/2014,57.21,-0.031655834
23/01/2014,59.05,-0.019786024
22/01/2014,60.23,0.009508788
21/01/2014,59.66,0.008923369
17/01/2014,59.13,-0.006573981
16/01/2014,59.52,0.003028776
15/01/2014,59.34,0.027333441
14/01/2014,57.74,0.00503517
13/01/2014,57.45,-0.004342169
10/01/2014,57.7,0.020131971
09/01/2014,56.55,0.004963669
08/01/2014,56.27,-0.007259881
07/01/2014,56.68,0.001235767
06/01/2014,56.61,-0.011765875
03/01/2014,57.28,-0.009383214
02/01/2014,57.82,-0.009124622
31/12/2013,58.35,0.00223042
30/12/2013,58.22,0.008625204
27/12/2013,57.72,0.010274361
26/12/2013,57.13,0.001576597
24/12/2013,57.04,0
23/12/2013,57.04,0.008804424
20/12/2013,56.54,0.001061759
19/12/2013,56.48,-0.000177038
18/12/2013,56.49,0.002126529
17/12/2013,56.37,0.003020345
16/12/2013,56.2,-0.003552402
13/12/2013,56.4,-0.012860214
12/12/2013,57.13,-0.004192146
11/12/2013,57.37,-0.006082215
10/12/2013,57.72,-0.003286347
09/12/2013,57.91,0.000345423
06/12/2013,57.89,-0.006542723
05/12/2013,58.27,0.000343289
04/12/2013,58.25,0.001890197
03/12/2013,58.14,-0.00583092
02/12/2013,58.48,-0.00290276
29/11/2013,58.65,-0.000852152
27/11/2013,58.7,0.002900284
26/11/2013,58.53,-0.004432329
25/11/2013,58.79,0.001872819
22/11/2013,58.68,0.009761187
21/11/2013,58.11,0.007774074
20/11/2013,57.66,-0.022125935
19/11/2013,58.95,-0.01898738
18/11/2013,60.08,0.001665834
15/11/2013,59.98,0.001000834
14/11/2013,59.92,0.003678319
13/11/2013,59.7,0.013151429
12/11/2013,58.92,-0.006597334
11/11/2013,59.31,-0.005883853
08/11/2013,59.66,0.001006205
07/11/2013,59.6,-0.008354267
