Date,Close,HCN
04/04/2014,60.44,0.015842906
03/04/2014,59.49,-0.006367314
02/04/2014,59.87,0.006535423
01/04/2014,59.48,-0.002015452
31/03/2014,59.6,0.007917164
28/03/2014,59.13,0.005936749
27/03/2014,58.78,0.01198029
26/03/2014,58.08,-0.006008086
25/03/2014,58.43,0.007903821
24/03/2014,57.97,-0.00447505
21/03/2014,58.23,0.02047261
20/03/2014,57.05,-0.002276111
19/03/2014,57.18,-0.020940455
18/03/2014,58.39,-0.003590054
17/03/2014,58.6,-0.005615602
14/03/2014,58.93,0.004933241
13/03/2014,58.64,-0.011360868
12/03/2014,59.31,0.007616183
11/03/2014,58.86,0.013168211
10/03/2014,58.09,-0.00343702
07/03/2014,58.29,-0.012953991
06/03/2014,59.05,-0.013791002
05/03/2014,59.87,0.0043522
04/03/2014,59.61,0.012661602
03/03/2014,58.86,0.002040817
28/02/2014,58.74,0.010439044
27/02/2014,58.13,0.0037918
26/02/2014,57.91,0.004326389
25/02/2014,57.66,-0.006396426
24/02/2014,58.03,0.021775967
21/02/2014,56.78,0.003528585
20/02/2014,56.58,-0.013168481
19/02/2014,57.33,0.00647478
18/02/2014,56.96,0.001757161
14/02/2014,56.86,-0.002283708
13/02/2014,56.99,0.002811459
12/02/2014,56.83,-0.005440041
11/02/2014,57.14,0.000875427
10/02/2014,57.09,0.003509391
07/02/2014,56.89,0.010780347
06/02/2014,56.28,-0.01113184
05/02/2014,56.91,-0.012572193
04/02/2014,57.63,0.002432246
03/02/2014,57.49,-0.007451728
31/01/2014,57.92,0.015134672
30/01/2014,57.05,0.006330248
29/01/2014,56.69,-0.001762426
28/01/2014,56.79,0.009554213
27/01/2014,56.25,0.005883943
24/01/2014,55.92,-0.001965164
23/01/2014,56.03,-0.009061091
22/01/2014,56.54,0.001770225
21/01/2014,56.44,0.015174798
17/01/2014,55.59,-0.008419217
16/01/2014,56.06,0.00913903
15/01/2014,55.55,0.00740811
14/01/2014,55.14,-0.014583029
13/01/2014,55.95,0.008435839
10/01/2014,55.48,0.026668247
09/01/2014,54.02,0.00222387
08/01/2014,53.9,-0.006656829
07/01/2014,54.26,-0.000552741
06/01/2014,54.29,0.023105183
03/01/2014,53.05,-0.009194173
02/01/2014,53.54,-0.000560172
31/12/2013,53.57,0.002429681
30/12/2013,53.44,0.004501133
27/12/2013,53.2,0.002823531
26/12/2013,53.05,-0.000753722
24/12/2013,53.09,0.002451675
23/12/2013,52.96,-0.002828323
20/12/2013,53.11,0.010029415
19/12/2013,52.58,-0.038796361
18/12/2013,54.66,0.015301248
17/12/2013,53.83,0.00279044
16/12/2013,53.68,-0.004275497
13/12/2013,53.91,0.005020931
12/12/2013,53.64,-0.010754786
11/12/2013,54.22,-0.023693472
10/12/2013,55.52,0.002524798
09/12/2013,55.38,0.003980465
06/12/2013,55.16,-0.000362516
05/12/2013,55.18,0.001269381
04/12/2013,55.11,-0.004164786
03/12/2013,55.34,-0.007381436
02/12/2013,55.75,-0.004295693
29/11/2013,55.99,-0.013834914
27/11/2013,56.77,0.010447196
26/11/2013,56.18,-0.020263225
25/11/2013,57.33,-0.007472448
22/11/2013,57.76,-0.016654175
21/11/2013,58.73,0.004265854
20/11/2013,58.48,-0.016282585
19/11/2013,59.44,-0.011042441
18/11/2013,60.1,-0.006798799
15/11/2013,60.51,-0.000825968
14/11/2013,60.56,0.009456727
13/11/2013,59.99,0.005851392
12/11/2013,59.64,-0.007350518
11/11/2013,60.08,-0.005477647
08/11/2013,60.41,-0.016743661
07/11/2013,61.43,-0.029512968
06/11/2013,63.27,0.006660348
05/11/2013,62.85,-0.035327212
04/11/2013,65.11,0.001844735
01/11/2013,64.99,0.002156501
31/10/2013,64.85,0.00355295
30/10/2013,64.62,-0.010314925
29/10/2013,65.29,-0.008084858
28/10/2013,65.82,-0.009826975
25/10/2013,66.47,0.013479947
24/10/2013,65.58,0.004431886
23/10/2013,65.29,0.002760738
22/10/2013,65.11,0.010188418
21/10/2013,64.45,-0.006187181
18/10/2013,64.85,-0.006455602
17/10/2013,65.27,0.011092395
16/10/2013,64.55,0.020819411
15/10/2013,63.22,-0.002527647
14/10/2013,63.38,-0.004408068
11/10/2013,63.66,0.008994143
10/10/2013,63.09,0.026826763
09/10/2013,61.42,-0.003250978
08/10/2013,61.62,-0.006792845
07/10/2013,62.04,0.003067239
04/10/2013,61.85,0.004374956
03/10/2013,61.58,-0.019299409
02/10/2013,62.78,-0.011560822
01/10/2013,63.51,0.017952663
30/09/2013,62.38,-0.012743084
27/09/2013,63.18,-0.00851069
26/09/2013,63.72,0.004719216
25/09/2013,63.42,0.005534048
24/09/2013,63.07,0.002381142
23/09/2013,62.92,-0.012791331
20/09/2013,63.73,-0.025713932
19/09/2013,65.39,-0.003053904
18/09/2013,65.59,0.043149751
17/09/2013,62.82,0.000159198
16/09/2013,62.81,0.016858391
13/09/2013,61.76,0.007639208
12/09/2013,61.29,-0.007801112
11/09/2013,61.77,0.005356721
10/09/2013,61.44,-0.011328815
09/09/2013,62.14,0.021306816
06/09/2013,60.83,0.013405248
05/09/2013,60.02,-0.01946935
04/09/2013,61.2,0.005899722
03/09/2013,60.84,-0.009813621
30/08/2013,61.44,0.002607563
29/08/2013,61.28,-0.006668318
28/08/2013,61.69,0.00292208
27/08/2013,61.51,0.007179016
26/08/2013,61.07,-0.006365809
23/08/2013,61.46,0.011290311
22/08/2013,60.77,0.000987817
21/08/2013,60.71,0.011597214
20/08/2013,60.01,0.028566127
19/08/2013,58.32,-0.004277532
16/08/2013,58.57,-0.022286926
15/08/2013,59.89,-0.021637643
14/08/2013,61.2,-0.01395447
13/08/2013,62.06,-0.017252824
12/08/2013,63.14,-0.009457826
09/08/2013,63.74,0.014698013
08/08/2013,62.81,0.001115094
07/08/2013,62.74,-0.008095925
06/08/2013,63.25,-0.001421914
05/08/2013,63.34,-0.000473522
02/08/2013,63.37,-0.003308392
01/08/2013,63.58,-0.014211218
31/07/2013,64.49,-0.016760598
30/07/2013,65.58,0.000457561
29/07/2013,65.55,-0.008809291
26/07/2013,66.13,0.005306661
25/07/2013,65.78,0.001521376
24/07/2013,65.68,-0.032504921
23/07/2013,67.85,0.006506011
22/07/2013,67.41,-0.005326244
19/07/2013,67.77,-0.01056813
18/07/2013,68.49,0.005710536
17/07/2013,68.1,0.004415018
16/07/2013,67.8,0.003398097
15/07/2013,67.57,0.006831033
12/07/2013,67.11,-0.021959471
11/07/2013,68.6,0.04349807
10/07/2013,65.68,-0.000608828
09/07/2013,65.72,0.014869593
08/07/2013,64.75,-0.00723247
05/07/2013,65.22,-0.01279725
03/07/2013,66.06,-0.012187016
02/07/2013,66.87,0.007203993
01/07/2013,66.39,-0.009593838
28/06/2013,67.03,-0.001490758
27/06/2013,67.13,0.024733579
26/06/2013,65.49,0.016939118
25/06/2013,64.39,0.017547058
24/06/2013,63.27,-0.001263624
21/06/2013,63.35,0.019928918
20/06/2013,62.1,-0.05177627
19/06/2013,65.4,-0.0411889
18/06/2013,68.15,0.008251115
17/06/2013,67.59,0.003260228
14/06/2013,67.37,0.006104389
13/06/2013,66.96,0.022045284
12/06/2013,65.5,-0.019952294
11/06/2013,66.82,-0.007454932
10/06/2013,67.32,-0.014305974
07/06/2013,68.29,0.00528558
06/06/2013,67.93,0.01602646
05/06/2013,66.85,-0.01115668
04/06/2013,67.6,-0.011618632
03/06/2013,68.39,0.005277831
31/05/2013,68.03,-0.020226226
30/05/2013,69.42,-0.004599031
29/05/2013,69.74,-0.030641296
28/05/2013,71.91,-0.029190151
24/05/2013,74.04,-0.003774607
23/05/2013,74.32,-0.039184487
22/05/2013,77.29,-0.021630075
21/05/2013,78.98,0.01582473
20/05/2013,77.74,-0.00269767
17/05/2013,77.95,0.012002467
16/05/2013,77.02,-0.003628827
15/05/2013,77.3,0.016960615
14/05/2013,76,0.002239348
13/05/2013,75.83,0.004626272
10/05/2013,75.48,0.010387628
09/05/2013,74.7,0.007390024
08/05/2013,74.15,-0.01963073
07/05/2013,75.62,0.006633964
06/05/2013,75.12,0.002932944
03/05/2013,74.9,-0.009037807
02/05/2013,75.58,0.006903904
01/05/2013,75.06,0.00119976
30/04/2013,74.97,0.009784945
29/04/2013,74.24,0.010425929
26/04/2013,73.47,0
25/04/2013,73.47,-0.00529425
24/04/2013,73.86,0.004886003
23/04/2013,73.5,0.0102565
22/04/2013,72.75,0.00178854
19/04/2013,72.62,0.021012392
18/04/2013,71.11,-0.002107186
17/04/2013,71.26,-0.008384622
16/04/2013,71.86,0.021805745
15/04/2013,70.31,-0.011313938
12/04/2013,71.11,0.003239668
11/04/2013,70.88,-0.005767759
10/04/2013,71.29,0.010292653
09/04/2013,70.56,0.004972661
08/04/2013,70.21,0.006000018
05/04/2013,69.79,-0.002432917
04/04/2013,69.96,0.014832153
03/04/2013,68.93,-0.000580131
02/04/2013,68.97,0.007714178
01/04/2013,68.44,0.00777415
