Date,Close,SHW
04/04/2014,193.89,-0.033523259
03/04/2014,200.5,0.002146941
02/04/2014,200.07,0.004910322
01/04/2014,199.09,0.009893574
31/03/2014,197.13,0.01245486
28/03/2014,194.69,0.002468502
27/03/2014,194.21,-0.008000453
26/03/2014,195.77,-0.011175003
25/03/2014,197.97,-0.003026179
24/03/2014,198.57,-0.009223585
21/03/2014,200.41,-0.008496312
20/03/2014,202.12,-0.000544083
19/03/2014,202.23,-0.01262823
18/03/2014,204.8,0.002836049
17/03/2014,204.22,0.010534186
14/03/2014,202.08,-0.000544191
13/03/2014,202.19,-0.010087924
12/03/2014,204.24,-0.00361664
11/03/2014,204.98,-0.005449074
10/03/2014,206.1,-0.002955357
07/03/2014,206.71,0.018110866
06/03/2014,203,-0.00137836
05/03/2014,203.28,0.000541272
04/03/2014,203.17,0.018228831
03/03/2014,199.5,-0.004900255
28/02/2014,200.48,0.008314598
27/02/2014,198.82,0.001308571
26/02/2014,198.56,0.006011182
25/02/2014,197.37,0.014493747
24/02/2014,194.53,0.004843872
21/02/2014,193.59,0.000981938
20/02/2014,193.4,0.001655972
19/02/2014,193.08,0.008425701
18/02/2014,191.46,0.001515825
14/02/2014,191.17,0.003930926
13/02/2014,190.42,0.019033046
12/02/2014,186.83,0.018420507
11/02/2014,183.42,0.005850688
10/02/2014,182.35,-0.001150969
07/02/2014,182.56,0.018632191
06/02/2014,179.19,0.020238014
05/02/2014,175.6,-0.013293931
04/02/2014,177.95,0.006031075
03/02/2014,176.88,-0.035434373
31/01/2014,183.26,-0.002615805
30/01/2014,183.74,-0.028860019
29/01/2014,189.12,-0.013445581
28/01/2014,191.68,0.005807734
27/01/2014,190.57,-0.001206178
24/01/2014,190.8,-0.022388995
23/01/2014,195.12,-0.011313376
22/01/2014,197.34,-0.003490405
21/01/2014,198.03,0.01994201
17/01/2014,194.12,0.003147334
16/01/2014,193.51,0.001913876
15/01/2014,193.14,-0.001758833
14/01/2014,193.48,0.01190645
13/01/2014,191.19,-0.008593132
10/01/2014,192.84,0.020801882
09/01/2014,188.87,-0.004279494
08/01/2014,189.68,0.010973102
07/01/2014,187.61,0.026574613
06/01/2014,182.69,-0.000601932
03/01/2014,182.8,0.002135758
02/01/2014,182.41,-0.005957767
31/12/2013,183.5,0.006835297
30/12/2013,182.25,-0.001370802
27/12/2013,182.5,-0.001751889
26/12/2013,182.82,0.000711335
24/12/2013,182.69,0.006975942
23/12/2013,181.42,-0.004015738
20/12/2013,182.15,0.011040686
19/12/2013,180.15,0.00127753
18/12/2013,179.92,0.014612695
17/12/2013,177.31,0
16/12/2013,177.31,-0.003715384
13/12/2013,177.97,-0.008225893
12/12/2013,179.44,-0.009705314
11/12/2013,181.19,-0.019132539
10/12/2013,184.69,-0.004483949
09/12/2013,185.52,0.003726209
06/12/2013,184.83,0.016914415
05/12/2013,181.73,0.003583147
04/12/2013,181.08,0.007038185
03/12/2013,179.81,-0.007369475
02/12/2013,181.14,-0.010379861
29/11/2013,183.03,-0.002782554
27/11/2013,183.54,-0.004132237
26/11/2013,184.3,-0.002925721
