Date,Close,ETFC
04/04/2014,20.43,-0.081735615
03/04/2014,22.17,-0.066735025
02/04/2014,23.7,-0.002528446
01/04/2014,23.76,0.031640091
31/03/2014,23.02,0.018856073
28/03/2014,22.59,-0.009253205
27/03/2014,22.8,-0.031515667
26/03/2014,23.53,-0.020610614
25/03/2014,24.02,-0.007465817
24/03/2014,24.2,-0.026907453
21/03/2014,24.86,-0.011200117
20/03/2014,25.14,0.018872273
19/03/2014,24.67,0.009776045
18/03/2014,24.43,0.027808391
17/03/2014,23.76,0.011428696
14/03/2014,23.49,0.009839652
13/03/2014,23.26,-0.01323957
12/03/2014,23.57,0.01280974
11/03/2014,23.27,-0.008984018
10/03/2014,23.48,-0.000851426
07/03/2014,23.5,0.004264399
06/03/2014,23.4,0.00686109
05/03/2014,23.24,0.003448279
04/03/2014,23.16,0.052748766
03/03/2014,21.97,-0.0225032
28/02/2014,22.47,0.007594408
27/02/2014,22.3,-0.001344387
26/02/2014,22.33,-0.009804
25/02/2014,22.55,-0.00707029
24/02/2014,22.71,0.015084581
21/02/2014,22.37,-0.015964862
20/02/2014,22.73,0.010170329
19/02/2014,22.5,-0.001332445
18/02/2014,22.53,0.032479174
14/02/2014,21.81,0.000917431
13/02/2014,21.79,0.022744076
12/02/2014,21.3,0.012281685
11/02/2014,21.04,0.019679061
10/02/2014,20.63,0.017604367
07/02/2014,20.27,0.025482268
06/02/2014,19.76,0.027188133
05/02/2014,19.23,-0.00828591
04/02/2014,19.39,0.01821544
03/02/2014,19.04,-0.050189745
31/01/2014,20.02,-0.016349138
30/01/2014,20.35,0.02236118
29/01/2014,19.9,-0.023343499
28/01/2014,20.37,0.014837067
27/01/2014,20.07,-0.043866682
24/01/2014,20.97,-0.003332543
23/01/2014,21.04,-0.022092555
22/01/2014,21.51,0.008403411
21/01/2014,21.33,0.014640167
17/01/2014,21.02,-0.012763113
16/01/2014,21.29,0.004708107
15/01/2014,21.19,0.011390726
14/01/2014,20.95,0.019277705
13/01/2014,20.55,-0.017366572
10/01/2014,20.91,-0.001433692
09/01/2014,20.94,0.01104453
08/01/2014,20.71,0.000966184
07/01/2014,20.69,0.020508531
06/01/2014,20.27,-0.001478926
03/01/2014,20.3,0.024434025
02/01/2014,19.81,0.008618558
31/12/2013,19.64,0.013842826
30/12/2013,19.37,-0.004121593
27/12/2013,19.45,-0.000514007
26/12/2013,19.46,0.00257268
24/12/2013,19.41,-0.003599901
