Date,Close,FDO
04/04/2014,58.04,0.000344649
03/04/2014,58.02,0.005184045
02/04/2014,57.72,-0.003976836
01/04/2014,57.95,-0.00103484
31/03/2014,58.01,0.004318915
28/03/2014,57.76,0.004685475
27/03/2014,57.49,-0.008142098
26/03/2014,57.96,-0.004647568
25/03/2014,58.23,-0.017365094
24/03/2014,59.25,-0.015906572
21/03/2014,60.2,-0.00464038
20/03/2014,60.48,-0.003630966
19/03/2014,60.7,-0.006240782
18/03/2014,61.08,0.005088234
17/03/2014,60.77,0.007929994
14/03/2014,60.29,-0.002319418
13/03/2014,60.43,-0.020149752
12/03/2014,61.66,-0.011769584
11/03/2014,62.39,-0.008141158
10/03/2014,62.9,-0.001905973
07/03/2014,63.02,-0.014023707
06/03/2014,63.91,-0.008879255
05/03/2014,64.48,-0.005413361
04/03/2014,64.83,-0.000770951
03/03/2014,64.88,-0.009510733
28/02/2014,65.5,-0.015903402
27/02/2014,66.55,-0.008230499
26/02/2014,67.1,0.018652767
25/02/2014,65.86,-0.004544774
24/02/2014,66.16,0.00682493
21/02/2014,65.71,0.009787507
20/02/2014,65.07,-0.009178587
19/02/2014,65.67,0.016892294
18/02/2014,64.57,0.017812971
14/02/2014,63.43,0.017173264
13/02/2014,62.35,-0.007350624
12/02/2014,62.81,-0.009349565
11/02/2014,63.4,0.018305326
10/02/2014,62.25,-0.00656475
07/02/2014,62.66,0.003036844
06/02/2014,62.47,0.011754422
05/02/2014,61.74,0.017977278
04/02/2014,60.64,0.008445856
03/02/2014,60.13,-0.027718052
31/01/2014,61.82,-0.002262079
30/01/2014,61.96,-0.007396721
29/01/2014,62.42,-0.011468746
28/01/2014,63.14,-0.006000334
27/01/2014,63.52,0.009014056
24/01/2014,62.95,-0.020752199
23/01/2014,64.27,-0.007595169
22/01/2014,64.76,0.003712876
21/01/2014,64.52,-0.015990501
17/01/2014,65.56,0.011505841
16/01/2014,64.81,-0.0070726
15/01/2014,65.27,0.013108369
14/01/2014,64.42,-0.008963126
13/01/2014,65,-0.037443988
10/01/2014,67.48,0.037905633
09/01/2014,64.97,-0.020867409
08/01/2014,66.34,0.014270775
07/01/2014,65.4,-0.00518531
06/01/2014,65.74,-0.010140079
03/01/2014,66.41,0.005284228
02/01/2014,66.06,0.016637795
31/12/2013,64.97,-0.007208067
30/12/2013,65.44,0.00690028
27/12/2013,64.99,0.000615669
26/12/2013,64.95,-0.009195467
24/12/2013,65.55,0.003361861
23/12/2013,65.33,0.012941176
20/12/2013,64.49,0.014211218
19/12/2013,63.58,-0.005646188
18/12/2013,63.94,0.00423165
17/12/2013,63.67,-0.000157048
16/12/2013,63.68,-0.004387346
13/12/2013,63.96,-0.003745323
12/12/2013,64.2,-0.007139562
11/12/2013,64.66,-0.010767678
