Date,Close,DNR
04/04/2014,16.75,-0.000596837
03/04/2014,16.76,-0.004167913
02/04/2014,16.83,0.010152371
01/04/2014,16.66,0.015729302
31/03/2014,16.4,-0.016329362
28/03/2014,16.67,0.018160305
27/03/2014,16.37,0.012292718
26/03/2014,16.17,-0.008620743
25/03/2014,16.31,0.001226994
24/03/2014,16.29,-0.008557509
21/03/2014,16.43,0.015951258
20/03/2014,16.17,0.00061862
19/03/2014,16.16,-0.001854715
18/03/2014,16.19,0.011805045
17/03/2014,16,-0.016119382
14/03/2014,16.26,0.018622512
13/03/2014,15.96,0
12/03/2014,15.96,-0.008112369
11/03/2014,16.09,-0.01725243
10/03/2014,16.37,0.001222494
07/03/2014,16.35,0.007982849
06/03/2014,16.22,0.001233806
05/03/2014,16.2,-0.020770447
04/03/2014,16.54,0.007281586
03/03/2014,16.42,0.003660773
28/02/2014,16.36,0.008594282
27/02/2014,16.22,-0.004306374
26/02/2014,16.29,-0.001839927
25/02/2014,16.32,0.004298441
24/02/2014,16.25,0.019261235
21/02/2014,15.94,-0.000627156
20/02/2014,15.95,-0.014934938
19/02/2014,16.19,0
18/02/2014,16.19,-0.003083567
14/02/2014,16.24,0
13/02/2014,16.24,-0.006750563
12/02/2014,16.35,0.003676475
11/02/2014,16.29,0.013597243
10/02/2014,16.07,-0.004346483
07/02/2014,16.14,0.008087136
06/02/2014,16.01,0.019552815
05/02/2014,15.7,-0.01705125
04/02/2014,15.97,0.022800228
03/02/2014,15.61,-0.029042445
31/01/2014,16.07,0.003116238
30/01/2014,16.02,-0.001247661
29/01/2014,16.04,-0.007453451
28/01/2014,16.16,0.011201113
27/01/2014,15.98,-0.014290395
24/01/2014,16.21,-0.015912208
23/01/2014,16.47,-0.006053287
22/01/2014,16.57,0.00120773
21/01/2014,16.55,0.017677998
17/01/2014,16.26,-0.012225091
16/01/2014,16.46,-0.001820941
15/01/2014,16.49,0.001820941
14/01/2014,16.46,0.023979015
13/01/2014,16.07,-0.028222732
10/01/2014,16.53,0.003029387
09/01/2014,16.48,-0.010863112
08/01/2014,16.66,0.007228947
07/01/2014,16.54,0.001815432
06/01/2014,16.51,-0.002419844
03/01/2014,16.55,0.013994752
02/01/2014,16.32,-0.006717583
31/12/2013,16.43,0.009171571
30/12/2013,16.28,-0.016448741
27/12/2013,16.55,0.01093571
26/12/2013,16.37,-0.001221001
24/12/2013,16.39,0.006734032
23/12/2013,16.28,0.006161449
20/12/2013,16.18,-0.014724192
19/12/2013,16.42,0.016580054
18/12/2013,16.15,0.009956523
17/12/2013,15.99,-0.008717365
16/12/2013,16.13,0.009342952
13/12/2013,15.98,-0.001250782
12/12/2013,16,-0.00249688
11/12/2013,16.04,-0.009308165
10/12/2013,16.19,0.001236094
09/12/2013,16.17,-0.006165248
06/12/2013,16.27,-0.013431215
05/12/2013,16.49,-0.006648559
04/12/2013,16.6,-0.0095924
03/12/2013,16.76,0.000596837
02/12/2013,16.75,0.004187861
29/11/2013,16.68,0
27/11/2013,16.68,-0.016647233
26/11/2013,16.96,-0.000589449
25/11/2013,16.97,-0.01983729
22/11/2013,17.31,-0.000577534
21/11/2013,17.32,0.018060497
20/11/2013,17.01,-0.012850644
19/11/2013,17.23,-0.007516659
18/11/2013,17.36,-0.016000341
15/11/2013,17.64,0.011402632
14/11/2013,17.44,-0.010268202
13/11/2013,17.62,-0.002267575
12/11/2013,17.66,-0.030119399
11/11/2013,18.2,-0.061270825
08/11/2013,19.35,0.039530839
07/11/2013,18.6,-0.044171218
06/11/2013,19.44,0.016075016
05/11/2013,19.13,-0.014530614
04/11/2013,19.41,0.029275483
01/11/2013,18.85,-0.007399611
31/10/2013,18.99,-0.002629505
30/10/2013,19.04,-0.01615039
29/10/2013,19.35,0.007261443
28/10/2013,19.21,-0.000520427
25/10/2013,19.22,0.019969134
24/10/2013,18.84,0.02798891
23/10/2013,18.32,-0.04012306
22/10/2013,19.07,0.013196285
21/10/2013,18.82,-0.010045022
18/10/2013,19.01,0.004745593
17/10/2013,18.92,-0.009468771
16/10/2013,19.1,0.034623965
15/10/2013,18.45,-0.001083424
14/10/2013,18.47,0.005973409
11/10/2013,18.36,0.006009305
10/10/2013,18.25,0.018247672
09/10/2013,17.92,-0.009994531
08/10/2013,18.1,-0.013172529
07/10/2013,18.34,-0.018904155
04/10/2013,18.69,0.010758576
03/10/2013,18.49,-0.022989518
02/10/2013,18.92,0.00583092
01/10/2013,18.81,0.021494648
30/09/2013,18.41,-0.007575794
27/09/2013,18.55,0.006490017
26/09/2013,18.43,0.012008878
25/09/2013,18.21,0.023334392
24/09/2013,17.79,0.033727118
23/09/2013,17.2,-0.005797118
20/09/2013,17.3,-0.018328119
19/09/2013,17.62,-0.011286802
18/09/2013,17.82,0.007321914
17/09/2013,17.69,0.015954754
16/09/2013,17.41,-0.021029476
13/09/2013,17.78,-0.012852929
12/09/2013,18.01,0.00166713
11/09/2013,17.98,0.008377597
10/09/2013,17.83,-0.002800338
09/09/2013,17.88,0.012380575
06/09/2013,17.66,-0.002827257
05/09/2013,17.71,0.011357305
04/09/2013,17.51,0.010333043
03/09/2013,17.33,0.002310804
30/08/2013,17.29,0.004056801
29/08/2013,17.22,-0.013841051
28/08/2013,17.46,0.016748876
27/08/2013,17.17,-0.005807217
26/08/2013,17.27,0.004061508
23/08/2013,17.2,0.005246296
22/08/2013,17.11,0.010575892
21/08/2013,16.93,-0.001180638
20/08/2013,16.95,0.002954212
19/08/2013,16.9,-0.019338429
16/08/2013,17.23,-0.00809253
15/08/2013,17.37,-0.001725626
14/08/2013,17.4,-0.005159083
13/08/2013,17.49,-0.002854698
12/08/2013,17.54,0.001140901
09/08/2013,17.52,0.010903982
08/08/2013,17.33,0.004047418
07/08/2013,17.26,-0.016662264
06/08/2013,17.55,-0.029752405
05/08/2013,18.08,0.009447139
02/08/2013,17.91,-0.011105056
01/08/2013,18.11,0.034263391
31/07/2013,17.5,0
30/07/2013,17.5,0.005156127
29/07/2013,17.41,-0.005156127
26/07/2013,17.5,-0.000571265
25/07/2013,17.51,0.00917964
24/07/2013,17.35,-0.034554556
23/07/2013,17.96,-0.007212237
22/07/2013,18.09,-0.02349193
19/07/2013,18.52,0.011950169
18/07/2013,18.3,0.018753997
17/07/2013,17.96,0.008948606
16/07/2013,17.8,0.00337648
15/07/2013,17.74,-0.000563539
12/07/2013,17.75,0.002820876
11/07/2013,17.7,0.011363759
10/07/2013,17.5,0.000571592
09/07/2013,17.49,0.00746058
08/07/2013,17.36,-0.008032172
05/07/2013,17.5,0.013809195
03/07/2013,17.26,-0.006928434
02/07/2013,17.38,-0.001724634
01/07/2013,17.41,0.005182851
28/06/2013,17.32,0
27/06/2013,17.32,0.008115987
26/06/2013,17.18,-0.008115987
25/06/2013,17.32,0.018060497
24/06/2013,17.01,-0.002935136
21/06/2013,17.06,-0.018583578
20/06/2013,17.38,-0.043350441
19/06/2013,18.15,-0.008776798
18/06/2013,18.31,0.00712527
17/06/2013,18.18,0.020000667
14/06/2013,17.82,-0.020000667
13/06/2013,18.18,0.015521376
12/06/2013,17.9,-0.006126446
11/06/2013,18.01,-0.035455036
10/06/2013,18.66,-0.006942618
07/06/2013,18.79,0.013394253
06/06/2013,18.54,0.017959666
05/06/2013,18.21,-0.008748005
04/06/2013,18.37,-0.006511146
03/06/2013,18.49,0.007600471
31/05/2013,18.35,-0.027943785
30/05/2013,18.87,-0.000529801
29/05/2013,18.88,0.015479359
28/05/2013,18.59,0.007017573
24/05/2013,18.46,-0.013451911
23/05/2013,18.71,-0.00320171
22/05/2013,18.77,-0.028363246
21/05/2013,19.31,-0.008765202
20/05/2013,19.48,0.031285137
17/05/2013,18.88,0.028473586
16/05/2013,18.35,-0.016752621
15/05/2013,18.66,0.017843134
14/05/2013,18.33,0.02765663
13/05/2013,17.83,-0.005592856
10/05/2013,17.93,-0.00389647
09/05/2013,18,-0.015435808
08/05/2013,18.28,0.006035684
07/05/2013,18.17,0.013296595
06/05/2013,17.93,0.002792518
03/05/2013,17.88,0.014080773
02/05/2013,17.63,0.003978408
01/05/2013,17.56,-0.018618309
30/04/2013,17.89,0.010112446
29/04/2013,17.71,0.018809332
26/04/2013,17.38,-0.00287274
25/04/2013,17.43,0.015611765
24/04/2013,17.16,0.012903405
23/04/2013,16.94,-0.002358492
22/04/2013,16.98,0.017825784
19/04/2013,16.68,-0.008952611
18/04/2013,16.83,0.002975307
17/04/2013,16.78,-0.025302909
16/04/2013,17.21,0.017585447
15/04/2013,16.91,-0.051854934
12/04/2013,17.81,-0.032590567
11/04/2013,18.4,-0.001086366
10/04/2013,18.42,0.00817666
09/04/2013,18.27,0.013223333
08/04/2013,18.03,0.014525395
05/04/2013,17.77,-0.000562588
04/04/2013,17.78,0.00903961
03/04/2013,17.62,-0.017998236
02/04/2013,17.94,-0.014388737
01/04/2013,18.2,-0.024424552
28/03/2013,18.65,-0.018066379
27/03/2013,18.99,-0.004203895
26/03/2013,19.07,0.01054306
25/03/2013,18.87,0.015487626
22/03/2013,18.58,0.011911348
21/03/2013,18.36,-0.00271961
20/03/2013,18.41,0.014223435
19/03/2013,18.15,-0.015851657
18/03/2013,18.44,-0.009176853
15/03/2013,18.61,-0.009625743
14/03/2013,18.79,0.020974149
13/03/2013,18.4,-0.005420067
12/03/2013,18.5,0.004876737
11/03/2013,18.41,0.000543331
08/03/2013,18.4,0.01478264
07/03/2013,18.13,0.016124898
06/03/2013,17.84,0.007878488
05/03/2013,17.7,0.010792493
04/03/2013,17.51,-0.019791429
01/03/2013,17.86,-0.014452725
28/02/2013,18.12,0.007200253
27/02/2013,17.99,0.002783191
26/02/2013,17.94,0.011774737
25/02/2013,17.73,-0.043053006
22/02/2013,18.51,0.025719612
21/02/2013,18.04,0
20/02/2013,18.04,-0.037000956
19/02/2013,18.72,0.015070253
15/02/2013,18.44,-0.025697345
14/02/2013,18.92,0.006362694
13/02/2013,18.8,0.001597019
12/02/2013,18.77,0.001066098
11/02/2013,18.75,-0.003194891
08/02/2013,18.81,0.00159617
07/02/2013,18.78,-0.017419284
06/02/2013,19.11,0.006299233
05/02/2013,18.99,0.021826791
04/02/2013,18.58,-0.017076189
01/02/2013,18.9,0.014388737
31/01/2013,18.63,0.005382144
30/01/2013,18.53,-0.010735476
29/01/2013,18.73,0.019952131
