Date,Close,COP
04/04/2014,70.22,0.00028486
03/04/2014,70.2,-0.009781069
02/04/2014,70.89,0.008215344
01/04/2014,70.31,-0.000568747
31/03/2014,70.35,0
28/03/2014,70.35,0.015182188
27/03/2014,69.29,0.010008061
26/03/2014,68.6,0.00306592
25/03/2014,68.39,0.012210523
24/03/2014,67.56,0.001184834
21/03/2014,67.48,-0.006204777
20/03/2014,67.9,0.005908437
19/03/2014,67.5,-0.008849615
18/03/2014,68.1,0.011965576
17/03/2014,67.29,0.01030706
14/03/2014,66.6,0.004213067
13/03/2014,66.32,-0.00331176
12/03/2014,66.54,0.000150297
11/03/2014,66.53,-0.005396505
10/03/2014,66.89,0.005697167
07/03/2014,66.51,0.00180587
06/03/2014,66.39,0.001356546
05/03/2014,66.3,-0.00301205
04/03/2014,66.5,0.002861232
03/03/2014,66.31,-0.002861232
28/02/2014,66.5,0.003766483
27/02/2014,66.25,0.001812963
26/02/2014,66.13,-0.005880153
25/02/2014,66.52,0.001504438
24/02/2014,66.42,0.026546181
21/02/2014,64.68,-0.003703708
20/02/2014,64.92,-0.001231527
19/02/2014,65,-0.005676168
18/02/2014,65.37,-0.002444615
14/02/2014,65.53,0.012592304
13/02/2014,64.71,-0.007850421
12/02/2014,65.22,-0.005352104
11/02/2014,65.57,0.015213509
10/02/2014,64.58,-0.00602086
07/02/2014,64.97,0.010365994
06/02/2014,64.3,0.013149845
05/02/2014,63.46,-0.00393175
04/02/2014,63.71,-0.002351651
03/02/2014,63.86,-0.016924556
31/01/2014,64.95,-0.012241928
30/01/2014,65.75,-0.001064072
29/01/2014,65.82,-0.005907765
28/01/2014,66.21,0.005300232
27/01/2014,65.86,-0.010722749
24/01/2014,66.57,-0.019045361
23/01/2014,67.85,-0.007634746
22/01/2014,68.37,0.001610188
21/01/2014,68.26,0.011048208
17/01/2014,67.51,-0.00472884
16/01/2014,67.83,-0.003678909
15/01/2014,68.08,-0.003519065
14/01/2014,68.32,0.008525702
13/01/2014,67.74,-0.016543822
10/01/2014,68.87,-0.008530378
09/01/2014,69.46,-0.003305788
