Date,Close,APH
04/04/2014,92.72,-0.010940793
03/04/2014,93.74,-0.00276979
02/04/2014,94,0.019117755
01/04/2014,92.22,0.006200052
31/03/2014,91.65,0.000327386
28/03/2014,91.62,0.009210591
27/03/2014,90.78,-0.007572053
26/03/2014,91.47,-0.013573149
25/03/2014,92.72,0.002375555
24/03/2014,92.5,-0.008075414
21/03/2014,93.25,0.017088887
20/03/2014,91.67,0.005798386
19/03/2014,91.14,-0.006670701
18/03/2014,91.75,0.00557409
17/03/2014,91.24,0.00825405
14/03/2014,90.49,0.002877381
13/03/2014,90.23,-0.003650648
12/03/2014,90.56,0.007982304
11/03/2014,89.84,-0.007209037
10/03/2014,90.49,0.000884467
07/03/2014,90.41,0.001771284
06/03/2014,90.25,0.010582109
05/03/2014,89.3,-0.007585936
04/03/2014,89.98,0.024753739
03/03/2014,87.78,-0.002730377
28/02/2014,88.02,0.004897225
27/02/2014,87.59,0.0058396
26/02/2014,87.08,-0.014252564
25/02/2014,88.33,-0.006544821
24/02/2014,88.91,0.008471277
21/02/2014,88.16,-0.008921069
20/02/2014,88.95,0.00450705
19/02/2014,88.55,-0.00338219
18/02/2014,88.85,0.006549256
14/02/2014,88.27,-0.003054128
13/02/2014,88.54,0.002940846
12/02/2014,88.28,0.003631416
11/02/2014,87.96,0.010629279
10/02/2014,87.03,-0.003784625
07/02/2014,87.36,0.007583628
06/02/2014,86.7,0.015927791
05/02/2014,85.33,0.004345535
04/02/2014,84.96,0.003301111
03/02/2014,84.68,-0.02564841
31/01/2014,86.88,0.002420053
30/01/2014,86.67,0.012072114
29/01/2014,85.63,-0.005357572
28/01/2014,86.09,0.008749983
27/01/2014,85.34,-0.00642413
24/01/2014,85.89,-0.029822144
23/01/2014,88.49,-0.02873889
22/01/2014,91.07,0.000329471
21/01/2014,91.04,-0.011358794
17/01/2014,92.08,0.00228323
16/01/2014,91.87,-0.001957373
15/01/2014,92.05,-0.00390329
14/01/2014,92.41,0.035466272
13/01/2014,89.19,-0.00168039
10/01/2014,89.34,-0.000895055
09/01/2014,89.42,0.01226457
08/01/2014,88.33,0.005562823
07/01/2014,87.84,0.006739417
06/01/2014,87.25,-0.009240839
03/01/2014,88.06,0.003640505
02/01/2014,87.74,-0.016278903
31/12/2013,89.18,0.005284177
