Date,Close,CNP
04/04/2014,23.8,-0.00293686
03/04/2014,23.87,-0.004180608
02/04/2014,23.97,0.006277485
01/04/2014,23.82,0.005472546
31/03/2014,23.69,0.006351916
28/03/2014,23.54,0.006392521
27/03/2014,23.39,0.004713958
26/03/2014,23.28,-0.004713958
25/03/2014,23.39,-0.006392521
24/03/2014,23.54,-0.007617472
21/03/2014,23.72,0.000843526
20/03/2014,23.7,-0.007147392
19/03/2014,23.87,-0.007512556
18/03/2014,24.05,-0.008281621
17/03/2014,24.25,0.014538158
14/03/2014,23.9,-0.001672241
13/03/2014,23.94,0.021960342
12/03/2014,23.42,0.004707905
11/03/2014,23.31,0.00948283
10/03/2014,23.09,-0.004321528
07/03/2014,23.19,-0.002583981
06/03/2014,23.25,-0.003434954
05/03/2014,23.33,-0.011930265
04/03/2014,23.61,0.005521356
03/03/2014,23.48,-0.00721412
28/02/2014,23.65,0.003812756
27/02/2014,23.56,0.000424538
26/02/2014,23.55,-0.026813504
25/02/2014,24.19,-0.007823799
24/02/2014,24.38,-0.004093334
21/02/2014,24.48,0.008203491
20/02/2014,24.28,0.005782751
19/02/2014,24.14,0.002073399
18/02/2014,24.09,0.00166182
14/02/2014,24.05,0.023134575
13/02/2014,23.5,0.008547061
12/02/2014,23.3,-0.011096998
11/02/2014,23.56,0.006814336
10/02/2014,23.4,0.002995936
07/02/2014,23.33,0.006450248
06/02/2014,23.18,0.006058002
05/02/2014,23.04,-0.000867679
04/02/2014,23.06,0.000433745
03/02/2014,23.05,-0.015070253
31/01/2014,23.4,-0.006389798
30/01/2014,23.55,0.01713104
29/01/2014,23.15,-0.008173846
28/01/2014,23.34,0.006878789
27/01/2014,23.18,0.001295057
24/01/2014,23.15,-0.017979936
23/01/2014,23.57,-0.009290607
22/01/2014,23.79,0.003368424
21/01/2014,23.71,0.012306542
17/01/2014,23.42,-0.005960001
16/01/2014,23.56,0.004253516
15/01/2014,23.46,0.009852296
14/01/2014,23.23,0.008212711
13/01/2014,23.04,-0.01464912
10/01/2014,23.38,0.012048339
09/01/2014,23.1,0.011319233
08/01/2014,22.84,-0.010453057
07/01/2014,23.08,0.010453057
06/01/2014,22.84,0.001314348
03/01/2014,22.81,-0.000438308
02/01/2014,22.82,-0.015652493
31/12/2013,23.18,0.003024414
30/12/2013,23.11,-0.00043262
27/12/2013,23.12,0.002164972
26/12/2013,23.07,-0.003461708
24/12/2013,23.15,0.003895266
23/12/2013,23.06,-0.008205617
20/12/2013,23.25,0.021300523
19/12/2013,22.76,-0.01005473
18/12/2013,22.99,0.004359205
17/12/2013,22.89,0.004378291
16/12/2013,22.79,0.004838364
13/12/2013,22.68,-0.007467638
12/12/2013,22.85,0
11/12/2013,22.85,-0.016923815
10/12/2013,23.24,-0.002149152
09/12/2013,23.29,-0.003001074
06/12/2013,23.36,0.007304007
05/12/2013,23.19,0.004321528
04/12/2013,23.09,0.001733854
03/12/2013,23.05,-0.003464707
02/12/2013,23.13,-0.012886776
29/11/2013,23.43,-0.000853242
27/11/2013,23.45,-0.0055284
26/11/2013,23.58,-0.053263363
25/11/2013,24.87,-0.004413247
22/11/2013,24.98,0.017771065
21/11/2013,24.54,0.006131227
20/11/2013,24.39,-0.011819987
19/11/2013,24.68,-0.00927613
18/11/2013,24.91,-0.006402583
15/11/2013,25.07,0.005198972
14/11/2013,24.94,-0.001602564
13/11/2013,24.98,0.003207701
12/11/2013,24.9,-0.004008021
11/11/2013,25,0.007226045
08/11/2013,24.82,0.003632698
07/11/2013,24.73,-0.012856746
06/11/2013,25.05,0.032044924
05/11/2013,24.26,-0.007801312
04/11/2013,24.45,0.001637332
01/11/2013,24.41,-0.007753559
