Date,Close,CPB
04/04/2014,44.31,-0.012559035
03/04/2014,44.87,0.006708433
02/04/2014,44.57,0.000224391
01/04/2014,44.56,-0.007155666
31/03/2014,44.88,0.007155666
28/03/2014,44.56,0.009243669
27/03/2014,44.15,0.002267575
26/03/2014,44.05,-0.00611069
25/03/2014,44.32,0.001580671
24/03/2014,44.25,-0.00653229
21/03/2014,44.54,-0.002242656
20/03/2014,44.64,0.014667983
19/03/2014,43.99,-0.00860123
18/03/2014,44.37,0.010877062
17/03/2014,43.89,-0.003638849
14/03/2014,44.05,0.000681276
13/03/2014,44.02,-0.004306932
12/03/2014,44.21,0.013435247
11/03/2014,43.62,-0.005714954
10/03/2014,43.87,-0.000911369
07/03/2014,43.91,0.004336421
06/03/2014,43.72,-0.001371429
05/03/2014,43.78,-0.004785243
04/03/2014,43.99,0.022064789
03/03/2014,43.03,-0.006486008
28/02/2014,43.31,0.004164745
27/02/2014,43.13,-0.002778423
26/02/2014,43.25,-0.015827834
25/02/2014,43.94,-0.005673452
24/02/2014,44.19,0.004763534
21/02/2014,43.98,0.006615742
20/02/2014,43.69,0.00320954
19/02/2014,43.55,0.00691247
18/02/2014,43.25,0.005564587
14/02/2014,43.01,0.048592555
13/02/2014,40.97,0.002688502
12/02/2014,40.86,-0.000978474
11/02/2014,40.9,0.006131227
10/02/2014,40.65,0.008151212
07/02/2014,40.32,0.007468295
06/02/2014,40.02,0.004507896
05/02/2014,39.84,-0.005257241
04/02/2014,40.05,0.004253728
03/02/2014,39.88,-0.032806
31/01/2014,41.21,0.001214034
30/01/2014,41.16,0.001458789
29/01/2014,41.1,-0.020946956
28/01/2014,41.97,0.000953516
27/01/2014,41.93,-0.00854909
24/01/2014,42.29,0.010219934
23/01/2014,41.86,-0.010929071
22/01/2014,42.32,0.005212047
21/01/2014,42.1,0.007390664
17/01/2014,41.79,-0.025048569
16/01/2014,42.85,0.01268218
15/01/2014,42.31,-0.007534766
14/01/2014,42.63,0.008953877
13/01/2014,42.25,-0.013634438
10/01/2014,42.83,0.007970038
09/01/2014,42.49,-0.00235073
08/01/2014,42.59,-0.006552797
07/01/2014,42.87,0.011023918
06/01/2014,42.4,-0.000471587
03/01/2014,42.42,-0.014509967
02/01/2014,43.04,-0.005560719
31/12/2013,43.28,-0.002077323
30/12/2013,43.37,0.001615323
27/12/2013,43.3,0.011147352
26/12/2013,42.82,-0.000233508
24/12/2013,42.83,0.000934361
23/12/2013,42.79,0.00210551
20/12/2013,42.7,-0.011641575
19/12/2013,43.2,-0.003004741
18/12/2013,43.33,0.013709986
17/12/2013,42.74,0.042295158
16/12/2013,40.97,0.005384252
13/12/2013,40.75,-0.00147131
12/12/2013,40.81,0.004174346
11/12/2013,40.64,-0.007843177
10/12/2013,40.96,-0.038083874
09/12/2013,42.55,0.002824196
06/12/2013,42.43,0.056479325
05/12/2013,40.1,0.00149738
04/12/2013,40.04,0.031201009
03/12/2013,38.81,0.004907668
02/12/2013,38.62,-0.002844217
29/11/2013,38.73,0.000258231
27/11/2013,38.72,-0.001290489
26/11/2013,38.77,-0.000773495
25/11/2013,38.8,-0.014583858
22/11/2013,39.37,0.012266957
21/11/2013,38.89,0.007484872
20/11/2013,38.6,-0.01542447
19/11/2013,39.2,-0.064458799
18/11/2013,41.81,-0.014484404
15/11/2013,42.42,-0.002824861
14/11/2013,42.54,0.008498635
13/11/2013,42.18,0.013605652
12/11/2013,41.61,-0.008614554
11/11/2013,41.97,0.000953516
08/11/2013,41.93,0.003105222
07/11/2013,41.8,-0.022940583
06/11/2013,42.77,0.010104657
05/11/2013,42.34,0.000708801
04/11/2013,42.31,-0.008941236
01/11/2013,42.69,0.002814921
31/10/2013,42.57,-0.009352418
30/10/2013,42.97,-0.006726223
29/10/2013,43.26,0.00928943
28/10/2013,42.86,0.007024145
25/10/2013,42.56,0.003766483
24/10/2013,42.4,-0.005878912
23/10/2013,42.65,-0.000937427
22/10/2013,42.69,0.020111881
21/10/2013,41.84,0.005993066
18/10/2013,41.59,-0.000961307
17/10/2013,41.63,0.002405004
16/10/2013,41.53,0.01601976
15/10/2013,40.87,0.00122414
14/10/2013,40.82,-0.001468789
11/10/2013,40.88,-0.002931121
10/10/2013,41,0.02269461
09/10/2013,40.08,0.001998003
08/10/2013,40,-0.005982072
07/10/2013,40.24,-0.006934154
04/10/2013,40.52,-0.008600618
03/10/2013,40.87,-0.002199683
02/10/2013,40.96,-0.006084965
01/10/2013,41.21,0.012207183
30/09/2013,40.71,-0.006122218
27/09/2013,40.96,-0.00996
26/09/2013,41.37,0.002177859
25/09/2013,41.28,-0.005315306
24/09/2013,41.5,-0.006245516
23/09/2013,41.76,-0.000957396
20/09/2013,41.8,-0.009523882
19/09/2013,42.2,-0.009434032
18/09/2013,42.6,0.01513747
17/09/2013,41.96,-0.010903166
16/09/2013,42.42,0.003305788
13/09/2013,42.28,0.025390586
12/09/2013,41.22,-0.006046699
11/09/2013,41.47,0.005561615
10/09/2013,41.24,-0.018022836
09/09/2013,41.99,0
06/09/2013,41.99,0.002623109
05/09/2013,41.88,-0.024529532
04/09/2013,42.92,0.003968722
03/09/2013,42.75,-0.01000823
30/08/2013,43.18,-0.003467811
29/08/2013,43.33,-0.031351954
28/08/2013,44.71,-0.008019646
27/08/2013,45.07,-0.007295268
26/08/2013,45.4,-0.021571814
23/08/2013,46.39,0.01170872
22/08/2013,45.85,0.009202519
21/08/2013,45.43,-0.013989299
20/08/2013,46.07,0.000651395
19/08/2013,46.04,0.000869187
16/08/2013,46,-0.003038856
15/08/2013,46.14,-0.019105443
14/08/2013,47.03,-0.018121018
13/08/2013,47.89,0.001253657
12/08/2013,47.83,0.001883437
09/08/2013,47.74,0.002726798
08/08/2013,47.61,0.011194541
07/08/2013,47.08,-0.008460287
06/08/2013,47.48,-0.000631645
05/08/2013,47.51,0.002107038
02/08/2013,47.41,-0.002317498
01/08/2013,47.52,0.015267472
31/07/2013,46.8,0.005356199
30/07/2013,46.55,-0.011533661
29/07/2013,47.09,0.000424809
26/07/2013,47.07,0.009177313
25/07/2013,46.64,0.004943589
24/07/2013,46.41,-0.019629391
23/07/2013,47.33,-0.000422476
22/07/2013,47.35,0.001690975
19/07/2013,47.27,0.019007513
18/07/2013,46.38,0.008009568
17/07/2013,46.01,-0.001954186
16/07/2013,46.1,-0.002599655
15/07/2013,46.22,0.010658067
12/07/2013,45.73,-0.014329381
11/07/2013,46.39,0.025765617
10/07/2013,45.21,-0.002871344
09/07/2013,45.34,0.004864038
08/07/2013,45.12,0.012489012
05/07/2013,44.56,0.00765942
03/07/2013,44.22,-0.017263067
02/07/2013,44.99,-0.003550037
01/07/2013,45.15,0.00800538
28/06/2013,44.79,-0.002007361
27/06/2013,44.88,0.011654099
26/06/2013,44.36,0.009740704
25/06/2013,43.93,0.007540308
24/06/2013,43.6,0.00068831
21/06/2013,43.57,0.004831483
20/06/2013,43.36,-0.031330599
19/06/2013,44.74,-0.021886582
18/06/2013,45.73,0.013207324
17/06/2013,45.13,0.007562314
14/06/2013,44.79,0.005597238
