Date,Close,SYMC
04/04/2014,20.25,0.010923644
03/04/2014,20.03,0.000999001
02/04/2014,20.01,-0.008459866
01/04/2014,20.18,0.010460867
31/03/2014,19.97,0.009054388
28/03/2014,19.79,0.026627277
27/03/2014,19.27,0.025224669
26/03/2014,18.79,-0.014267085
25/03/2014,19.06,-0.00157274
24/03/2014,19.09,0.047743044
21/03/2014,18.2,-0.138805919
20/03/2014,20.91,0.015907783
19/03/2014,20.58,0.003407158
18/03/2014,20.51,0.010291686
17/03/2014,20.3,0.006920443
14/03/2014,20.16,0.005471289
13/03/2014,20.05,-0.021707808
12/03/2014,20.49,0.001465202
11/03/2014,20.46,-0.00487568
10/03/2014,20.56,-0.00145808
07/03/2014,20.59,-0.010147466
06/03/2014,20.8,-0.007662873
05/03/2014,20.96,-0.001906578
04/03/2014,21,-0.018401085
03/03/2014,21.39,-0.004198747
28/02/2014,21.48,-0.000930665
27/02/2014,21.5,0.011225562
26/02/2014,21.26,0.022836387
25/02/2014,20.78,-0.002883231
24/02/2014,20.84,0.014986986
21/02/2014,20.53,0.000974659
20/02/2014,20.51,-0.001461632
19/02/2014,20.54,-0.007276287
18/02/2014,20.69,-0.031401248
14/02/2014,21.35,-0.000468274
13/02/2014,21.36,0.006575881
12/02/2014,21.22,-0.000471143
11/02/2014,21.23,0.0161447
10/02/2014,20.89,-0.000478583
07/02/2014,20.9,0.020788759
06/02/2014,20.47,-0.003413805
05/02/2014,20.54,0.005859392
04/02/2014,20.42,-0.016031434
03/02/2014,20.75,-0.031311856
31/01/2014,21.41,-0.0443096
30/01/2014,22.38,-0.076116677
29/01/2014,24.15,0.03583102
28/01/2014,23.3,0.017753227
27/01/2014,22.89,-0.017753227
24/01/2014,23.3,-0.01364045
23/01/2014,23.62,0
22/01/2014,23.62,0.01364045
21/01/2014,23.3,0.001288383
17/01/2014,23.27,0.007765354
16/01/2014,23.09,0.006953526
15/01/2014,22.93,0.031903459
14/01/2014,22.21,0.000450349
13/01/2014,22.2,-0.055630721
10/01/2014,23.47,-0.001702853
09/01/2014,23.51,0.007257236
08/01/2014,23.34,-0.002139954
07/01/2014,23.39,0.010745859
06/01/2014,23.14,0.001297297
03/01/2014,23.11,-0.015031419
02/01/2014,23.46,-0.005102052
31/12/2013,23.58,0.004675885
30/12/2013,23.47,0.01805724
27/12/2013,23.05,0.004347833
26/12/2013,22.95,0.001308045
24/12/2013,22.92,0.001309758
23/12/2013,22.89,0.016740479
20/12/2013,22.51,-0.021099684
19/12/2013,22.99,-0.00909294
18/12/2013,23.2,0.008658063
17/12/2013,23,0.01975915
16/12/2013,22.55,0.019705071
13/12/2013,22.11,-0.009005014
12/12/2013,22.31,0.004042224
11/12/2013,22.22,-0.009852296
10/12/2013,22.44,-0.006219478
09/12/2013,22.58,-0.008818399
06/12/2013,22.78,0.013256933
05/12/2013,22.48,0.000890076
04/12/2013,22.46,-0.003555559
03/12/2013,22.54,0.002665484
02/12/2013,22.48,-0.000444741
29/11/2013,22.49,-0.008412713
27/11/2013,22.68,-0.001762115
26/11/2013,22.72,-0.016587024
25/11/2013,23.1,-0.010336009
22/11/2013,23.34,-0.008957194
21/11/2013,23.55,0.007244864
20/11/2013,23.38,-0.007669403
19/11/2013,23.56,-0.003812756
18/11/2013,23.65,0.00296422
15/11/2013,23.58,0.003824096
14/11/2013,23.49,0.01371646
13/11/2013,23.17,0.005192569
12/11/2013,23.05,-0.006917451
11/11/2013,23.21,0.002156568
08/11/2013,23.16,0.014351192
07/11/2013,22.83,-0.013055016
06/11/2013,23.13,0.019646997
05/11/2013,22.68,-0.010090018
04/11/2013,22.91,0.006129616
01/11/2013,22.77,0.000439271
31/10/2013,22.76,0.003962145
30/10/2013,22.67,0.02410831
29/10/2013,22.13,0.00407517
28/10/2013,22.04,0.000453823
25/10/2013,22.03,0.02481745
24/10/2013,21.49,-0.13597141
23/10/2013,24.62,-0.02368162
22/10/2013,25.21,-0.007902056
21/10/2013,25.41,0.000787402
18/10/2013,25.39,0.011886035
17/10/2013,25.09,-0.001592991
16/10/2013,25.13,0.006787808
15/10/2013,24.96,-0.008775485
14/10/2013,25.18,0.003979313
11/10/2013,25.08,0.013649349
10/10/2013,24.74,0.002833436
09/10/2013,24.67,-0.002833436
08/10/2013,24.74,-0.003228413
07/10/2013,24.82,-0.000805477
04/10/2013,24.84,0.023214237
03/10/2013,24.27,-0.010248091
02/10/2013,24.52,-0.005287789
01/10/2013,24.65,-0.004048589
30/09/2013,24.75,0.000808407
27/09/2013,24.73,-0.013255868
26/09/2013,25.06,0.008415197
25/09/2013,24.85,0.006459449
24/09/2013,24.69,-0.002023064
23/09/2013,24.74,-0.016038836
20/09/2013,25.14,-0.002780538
19/09/2013,25.21,-0.005932388
18/09/2013,25.36,0.002368734
17/09/2013,25.3,-0.003157067
16/09/2013,25.38,0.01228955
13/09/2013,25.07,0.003996808
12/09/2013,24.97,-0.011547013
11/09/2013,25.26,0.001188354
10/09/2013,25.23,-0.006321633
09/09/2013,25.39,0.001576666
06/09/2013,25.35,-0.003937013
05/09/2013,25.45,0.005121146
04/09/2013,25.32,-0.02957414
03/09/2013,26.08,0.018185837
30/08/2013,25.61,-0.017034868
29/08/2013,26.05,0.013915957
28/08/2013,25.69,0.008993218
27/08/2013,25.46,-0.022141126
26/08/2013,26.03,-0.011459255
23/08/2013,26.33,-0.000379723
