Date,Close,KEY
04/04/2014,14.21,-0.016748472
03/04/2014,14.45,0.007641579
02/04/2014,14.34,-0.002089865
01/04/2014,14.37,0.009087794
31/03/2014,14.24,0.007047246
28/03/2014,14.14,0.011379924
27/03/2014,13.98,-0.016318205
26/03/2014,14.21,-0.013282264
25/03/2014,14.4,0.009769792
24/03/2014,14.26,-0.006988149
21/03/2014,14.36,-0.004862809
20/03/2014,14.43,0.016067408
19/03/2014,14.2,0.016329791
18/03/2014,13.97,0.001432665
17/03/2014,13.95,0.011535816
14/03/2014,13.79,0.003632405
13/03/2014,13.74,-0.002181026
12/03/2014,13.77,-0.000725953
11/03/2014,13.78,-0.014409471
10/03/2014,13.98,0.005738897
07/03/2014,13.9,0.018882188
06/03/2014,13.64,0.020741484
05/03/2014,13.36,-0.003735529
04/03/2014,13.41,0.027979141
03/03/2014,13.04,-0.009919959
28/02/2014,13.17,0.012223223
27/02/2014,13.01,0
26/02/2014,13.01,0.008490981
25/02/2014,12.9,-0.005411687
24/02/2014,12.97,0.009295187
21/02/2014,12.85,0.007028533
20/02/2014,12.76,0.009448889
19/02/2014,12.64,-0.02191011
18/02/2014,12.92,0
14/02/2014,12.92,0.003100778
13/02/2014,12.88,-0.002326484
12/02/2014,12.91,0.007776089
11/02/2014,12.81,0.010989122
10/02/2014,12.67,-0.005509656
07/02/2014,12.74,0.007089435
06/02/2014,12.65,0.021574948
05/02/2014,12.38,-0.008045096
04/02/2014,12.48,0.013715423
03/02/2014,12.31,-0.035903338
31/01/2014,12.76,-0.01632372
30/01/2014,12.97,0.007739977
29/01/2014,12.87,-0.006968669
28/01/2014,12.96,0.007745972
27/01/2014,12.86,-0.005428474
24/01/2014,12.93,-0.056384719
23/01/2014,13.68,-0.033072748
22/01/2014,14.14,0.0092363
21/01/2014,14.01,0.034123093
17/01/2014,13.54,0.000738825
16/01/2014,13.53,-0.01102547
15/01/2014,13.68,0.008073438
14/01/2014,13.57,0.007396483
13/01/2014,13.47,-0.011808255
10/01/2014,13.63,-0.009492587
09/01/2014,13.76,0.009492587
08/01/2014,13.63,0.006624978
07/01/2014,13.54,0.007412932
06/01/2014,13.44,0.00896867
03/01/2014,13.32,0.002254792
02/01/2014,13.29,-0.009734259
31/12/2013,13.42,0.002985077
30/12/2013,13.38,-0.001493652
27/12/2013,13.4,-0.002980628
26/12/2013,13.44,-0.000743771
24/12/2013,13.45,-0.000743218
23/12/2013,13.46,0.010455659
20/12/2013,13.32,0.003760817
19/12/2013,13.27,0
18/12/2013,13.27,0.014421502
17/12/2013,13.08,-0.014421502
16/12/2013,13.27,0.017484292
13/12/2013,13.04,-0.00306279
12/12/2013,13.08,0.012307848
11/12/2013,12.92,-0.006172859
10/12/2013,13,0.009273637
09/12/2013,12.88,-0.005420067
06/12/2013,12.95,0.016349138
05/12/2013,12.74,-0.007818648
04/12/2013,12.84,0.020457047
03/12/2013,12.58,-0.014207027
02/12/2013,12.76,0.000784006
29/11/2013,12.75,-0.00781254
27/11/2013,12.85,-0.002331909
26/11/2013,12.88,-0.001551591
25/11/2013,12.9,-0.0061824
22/11/2013,12.98,0.003086422
21/11/2013,12.94,0.016361877
20/11/2013,12.73,-0.003920036
19/11/2013,12.78,-0.003125003
18/11/2013,12.82,-0.00233736
15/11/2013,12.85,-0.007751977
14/11/2013,12.95,-0.003853569
13/11/2013,13,0.012384059
12/11/2013,12.84,-0.009302393
11/11/2013,12.96,-0.004618946
08/11/2013,13.02,0.043963123
07/11/2013,12.46,-0.015923903
06/11/2013,12.66,0.007930256
05/11/2013,12.56,0.004788517
04/11/2013,12.5,-0.003194891
01/11/2013,12.54,0
31/10/2013,12.54,0.000797766
30/10/2013,12.53,-0.010321648
29/10/2013,12.66,-0.006299233
28/10/2013,12.74,0.003932368
25/10/2013,12.69,0.004739345
24/10/2013,12.63,0.000792079
23/10/2013,12.62,-0.001583532
22/10/2013,12.64,0.006349228
21/10/2013,12.56,-0.003179653
18/10/2013,12.6,0.003976148
17/10/2013,12.55,0.03321488
16/10/2013,12.14,0.023334392
15/10/2013,11.86,-0.005884843
14/10/2013,11.93,0.004199922
11/10/2013,11.88,0.011003073
10/10/2013,11.75,0.033754827
09/10/2013,11.36,0.005295688
08/10/2013,11.3,-0.013187004
07/10/2013,11.45,-0.016457712
04/10/2013,11.64,0.016457712
03/10/2013,11.45,0.002623526
02/10/2013,11.42,-0.00958613
01/10/2013,11.53,0.011338979
