Date,Close,IRM
04/04/2014,27.59,0.006545478
03/04/2014,27.41,-0.025217475
02/04/2014,28.11,0.009651549
01/04/2014,27.84,0.00974561
31/03/2014,27.57,0.017563569
28/03/2014,27.09,0.006295151
27/03/2014,26.92,-0.009979754
26/03/2014,27.19,-0.001837223
25/03/2014,27.24,-0.014939247
24/03/2014,27.65,0.001447702
21/03/2014,27.61,-0.009013942
20/03/2014,27.86,-0.013901489
19/03/2014,28.25,-0.004238791
18/03/2014,28.37,0.021015911
17/03/2014,27.78,0.013043663
14/03/2014,27.42,-0.005818198
13/03/2014,27.58,-0.008664314
12/03/2014,27.82,0.007577161
11/03/2014,27.61,-0.018303041
10/03/2014,28.12,0.011085399
07/03/2014,27.81,0.010482655
06/03/2014,27.52,-0.003989126
05/03/2014,27.63,-0.001446655
04/03/2014,27.67,0.007982626
03/03/2014,27.45,0.009149195
28/02/2014,27.2,-0.043524223
27/02/2014,28.41,-0.004214969
26/02/2014,28.53,-0.009419222
25/02/2014,28.8,0.006269613
24/02/2014,28.62,0.000349467
21/02/2014,28.61,0.010894502
20/02/2014,28.3,-0.000353294
19/02/2014,28.31,0.001767722
18/02/2014,28.26,0.008885788
14/02/2014,28.01,0.014383563
13/02/2014,27.61,0.015696617
12/02/2014,27.18,0.002209946
11/02/2014,27.12,0.005175612
10/02/2014,26.98,0.008935279
07/02/2014,26.74,-0.010046596
06/02/2014,27.01,0.02095101
05/02/2014,26.45,0.002271008
04/02/2014,26.39,0.018742182
03/02/2014,25.9,-0.019499758
31/01/2014,26.41,-0.012043804
30/01/2014,26.73,-0.000374042
29/01/2014,26.74,-0.01852591
28/01/2014,27.24,0.001469508
27/01/2014,27.2,-0.007690937
24/01/2014,27.41,-0.017001676
23/01/2014,27.88,0.000358744
22/01/2014,27.87,0.013728539
21/01/2014,27.49,-0.000727273
17/01/2014,27.51,0.002547772
16/01/2014,27.44,-0.001820499
15/01/2014,27.49,0
14/01/2014,27.49,-0.007249035
13/01/2014,27.69,-0.006120631
10/01/2014,27.86,-0.005012542
09/01/2014,28,-0.007472015
08/01/2014,28.21,-0.019656653
07/01/2014,28.77,-0.017571512
06/01/2014,29.28,-0.005109873
03/01/2014,29.43,-0.002036661
02/01/2014,29.49,-0.028745295
31/12/2013,30.35,-0.004602243
30/12/2013,30.49,-0.001965925
27/12/2013,30.55,-0.001308473
26/12/2013,30.59,0.001308473
24/12/2013,30.55,0.014839514
23/12/2013,30.1,0.009681264
20/12/2013,29.81,0.019648329
19/12/2013,29.23,-0.004096967
18/12/2013,29.35,0.016489553
17/12/2013,28.87,-0.022265006
16/12/2013,29.52,0.001016777
13/12/2013,29.49,0.01503274
12/12/2013,29.05,-0.004122301
11/12/2013,29.17,0.021834172
10/12/2013,28.54,-0.004544668
09/12/2013,28.67,0.000697837
06/12/2013,28.65,0.014414031
05/12/2013,28.24,-0.006001783
04/12/2013,28.41,0.02062662
03/12/2013,27.83,-0.006803965
02/12/2013,28.02,-0.003562526
29/11/2013,28.12,-0.00213144
27/11/2013,28.18,0.003554927
26/11/2013,28.08,-0.008863735
25/11/2013,28.33,-0.002467831
22/11/2013,28.4,-0.005968071
21/11/2013,28.57,-0.004888278
20/11/2013,28.71,-0.033564795
19/11/2013,29.69,-0.012052372
18/11/2013,30.05,-0.003322262
15/11/2013,30.15,0.056631775
14/11/2013,28.49,0.07429699
13/11/2013,26.45,-0.020580708
12/11/2013,27,0
11/11/2013,27,0.002967361
08/11/2013,26.92,0.015724772
07/11/2013,26.5,0.007575794
06/11/2013,26.3,0.01031922
05/11/2013,26.03,0.002307693
04/11/2013,25.97,-0.005376357
01/11/2013,26.11,-0.016334646
31/10/2013,26.54,0.005667878
30/10/2013,26.39,-0.006044597
29/10/2013,26.55,-0.003008652
28/10/2013,26.63,-0.018233063
25/10/2013,27.12,0.01373699
24/10/2013,26.75,0.007504726
23/10/2013,26.55,-0.010490917
22/10/2013,26.83,0.010490917
21/10/2013,26.55,0.001885015
18/10/2013,26.5,0.019817722
17/10/2013,25.98,0.016689695
16/10/2013,25.55,0.006281921
