Date,Close,CAM
04/04/2014,63.97,0.003445039
03/04/2014,63.75,0.006452143
02/04/2014,63.34,0.010315096
01/04/2014,62.69,0.014784136
31/03/2014,61.77,0.005031253
28/03/2014,61.46,0.005874691
27/03/2014,61.1,-0.007175504
26/03/2014,61.54,-0.005024729
25/03/2014,61.85,0.001456193
24/03/2014,61.76,-0.017495029
21/03/2014,62.85,0.000159122
20/03/2014,62.84,0.002868528
19/03/2014,62.66,-0.005887518
18/03/2014,63.03,0.008924362
17/03/2014,62.47,0.008843212
14/03/2014,61.92,0.003721386
13/03/2014,61.69,-0.013684509
12/03/2014,62.54,0.002721961
11/03/2014,62.37,-0.013694482
10/03/2014,63.23,0.003644146
07/03/2014,63,-0.001744509
06/03/2014,63.11,0.013560071
05/03/2014,62.26,-0.010226999
04/03/2014,62.9,-0.003966685
03/03/2014,63.15,-0.014307295
28/02/2014,64.06,0.006735087
27/02/2014,63.63,0.006148045
26/02/2014,63.24,0.000474496
25/02/2014,63.21,0.008739231
24/02/2014,62.66,0.013334602
21/02/2014,61.83,-0.00500122
20/02/2014,62.14,0.009215165
19/02/2014,61.57,-0.0035668
18/02/2014,61.79,0.011720792
14/02/2014,61.07,0.009377382
13/02/2014,60.5,0.011136158
12/02/2014,59.83,0.003851633
11/02/2014,59.6,0.014194223
10/02/2014,58.76,0.001873776
07/02/2014,58.65,-0.014388737
06/02/2014,59.5,0.015412279
05/02/2014,58.59,-0.013561828
04/02/2014,59.39,0.006588418
03/02/2014,59,-0.016306993
31/01/2014,59.97,-0.005985055
30/01/2014,60.33,0.061526321
29/01/2014,56.73,-0.014350964
28/01/2014,57.55,-0.003815475
27/01/2014,57.77,-0.003456026
24/01/2014,57.97,-0.002067897
23/01/2014,58.09,-0.021121548
22/01/2014,59.33,0.000843099
21/01/2014,59.28,0.010002626
17/01/2014,58.69,-0.001362166
16/01/2014,58.77,0.008372539
15/01/2014,58.28,-0.009562914
14/01/2014,58.84,0.020431649
13/01/2014,57.65,-0.031081737
10/01/2014,59.47,0.017300296
09/01/2014,58.45,-0.006820146
08/01/2014,58.85,-0.000339789
07/01/2014,58.87,0.005279753
06/01/2014,58.56,0.003592511
03/01/2014,58.35,-0.005809996
02/01/2014,58.69,-0.014211033
31/12/2013,59.53,0.005389941
30/12/2013,59.21,-0.004885866
27/12/2013,59.5,0.000504329
26/12/2013,59.47,0.005733574
24/12/2013,59.13,0.00968654
23/12/2013,58.56,-0.0025582
20/12/2013,58.71,0.010616538
19/12/2013,58.09,0.001205753
18/12/2013,58.02,-0.011311175
17/12/2013,58.68,0.016148779
16/12/2013,57.74,0.028992631
13/12/2013,56.09,0.003035446
12/12/2013,55.92,0.016225342
11/12/2013,55.02,0.002547772
10/12/2013,54.88,-0.00943061
09/12/2013,55.4,-0.01041489
06/12/2013,55.98,-0.001606426
05/12/2013,56.07,0.012382392
04/12/2013,55.38,-0.001082837
03/12/2013,55.44,0.003252035
02/12/2013,55.26,-0.002349753
29/11/2013,55.39,0.006157209
27/11/2013,55.05,-0.005073394
26/11/2013,55.33,0.005982072
25/11/2013,55,-0.009049836
22/11/2013,55.5,-0.009861129
21/11/2013,56.05,0.023101551
20/11/2013,54.77,0.002376384
19/11/2013,54.64,-0.00910919
18/11/2013,55.14,-0.014761744
15/11/2013,55.96,0.015487434
14/11/2013,55.1,0.004000733
13/11/2013,54.88,0.019875516
12/11/2013,53.8,-0.008698121
11/11/2013,54.27,-0.006977627
08/11/2013,54.65,0.025388188
07/11/2013,53.28,-0.021721823
06/11/2013,54.45,0.008669242
05/11/2013,53.98,-0.019083148
04/11/2013,55.02,0.00693054
01/11/2013,54.64,-0.00401827
31/10/2013,54.86,-0.011057849
30/10/2013,55.47,0.011787243
29/10/2013,54.82,0.006955913
28/10/2013,54.44,0.022101373
25/10/2013,53.25,-0.011204599
24/10/2013,53.85,-0.154071091
23/10/2013,62.82,-0.021729717
22/10/2013,64.2,-0.002333723
21/10/2013,64.35,-0.011741213
18/10/2013,65.11,0.002152522
17/10/2013,64.97,0.00092393
16/10/2013,64.91,0.018189386
15/10/2013,63.74,-0.000470551
14/10/2013,63.77,0.006450113
11/10/2013,63.36,0.019121041
10/10/2013,62.16,0.033868268
09/10/2013,60.09,-0.004317509
08/10/2013,60.35,-0.012350919
07/10/2013,61.1,-0.006850459
04/10/2013,61.52,0.018704401
03/10/2013,60.38,-0.00148945
02/10/2013,60.47,0.021225832
01/10/2013,59.2,0.014119483
30/09/2013,58.37,-0.010904862
27/09/2013,59.01,-0.000169448
26/09/2013,59.02,-0.004564288
25/09/2013,59.29,0.009830588
24/09/2013,58.71,-0.000170314
23/09/2013,58.72,-0.025058067
20/09/2013,60.21,-0.010573368
19/09/2013,60.85,0.006595242
18/09/2013,60.45,0.019544596
17/09/2013,59.28,0.014784873
16/09/2013,58.41,0.008251723
13/09/2013,57.93,-0.009620414
12/09/2013,58.49,-0.022985633
11/09/2013,59.85,-0.009478744
10/09/2013,60.42,0.011485769
09/09/2013,59.73,0.022518517
06/09/2013,58.4,-0.006996019
05/09/2013,58.81,0.010254747
04/09/2013,58.21,0.007587551
03/09/2013,57.77,0.017109356
30/08/2013,56.79,-0.010684049
29/08/2013,57.4,-0.008327598
28/08/2013,57.88,0.027855002
27/08/2013,56.29,-0.000177636
26/08/2013,56.3,-0.009545768
23/08/2013,56.84,0.007948465
22/08/2013,56.39,0.025868157
21/08/2013,54.95,-0.008877674
20/08/2013,55.44,0.004338402
19/08/2013,55.2,-0.01421015
16/08/2013,55.99,-0.008182187
15/08/2013,56.45,-0.005652727
14/08/2013,56.77,-0.000176134
13/08/2013,56.78,-0.005795082
12/08/2013,57.11,-0.006979613
09/08/2013,57.51,-0.00796679
08/08/2013,57.97,0.015121519
07/08/2013,57.1,-0.002623526
06/08/2013,57.25,-0.014049316
05/08/2013,58.06,-0.014533897
