Date,Close,T
04/04/2014,35.55,-0.002247823
03/04/2014,35.63,0.007323976
02/04/2014,35.37,0.007947814
01/04/2014,35.09,0.000570125
31/03/2014,35.07,0
28/03/2014,35.07,0.003141513
27/03/2014,34.96,0.010061893
26/03/2014,34.61,-0.003173232
25/03/2014,34.72,0.007516659
24/03/2014,34.46,0.004653877
21/03/2014,34.3,0.006141268
20/03/2014,34.09,0.033709381
19/03/2014,32.96,-0.000606612
18/03/2014,32.98,0.002732657
17/03/2014,32.89,0.012236311
14/03/2014,32.49,0.004318329
13/03/2014,32.35,-0.000926927
12/03/2014,32.38,0.004643252
11/03/2014,32.23,-0.008650038
10/03/2014,32.51,-0.000922367
07/03/2014,32.54,0.006165248
06/03/2014,32.34,0.006514681
05/03/2014,32.13,-0.000622278
04/03/2014,32.15,0.009061146
03/03/2014,31.86,-0.002194702
28/02/2014,31.93,-0.009351689
27/02/2014,32.23,0.007161793
26/02/2014,32,-0.005298438
25/02/2014,32.17,-0.009282245
24/02/2014,32.47,-0.010111929
21/02/2014,32.8,-0.011518769
20/02/2014,33.18,0.00999554
19/02/2014,32.85,0.000913659
18/02/2014,32.82,-0.010004631
14/02/2014,33.15,-0.01020417
13/02/2014,33.49,0.016559162
12/02/2014,32.94,-0.000303536
11/02/2014,32.95,0.015599032
10/02/2014,32.44,0.004324999
07/02/2014,32.3,0.009331327
06/02/2014,32,-0.00249688
05/02/2014,32.08,-0.01146766
04/02/2014,32.45,0.015528262
03/02/2014,31.95,-0.041985636
31/01/2014,33.32,-0.000899955
30/01/2014,33.35,0.00120012
29/01/2014,33.31,-0.011640185
28/01/2014,33.7,0.005653936
27/01/2014,33.51,0.002689379
24/01/2014,33.42,-0.011306279
23/01/2014,33.8,0.013702925
22/01/2014,33.34,-0.006874934
21/01/2014,33.57,-0.003865026
17/01/2014,33.7,-0.007685524
16/01/2014,33.96,0.005018461
15/01/2014,33.79,0.009216655
14/01/2014,33.48,0.005390849
13/01/2014,33.3,-0.009563731
10/01/2014,33.62,0.002382372
09/01/2014,33.54,-0.020655795
08/01/2014,34.24,-0.020523917
07/01/2014,34.95,-0.000286082
06/01/2014,34.96,0.004587164
03/01/2014,34.8,-0.004301082
02/01/2014,34.95,-0.005990604
31/12/2013,35.16,-0.00113701
30/12/2013,35.2,0.000568343
27/12/2013,35.18,0.000568666
26/12/2013,35.16,0.005990604
24/12/2013,34.95,0.007467008
23/12/2013,34.69,0.011306107
20/12/2013,34.3,-0.004363643
19/12/2013,34.45,0.002033998
18/12/2013,34.38,0.015536001
17/12/2013,33.85,-0.008823587
16/12/2013,34.15,0.008823587
13/12/2013,33.85,-0.001180986
12/12/2013,33.89,-0.001768868
11/12/2013,33.95,-0.01316771
10/12/2013,34.4,-0.008394897
09/12/2013,34.69,0.00462295
06/12/2013,34.53,0.008141947
05/12/2013,34.25,-0.010167117
04/12/2013,34.6,-0.004038079
03/12/2013,34.74,-0.001725626
02/12/2013,34.8,-0.011712746
29/11/2013,35.21,-0.005664133
27/11/2013,35.41,0.003678035
26/11/2013,35.28,-0.002547772
25/11/2013,35.37,-0.001412629
22/11/2013,35.42,0.003393668
21/11/2013,35.3,-0.002828856
20/11/2013,35.4,-0.008998936
19/11/2013,35.72,0.003365118
18/11/2013,35.6,0.004786719
15/11/2013,35.43,0.007649846
14/11/2013,35.16,0.002563009
13/11/2013,35.07,-0.002847382
