Date,Close,EIX
04/04/2014,55.93,-0.009608615
03/04/2014,56.47,0.009072374
02/04/2014,55.96,-0.01172513
01/04/2014,56.62,0.000176632
31/03/2014,56.61,0.023593588
28/03/2014,55.29,0.025647128
27/03/2014,53.89,0.001485608
26/03/2014,53.81,-0.010169266
25/03/2014,54.36,0.001288541
24/03/2014,54.29,0.007766311
21/03/2014,53.87,0.034945477
20/03/2014,52.02,0.004624286
19/03/2014,51.78,-0.016092301
18/03/2014,52.62,0.004189684
17/03/2014,52.4,0.006509692
14/03/2014,52.06,0.005586069
13/03/2014,51.77,0.001353049
12/03/2014,51.7,0.018349139
11/03/2014,50.76,-0.008240188
10/03/2014,51.18,-0.004678371
07/03/2014,51.42,0.004873779
06/03/2014,51.17,-0.007398788
05/03/2014,51.55,-0.012721837
04/03/2014,52.21,0.005955257
03/03/2014,51.9,-0.009015118
28/02/2014,52.37,0.005744941
27/02/2014,52.07,0.001345249
26/02/2014,52,0.014723242
25/02/2014,51.24,-0.005061331
24/02/2014,51.5,0.002722148
21/02/2014,51.36,0.002729579
20/02/2014,51.22,0.01020417
19/02/2014,50.7,-0.005507488
18/02/2014,50.98,0.008668297
14/02/2014,50.54,0.006949298
13/02/2014,50.19,0.011220314
12/02/2014,49.63,0.003835676
11/02/2014,49.44,0.0130295
10/02/2014,48.8,0.001845965
07/02/2014,48.71,0.000821524
06/02/2014,48.67,0.014695494
05/02/2014,47.96,0.001043079
04/02/2014,47.91,-0.00582728
03/02/2014,48.19,0.00062273
31/01/2014,48.16,0.00437
30/01/2014,47.95,0.017461262
29/01/2014,47.12,-0.005924689
28/01/2014,47.4,0.004440223
27/01/2014,47.19,0.005737982
24/01/2014,46.92,-0.015438606
23/01/2014,47.65,-0.003143009
22/01/2014,47.8,0.002094242
21/01/2014,47.7,0.016913722
17/01/2014,46.9,-0.000639454
16/01/2014,46.93,0.012004431
15/01/2014,46.37,0.002158895
14/01/2014,46.27,0.017221134
13/01/2014,45.48,-0.000659413
10/01/2014,45.51,0.008163311
09/01/2014,45.14,0.001551935
08/01/2014,45.07,-0.009055832
07/01/2014,45.48,0.001540324
06/01/2014,45.41,-0.000660429
03/01/2014,45.44,0.000220095
02/01/2014,45.43,-0.018969281
31/12/2013,46.3,0.000216006
30/12/2013,46.29,0.006936945
27/12/2013,45.97,-0.004124612
26/12/2013,46.16,-0.007983644
24/12/2013,46.53,0.008417013
23/12/2013,46.14,-0.009491012
20/12/2013,46.58,0.009924569
19/12/2013,46.12,0.000867679
18/12/2013,46.08,0.009813621
17/12/2013,45.63,-0.007206058
16/12/2013,45.96,0.006110888
13/12/2013,45.68,0.005047745
12/12/2013,45.45,0.004852237
11/12/2013,45.23,-0.005731938
10/12/2013,45.49,-0.015920083
09/12/2013,46.22,0.007165376
06/12/2013,45.89,0.010735123
05/12/2013,45.4,-0.013781253
04/12/2013,46.03,0.000217273
03/12/2013,46.02,-0.001953762
02/12/2013,46.11,-0.002166379
29/11/2013,46.21,0.008257326
27/11/2013,45.83,0.009206553
26/11/2013,45.41,-0.002639104
25/11/2013,45.53,-0.010269947
22/11/2013,46,-0.028080293
21/11/2013,47.31,-0.004428985
20/11/2013,47.52,-0.01793583
19/11/2013,48.38,-0.010486371
18/11/2013,48.89,-0.005710805
15/11/2013,49.17,0.011865933
14/11/2013,48.59,0.010759467
13/11/2013,48.07,-0.003322952
12/11/2013,48.23,-0.015430817
11/11/2013,48.98,-0.001428134
08/11/2013,49.05,-0.008526239
07/11/2013,49.47,-0.003027553
06/11/2013,49.62,0.007281586
05/11/2013,49.26,-0.006273419
04/11/2013,49.57,0.002019387
01/11/2013,49.47,0.00893407
31/10/2013,49.03,0.001632987
30/10/2013,48.95,-0.003263311
29/10/2013,49.11,-0.002237365
28/10/2013,49.22,-0.003852788
25/10/2013,49.41,0.013242528
24/10/2013,48.76,0.001642036
23/10/2013,48.68,-0.005939598
22/10/2013,48.97,0.013569287
21/10/2013,48.31,-0.001447927
18/10/2013,48.38,0.007677183
17/10/2013,48.01,0.017439249
16/10/2013,47.18,0.008086871
15/10/2013,46.8,-0.013371737
14/10/2013,47.43,-0.005257083
11/10/2013,47.68,-0.000628997
10/10/2013,47.71,0.01180701
09/10/2013,47.15,0.013666666
08/10/2013,46.51,0.010591259
07/10/2013,46.02,-0.007145207
04/10/2013,46.35,0.011500615
03/10/2013,45.82,-0.006309169
02/10/2013,46.11,0.001084952
01/10/2013,46.06,0
30/09/2013,46.06,0.005442486
27/09/2013,45.81,-0.001962709
26/09/2013,45.9,-0.015349993
25/09/2013,46.61,-0.008332491
24/09/2013,47,-0.001063264
23/09/2013,47.05,0.022134781
20/09/2013,46.02,-0.003254152
19/09/2013,46.17,-0.011628038
18/09/2013,46.71,0.032197691
17/09/2013,45.23,0.005542637
16/09/2013,44.98,0.00088968
13/09/2013,44.94,0.003343367
12/09/2013,44.79,-0.001115698
11/09/2013,44.84,-0.017464797
10/09/2013,45.63,0.003512627
09/09/2013,45.47,0.009501784
06/09/2013,45.04,0.015212821
05/09/2013,44.36,-0.012990104
04/09/2013,44.94,-0.005326244
03/09/2013,45.18,-0.015592717
30/08/2013,45.89,-0.00043573
29/08/2013,45.91,-0.00975406
28/08/2013,46.36,0.006058002
27/08/2013,46.08,-0.000433934
26/08/2013,46.1,-0.008209163
23/08/2013,46.48,0.006258788
22/08/2013,46.19,0
21/08/2013,46.19,-0.011837005
20/08/2013,46.74,0.003214403
19/08/2013,46.59,-0.008336053
16/08/2013,46.98,-0.005095552
15/08/2013,47.22,-0.019711269
14/08/2013,48.16,-0.001452433
13/08/2013,48.23,-0.004344685
12/08/2013,48.44,-0.013125701
09/08/2013,49.08,-0.005891332
08/08/2013,49.37,0.007726757
07/08/2013,48.99,0.011083857
06/08/2013,48.45,-0.006172859
05/08/2013,48.75,-0.012637755
02/08/2013,49.37,-0.01067805
01/08/2013,49.9,0.001002506
31/07/2013,49.85,-0.001603528
30/07/2013,49.93,0.003008728
29/07/2013,49.78,0.013957949
26/07/2013,49.09,0.007976318
25/07/2013,48.7,-0.011230338
24/07/2013,49.25,-0.009095565
23/07/2013,49.7,-0.000402334
