Date,Close,FB
04/04/2014,56.75,-0.047152575
03/04/2014,59.49,-0.052872145
02/04/2014,62.72,0.00159566
01/04/2014,62.62,0.038748132
31/03/2014,60.24,0.003825368
28/03/2014,60.01,-0.015870725
27/03/2014,60.97,0.009558412
26/03/2014,60.39,-0.07187
25/03/2014,64.89,0.012249165
24/03/2014,64.1,-0.047823945
21/03/2014,67.24,0.004023551
20/03/2014,66.97,-0.018786145
19/03/2014,68.24,-0.01382544
18/03/2014,69.19,0.006525072
17/03/2014,68.74,0.014949714
14/03/2014,67.72,-0.016258139
13/03/2014,68.83,-0.02934861
12/03/2014,70.88,0.011065512
11/03/2014,70.1,-0.027159905
10/03/2014,72.03,0.031448689
07/03/2014,69.8,-0.014789803
06/03/2014,70.84,-0.010252179
05/03/2014,71.57,0.039472247
04/03/2014,68.8,0.02041037
03/03/2014,67.41,-0.015456258
28/02/2014,68.46,-0.006986928
27/02/2014,68.94,-0.004630978
26/02/2014,69.26,-0.008482547
25/02/2014,69.85,-0.013226389
24/02/2014,70.78,0.031429723
21/02/2014,68.59,-0.015048757
20/02/2014,69.63,0.02280584
19/02/2014,68.06,0.011229432
18/02/2014,67.3,0.003125235
14/02/2014,67.09,-0.003570901
13/02/2014,67.33,0.043716173
12/02/2014,64.45,-0.006187181
11/02/2014,64.85,0.020249913
10/02/2014,63.55,-0.012043627
07/02/2014,64.32,0.034158919
06/02/2014,62.16,-0.000482509
05/02/2014,62.19,-0.008964363
04/02/2014,62.75,0.020446659
03/02/2014,61.48,-0.017574011
31/01/2014,62.57,0.02410145
30/01/2014,61.08,0.131942236
29/01/2014,53.53,-0.029633161
28/01/2014,55.14,0.029259609
27/01/2014,53.55,-0.016667052
24/01/2014,54.45,-0.039256031
23/01/2014,56.63,-0.015419966
22/01/2014,57.51,-0.017238834
21/01/2014,58.51,0.038503145
17/01/2014,56.3,-0.015684523
16/01/2014,57.19,-0.00714351
15/01/2014,57.6,-0.002427607
14/01/2014,57.74,0.032206919
13/01/2014,55.91,-0.035664737
10/01/2014,57.94,0.012504505
09/01/2014,57.22,-0.017497198
08/01/2014,58.23,0.005337938
07/01/2014,57.92,0.01250885
06/01/2014,57.2,0.047252885
03/01/2014,54.56,-0.002745495
02/01/2014,54.71,0.001097293
31/12/2013,54.65,0.017350011
30/12/2013,53.71,-0.031702151
27/12/2013,55.44,-0.040475614
26/12/2013,57.73,-0.003976148
24/12/2013,57.96,0.003283508
23/12/2013,57.77,0.046956983
20/12/2013,55.12,0.001270764
19/12/2013,55.05,-0.009401624
18/12/2013,55.57,0.012859002
17/12/2013,54.86,0.019325162
16/12/2013,53.81,0.009147828
13/12/2013,53.32,0.028342363
12/12/2013,51.83,0.048423648
11/12/2013,49.38,-0.017465063
10/12/2013,50.25,0.028460898
09/12/2013,48.84,0.01859942
06/12/2013,47.94,-0.008309146
05/12/2013,48.34,-0.005775594
04/12/2013,48.62,0.039648612
03/12/2013,46.73,-0.007037027
02/12/2013,47.06,0.001063038
29/11/2013,47.01,0.011123109
27/11/2013,46.49,0.012990007
26/11/2013,45.89,0.02359276
25/11/2013,44.82,-0.03097447
22/11/2013,46.23,-0.010115227
21/11/2013,46.7,0.005798363
20/11/2013,46.43,0.001508784
19/11/2013,46.36,0.01149812
18/11/2013,45.83,-0.06708546
15/11/2013,49.01,0.000408163
14/11/2013,48.99,0.005731848
13/11/2013,48.71,0.044069237
12/11/2013,46.61,0.008835312
11/11/2013,46.2,-0.028381293
08/11/2013,47.53,-0.000630981
07/11/2013,47.56,-0.032274212
06/11/2013,49.12,-0.019954305
05/11/2013,50.11,0.038446716
04/11/2013,48.22,-0.031236591
01/11/2013,49.75,-0.009203746
31/10/2013,50.21,0.024189851
30/10/2013,49.01,-0.007926065
29/10/2013,49.4,-0.016662034
28/10/2013,50.23,-0.03366926
25/10/2013,51.95,-0.009578617
24/10/2013,52.45,0.010541545
23/10/2013,51.9,-0.014917087
22/10/2013,52.68,-0.021966527
21/10/2013,53.85,-0.00684744
18/10/2013,54.22,0.037775797
17/10/2013,52.21,0.020707078
16/10/2013,51.14,0.0325943
15/10/2013,49.5,-0.000202
14/10/2013,49.51,0.008111989
11/10/2013,49.11,0.001222494
10/10/2013,49.05,0.047598214
09/10/2013,46.77,-0.007879926
08/10/2013,47.14,-0.0692474
07/10/2013,50.52,-0.010240342
04/10/2013,51.04,0.037122602
03/10/2013,49.18,-0.022120347
02/10/2013,50.28,-0.002780538
01/10/2013,50.42,0.003775464
30/09/2013,50.23,-0.019908019
27/09/2013,51.24,0.016727734
26/09/2013,50.39,0.018628481
25/09/2013,49.46,0.020631924
24/09/2013,48.45,0.026350333
23/09/2013,47.19,-0.006337157
20/09/2013,47.49,0.032312643
19/09/2013,45.98,0.016445936
18/09/2013,45.23,0.003543747
17/09/2013,45.07,0.058477494
16/09/2013,42.51,-0.041471043
13/09/2013,44.31,-0.00988106
12/09/2013,44.75,-0.006459539
11/09/2013,45.04,0.032493833
10/09/2013,43.6,-0.010041161
09/09/2013,44.04,0.002045688
06/09/2013,43.95,0.029790911
05/09/2013,42.66,0.020843957
04/09/2013,41.78,-0.002151824
03/09/2013,41.87,0.01394924
30/08/2013,41.29,0.000242219
29/08/2013,41.28,0.017842341
28/08/2013,40.55,0.022697071
27/08/2013,39.64,-0.041991845
26/08/2013,41.34,0.019294774
23/08/2013,40.55,0.050579681
22/08/2013,38.55,0.005984147
21/08/2013,38.32,-0.002345889
20/08/2013,38.41,0.015744224
19/08/2013,37.81,0.019495877
16/08/2013,37.08,0.014122994
15/08/2013,36.56,-0.002458682
14/08/2013,36.65,-0.010044879
13/08/2013,37.02,-0.031900632
12/08/2013,38.22,-0.007299302
09/08/2013,38.5,-0.001038422
08/08/2013,38.54,-0.008526082
07/08/2013,38.87,0.008266645
06/08/2013,38.55,-0.016465512
05/08/2013,39.19,0.029520528
02/08/2013,38.05,0.014826854
01/08/2013,37.49,0.018576386
31/07/2013,36.8,-0.022303759
30/07/2013,37.63,0.060242686
29/07/2013,35.43,0.04090432
26/07/2013,34.01,-0.010238498
25/07/2013,34.36,0.259371077
24/07/2013,26.51,0.014437941
23/07/2013,26.13,0.003066311
22/07/2013,26.05,0.006547299
19/07/2013,25.88,-0.011525291
18/07/2013,26.18,-0.01779339
17/07/2013,26.65,0.012460044
16/07/2013,26.32,0.001520913
15/07/2013,26.28,0.014179199
12/07/2013,25.91,0.003866981
11/07/2013,25.81,0.000387522
10/07/2013,25.8,0.012480661
09/07/2013,25.48,0.030685811
08/07/2013,24.71,0.013855152
05/07/2013,24.37,-0.006136243
03/07/2013,24.52,0.004496227
02/07/2013,24.41,-0.016253913
01/07/2013,24.81,-0.00281747
28/06/2013,24.88,0.00888177
27/06/2013,24.66,0.020484125
26/06/2013,24.16,-0.003718244
25/06/2013,24.25,0.012865917
24/06/2013,23.94,-0.024346158
21/06/2013,24.53,0.026018399
20/06/2013,23.9,-0.017009329
19/06/2013,24.31,0.004122017
18/06/2013,24.21,0.007878954
17/06/2013,24.02,0.016369725
14/06/2013,23.63,-0.004222979
13/06/2013,23.73,-0.001684211
12/06/2013,23.77,-0.010878768
11/06/2013,24.03,-0.012407107
10/06/2013,24.33,0.043686073
07/06/2013,23.29,0.013835067
06/06/2013,22.97,0.003052106
05/06/2013,22.9,-0.026714212
04/06/2013,23.52,-0.013933094
03/06/2013,23.85,-0.020747632
31/05/2013,24.35,-0.008180005
30/05/2013,24.55,0.051400493
29/05/2013,23.32,-0.032900479
28/05/2013,24.1,-0.008675948
24/05/2013,24.31,-0.030385161
23/05/2013,25.06,-0.003982482
22/05/2013,25.16,-0.019677927
21/05/2013,25.66,-0.003889542
20/05/2013,25.76,-0.018843088
17/05/2013,26.25,0.00458191
16/05/2013,26.13,-0.017827136
15/05/2013,26.6,-0.017514888
14/05/2013,27.07,0.009278226
13/05/2013,26.82,0.005233657
10/05/2013,26.68,-0.01340303
09/05/2013,27.04,-0.002954212
08/05/2013,27.12,0.008516993
07/05/2013,26.89,-0.024973755
06/05/2013,27.57,-0.026486874
03/05/2013,28.31,-0.023045713
02/05/2013,28.97,0.054623507
01/05/2013,27.43,-0.012318996
30/04/2013,27.77,0.028860451
29/04/2013,26.98,0.00483003
26/04/2013,26.85,0.026799113
25/04/2013,26.14,0.001148325
24/04/2013,26.11,0.004991371
23/04/2013,25.98,0.000384986
22/04/2013,25.97,0.009284399
19/04/2013,25.73,0.001555815
18/04/2013,25.69,-0.035936589
17/04/2013,26.63,-0.010831105
16/04/2013,26.92,0.014970339
15/04/2013,26.52,-0.032643848
12/04/2013,27.4,-0.022375528
11/04/2013,28.02,0.016190316
10/04/2013,27.57,0.03619302
09/04/2013,26.59,-0.009730616
08/04/2013,26.85,-0.019912162
05/04/2013,27.39,0.01175188
04/04/2013,27.07,0.030760115
03/04/2013,26.25,0.032129723
02/04/2013,25.42,-0.004317965
01/04/2013,25.53,-0.001956565
28/03/2013,25.58,-0.019741303
27/03/2013,26.09,0.034311358
26/03/2013,25.21,0.00317839
25/03/2013,25.13,-0.023595275
22/03/2013,25.73,-0.000388576
21/03/2013,25.74,-0.004651171
20/03/2013,25.86,-0.026332374
19/03/2013,26.55,0.002262444
18/03/2013,26.49,-0.006021847
15/03/2013,26.65,-0.014528101
14/03/2013,27.04,-0.001478197
13/03/2013,27.08,-0.027319127
12/03/2013,27.83,-0.011077476
11/03/2013,28.14,0.006417134
08/03/2013,27.96,-0.021932255
07/03/2013,28.58,0.040341005
06/03/2013,27.45,-0.002546845
05/03/2013,27.52,-0.007241161
04/03/2013,27.72,-0.002162163
01/03/2013,27.78,0.019262816
28/02/2013,27.25,0.014043098
27/02/2013,26.87,-0.019167561
26/02/2013,27.39,0.004390786
25/02/2013,27.27,0.00514707
22/02/2013,27.13,-0.005513706
21/02/2013,27.28,-0.04234576
20/02/2013,28.46,-0.016379526
19/02/2013,28.93,0.02131085
15/02/2013,28.32,-0.006335818
14/02/2013,28.5,0.02091904
13/02/2013,27.91,0.019537524
12/02/2013,27.37,-0.031999854
11/02/2013,28.26,-0.010209559
08/02/2013,28.55,-0.003496507
07/02/2013,28.65,-0.01386504
06/02/2013,29.05,0.014214141
05/02/2013,28.64,0.018678957
04/02/2013,28.11,-0.056031252
01/02/2013,29.73,-0.041185198
31/01/2013,30.98,-0.00835749
30/01/2013,31.24,0.014509363
29/01/2013,30.79,-0.053126624
28/01/2013,32.47,0.029060005
25/01/2013,31.54,0.014692056
24/01/2013,31.08,0.008400696
23/01/2013,30.82,0.002924454
22/01/2013,30.73,0.035440039
18/01/2013,29.66,-0.016053856
17/01/2013,30.14,0.009668353
16/01/2013,29.85,-0.008340332
15/01/2013,30.1,-0.027847827
14/01/2013,30.95,-0.024574398
11/01/2013,31.72,0.013329299
10/01/2013,31.3,0.022944939
09/01/2013,30.59,0.0513105
08/01/2013,29.06,-0.012312057
07/01/2013,29.42,0.022689182
04/01/2013,28.76,0.035029232
03/01/2013,27.77,-0.008248209
02/01/2013,28,0.050541697
31/12/2012,26.62,0.027033818
28/12/2012,25.91,-0.005388774
27/12/2012,26.05,-0.017504252
26/12/2012,26.51,-0.015718887
24/12/2012,26.93,0.025194038
21/12/2012,26.26,-0.041035224
20/12/2012,27.36,-0.001825818
19/12/2012,27.41,-0.010885449
18/12/2012,27.71,0.035258886
17/12/2012,26.75,-0.002240479
14/12/2012,26.81,-0.05196446
13/12/2012,28.24,0.02364854
12/12/2012,27.58,-0.014399097
11/12/2012,27.98,0.005016134
10/12/2012,27.84,0.012651533
07/12/2012,27.49,0.019097165
06/12/2012,26.97,-0.027068222
05/12/2012,27.71,0.009062959
04/12/2012,27.46,0.015413149
03/12/2012,27.04,-0.034887259
30/11/2012,28,0.024585475
29/11/2012,27.32,0.035771325
28/11/2012,26.36,0.007998519
27/11/2012,26.15,0.008063012
26/11/2012,25.94,0.077732349
23/11/2012,24,-0.013245227
21/11/2012,24.32,0.05146644
20/11/2012,23.1,0.007822726
19/11/2012,22.92,-0.027540467
16/11/2012,23.56,0.060810335
15/11/2012,22.17,-0.008533625
14/11/2012,22.36,0.11856599
13/11/2012,19.86,-0.010518504
12/11/2012,20.07,0.043795186
09/11/2012,19.21,-0.039801172
08/11/2012,19.99,-0.023728251
07/11/2012,20.47,-0.033624685
06/11/2012,21.17,-0.00377181
05/11/2012,21.25,0.003299555
02/11/2012,21.18,-0.001415428
01/11/2012,21.21,0.004725907
31/10/2012,21.11,-0.038564593
26/10/2012,21.94,-0.027866972
25/10/2012,22.56,-0.02926612
24/10/2012,23.23,0.175030081
23/10/2012,19.5,0.009273637
22/10/2012,19.32,0.01670185
19/10/2012,19,0.001053186
18/10/2012,18.98,-0.046328408
17/10/2012,19.88,0.020325903
16/10/2012,19.48,-0.002051283
15/10/2012,19.52,0
12/10/2012,19.52,-0.01171391
11/10/2012,19.75,0.005585188
10/10/2012,19.64,-0.029598348
09/10/2012,20.23,-0.00836825
08/10/2012,20.4,-0.024692613
05/10/2012,20.91,-0.048539626
04/10/2012,21.95,0.005481969
03/10/2012,21.83,-0.019955311
02/10/2012,22.27,0.012652677
01/10/2012,21.99,0.015120563
28/09/2012,21.66,0.063861619
27/09/2012,20.32,-0.014655856
26/09/2012,20.62,0.0166263
25/09/2012,20.28,-0.024836923
24/09/2012,20.79,-0.094916556
21/09/2012,22.86,0.011881328
20/09/2012,22.59,-0.030516753
19/09/2012,23.29,0.062908249
18/09/2012,21.87,0.016133099
17/09/2012,21.52,-0.022059718
14/09/2012,22,0.060425778
13/09/2012,20.71,-0.010566861
12/09/2012,20.93,0.074365273
11/09/2012,19.43,0.03242962
10/09/2012,18.81,-0.00899715
07/09/2012,18.98,0.001054296
06/09/2012,18.96,0.020245763
05/09/2012,18.58,0.046827613
04/09/2012,17.73,-0.018441428
31/08/2012,18.06,-0.05546509
30/08/2012,19.09,-0.000523697
29/08/2012,19.1,-0.012487155
28/08/2012,19.34,0.009872774
27/08/2012,19.15,-0.013485682
24/08/2012,19.41,-0.001544402
23/08/2012,19.44,0
22/08/2012,19.44,0.014508026
21/08/2012,19.16,-0.043407376
20/08/2012,20.01,0.049165047
17/08/2012,19.05,-0.042143955
16/08/2012,19.87,-0.064790125
15/08/2012,21.2,0.039447154
14/08/2012,20.38,-0.058139287
13/08/2012,21.6,-0.009675266
10/08/2012,21.81,0.037370065
09/08/2012,21.01,0.013899097
08/08/2012,20.72,0
07/08/2012,20.72,-0.056300045
06/08/2012,21.92,0.038600468
03/08/2012,21.09,0.051068718
02/08/2012,20.04,-0.041061487
01/08/2012,20.88,-0.038981221
31/07/2012,21.71,-0.064221797
30/07/2012,23.15,-0.02390212
27/07/2012,23.71,-0.124368921
26/07/2012,26.85,-0.088685952
25/07/2012,29.34,0.030803612
24/07/2012,28.45,-0.010489607
