Date,Close,DFS
04/04/2014,58.39,-0.017990981
03/04/2014,59.45,0.004551976
02/04/2014,59.18,0.001691189
01/04/2014,59.08,0.015178939
31/03/2014,58.19,0.011754673
28/03/2014,57.51,0.007505053
27/03/2014,57.08,0.006503231
26/03/2014,56.71,-0.012616253
25/03/2014,57.43,-0.007113763
24/03/2014,57.84,0.001384083
21/03/2014,57.76,-0.01648389
20/03/2014,58.72,0.018043277
19/03/2014,57.67,0.008532921
18/03/2014,57.18,-0.008706306
17/03/2014,57.68,0.008881208
14/03/2014,57.17,-0.001922237
13/03/2014,57.28,-0.022783174
12/03/2014,58.6,0
11/03/2014,58.6,-0.013727866
10/03/2014,59.41,0.002190581
07/03/2014,59.28,0.00864046
06/03/2014,58.77,0.007343556
05/03/2014,58.34,0.003434069
04/03/2014,58.14,0.018925819
03/03/2014,57.05,-0.005767734
28/02/2014,57.38,0.015809217
27/02/2014,56.48,-0.005297558
26/02/2014,56.78,-0.003165116
25/02/2014,56.96,-0.008391658
24/02/2014,57.44,0.012790363
21/02/2014,56.71,-0.006328023
20/02/2014,57.07,0.003862364
19/02/2014,56.85,-0.012411662
18/02/2014,57.56,0.011181109
14/02/2014,56.92,0.013263967
13/02/2014,56.17,0.006967424
12/02/2014,55.78,0.001794366
11/02/2014,55.68,0.000898392
10/02/2014,55.63,0.006854284
07/02/2014,55.25,0.023440004
06/02/2014,53.97,0.023243783
05/02/2014,52.73,0.009336069
04/02/2014,52.24,0.000574438
03/02/2014,52.21,-0.027207422
31/01/2014,53.65,-0.020843695
30/01/2014,54.78,0.014711556
29/01/2014,53.98,-0.023978453
28/01/2014,55.29,0.03646813
27/01/2014,53.31,-0.010635421
24/01/2014,53.88,0.02785276
23/01/2014,52.4,-0.023761254
22/01/2014,53.66,0.006919149
21/01/2014,53.29,-0.002249298
17/01/2014,53.41,-0.015973594
16/01/2014,54.27,-0.010630599
15/01/2014,54.85,0.001277023
14/01/2014,54.78,0.020657319
13/01/2014,53.66,-0.032092238
10/01/2014,55.41,0.005247456
09/01/2014,55.12,0.006552626
08/01/2014,54.76,0.000547995
07/01/2014,54.73,0.006783416
06/01/2014,54.36,-0.012976514
03/01/2014,55.07,-0.005252208
02/01/2014,55.36,-0.010601123
31/12/2013,55.95,0.015853331
30/12/2013,55.07,0.010404402
27/12/2013,54.5,-0.001833181
26/12/2013,54.6,0.004405293
24/12/2013,54.36,0.006274241
23/12/2013,54.02,0.000370302
20/12/2013,54,0.001853569
19/12/2013,53.9,-0.010152371
18/12/2013,54.45,0.020408872
17/12/2013,53.35,-0.006911394
16/12/2013,53.72,0.013116171
13/12/2013,53.02,0.008143213
12/12/2013,52.59,-0.001709889
11/12/2013,52.68,-0.010010472
10/12/2013,53.21,-0.0048744
09/12/2013,53.47,0.013177902
06/12/2013,52.77,0.016238775
05/12/2013,51.92,-0.003652797
04/12/2013,52.11,0.005773688
03/12/2013,51.81,-0.020631104
02/12/2013,52.89,-0.007722046
29/11/2013,53.3,0.00056301
27/11/2013,53.27,0.004326975
26/11/2013,53.04,-0.00338792
25/11/2013,53.22,0.015527674
22/11/2013,52.4,0.003632544
21/11/2013,52.21,0.01369224
20/11/2013,51.5,-0.003682532
19/11/2013,51.69,-0.004632319
18/11/2013,51.93,-0.008819076
15/11/2013,52.39,0.01287118
14/11/2013,51.72,0.01558878
13/11/2013,50.92,0
12/11/2013,50.92,-0.023292979
11/11/2013,52.12,-0.002682508
08/11/2013,52.26,0.004218606
07/11/2013,52.04,-0.011463633
06/11/2013,52.64,0.013772215
05/11/2013,51.92,-0.009584125
04/11/2013,52.42,0.008044479
01/11/2013,52,0.002310359
31/10/2013,51.88,-0.011117615
30/10/2013,52.46,-0.00152381
29/10/2013,52.54,0.016117003
28/10/2013,51.7,0.013632149
25/10/2013,51,-0.008590447
24/10/2013,51.44,0.002920279
23/10/2013,51.29,-0.009894348
22/10/2013,51.8,-0.036767454
21/10/2013,53.74,-0.003900089
18/10/2013,53.95,0.00427232
17/10/2013,53.72,0.017084805
16/10/2013,52.81,0.018345632
15/10/2013,51.85,-0.018724277
14/10/2013,52.83,0.020075237
11/10/2013,51.78,0.011459774
10/10/2013,51.19,0.045153495
09/10/2013,48.93,0.003890657
08/10/2013,48.74,-0.019102389
07/10/2013,49.68,-0.017756077
04/10/2013,50.57,0.006148983
03/10/2013,50.26,-0.008716378
02/10/2013,50.7,-0.010399387
01/10/2013,51.23,0.013560196
30/09/2013,50.54,-0.014730699
27/09/2013,51.29,-0.003503312
26/09/2013,51.47,0.012512382
25/09/2013,50.83,0.000590377
24/09/2013,50.8,-0.004125337
23/09/2013,51.01,-0.02152706
20/09/2013,52.12,-0.010497281
19/09/2013,52.67,-0.002843873
18/09/2013,52.82,0.004363919
17/09/2013,52.59,0.013592628
16/09/2013,51.88,0.017499961
13/09/2013,50.98,0.002553276
12/09/2013,50.85,0.005126194
11/09/2013,50.59,0.008934836
10/09/2013,50.14,0.019535411
09/09/2013,49.17,0.011865933
06/09/2013,48.59,-0.00061722
05/09/2013,48.62,0.005982483
04/09/2013,48.33,0.011864017
03/09/2013,47.76,0.010735815
30/08/2013,47.25,-0.007170001
29/08/2013,47.59,0.004844665
28/08/2013,47.36,0.003172256
27/08/2013,47.21,-0.041084616
26/08/2013,49.19,-0.007090073
23/08/2013,49.54,0.010756065
22/08/2013,49.01,0.006140011
21/08/2013,48.71,-0.014470853
20/08/2013,49.42,0.01488153
19/08/2013,48.69,-0.022139627
16/08/2013,49.78,0.00402577
15/08/2013,49.58,-0.015013794
14/08/2013,50.33,-0.00633791
13/08/2013,50.65,0.007132981
12/08/2013,50.29,0.002189709
09/08/2013,50.18,-0.013853378
08/08/2013,50.88,0.010074159
07/08/2013,50.37,-0.008697426
