Date,Close,BK
04/04/2014,34.6,-0.022575612
03/04/2014,35.39,0.00339655
02/04/2014,35.27,-0.003961522
01/04/2014,35.41,0.003394628
31/03/2014,35.29,0.005398507
28/03/2014,35.1,0.002853069
27/03/2014,35,-0.004276557
26/03/2014,35.15,-0.007087202
25/03/2014,35.4,-0.005071862
24/03/2014,35.58,0.009318153
21/03/2014,35.25,0.000851426
20/03/2014,35.22,0.029680899
19/03/2014,34.19,0.020686317
18/03/2014,33.49,0.003589594
17/03/2014,33.37,0.007218076
14/03/2014,33.13,-0.001206637
13/03/2014,33.17,-0.003911544
12/03/2014,33.3,0.002405293
11/03/2014,33.22,-0.003605773
10/03/2014,33.34,-0.005086024
07/03/2014,33.51,0.022635643
06/03/2014,32.76,0.00981603
05/03/2014,32.44,0.001233806
04/03/2014,32.4,0.016493294
03/03/2014,31.87,-0.004070774
28/02/2014,32,0.004070774
27/02/2014,31.87,0.014857236
26/02/2014,31.4,-0.00159109
25/02/2014,31.45,-0.011067307
24/02/2014,31.8,0.014252023
21/02/2014,31.35,0.005437403
20/02/2014,31.18,0.001604879
19/02/2014,31.13,-0.020035652
18/02/2014,31.76,-0.000944139
14/02/2014,31.79,-0.005958932
13/02/2014,31.98,0
12/02/2014,31.98,0.000312744
11/02/2014,31.97,0.014493007
10/02/2014,31.51,-0.008846819
07/02/2014,31.79,0.010117064
06/02/2014,31.47,0.017308124
05/02/2014,30.93,-0.008370944
04/02/2014,31.19,0.009017774
03/02/2014,30.91,-0.033405365
31/01/2014,31.96,-0.013981896
30/01/2014,32.41,0.021204412
29/01/2014,31.73,-0.015324772
28/01/2014,32.22,0.005602256
27/01/2014,32.04,-0.009319732
24/01/2014,32.34,-0.023832475
23/01/2014,33.12,-0.008717927
22/01/2014,33.41,0.009624134
21/01/2014,33.09,0.011856044
17/01/2014,32.7,-0.036629733
16/01/2014,33.92,-0.007050558
15/01/2014,34.16,0.010003025
14/01/2014,33.82,0.009506905
13/01/2014,33.5,-0.021557014
10/01/2014,34.23,-0.013637234
09/01/2014,34.7,0.001153403
08/01/2014,34.66,0.003468212
07/01/2014,34.54,-0.011800396
06/01/2014,34.95,-0.000286082
03/01/2014,34.96,0.011507607
02/01/2014,34.56,-0.010935361
31/12/2013,34.94,0.011514232
30/12/2013,34.54,0.001158749
27/12/2013,34.5,-0.00173762
26/12/2013,34.56,0.004349724
24/12/2013,34.41,0.001163129
23/12/2013,34.37,0.014359221
20/12/2013,33.88,0.000295203
19/12/2013,33.87,-0.000590319
18/12/2013,33.89,0.030863873
17/12/2013,32.86,-0.008484899
16/12/2013,33.14,0.006964449
13/12/2013,32.91,0.002129278
12/12/2013,32.84,0
11/12/2013,32.84,-0.019898154
10/12/2013,33.5,-0.004467617
09/12/2013,33.65,0.000891928
06/12/2013,33.62,0.014681912
05/12/2013,33.13,-0.007218076
04/12/2013,33.37,0.005107417
03/12/2013,33.2,-0.013165959
02/12/2013,33.64,-0.001782002
29/11/2013,33.7,-0.006212119
27/11/2013,33.91,0.0076969
26/11/2013,33.65,-0.003855855
25/11/2013,33.78,0.004450386
22/11/2013,33.63,-0.002672607
21/11/2013,33.72,0.011633241
20/11/2013,33.33,0.010556575
19/11/2013,32.98,-0.004537899
18/11/2013,33.13,-0.008715307
15/11/2013,33.42,0.008715307
14/11/2013,33.13,0.003931655
13/11/2013,33,0.01342302
12/11/2013,32.56,-0.015844329
11/11/2013,33.08,-0.002113846
08/11/2013,33.15,0.034994363
07/11/2013,32.01,-0.011183714
06/11/2013,32.37,0.000618047
05/11/2013,32.35,-0.004933713
04/11/2013,32.51,0.004624642
01/11/2013,32.36,0.017456802
31/10/2013,31.8,-0.005957064
30/10/2013,31.99,-0.004366819
29/10/2013,32.13,0.009380932
28/10/2013,31.83,0
