Date,Close,AMP
04/04/2014,111.42,-0.016467505
03/04/2014,113.27,-0.001764136
02/04/2014,113.47,0.014290395
01/04/2014,111.86,0.016131562
31/03/2014,110.07,0.011513285
28/03/2014,108.81,0.016587509
27/03/2014,107.02,-0.016679408
26/03/2014,108.82,-0.00932962
25/03/2014,109.84,-0.00797973
24/03/2014,110.72,-0.009528162
21/03/2014,111.78,0.000536913
20/03/2014,111.72,0.027219971
19/03/2014,108.72,-0.005320625
18/03/2014,109.3,0.003115553
17/03/2014,108.96,0.006537476
14/03/2014,108.25,-0.008371329
13/03/2014,109.16,-0.015814199
12/03/2014,110.9,-0.000180326
11/03/2014,110.92,-0.010135979
10/03/2014,112.05,-0.005340467
07/03/2014,112.65,0.016197947
06/03/2014,110.84,0.008971921
05/03/2014,109.85,-0.003906787
04/03/2014,110.28,0.023208857
03/03/2014,107.75,-0.011442406
28/02/2014,108.99,0.003308522
27/02/2014,108.63,0.018676501
26/02/2014,106.62,-0.007009702
25/02/2014,107.37,-0.008439651
24/02/2014,108.28,0.01366891
21/02/2014,106.81,0.005727446
20/02/2014,106.2,-0.004322096
19/02/2014,106.66,-0.012392425
18/02/2014,107.99,0.008369028
14/02/2014,107.09,-0.002238598
13/02/2014,107.33,0.003266299
12/02/2014,106.98,-0.002147627
11/02/2014,107.21,0.012294275
10/02/2014,105.9,-0.016018328
07/02/2014,107.61,0.018476493
06/02/2014,105.64,0.021142032
05/02/2014,103.43,-0.001062956
04/02/2014,103.54,0.020194823
03/02/2014,101.47,-0.040273899
31/01/2014,105.64,-0.007450405
30/01/2014,106.43,0.013336684
29/01/2014,105.02,-0.014369693
28/01/2014,106.54,0.015322346
27/01/2014,104.92,-0.017666134
24/01/2014,106.79,-0.04082574
23/01/2014,111.24,-0.031240096
22/01/2014,114.77,0.005504361
21/01/2014,114.14,0.006768959
17/01/2014,113.37,-0.00255473
16/01/2014,113.66,-0.006139832
15/01/2014,114.36,0.001312508
14/01/2014,114.21,0.009059387
13/01/2014,113.18,-0.01647426
10/01/2014,115.06,-0.003903375
09/01/2014,115.51,-0.002507459
08/01/2014,115.8,0.010678575
07/01/2014,114.57,0.008502484
06/01/2014,113.6,-0.002637364
03/01/2014,113.9,0.000175608
02/01/2014,113.88,-0.010221554
31/12/2013,115.05,0.012771342
30/12/2013,113.59,-0.00307652
27/12/2013,113.94,0.001141603
26/12/2013,113.81,0.008205084
24/12/2013,112.88,-0.001681788
23/12/2013,113.07,0.011206094
20/12/2013,111.81,0.008713282
19/12/2013,110.84,-0.008802716
18/12/2013,111.82,0.029403207
17/12/2013,108.58,-0.003860654
16/12/2013,109,0.021514183
13/12/2013,106.68,0.001500938
12/12/2013,106.52,0.001127184
11/12/2013,106.4,-0.01659093
10/12/2013,108.18,-0.007459628
09/12/2013,108.99,0
06/12/2013,108.99,0.02564958
05/12/2013,106.23,-0.007315733
04/12/2013,107.01,0.00102847
03/12/2013,106.9,-0.012364774
02/12/2013,108.23,-0.000184775
29/11/2013,108.25,-0.002583266
27/11/2013,108.53,0.002121478
26/11/2013,108.3,0.007414306
25/11/2013,107.5,-0.000743909
22/11/2013,107.58,0.007370468
