Date,Close,HOG
04/04/2014,67.83,-0.011725182
03/04/2014,68.63,-0.001310521
02/04/2014,68.72,0.007155927
01/04/2014,68.23,0.024029634
31/03/2014,66.61,0.006627528
28/03/2014,66.17,0.001361059
27/03/2014,66.08,-0.011734752
26/03/2014,66.86,0.006903825
25/03/2014,66.4,-0.006455025
24/03/2014,66.83,-0.012343082
21/03/2014,67.66,-0.004571268
20/03/2014,67.97,0.002061856
19/03/2014,67.83,-0.005146692
18/03/2014,68.18,0.007951743
17/03/2014,67.64,0.006228702
14/03/2014,67.22,0.000148776
13/03/2014,67.21,-0.01153859
12/03/2014,67.99,-0.001616578
11/03/2014,68.1,0.010183838
10/03/2014,67.41,-0.01033067
07/03/2014,68.11,0.004856879
06/03/2014,67.78,0.012022408
05/03/2014,66.97,0.007794973
04/03/2014,66.45,0.02144732
03/03/2014,65.04,-0.015560955
28/02/2014,66.06,0.010041161
27/02/2014,65.4,0.016185324
26/02/2014,64.35,0.005610113
25/02/2014,63.99,-0.012270093
24/02/2014,64.78,0.007126289
21/02/2014,64.32,0.000155485
20/02/2014,64.31,0.018994371
19/02/2014,63.1,-0.010405265
18/02/2014,63.76,-0.018953496
14/02/2014,64.98,0.003391401
13/02/2014,64.76,-0.006311112
12/02/2014,65.17,0.00739261
11/02/2014,64.69,0.00154703
10/02/2014,64.59,-0.00601993
07/02/2014,64.98,0.007104277
06/02/2014,64.52,0.037424435
05/02/2014,62.15,-0.002892033
04/02/2014,62.33,0.017805585
03/02/2014,61.23,-0.007484578
31/01/2014,61.69,-0.024024218
30/01/2014,63.19,-0.013361827
29/01/2014,64.04,-0.013493807
28/01/2014,64.91,0.010687006
27/01/2014,64.22,0.003119154
24/01/2014,64.02,-0.02879115
23/01/2014,65.89,-0.014763751
22/01/2014,66.87,-0.009525299
21/01/2014,67.51,-0.001036346
17/01/2014,67.58,-0.007665132
16/01/2014,68.1,-0.008043919
15/01/2014,68.65,0.009513427
14/01/2014,68,0.011983278
13/01/2014,67.19,-0.035527455
10/01/2014,69.62,0.006195539
09/01/2014,69.19,-0.009493742
08/01/2014,69.85,0.011953768
07/01/2014,69.02,0.005666561
06/01/2014,68.63,-0.004071548
03/01/2014,68.91,0.005092031
02/01/2014,68.56,-0.009869456
31/12/2013,69.24,0.003617164
30/12/2013,68.99,-0.000869313
27/12/2013,69.05,-0.003036659
26/12/2013,69.26,0.000577701
24/12/2013,69.22,0.007104053
23/12/2013,68.73,0.009943056
20/12/2013,68.05,-0.002201836
19/12/2013,68.2,0.007506106
18/12/2013,67.69,0.008158467
17/12/2013,67.14,-0.008453888
16/12/2013,67.71,0.002958144
13/12/2013,67.51,-0.010608616
12/12/2013,68.23,0.000293169
11/12/2013,68.21,-0.016719151
10/12/2013,69.36,0.005928728
09/12/2013,68.95,0.006109999
06/12/2013,68.53,0.013515704
05/12/2013,67.61,0.016854751
04/12/2013,66.48,0.003767618
03/12/2013,66.23,-0.004820012
02/12/2013,66.55,-0.007037537
29/11/2013,67.02,-0.005653936
27/11/2013,67.4,0.001336204
26/11/2013,67.31,-0.0019295
25/11/2013,67.44,0.003267491
22/11/2013,67.22,-0.001040815
21/11/2013,67.29,0.010457221
20/11/2013,66.59,0.000751146
19/11/2013,66.54,0.000601323
18/11/2013,66.5,-0.00330281
15/11/2013,66.72,0.012062872
14/11/2013,65.92,0.008225484
13/11/2013,65.38,0.021333318
12/11/2013,64,-0.005453851
11/11/2013,64.35,0.00139958
08/11/2013,64.26,0.011267725
07/11/2013,63.54,-0.012200996
06/11/2013,64.32,-0.002329374
05/11/2013,64.47,-0.008187271
04/11/2013,65,0.003699141
01/11/2013,64.76,0.011180241
31/10/2013,64.04,-0.002339547
