Date,Close,EMN
04/04/2014,86.51,-0.007714933
03/04/2014,87.18,-0.002062565
02/04/2014,87.36,0.01429584
01/04/2014,86.12,-0.001044508
31/03/2014,86.21,0.007100897
28/03/2014,85.6,0.014236372
27/03/2014,84.39,0.000948429
26/03/2014,84.31,-0.017635068
25/03/2014,85.81,0.006078335
24/03/2014,85.29,-0.009219882
21/03/2014,86.08,0.00676072
20/03/2014,85.5,0.011409875
19/03/2014,84.53,-0.004485371
18/03/2014,84.91,0.004012278
17/03/2014,84.57,0.010340616
14/03/2014,83.7,-0.008920666
13/03/2014,84.45,-0.011303547
12/03/2014,85.41,-0.01256561
11/03/2014,86.49,-0.009550731
10/03/2014,87.32,-0.0025163
07/03/2014,87.54,-0.004900016
06/03/2014,87.97,0.007301801
05/03/2014,87.33,-0.002401785
04/03/2014,87.54,0.004350322
03/03/2014,87.16,-0.003092963
28/02/2014,87.43,0.007116651
27/02/2014,86.81,0.010537993
26/02/2014,85.9,0.00139795
25/02/2014,85.78,0.019898225
24/02/2014,84.09,-0.002968594
21/02/2014,84.34,0.018307421
20/02/2014,82.81,0.00922001
19/02/2014,82.05,-0.009340761
18/02/2014,82.82,-0.000241458
14/02/2014,82.84,0.004355197
13/02/2014,82.48,0.01011402
12/02/2014,81.65,0.02279301
11/02/2014,79.81,-0.004375827
10/02/2014,80.16,0.012553517
07/02/2014,79.16,0.013225015
06/02/2014,78.12,0.003847638
05/02/2014,77.82,0.010593046
04/02/2014,77,0.01162576
03/02/2014,76.11,-0.024016212
31/01/2014,77.96,0.025857349
30/01/2014,75.97,0.016992311
29/01/2014,74.69,-0.007070939
28/01/2014,75.22,0.011230065
27/01/2014,74.38,-0.003355483
24/01/2014,74.63,-0.020818892
23/01/2014,76.2,-0.021422436
22/01/2014,77.85,-0.022732581
21/01/2014,79.64,-0.003009029
17/01/2014,79.88,0.000626135
16/01/2014,79.83,0.000250564
15/01/2014,79.81,0.006536793
14/01/2014,79.29,0.014226075
13/01/2014,78.17,-0.015990188
10/01/2014,79.43,0.001638002
09/01/2014,79.3,0.00126183
08/01/2014,79.2,-0.003151594
07/01/2014,79.45,-0.003894233
06/01/2014,79.76,-0.005127254
03/01/2014,80.17,-0.001371144
02/01/2014,80.28,-0.005218051
31/12/2013,80.7,0.009962723
30/12/2013,79.9,0.010568795
27/12/2013,79.06,0.001139024
26/12/2013,78.97,0.009542664
24/12/2013,78.22,0.015070808
23/12/2013,77.05,0.014642699
20/12/2013,75.93,0.012190425
19/12/2013,75.01,0.004944881
18/12/2013,74.64,0.00820614
17/12/2013,74.03,0.008137845
16/12/2013,73.43,0.010403927
13/12/2013,72.67,-0.016242765
12/12/2013,73.86,-0.009298632
11/12/2013,74.55,-0.010142887
10/12/2013,75.31,-0.000663702
09/12/2013,75.36,-0.011216057
06/12/2013,76.21,0.025247156
05/12/2013,74.31,-0.003626843
04/12/2013,74.58,-0.011332699
03/12/2013,75.43,-0.013562654
02/12/2013,76.46,-0.007427228
29/11/2013,77.03,0.005075823
27/11/2013,76.64,0.015648948
26/11/2013,75.45,-0.005814738
25/11/2013,75.89,-0.007090366
22/11/2013,76.43,-0.000261643
21/11/2013,76.45,0.007615583
20/11/2013,75.87,-0.010489148
19/11/2013,76.67,-0.015401845
18/11/2013,77.86,-0.01085787
15/11/2013,78.71,-0.00671101
14/11/2013,79.24,-0.006039274
13/11/2013,79.72,0.008186959
12/11/2013,79.07,0.000759109
11/11/2013,79.01,-0.001264862
08/11/2013,79.11,0.029504449
07/11/2013,76.81,-0.014347819
06/11/2013,77.92,0.002441376
05/11/2013,77.73,0.000514734
04/11/2013,77.69,-0.00679882
01/11/2013,78.22,-0.007260716
31/10/2013,78.79,0.005089717
30/10/2013,78.39,-0.000637633
29/10/2013,78.44,0.028185447
28/10/2013,76.26,-0.021790745
25/10/2013,77.94,-0.052972664
24/10/2013,82.18,-0.005097717
23/10/2013,82.6,0.00060551
22/10/2013,82.55,0.016242648
21/10/2013,81.22,-0.004790281
18/10/2013,81.61,0.001839701
17/10/2013,81.46,0.014591578
16/10/2013,80.28,0.011904157
15/10/2013,79.33,0.012941059
14/10/2013,78.31,0.004222925
11/10/2013,77.98,0.001283203
10/10/2013,77.88,0.019186484
09/10/2013,76.4,0.005644171
08/10/2013,75.97,-0.023160026
07/10/2013,77.75,-0.028653076
04/10/2013,80.01,0.024930111
03/10/2013,78.04,-0.010072119
02/10/2013,78.83,-0.007582496
01/10/2013,79.43,0.019450178
30/09/2013,77.9,0.002570696
27/09/2013,77.7,-0.006670112
26/09/2013,78.22,0.019102285
25/09/2013,76.74,-0.005458103
24/09/2013,77.16,-0.005041702
23/09/2013,77.55,-0.012557828
20/09/2013,78.53,-0.008495581
19/09/2013,79.2,0.005317141
18/09/2013,78.78,0.018060049
17/09/2013,77.37,0.01392617
16/09/2013,76.3,-0.002617803
13/09/2013,76.5,-0.015049583
12/09/2013,77.66,-0.009738673
11/09/2013,78.42,0.008580446
10/09/2013,77.75,0.00593397
09/09/2013,77.29,0.005318816
06/09/2013,76.88,0.001171341
05/09/2013,76.79,-0.001171341
04/09/2013,76.88,0.000390295
03/09/2013,76.85,0.01112213
30/08/2013,76,-0.005903592
29/08/2013,76.45,0.015821029
28/08/2013,75.25,-0.008337241
27/08/2013,75.88,-0.031011243
26/08/2013,78.27,-0.017728716
23/08/2013,79.67,0.00276521
22/08/2013,79.45,0.014069565
21/08/2013,78.34,-0.001785487
20/08/2013,78.48,0.006391432
19/08/2013,77.98,0.001668485
16/08/2013,77.85,-0.00589141
15/08/2013,78.31,-0.022101045
14/08/2013,80.06,-0.007094435
13/08/2013,80.63,0.016758771
12/08/2013,79.29,-0.009789235
09/08/2013,80.07,-0.004983192
08/08/2013,80.47,-0.005823695
07/08/2013,80.94,0.000247127
06/08/2013,80.92,-0.019216062
05/08/2013,82.49,0.000970285
02/08/2013,82.41,0.001335681
01/08/2013,82.3,0.022983867
31/07/2013,80.43,0.008490499
30/07/2013,79.75,0.061008708
29/07/2013,75.03,0.011663112
26/07/2013,74.16,-0.017510305
25/07/2013,75.47,0.005713922
24/07/2013,75.04,-0.010208905
23/07/2013,75.81,0.00264166
22/07/2013,75.61,-0.001321703
19/07/2013,75.71,0.011156976
18/07/2013,74.87,-0.005461219
17/07/2013,75.28,0.022705348
16/07/2013,73.59,-0.008255003
15/07/2013,74.2,0.003239744
12/07/2013,73.96,-0.000135199
11/07/2013,73.97,0.013200164
10/07/2013,73,-0.00587313
09/07/2013,73.43,0.009853645
08/07/2013,72.71,0.009673928
05/07/2013,72.01,0.013702675
03/07/2013,71.03,0.004515317
02/07/2013,70.71,-0.009430712
01/07/2013,71.38,0.019379629
28/06/2013,70.01,-0.028305769
27/06/2013,72.02,-0.000832755
26/06/2013,72.08,0.024578163
25/06/2013,70.33,0.004703208
24/06/2013,70,-0.011222506
21/06/2013,70.79,0.004672575
20/06/2013,70.46,-0.026193808
19/06/2013,72.33,-0.012639267
18/06/2013,73.25,0.013607522
17/06/2013,72.26,0.017309198
14/06/2013,71.02,-0.004775961
13/06/2013,71.36,0.037697211
12/06/2013,68.72,-0.00984659
11/06/2013,69.4,-0.016434811
10/06/2013,70.55,0.001844365
07/06/2013,70.42,0.011281805
06/06/2013,69.63,0.010104012
05/06/2013,68.93,-0.031136477
04/06/2013,71.11,-0.017149253
03/06/2013,72.34,0.008607578
31/05/2013,71.72,-0.002784741
30/05/2013,71.92,0.000417217
