Date,Close,RRC
04/04/2014,86.53,-0.014798091
03/04/2014,87.82,0.022571202
02/04/2014,85.86,0.021425187
01/04/2014,84.04,0.012813779
31/03/2014,82.97,-0.026874388
28/03/2014,85.23,-0.000234632
27/03/2014,85.25,0.007299302
26/03/2014,84.63,-0.017685066
25/03/2014,86.14,-0.002203283
24/03/2014,86.33,-0.009568348
21/03/2014,87.16,-0.004464549
20/03/2014,87.55,0.003547117
19/03/2014,87.24,-0.016145888
18/03/2014,88.66,0.004975135
17/03/2014,88.22,0.005683771
14/03/2014,87.72,0.012965588
13/03/2014,86.59,0.005326553
12/03/2014,86.13,-0.009360443
11/03/2014,86.94,0.00207254
10/03/2014,86.76,0.019553696
07/03/2014,85.08,0.010040838
06/03/2014,84.23,0.009782946
05/03/2014,83.41,-0.024280224
04/03/2014,85.46,0.006456558
03/03/2014,84.91,-0.013336651
28/02/2014,86.05,-0.008217163
27/02/2014,86.76,0.021200561
26/02/2014,84.94,-0.022812907
25/02/2014,86.9,-0.007223559
24/02/2014,87.53,0.021478886
21/02/2014,85.67,-0.021364633
20/02/2014,87.52,-0.000685323
19/02/2014,87.58,0.00894604
18/02/2014,86.8,0.015207212
14/02/2014,85.49,0.015085731
13/02/2014,84.21,-0.003792822
12/02/2014,84.53,-0.0042498
11/02/2014,84.89,0.00590739
10/02/2014,84.39,0.004275033
07/02/2014,84.03,0.000476134
06/02/2014,83.99,-0.025160039
05/02/2014,86.13,-0.017493829
04/02/2014,87.65,0.030818009
03/02/2014,84.99,-0.014020559
31/01/2014,86.19,0.008505731
30/01/2014,85.46,0.002343019
29/01/2014,85.26,-0.01467019
28/01/2014,86.52,0.026468345
27/01/2014,84.26,-0.022182706
24/01/2014,86.15,-0.006133214
23/01/2014,86.68,-0.008500913
22/01/2014,87.42,0.028896702
21/01/2014,84.93,0.027333563
17/01/2014,82.64,-0.015965767
16/01/2014,83.97,0.002981695
15/01/2014,83.72,0.018687626
14/01/2014,82.17,0.030897169
13/01/2014,79.67,-0.02528329
10/01/2014,81.71,0.005891756
09/01/2014,81.23,-0.015756051
08/01/2014,82.52,0.00109124
07/01/2014,82.43,0.0168832
06/01/2014,81.05,0.006436462
03/01/2014,80.53,-0.014913692
02/01/2014,81.74,-0.030957004
31/12/2013,84.31,0.008098175
30/12/2013,83.63,0.000837371
27/12/2013,83.56,-0.00023932
26/12/2013,83.58,0.0017963
24/12/2013,83.43,0.004203958
23/12/2013,83.08,0.00761195
20/12/2013,82.45,0.008159334
19/12/2013,81.78,0.008103175
18/12/2013,81.12,0.016907414
17/12/2013,79.76,-0.005127254
