Date,Close,FSLR
04/04/2014,69.72,0.018237588
03/04/2014,68.46,-0.049443791
02/04/2014,71.93,0.014564044
01/04/2014,70.89,0.015638647
31/03/2014,69.79,0.016615278
28/03/2014,68.64,-0.016041966
27/03/2014,69.75,0.018229671
26/03/2014,68.49,-0.051088864
25/03/2014,72.08,-0.024530178
24/03/2014,73.87,0.006791659
21/03/2014,73.37,0.040186151
20/03/2014,70.48,0.015442114
19/03/2014,69.4,0.187058985
18/03/2014,57.56,0.018233324
17/03/2014,56.52,0.04505511
14/03/2014,54.03,0.018681657
13/03/2014,53.03,-0.01255521
12/03/2014,53.7,0.004105249
11/03/2014,53.48,-0.025112102
10/03/2014,54.84,-0.022894195
07/03/2014,56.11,-0.037258354
06/03/2014,58.24,0.001546525
05/03/2014,58.15,0.00759541
04/03/2014,57.71,0.030793319
03/03/2014,55.96,-0.019641435
28/02/2014,57.07,-0.002100473
27/02/2014,57.19,0.081004877
26/02/2014,52.74,-0.095585937
25/02/2014,58.03,0.004836769
24/02/2014,57.75,0.032022441
21/02/2014,55.93,-0.016842877
20/02/2014,56.88,0.016127953
19/02/2014,55.97,-0.015776273
18/02/2014,56.86,0.067097779
14/02/2014,53.17,0.006036615
13/02/2014,52.85,0.024323712
12/02/2014,51.58,0.002329194
11/02/2014,51.46,0.00702031
10/02/2014,51.1,0.025167285
07/02/2014,49.83,0.033258191
06/02/2014,48.2,0.00979889
05/02/2014,47.73,-0.028502549
04/02/2014,49.11,0.015596458
03/02/2014,48.35,-0.045090019
31/01/2014,50.58,-0.017442872
30/01/2014,51.47,0.034994181
29/01/2014,49.7,-0.013192276
28/01/2014,50.36,0.03064756
27/01/2014,48.84,0.003486825
24/01/2014,48.67,-0.035721687
23/01/2014,50.44,-0.031228143
22/01/2014,52.04,0.004429473
21/01/2014,51.81,-0.001350179
17/01/2014,51.88,-0.006149135
16/01/2014,52.2,0.004031102
15/01/2014,51.99,0.018245848
14/01/2014,51.05,0.023586467
13/01/2014,49.86,-0.041447551
10/01/2014,51.97,-0.00269024
09/01/2014,52.11,0.008286009
08/01/2014,51.68,-0.015551816
07/01/2014,52.49,0.023711954
06/01/2014,51.26,-0.101568708
03/01/2014,56.74,-0.012261495
02/01/2014,57.44,0.049974709
31/12/2013,54.64,-0.017416986
30/12/2013,55.6,0.006133882
27/12/2013,55.26,-0.007571697
26/12/2013,55.68,0.007028956
24/12/2013,55.29,-0.008464706
23/12/2013,55.76,-0.001970797
20/12/2013,55.87,-0.015804289
19/12/2013,56.76,0.023891313
18/12/2013,55.42,-0.001622645
17/12/2013,55.51,0.014699475
16/12/2013,54.7,0.016776133
13/12/2013,53.79,-0.011092737
12/12/2013,54.39,0.003499405
11/12/2013,54.2,-0.041382723
10/12/2013,56.49,0.007462721
09/12/2013,56.07,-0.034014499
06/12/2013,58.01,-0.030055747
05/12/2013,59.78,-0.016918632
04/12/2013,60.8,0.019598701
03/12/2013,59.62,-0.003181783
02/12/2013,59.81,-0.000167182
29/11/2013,59.82,-0.011799057
27/11/2013,60.53,0.019350062
26/11/2013,59.37,-0.009555014
25/11/2013,59.94,-0.006816886
22/11/2013,60.35,-0.026650805
21/11/2013,61.98,0.017907039
20/11/2013,60.88,0.007584538
19/11/2013,60.42,-0.039748926
18/11/2013,62.87,-0.020778333
15/11/2013,64.19,-0.001401106
14/11/2013,64.28,0.00124533
13/11/2013,64.2,0.039395183
12/11/2013,61.72,-0.022746456
11/11/2013,63.14,0.042711118
08/11/2013,60.5,0.039961483
07/11/2013,58.13,-0.05064798
06/11/2013,61.15,-0.015738136
05/11/2013,62.12,0.004679315
04/11/2013,61.83,0.044481169
01/11/2013,59.14,0.16170365
31/10/2013,50.31,-0.021434308
30/10/2013,51.4,-0.018695736
29/10/2013,52.37,0.017140526
28/10/2013,51.48,-0.025317808
25/10/2013,52.8,-0.026538653
24/10/2013,54.22,0.021249635
23/10/2013,53.08,-0.026400492
22/10/2013,54.5,0.01144135
21/10/2013,53.88,0.075336526
18/10/2013,49.97,0.083433816
17/10/2013,45.97,0.004578663
