Date,Close,AA
04/04/2014,12.63,-0.008671714
03/04/2014,12.74,-0.008597161
02/04/2014,12.85,-0.014677745
01/04/2014,13.04,0.013122535
31/03/2014,12.87,0.030771659
28/03/2014,12.48,-0.008775485
27/03/2014,12.59,0.059731454
26/03/2014,11.86,-0.013400536
25/03/2014,12.02,0.000832293
24/03/2014,12.01,0
21/03/2014,12.01,0.008361253
20/03/2014,11.91,0.005894754
19/03/2014,11.84,-0.01342302
18/03/2014,12,0.00836825
17/03/2014,11.9,0.005054771
14/03/2014,11.84,-0.001687764
13/03/2014,11.86,-0.025802513
12/03/2014,12.17,-0.001642036
11/03/2014,12.19,0.020721836
10/03/2014,11.94,-0.018257769
07/03/2014,12.16,0.008257685
06/03/2014,12.06,-0.003311261
05/03/2014,12.1,0.025105921
04/03/2014,11.8,0.01537178
03/03/2014,11.62,-0.010274063
28/02/2014,11.74,-0.024401716
27/02/2014,12.03,-0.00166113
26/02/2014,12.05,0.036336909
25/02/2014,11.62,-0.01282617
24/02/2014,11.77,0.003404259
21/02/2014,11.73,-0.004253516
20/02/2014,11.78,0.001699236
19/02/2014,11.76,0.031090587
18/02/2014,11.4,0.002635048
14/02/2014,11.37,-0.002635048
13/02/2014,11.4,0.011469027
12/02/2014,11.27,-0.005309747
11/02/2014,11.33,0.024119079
10/02/2014,11.06,-0.011685526
07/02/2014,11.19,0.012590094
06/02/2014,11.05,0.000905387
05/02/2014,11.04,-0.036464689
04/02/2014,11.45,0.019400961
03/02/2014,11.23,-0.024627454
31/01/2014,11.51,-0.037515056
30/01/2014,11.95,-0.003341691
29/01/2014,11.99,0.011745101
28/01/2014,11.85,0.017880425
27/01/2014,11.64,0.017331456
24/01/2014,11.44,-0.053607049
23/01/2014,12.07,-0.012350919
22/01/2014,12.22,0.007392231
21/01/2014,12.13,0.06558331
17/01/2014,11.36,0.028573372
16/01/2014,11.04,0.041614881
15/01/2014,10.59,0.0258264
14/01/2014,10.32,0.021548336
13/01/2014,10.1,-0.000989609
10/01/2014,10.11,-0.055783692
09/01/2014,10.69,-0.013011336
08/01/2014,10.83,0.027142518
07/01/2014,10.54,0.000949217
06/01/2014,10.53,-0.003791474
03/01/2014,10.57,0.003791474
02/01/2014,10.53,-0.009451866
31/12/2013,10.63,0.009451866
30/12/2013,10.53,-0.015080399
27/12/2013,10.69,0.024622456
26/12/2013,10.43,0.006734032
24/12/2013,10.36,0.022450919
23/12/2013,10.13,0.018934298
20/12/2013,9.94,-0.003013563
19/12/2013,9.97,0.01414165
18/12/2013,9.83,0.013313049
17/12/2013,9.7,0.01349268
16/12/2013,9.57,0.006289329
13/12/2013,9.51,0.01483078
12/12/2013,9.37,0.003206844
11/12/2013,9.34,-0.023281475
10/12/2013,9.56,0.008403411
09/12/2013,9.48,0.012739026
06/12/2013,9.36,0.001068947
05/12/2013,9.35,-0.001068947
04/12/2013,9.36,-0.006389798
03/12/2013,9.42,-0.013706066
02/12/2013,9.55,-0.006263068
29/11/2013,9.61,-0.003116886
27/11/2013,9.64,-0.001036807
26/11/2013,9.65,0.006237026
25/11/2013,9.59,0.037179003
22/11/2013,9.24,0.013072082
21/11/2013,9.12,0.007705046
20/11/2013,9.05,-0.008800937
19/11/2013,9.13,0.019912162
18/11/2013,8.95,-0.008898835
15/11/2013,9.03,0.005552485
14/11/2013,8.98,-0.001112966
13/11/2013,8.99,0.007816902
12/11/2013,8.92,-0.012256421
11/11/2013,9.03,-0.003316753
08/11/2013,9.06,0.012215588
07/11/2013,8.95,-0.076340116
06/11/2013,9.66,-0.012345836
05/11/2013,9.78,-0.014213437
04/11/2013,9.92,0.067769542
01/11/2013,9.27,0
31/10/2013,9.27,-0.020289003
30/10/2013,9.46,-0.008421102
29/10/2013,9.54,-0.002094242
28/10/2013,9.56,0.034045841
25/10/2013,9.24,-0.001081666
24/10/2013,9.25,-0.002159828
23/10/2013,9.27,-0.009661911
22/10/2013,9.36,0.084683087
21/10/2013,8.6,-0.003482302
18/10/2013,8.63,0.004645769
17/10/2013,8.59,0.007009374
16/10/2013,8.53,0.017741447
15/10/2013,8.38,-0.008318527
14/10/2013,8.45,0.015504187
11/10/2013,8.32,-0.003599284
10/10/2013,8.35,0.030397477
09/10/2013,8.1,0.019950786
08/10/2013,7.94,-0.003771218
07/10/2013,7.97,0.001255493
04/10/2013,7.96,0.012642393
03/10/2013,7.86,-0.020151815
02/10/2013,8.02,-0.018530487
01/10/2013,8.17,0.006138755
30/09/2013,8.12,-0.009804
27/09/2013,8.2,-0.008500355
26/09/2013,8.27,-0.007228947
25/09/2013,8.33,0.003607941
24/09/2013,8.3,0.002412546
23/09/2013,8.28,-0.001207001
20/09/2013,8.29,-0.017932339
19/09/2013,8.44,-0.012948974
18/09/2013,8.55,0.034506695
17/09/2013,8.26,0.019560526
16/09/2013,8.1,0.002472189
13/09/2013,8.08,-0.009852296
12/09/2013,8.16,-0.003669729
11/09/2013,8.19,0.017241806
10/09/2013,8.05,-0.003719781
09/09/2013,8.08,0.020000667
06/09/2013,7.92,0.006333143
05/09/2013,7.87,0.003819228
04/09/2013,7.84,0.01542447
03/09/2013,7.72,0.002594035
30/08/2013,7.7,-0.014184635
29/08/2013,7.81,-0.015248072
28/08/2013,7.93,0.00126183
27/08/2013,7.92,-0.017522351
26/08/2013,8.06,0.001241465
23/08/2013,8.05,0.002487563
22/08/2013,8.03,0.023945694
21/08/2013,7.84,-0.020202707
20/08/2013,8,0.007528266
19/08/2013,7.94,-0.022416879
16/08/2013,8.12,-0.004914015
15/08/2013,8.16,0
14/08/2013,8.16,0.001226242
13/08/2013,8.15,-0.01340666
12/08/2013,8.26,0.004854378
09/08/2013,8.22,0.038442427
08/08/2013,7.91,0.015286922
07/08/2013,7.79,-0.015286922
06/08/2013,7.91,-0.01131376
05/08/2013,8,0.003757049
02/08/2013,7.97,0.002512564
01/08/2013,7.95,0
31/07/2013,7.95,-0.010012599
30/07/2013,8.03,-0.001244555
29/07/2013,8.04,-0.003724399
26/07/2013,8.07,0.004968954
25/07/2013,8.03,-0.002487563
24/07/2013,8.05,-0.011118089
23/07/2013,8.14,0.002460026
22/07/2013,8.12,0.006176672
19/07/2013,8.07,-0.017199441
18/07/2013,8.21,0.002439026
17/07/2013,8.19,0.00981603
16/07/2013,8.11,-0.007371041
15/07/2013,8.17,0.008604847
12/07/2013,8.1,0
11/07/2013,8.1,0.022472856
10/07/2013,7.92,0.001263424
09/07/2013,7.91,-0.001263424
08/07/2013,7.92,0.013986242
05/07/2013,7.81,0.012886776
03/07/2013,7.71,-0.011605546
02/07/2013,7.8,-0.007662873
01/07/2013,7.86,0.005102052
28/06/2013,7.82,-0.006373508
27/06/2013,7.87,0.015365219
26/06/2013,7.75,-0.021698362
25/06/2013,7.92,0.016550346
24/06/2013,7.79,-0.024097552
21/06/2013,7.98,-0.00500001
20/06/2013,8.02,-0.011159446
19/06/2013,8.11,-0.012255055
18/06/2013,8.21,0.012255055
17/06/2013,8.11,-0.001232286
14/06/2013,8.12,-0.009804
13/06/2013,8.2,0.002442004
12/06/2013,8.18,-0.006093864
11/06/2013,8.23,-0.015672412
10/06/2013,8.36,0.003594971
07/06/2013,8.33,0.008438869
06/06/2013,8.26,0.007290433
05/06/2013,8.2,-0.02171376
04/06/2013,8.38,-0.016568426
03/06/2013,8.52,0.002350177
31/05/2013,8.5,0.001177163
30/05/2013,8.49,-0.010544913
29/05/2013,8.58,-0.001164822
28/05/2013,8.59,0.012888286
24/05/2013,8.48,-0.007050558
23/05/2013,8.54,-0.017411931
22/05/2013,8.69,-0.008022966
21/05/2013,8.76,0
20/05/2013,8.76,0.017271587
17/05/2013,8.61,0.012858155
16/05/2013,8.5,0
15/05/2013,8.5,-0.007034027
14/05/2013,8.56,0.003510829
13/05/2013,8.53,-0.019733664
10/05/2013,8.7,-0.010291686
09/05/2013,8.79,-0.009060085
08/05/2013,8.87,0.026272214
07/05/2013,8.64,-0.005770356
06/05/2013,8.69,0.008087855
03/05/2013,8.62,0.018735911
02/05/2013,8.46,0.003552402
01/05/2013,8.43,-0.008269391
30/04/2013,8.5,0.009456335
29/04/2013,8.42,0.017975319
26/04/2013,8.27,-0.014406011
25/04/2013,8.39,-0.002380954
24/04/2013,8.41,0.03509132
23/04/2013,8.12,0.001232286
22/04/2013,8.11,0.003705996
19/04/2013,8.08,0.006207345
18/04/2013,8.03,0.008755528
17/04/2013,7.96,-0.017435062
16/04/2013,8.1,0.007434978
15/04/2013,8.04,-0.022141126
12/04/2013,8.22,-0.012092046
11/04/2013,8.32,0.001202646
10/04/2013,8.31,-0.009580912
09/04/2013,8.39,0
08/04/2013,8.39,0.018040177
05/04/2013,8.24,0.002430135
04/04/2013,8.22,-0.0060643
03/04/2013,8.27,-0.003621006
02/04/2013,8.3,-0.010785006
01/04/2013,8.39,-0.01537582
28/03/2013,8.52,0.003527341
27/03/2013,8.49,0.008279172
26/03/2013,8.42,0
25/03/2013,8.42,-0.003556613
22/03/2013,8.45,0
21/03/2013,8.45,-0.010594566
20/03/2013,8.54,0.007050558
19/03/2013,8.48,-0.00938974
