Date,Close,NEM
04/04/2014,24.11,0.000414852
03/04/2014,24.1,-0.005792321
02/04/2014,24.24,0.033133666
01/04/2014,23.45,0.00042653
31/03/2014,23.44,-0.020270964
28/03/2014,23.92,0.041832817
27/03/2014,22.94,-0.00565096
26/03/2014,23.07,-0.036181857
25/03/2014,23.92,0.001254968
24/03/2014,23.89,-0.027251893
21/03/2014,24.55,-0.00122125
20/03/2014,24.58,0.003259987
19/03/2014,24.5,-0.030944804
18/03/2014,25.27,-0.019593103
17/03/2014,25.77,-0.015784736
14/03/2014,26.18,0.02710193
13/03/2014,25.48,0.018618086
12/03/2014,25.01,0.026743895
11/03/2014,24.35,0.001644061
10/03/2014,24.31,-0.011858655
07/03/2014,24.6,-0.013325455
06/03/2014,24.93,0.014138793
05/03/2014,24.58,0.018062888
04/03/2014,24.14,0.021353124
03/03/2014,23.63,0.015781944
28/02/2014,23.26,-0.014087746
27/02/2014,23.59,0.001272535
26/02/2014,23.56,-0.008032172
25/02/2014,23.75,0.003374107
24/02/2014,23.67,0.012327467
21/02/2014,23.38,-0.045158174
20/02/2014,24.46,0.028614849
19/02/2014,23.77,-0.01834149
18/02/2014,24.21,0.01582048
14/02/2014,23.83,0.012669088
13/02/2014,23.53,0.044316548
12/02/2014,22.51,-0.017177256
11/02/2014,22.9,0.031044622
10/02/2014,22.2,0.031109554
07/02/2014,21.52,0.02398422
06/02/2014,21.01,0.006685794
05/02/2014,20.87,-0.014744619
04/02/2014,21.18,0.007582975
03/02/2014,21.02,-0.027218949
31/01/2014,21.6,-0.109518526
30/01/2014,24.1,-0.031450417
29/01/2014,24.87,0.00847976
28/01/2014,24.66,0.019656653
27/01/2014,24.18,-0.028538423
24/01/2014,24.88,-0.011588541
23/01/2014,25.17,0.031479597
22/01/2014,24.39,-0.017476568
21/01/2014,24.82,0.010937926
17/01/2014,24.55,0.02474353
16/01/2014,23.95,0.015569429
15/01/2014,23.58,0.007235614
14/01/2014,23.41,-0.019878007
13/01/2014,23.88,0.003355708
10/01/2014,23.8,0.025533302
09/01/2014,23.2,-0.008583744
08/01/2014,23.4,-0.023232301
07/01/2014,23.95,-0.005413297
06/01/2014,24.08,0.006666691
03/01/2014,23.92,-0.001670844
02/01/2014,23.96,0.039588059
31/12/2013,23.03,0.004351617
30/12/2013,22.93,-0.028376797
27/12/2013,23.59,0.011082807
26/12/2013,23.33,0.007745306
24/12/2013,23.15,0.028924015
23/12/2013,22.49,-0.006647487
20/12/2013,22.64,-0.005286356
19/12/2013,22.76,-0.016558113
18/12/2013,23.14,0.001297297
17/12/2013,23.11,-0.002161228
16/12/2013,23.16,-0.00516797
13/12/2013,23.28,0
12/12/2013,23.28,-0.008128387
11/12/2013,23.47,-0.029802835
10/12/2013,24.18,0.024279133
09/12/2013,23.6,0.024883309
06/12/2013,23.02,-0.007788875
05/12/2013,23.2,-0.02888901
04/12/2013,23.88,0.021160332
03/12/2013,23.38,-0.019064335
02/12/2013,23.83,-0.041107308
29/11/2013,24.83,0.008493479
27/11/2013,24.62,-0.004053512
26/11/2013,24.72,-0.032241599
25/11/2013,25.53,-0.008191971
22/11/2013,25.74,-0.004651171
21/11/2013,25.86,-0.020287777
20/11/2013,26.39,-0.035731378
19/11/2013,27.35,0.011399278
18/11/2013,27.04,-0.027358993
15/11/2013,27.79,-0.010025147
14/11/2013,28.07,0.027814688
13/11/2013,27.3,0.011790851
12/11/2013,26.98,-0.021995022
11/11/2013,27.58,0.000362647
08/11/2013,27.57,0.008011696
07/11/2013,27.35,-0.020626749
06/11/2013,27.92,0.020626749
05/11/2013,27.35,0.000731529
04/11/2013,27.33,0.050657989
01/11/2013,25.98,-0.048093415
31/10/2013,27.26,-0.028211636
30/10/2013,28.04,0.014006334
29/10/2013,27.65,-0.015431851
28/10/2013,28.08,0.008943004
25/10/2013,27.83,0.006488848
24/10/2013,27.65,0.013105393
23/10/2013,27.29,-0.041979258
22/10/2013,28.46,0.034313588
21/10/2013,27.5,0.0213165
18/10/2013,26.92,-0.005187118
17/10/2013,27.06,0.044586153
16/10/2013,25.88,-0.008464845
15/10/2013,26.1,0.013889112
14/10/2013,25.74,0.004672906
11/10/2013,25.62,-0.026195643
10/10/2013,26.3,-0.007575794
09/10/2013,26.5,0.005676458
08/10/2013,26.35,-0.030645148
07/10/2013,27.17,0.013711536
04/10/2013,26.8,-0.005952399
03/10/2013,26.96,-0.020922033
02/10/2013,27.53,0.011691766
01/10/2013,27.21,-0.032185024
30/09/2013,28.1,0.004279607
27/09/2013,27.98,-0.006767613
26/09/2013,28.17,-0.004957517
25/09/2013,28.31,0.011010589
24/09/2013,28,0.004294924
23/09/2013,27.88,-0.006791804
20/09/2013,28.07,-0.059135637
19/09/2013,29.78,-0.035947811
18/09/2013,30.87,0.079179243
17/09/2013,28.52,0.013768973
16/09/2013,28.13,-0.002485355
13/09/2013,28.2,-0.001063264
12/09/2013,28.23,-0.042648169
11/09/2013,29.46,0.008864702
10/09/2013,29.2,-0.039615788
09/09/2013,30.38,-0.001644467
06/09/2013,30.43,0.004281251
05/09/2013,30.3,-0.042642119
04/09/2013,31.62,0.004755121
03/09/2013,31.47,-0.009487737
30/08/2013,31.77,-0.001886793
29/08/2013,31.83,0.015514004
28/08/2013,31.34,-0.024272271
27/08/2013,32.11,-0.036089543
26/08/2013,33.29,0.00874949
23/08/2013,33,0.02547322
22/08/2013,32.17,0.01031098
21/08/2013,31.84,-0.030009986
20/08/2013,32.81,0.022500564
19/08/2013,32.08,-0.009308165
16/08/2013,32.38,-0.025611156
15/08/2013,33.22,0.039292961
14/08/2013,31.94,0.059998644
13/08/2013,30.08,-0.026895685
12/08/2013,30.9,0.046026995
09/08/2013,29.51,0.025048487
08/08/2013,28.78,0.08329097
07/08/2013,26.48,-0.005648669
06/08/2013,26.63,-0.067163687
05/08/2013,28.48,-0.010826018
02/08/2013,28.79,-0.027408362
01/08/2013,29.59,-0.013760915
31/07/2013,30,-0.004987542
30/07/2013,30.15,0.001327581
29/07/2013,30.11,-0.008927155
26/07/2013,30.38,0.014923175
25/07/2013,29.93,0.01074918
24/07/2013,29.61,-0.050381024
23/07/2013,31.14,0.025696649
22/07/2013,30.35,0.056247888
19/07/2013,28.69,0.022203555
18/07/2013,28.06,0.001069709
17/07/2013,28.03,-0.014872795
16/07/2013,28.45,0.031419936
15/07/2013,27.57,0.00509092
12/07/2013,27.43,-0.024843762
11/07/2013,28.12,0.055193982
10/07/2013,26.61,-0.017139019
09/07/2013,27.07,0.001848771
08/07/2013,27.02,-0.027739005
05/07/2013,27.78,-0.04366891
03/07/2013,29.02,-0.005155536
02/07/2013,29.17,-0.034038669
01/07/2013,30.18,0.007650129
28/06/2013,29.95,0.077735966
27/06/2013,27.71,0.017841362
26/06/2013,27.22,-0.060927122
25/06/2013,28.93,-0.003106128
24/06/2013,29.02,-0.034877414
21/06/2013,30.05,0.010033529
20/06/2013,29.75,-0.069776878
19/06/2013,31.9,-0.021399483
18/06/2013,32.59,-0.025747295
17/06/2013,33.44,0.007504162
14/06/2013,33.19,-0.014061563
13/06/2013,33.66,0.009852296
12/06/2013,33.33,0.015724545
11/06/2013,32.81,-0.032681667
10/06/2013,33.9,-0.006175582
07/06/2013,34.11,-0.024327872
06/06/2013,34.95,0.010064787
05/06/2013,34.6,0.004344685
04/06/2013,34.45,-0.012404602
03/06/2013,34.88,0.017351505
31/05/2013,34.28,-0.001748762
30/05/2013,34.34,0.036777573
29/05/2013,33.1,0.032236099
28/05/2013,32.05,0.00249922
24/05/2013,31.97,-0.007789415
23/05/2013,32.22,0.008102257
22/05/2013,31.96,0.000625978
21/05/2013,31.94,-0.010588701
20/05/2013,32.28,0.052467923
17/05/2013,30.63,-0.02578293
16/05/2013,31.43,-0.004444452
15/05/2013,31.57,-0.029340432
14/05/2013,32.51,-0.003377863
13/05/2013,32.62,-0.015211732
10/05/2013,33.12,-0.001207001
09/05/2013,33.16,-0.022365626
08/05/2013,33.91,0.044009513
07/05/2013,32.45,-0.018926084
06/05/2013,33.07,0.002118966
03/05/2013,33,0.010356474
02/05/2013,32.66,0.002145595
01/05/2013,32.59,0.00584707
30/04/2013,32.4,-0.047319359
29/04/2013,33.97,0.014828267
26/04/2013,33.47,-0.025370092
25/04/2013,34.33,0
24/04/2013,34.33,0.056935687
23/04/2013,32.43,-0.02947198
22/04/2013,33.4,0.012654583
19/04/2013,32.98,0.006387854
18/04/2013,32.77,0.012590371
17/04/2013,32.36,-0.042945819
16/04/2013,33.78,-0.0041359
15/04/2013,33.92,-0.069739448
12/04/2013,36.37,-0.060802516
11/04/2013,38.65,-0.008758428
10/04/2013,38.99,-0.02632397
09/04/2013,40.03,0.025811149
08/04/2013,39.01,-0.009186081
05/04/2013,39.37,0.00637026
04/04/2013,39.12,0.016755128
03/04/2013,38.47,-0.03474168
02/04/2013,39.83,-0.038418909
01/04/2013,41.39,-0.012007829
28/03/2013,41.89,0.003587233
27/03/2013,41.74,0.015938517
26/03/2013,41.08,-0.000243398
25/03/2013,41.09,-0.01257574
22/03/2013,41.61,0.003852641
21/03/2013,41.45,0.026153269
20/03/2013,40.38,0.000247678
19/03/2013,40.37,0.008457762
18/03/2013,40.03,0.008781891
15/03/2013,39.68,0.002270721
14/03/2013,39.59,0.015271358
13/03/2013,38.99,-0.01703792
12/03/2013,39.66,0.019605975
11/03/2013,38.89,-0.009214296
08/03/2013,39.25,-0.017176477
07/03/2013,39.93,-0.002001502
06/03/2013,40.01,0.035877146
05/03/2013,38.6,-0.01030937
04/03/2013,39,-0.015772395
01/03/2013,39.62,-0.016769258
28/02/2013,40.29,-0.008157257
27/02/2013,40.62,-0.019986042
26/02/2013,41.44,0.011650617
25/02/2013,40.96,0.003423823
22/02/2013,40.82,0.006636377
21/02/2013,40.55,-0.000246579
20/02/2013,40.56,-0.056089467
19/02/2013,42.9,-0.008587728
15/02/2013,43.27,-0.0291526
14/02/2013,44.55,-0.006711435
13/02/2013,44.85,-0.009541845
12/02/2013,45.28,0.017600989
11/02/2013,44.49,-0.009841278
08/02/2013,44.93,-0.007096947
07/02/2013,45.25,0.004651686
06/02/2013,45.04,0.015889335
05/02/2013,44.33,0.005201866
04/02/2013,44.1,0.008882874
01/02/2013,43.71,0.017307459
31/01/2013,42.96,-0.003717476
30/01/2013,43.12,-0.006242073
29/01/2013,43.39,0.013223717
28/01/2013,42.82,-0.012532074
25/01/2013,43.36,-0.014879524
24/01/2013,44.01,-0.016898003
23/01/2013,44.76,-0.01815414
22/01/2013,45.58,0.015253971
18/01/2013,44.89,0.010075088
17/01/2013,44.44,-0.00695148
16/01/2013,44.75,-0.009784379
15/01/2013,45.19,-0.002431209
14/01/2013,45.3,-0.010103315
11/01/2013,45.76,-0.004143502
10/01/2013,45.95,0.023116054
09/01/2013,44.9,-0.014592344
08/01/2013,45.56,0.012145451
07/01/2013,45.01,-0.02045151
04/01/2013,45.94,0.00698998
03/01/2013,45.62,-0.027671459
02/01/2013,46.9,0.009856519
31/12/2012,46.44,0.030832223
28/12/2012,45.03,-0.009723834
27/12/2012,45.47,0.008614079
26/12/2012,45.08,0.019035397
24/12/2012,44.23,-0.007882036
21/12/2012,44.58,0.010825546
20/12/2012,44.1,0.00796817
19/12/2012,43.75,-0.01384655
18/12/2012,44.36,-0.006740084
17/12/2012,44.66,0.008319328
14/12/2012,44.29,0.002713092
13/12/2012,44.17,-0.0296665
12/12/2012,45.5,0.005951742
11/12/2012,45.23,0.002656632
10/12/2012,45.11,0.015414133
07/12/2012,44.42,0.002930901
06/12/2012,44.29,0.007478788
05/12/2012,43.96,-0.025380363
04/12/2012,45.09,-0.013000073
03/12/2012,45.68,-0.030400099
30/11/2012,47.09,0.000849798
29/11/2012,47.05,-0.005510824
28/11/2012,47.31,0.006574088
27/11/2012,47,-0.007841515
26/11/2012,47.37,-0.006732615
23/11/2012,47.69,0.01287345
21/11/2012,47.08,0.009818649
20/11/2012,46.62,-0.003639871
19/11/2012,46.79,0.014422809
16/11/2012,46.12,0.012875246
15/11/2012,45.53,-0.005694277
14/11/2012,45.79,-0.030116279
13/11/2012,47.19,-0.010959014
12/11/2012,47.71,-0.007517262
09/11/2012,48.07,-0.015276928
08/11/2012,48.81,0.001435162
07/11/2012,48.74,0.00493625
06/11/2012,48.5,0.002270617
05/11/2012,48.39,-0.007206867
02/11/2012,48.74,-0.087934217
01/11/2012,53.22,-0.02523325
31/10/2012,54.58,0.023543584
26/10/2012,53.31,-0.00467859
25/10/2012,53.56,0.018466702
24/10/2012,52.58,-0.023495113
23/10/2012,53.83,-0.030371892
22/10/2012,55.49,0.010689476
19/10/2012,54.9,-0.001274233
18/10/2012,54.97,-0.019634964
17/10/2012,56.06,0.003216011
16/10/2012,55.88,0.023172652
15/10/2012,54.6,-0.006207798
12/10/2012,54.94,-0.007434978
11/10/2012,55.35,0.009074472
10/10/2012,54.85,0.006401485
09/10/2012,54.5,-0.022856065
08/10/2012,55.76,-0.001612759
05/10/2012,55.85,-0.006958722
04/10/2012,56.24,0.013785913
03/10/2012,55.47,-0.003599068
02/10/2012,55.67,-0.000538745
01/10/2012,55.7,-0.005728623
28/09/2012,56.02,-0.009239582
27/09/2012,56.54,0.022899033
26/09/2012,55.26,0.00362582
25/09/2012,55.06,-0.00362582
24/09/2012,55.26,-0.01882282
21/09/2012,56.31,-0.00549014
20/09/2012,56.62,-0.004053941
19/09/2012,56.85,0.001408203
18/09/2012,56.77,-0.00334125
17/09/2012,56.96,-0.004204631
14/09/2012,57.2,0.031072185
13/09/2012,55.45,0.05352634
12/09/2012,52.56,0.010711656
11/09/2012,52,0.012384059
10/09/2012,51.36,-0.00640468
07/09/2012,51.69,0.015401416
06/09/2012,50.9,0.025468945
05/09/2012,49.62,0.003027553
04/09/2012,49.47,-0.02416493
31/08/2012,50.68,0.042937161
30/08/2012,48.55,0.001649145
29/08/2012,48.47,-0.007604599
28/08/2012,48.84,-0.004086642
27/08/2012,49.04,-0.003866902
24/08/2012,49.23,0.003866902
23/08/2012,49.04,-0.005287789
22/08/2012,49.3,0.021528253
21/08/2012,48.25,0.006654215
20/08/2012,47.93,0.016195538
17/08/2012,47.16,-0.009076579
16/08/2012,47.59,0.020378544
15/08/2012,46.63,0.006238592
14/08/2012,46.34,-0.012438505
13/08/2012,46.92,-0.011864546
10/08/2012,47.48,0.005914677
09/08/2012,47.2,0.005949869
08/08/2012,46.92,0.006199913
07/08/2012,46.63,0.010997415
06/08/2012,46.12,0.03194456
03/08/2012,44.67,0.023786375
02/08/2012,43.62,-0.017948909
01/08/2012,44.41,-0.001350135
31/07/2012,44.47,-0.017608836
30/07/2012,45.26,0.016260521
27/07/2012,44.53,-0.034432887
26/07/2012,46.09,0.006311916
25/07/2012,45.8,0.032622442
24/07/2012,44.33,-0.00382754
23/07/2012,44.5,-0.014501091
20/07/2012,45.15,0
19/07/2012,45.15,0.010912033
18/07/2012,44.66,-0.00913859
17/07/2012,45.07,-0.009495489
16/07/2012,45.5,-0.014401296
13/07/2012,46.16,0.015280804
12/07/2012,45.46,-0.011373701
11/07/2012,45.98,-0.009523882
10/07/2012,46.42,-0.027620196
09/07/2012,47.72,-0.003973654
06/07/2012,47.91,-0.023312041
05/07/2012,49.04,-0.013972081
03/07/2012,49.73,0.025250782
02/07/2012,48.49,-0.000412371
29/06/2012,48.51,0.029072423
28/06/2012,47.12,-0.021623599
27/06/2012,48.15,0.004370909
26/06/2012,47.94,-0.017575145
25/06/2012,48.79,0.017158044
22/06/2012,47.96,0.003341691
21/06/2012,47.8,-0.05217157
20/06/2012,50.36,-0.006728701
19/06/2012,50.7,-0.002954212
18/06/2012,50.85,0.011272739
15/06/2012,50.28,-0.008121269
14/06/2012,50.69,-0.000591658
13/06/2012,50.72,0.003951013
12/06/2012,50.52,0.02080075
11/06/2012,49.48,-0.016038836
08/06/2012,50.28,-0.008121269
07/06/2012,50.69,-0.019729129
06/06/2012,51.7,0.006792845
05/06/2012,51.35,-0.003887274
04/06/2012,51.55,0.024547133
01/06/2012,50.3,0.064459001
31/05/2012,47.16,-0.014316034
30/05/2012,47.84,-0.007081888
29/05/2012,48.18,-0.013196068
25/05/2012,48.82,0.003899441
24/05/2012,48.63,0.001234568
23/05/2012,48.57,0.028824051
22/05/2012,47.19,-0.003807111
21/05/2012,47.37,0.038520093
18/05/2012,45.58,0.007045384
17/05/2012,45.26,0.039432843
16/05/2012,43.51,0.002761797
15/05/2012,43.39,-0.029073136
14/05/2012,44.67,-0.015328524
11/05/2012,45.36,-0.018349139
10/05/2012,46.2,-0.00733236
09/05/2012,46.54,0.038997274
08/05/2012,44.76,-0.030365369
07/05/2012,46.14,-0.000433369
04/05/2012,46.16,0.012425228
03/05/2012,45.59,-0.032584607
02/05/2012,47.1,-0.019969134
01/05/2012,48.05,0.008359505
30/04/2012,47.65,-0.004397452
27/04/2012,47.86,0.002719951
26/04/2012,47.73,0.005462198
25/04/2012,47.47,0.023445234
24/04/2012,46.37,0.001510737
23/04/2012,46.3,-0.020310693
20/04/2012,47.25,-0.011782169
19/04/2012,47.81,-0.001671892
18/04/2012,47.89,-0.009145772
17/04/2012,48.33,0.003316065
16/04/2012,48.17,-0.010531847
13/04/2012,48.68,-0.017713993
12/04/2012,49.55,0.03178125
11/04/2012,48,-0.020006855
10/04/2012,48.97,0.020006855
09/04/2012,48,0.00564088
05/04/2012,47.73,-0.016622032
04/04/2012,48.53,-0.036617826
03/04/2012,50.34,-0.034556879
02/04/2012,52.11,0.016251083
30/03/2012,51.27,-0.00136439
29/03/2012,51.34,-0.003111632
28/03/2012,51.5,-0.019040868
27/03/2012,52.49,-0.018123962
26/03/2012,53.45,0.002435142
23/03/2012,53.32,0.017214082
22/03/2012,52.41,-0.014396915
21/03/2012,53.17,-0.009546165
20/03/2012,53.68,0.002798248
19/03/2012,53.53,-0.004101423
16/03/2012,53.75,-0.001673018
15/03/2012,53.84,-0.008507542
14/03/2012,54.3,-0.010260259
13/03/2012,54.86,-0.016092925
12/03/2012,55.75,-0.020066375
09/03/2012,56.88,-0.001229904
08/03/2012,56.95,0.004752275
07/03/2012,56.68,-0.00860787
06/03/2012,57.17,-0.012688099
05/03/2012,57.9,-0.018141863
02/03/2012,58.96,-0.011970134
01/03/2012,59.67,0.004030232
29/02/2012,59.43,-0.042335236
28/02/2012,62,0.00777206
27/02/2012,61.52,-0.015964219
24/02/2012,62.51,-0.020426646
23/02/2012,63.8,0.016116639
22/02/2012,62.78,0.019949182
21/02/2012,61.54,0.034551747
17/02/2012,59.45,-0.016350047
16/02/2012,60.43,0.013830096
15/02/2012,59.6,0.014024053
14/02/2012,58.77,-0.010831042
13/02/2012,59.41,-0.003528526
10/02/2012,59.62,-0.016963653
09/02/2012,60.64,-0.000988957
08/02/2012,60.7,-0.002632446
07/02/2012,60.86,-0.000492813
06/02/2012,60.89,-0.001968828
03/02/2012,61.01,-0.020763114
02/02/2012,62.29,0.018961754
01/02/2012,61.12,-0.005872774
31/01/2012,61.48,0.004237985
30/01/2012,61.22,-0.00472583
27/01/2012,61.51,0.017383186
26/01/2012,60.45,0.003314005
25/01/2012,60.25,0.047065511
24/01/2012,57.48,-0.030497481
23/01/2012,59.26,-0.000168734
20/01/2012,59.27,-0.005552298
19/01/2012,59.6,-0.012505373
18/01/2012,60.35,-0.009728826
17/01/2012,60.94,-0.039416347
13/01/2012,63.39,-0.010201768
12/01/2012,64.04,0.010990847
11/01/2012,63.34,0.01095336
10/01/2012,62.65,0.018851763
09/01/2012,61.48,-0.007938478
06/01/2012,61.97,-0.002095592
05/01/2012,62.1,0.003387373
04/01/2012,61.89,-0.00306526
03/01/2012,62.08,0.033912661
30/12/2011,60.01,-0.005815419
29/12/2011,60.36,0.015695764
28/12/2011,59.42,-0.032290246
27/12/2011,61.37,-0.008275909
23/12/2011,61.88,0.014159241
22/12/2011,61.01,-0.030190363
