Date,Close,PCAR
04/04/2014,65.73,-0.025237933
03/04/2014,67.41,-0.012677057
02/04/2014,68.27,0.006760755
01/04/2014,67.81,0.005471363
31/03/2014,67.44,0.013134517
28/03/2014,66.56,0.009661911
27/03/2014,65.92,-0.009060769
26/03/2014,66.52,-0.0168447
25/03/2014,67.65,0.015192428
24/03/2014,66.63,-0.011341712
21/03/2014,67.39,0.006699943
20/03/2014,66.94,0.003741679
19/03/2014,66.69,-0.008362002
18/03/2014,67.25,0.011064706
17/03/2014,66.51,0.022965042
14/03/2014,65,-0.004604766
13/03/2014,65.3,-0.015951724
12/03/2014,66.35,0.00862792
11/03/2014,65.78,0.003350087
10/03/2014,65.56,-0.005627819
07/03/2014,65.93,0.000606888
06/03/2014,65.89,0.008841521
05/03/2014,65.31,-0.009145011
04/03/2014,65.91,0.012672893
03/03/2014,65.08,-0.011610274
28/02/2014,65.84,0.012994144
27/02/2014,64.99,0.008343683
26/02/2014,64.45,-0.003253043
25/02/2014,64.66,0.007295337
24/02/2014,64.19,0.028763045
21/02/2014,62.37,0.005950005
20/02/2014,62,0.003069221
19/02/2014,61.81,-0.007735736
18/02/2014,62.29,0.012113529
14/02/2014,61.54,0.027845938
13/02/2014,59.85,0.010413262
12/02/2014,59.23,0.000675562
11/02/2014,59.19,0.011896809
10/02/2014,58.49,-0.011220791
07/02/2014,59.15,0.008830079
06/02/2014,58.63,0.02995117
05/02/2014,56.9,0.032871841
04/02/2014,55.06,0.019439453
03/02/2014,54,-0.036367644
31/01/2014,56,-0.025563314
30/01/2014,57.45,0.015966652
29/01/2014,56.54,-0.004587973
28/01/2014,56.8,0.004411123
27/01/2014,56.55,0.005496955
24/01/2014,56.24,-0.035115845
23/01/2014,58.25,-0.012454311
22/01/2014,58.98,-0.006253718
21/01/2014,59.35,-0.003028266
17/01/2014,59.53,0.004714607
16/01/2014,59.25,0.006094483
15/01/2014,58.89,0.004595362
14/01/2014,58.62,0.003760045
13/01/2014,58.4,-0.013436719
10/01/2014,59.19,0.003215165
