Date,Close,BSX
04/04/2014,13.5,-0.019802627
03/04/2014,13.77,0.005826673
02/04/2014,13.69,0.005126339
01/04/2014,13.62,0.00736923
31/03/2014,13.52,0.023953241
28/03/2014,13.2,-0.000757289
27/03/2014,13.21,-0.00151286
26/03/2014,13.23,-0.002265007
25/03/2014,13.26,0.032186686
24/03/2014,12.84,0.001558847
21/03/2014,12.82,-0.021605779
20/03/2014,13.1,-0.003809528
19/03/2014,13.15,-0.00455236
18/03/2014,13.21,0.017564407
17/03/2014,12.98,-0.002308581
14/03/2014,13.01,0.020971642
13/03/2014,12.74,-0.010929071
12/03/2014,12.88,-0.023024808
11/03/2014,13.18,-0.021021795
10/03/2014,13.46,-0.017673509
07/03/2014,13.7,0.011009286
06/03/2014,13.55,0.012625493
05/03/2014,13.38,0.011274077
04/03/2014,13.23,0.017537621
03/03/2014,13,-0.007662873
28/02/2014,13.1,-0.015151805
27/02/2014,13.3,-0.003003005
26/02/2014,13.34,-0.003741119
25/02/2014,13.39,0.023423814
24/02/2014,13.08,-0.004576667
21/02/2014,13.14,-0.006825965
20/02/2014,13.23,0.012932854
19/02/2014,13.06,-0.024206931
18/02/2014,13.38,0.005997019
14/02/2014,13.3,0.020509644
13/02/2014,13.03,0.0053867
12/02/2014,12.96,0.00852388
11/02/2014,12.85,-0.004658394
10/02/2014,12.91,-0.014610025
07/02/2014,13.1,0.020826052
06/02/2014,12.83,0.005470901
05/02/2014,12.76,-0.007028533
04/02/2014,12.85,-0.012374481
03/02/2014,13.01,-0.03919115
31/01/2014,13.53,-0.00221484
30/01/2014,13.56,0.028423753
29/01/2014,13.18,-0.007558615
28/01/2014,13.28,0.005285026
27/01/2014,13.21,-0.009792922
24/01/2014,13.34,-0.022972481
23/01/2014,13.65,-0.015988713
22/01/2014,13.87,-0.007899502
21/01/2014,13.98,0.034197585
17/01/2014,13.51,-0.002956395
16/01/2014,13.55,0.015619507
15/01/2014,13.34,0.012066511
14/01/2014,13.18,0.019924031
13/01/2014,12.92,-0.014598799
10/01/2014,13.11,0.025493849
09/01/2014,12.78,-0.000782167
08/01/2014,12.79,0.027746528
07/01/2014,12.44,0.00888177
06/01/2014,12.33,0.032979081
03/01/2014,11.93,0.001677853
02/01/2014,11.91,-0.009193546
31/12/2013,12.02,0
30/12/2013,12.02,-0.003322262
27/12/2013,12.06,-0.009079716
26/12/2013,12.17,0.014900938
24/12/2013,11.99,0.001669449
23/12/2013,11.97,0.01091989
20/12/2013,11.84,0.018755878
19/12/2013,11.62,0.00690849
18/12/2013,11.54,0.008703275
17/12/2013,11.44,0.003502631
16/12/2013,11.4,0.000877578
13/12/2013,11.39,-0.007870613
12/12/2013,11.48,0.026479923
11/12/2013,11.18,-0.035153004
10/12/2013,11.58,-0.012017312
09/12/2013,11.72,-0.011031083
06/12/2013,11.85,0.043991569
05/12/2013,11.34,0.002649008
04/12/2013,11.31,-0.044105722
03/12/2013,11.82,0.016205045
02/12/2013,11.63,0.004308494
29/11/2013,11.58,-0.011163705
27/11/2013,11.71,-0.001706485
26/11/2013,11.73,-0.013548048
25/11/2013,11.89,-0.013366949
22/11/2013,12.05,0.010008424
21/11/2013,11.93,-0.003347283
20/11/2013,11.97,0.000835771
19/11/2013,11.96,0.033152207
18/11/2013,11.57,-0.027282169
15/11/2013,11.89,-0.005870038
14/11/2013,11.96,0.002511512
13/11/2013,11.93,0.001677853
12/11/2013,11.91,-0.011686277
11/11/2013,12.05,0.014208346
08/11/2013,11.88,0.020408872
07/11/2013,11.64,-0.022930941
06/11/2013,11.91,-0.007528266
05/11/2013,12,0.000833681
04/11/2013,11.99,0.020219728
01/11/2013,11.75,0.005119465
31/10/2013,11.69,-0.000855066
30/10/2013,11.7,-0.007662873
29/10/2013,11.79,0.017972242
28/10/2013,11.58,-0.003448279
25/10/2013,11.62,0.00690849
24/10/2013,11.54,-0.062966662
23/10/2013,12.29,0
22/10/2013,12.29,0.00571197
21/10/2013,12.22,-0.004897969
18/10/2013,12.28,-0.008110345
17/10/2013,12.38,0
16/10/2013,12.38,0.024531075
15/10/2013,12.08,-0.010704096
14/10/2013,12.21,0.02824108
11/10/2013,11.87,-0.000842105
