Date,Close,DG
04/04/2014,56.68,-0.011053714
03/04/2014,57.31,0.001571641
02/04/2014,57.22,0.014079782
01/04/2014,56.42,0.01680111
31/03/2014,55.48,0.001443002
28/03/2014,55.4,-0.004861808
27/03/2014,55.67,0.001438073
26/03/2014,55.59,0.007040376
25/03/2014,55.2,-0.019553946
24/03/2014,56.29,-0.030443219
21/03/2014,58.03,0.007784833
20/03/2014,57.58,-0.004678168
19/03/2014,57.85,-0.001036628
18/03/2014,57.91,0.003286347
17/03/2014,57.72,0.009224676
14/03/2014,57.19,-0.008184634
13/03/2014,57.66,-0.027876966
12/03/2014,59.29,-0.001853569
11/03/2014,59.4,0
10/03/2014,59.4,0.000168364
07/03/2014,59.39,-0.0003367
06/03/2014,59.41,-0.005036948
05/03/2014,59.71,-0.001840543
04/03/2014,59.82,-0.00033428
03/03/2014,59.84,-0.001002171
28/02/2014,59.9,0.002172642
27/02/2014,59.77,-0.001838697
26/02/2014,59.88,0.031554781
25/02/2014,58.02,-0.00017234
24/02/2014,58.03,0.009349099
21/02/2014,57.49,0.006806903
20/02/2014,57.1,-0.005936808
19/02/2014,57.44,-0.010046854
18/02/2014,58.02,0.013185479
14/02/2014,57.26,0.023859045
13/02/2014,55.91,-0.006418278
12/02/2014,56.27,-0.007612677
11/02/2014,56.7,0.000705716
10/02/2014,56.66,-0.007735622
07/02/2014,57.1,-0.002448838
06/02/2014,57.24,0.019404384
05/02/2014,56.14,0.006253929
04/02/2014,55.79,0.005031457
03/02/2014,55.51,-0.014486527
31/01/2014,56.32,-0.003190926
30/01/2014,56.5,-0.002121642
29/01/2014,56.62,-0.011414647
28/01/2014,57.27,-0.004181919
27/01/2014,57.51,0.002786002
24/01/2014,57.35,-0.004176098
23/01/2014,57.59,-0.006231628
22/01/2014,57.95,-0.012347953
21/01/2014,58.67,-0.024081319
17/01/2014,60.1,-0.007789879
16/01/2014,60.57,-0.010184056
15/01/2014,61.19,-0.006515742
14/01/2014,61.59,0.01472058
13/01/2014,60.69,-0.035290163
10/01/2014,62.87,0.021381733
09/01/2014,61.54,0.030355349
08/01/2014,59.7,-0.003177526
07/01/2014,59.89,0.004686201
