Date,Close,MCO
04/04/2014,79.62,-0.007133501
03/04/2014,80.19,-0.001121705
02/04/2014,80.28,-0.006456442
01/04/2014,80.8,0.018486662
31/03/2014,79.32,0.022309549
28/03/2014,77.57,-0.002446406
27/03/2014,77.76,-0.011761833
26/03/2014,78.68,-0.013382348
25/03/2014,79.74,-0.006873738
24/03/2014,80.29,-0.009914569
21/03/2014,81.09,0.001975065
20/03/2014,80.93,-0.00922459
19/03/2014,81.68,-0.003300131
18/03/2014,81.95,0.003300131
17/03/2014,81.68,0.012194522
14/03/2014,80.69,0.015360901
13/03/2014,79.46,-0.050550507
12/03/2014,83.58,0.004797323
11/03/2014,83.18,0.001804946
10/03/2014,83.03,0.003015502
07/03/2014,82.78,-0.000845258
06/03/2014,82.85,0.010190553
05/03/2014,82.01,0.010665133
04/03/2014,81.14,0.031041291
03/03/2014,78.66,-0.004313085
28/02/2014,79,0.001393375
27/02/2014,78.89,-0.000126751
26/02/2014,78.9,0.006995259
25/02/2014,78.35,-0.005219285
24/02/2014,78.76,-0.000507743
21/02/2014,78.8,-0.001648387
20/02/2014,78.93,-0.00354117
19/02/2014,79.21,-0.002647672
18/02/2014,79.42,-0.001384083
14/02/2014,79.53,0.001006416
13/02/2014,79.45,-0.001634912
12/02/2014,79.58,0.001005783
11/02/2014,79.5,0.002014607
10/02/2014,79.34,-0.008534188
07/02/2014,80.02,0.041462665
06/02/2014,76.77,0.029343898
05/02/2014,74.55,-0.004283235
04/02/2014,74.87,0.030099886
03/02/2014,72.65,-0.026218985
31/01/2014,74.58,-0.00787984
30/01/2014,75.17,0.025328041
29/01/2014,73.29,-0.019055918
28/01/2014,74.7,0.013884431
27/01/2014,73.67,0.009547263
24/01/2014,72.97,-0.033686829
23/01/2014,75.47,-0.014731294
22/01/2014,76.59,0.004842624
21/01/2014,76.22,0.006185451
17/01/2014,75.75,-0.00460982
16/01/2014,76.1,-0.004719463
15/01/2014,76.46,0.005639729
14/01/2014,76.03,0.012573788
13/01/2014,75.08,-0.021999175
10/01/2014,76.75,0.002478639
09/01/2014,76.56,0.003663966
08/01/2014,76.28,-0.020886794
07/01/2014,77.89,0.000770614
06/01/2014,77.83,0
03/01/2014,77.83,0.006574307
02/01/2014,77.32,-0.014763732
31/12/2013,78.47,0.002679769
30/12/2013,78.26,0.010533174
27/12/2013,77.44,-0.003094381
26/12/2013,77.68,0.003352679
24/12/2013,77.42,0.002327688
23/12/2013,77.24,-0.000776498
