Date,Close,HSY
04/04/2014,102.97,0.001068843
03/04/2014,102.86,-0.003396907
02/04/2014,103.21,-0.008682285
01/04/2014,104.11,-0.002781643
31/03/2014,104.4,0.011173301
28/03/2014,103.24,0.004562893
27/03/2014,102.77,-9.72999E-05
26/03/2014,102.78,-0.004465593
25/03/2014,103.24,-0.002611852
24/03/2014,103.51,-0.012767152
21/03/2014,104.84,0.003918388
20/03/2014,104.43,0.001916995
19/03/2014,104.23,-0.018818271
18/03/2014,106.21,0.008414932
17/03/2014,105.32,-0.008320774
14/03/2014,106.2,0.005855149
13/03/2014,105.58,-0.003403937
12/03/2014,105.94,0.004635989
11/03/2014,105.45,0.000474271
10/03/2014,105.4,-0.002274451
07/03/2014,105.64,-0.003684986
06/03/2014,106.03,-0.005830372
05/03/2014,106.65,-0.004583946
04/03/2014,107.14,0.014667431
03/03/2014,105.58,-0.002270578
28/02/2014,105.82,0.000472612
27/02/2014,105.77,0.001229838
26/02/2014,105.64,-0.010639901
25/02/2014,106.77,-0.012102177
24/02/2014,108.07,0.003429581
21/02/2014,107.7,-9.28462E-05
20/02/2014,107.71,0.012706889
19/02/2014,106.35,0.003673877
18/02/2014,105.96,0.006438197
14/02/2014,105.28,0.012136419
13/02/2014,104.01,0.010437903
12/02/2014,102.93,-0.007935014
11/02/2014,103.75,0.017305507
10/02/2014,101.97,0.015715668
07/02/2014,100.38,-0.002189273
06/02/2014,100.6,-0.001092842
05/02/2014,100.71,0.007074914
04/02/2014,100,0.020713042
03/02/2014,97.95,-0.014694969
31/01/2014,99.4,0.001510194
30/01/2014,99.25,0.025821713
29/01/2014,96.72,-0.021074949
28/01/2014,98.78,0.013453118
27/01/2014,97.46,-0.006749182
24/01/2014,98.12,-0.012256421
23/01/2014,99.33,-0.005021099
22/01/2014,99.83,0.010877336
21/01/2014,98.75,0.001723003
17/01/2014,98.58,-0.009289243
16/01/2014,99.5,0.013151429
15/01/2014,98.2,-0.004774734
14/01/2014,98.67,0.008345255
13/01/2014,97.85,-0.000102192
10/01/2014,97.86,0.00225064
09/01/2014,97.64,-0.001023646
08/01/2014,97.74,0.007599913
07/01/2014,97,0.015165971
06/01/2014,95.54,-0.002822056
03/01/2014,95.81,-0.001251695
02/01/2014,95.93,-0.013460547
31/12/2013,97.23,-0.003388268
30/12/2013,97.56,0.01320696
27/12/2013,96.28,-0.001867802
26/12/2013,96.46,0.005301192
24/12/2013,95.95,0.0040729
23/12/2013,95.56,-0.007713996
20/12/2013,96.3,0.000415455
19/12/2013,96.26,0.004790179
18/12/2013,95.8,0.017798374
17/12/2013,94.11,-0.007410578
16/12/2013,94.81,-0.000316372
13/12/2013,94.84,-0.001264489
12/12/2013,94.96,-0.008493733
11/12/2013,95.77,0.002195161
10/12/2013,95.56,-0.01464733
09/12/2013,96.97,-0.001957452
06/12/2013,97.16,0.014200809
05/12/2013,95.79,-0.009868672
04/12/2013,96.74,-0.003199342
03/12/2013,97.05,0.005786934
02/12/2013,96.49,-0.004136938
29/11/2013,96.89,-0.008529932
27/11/2013,97.72,0.00822035
26/11/2013,96.92,0.009641877
25/11/2013,95.99,-0.003120452
22/11/2013,96.29,0.00551941
21/11/2013,95.76,0.008284009
20/11/2013,94.97,-0.015256304
19/11/2013,96.43,-0.011035021
18/11/2013,97.5,-0.010813122
15/11/2013,98.56,-0.000912733
14/11/2013,98.65,0.008449177
13/11/2013,97.82,0.009655956
12/11/2013,96.88,0.000722805
11/11/2013,96.81,-0.007614772
08/11/2013,97.55,0.008751665
07/11/2013,96.7,-0.027840477
06/11/2013,99.43,-0.000804263
05/11/2013,99.51,0.006654592
04/11/2013,98.85,-0.003635266
01/11/2013,99.21,-0.000302343
31/10/2013,99.24,-0.007028847
30/10/2013,99.94,-0.009559921
29/10/2013,100.9,0.00756072
28/10/2013,100.14,0.03072485
25/10/2013,97.11,0.007234426
24/10/2013,96.41,-0.004553459
23/10/2013,96.85,-0.001753753
22/10/2013,97.02,0.015686189
21/10/2013,95.51,-0.005429689
18/10/2013,96.03,0.008365624
17/10/2013,95.23,0.004842115
16/10/2013,94.77,0.016383345
15/10/2013,93.23,-0.003105759
14/10/2013,93.52,-0.004587409
11/10/2013,93.95,0.0020244
10/10/2013,93.76,0.022761352
09/10/2013,91.65,-0.00402897
08/10/2013,92.02,0.004902238
07/10/2013,91.57,-0.00218174
04/10/2013,91.77,0.007986476
03/10/2013,91.04,-0.010706974
02/10/2013,92.02,-0.006067191
01/10/2013,92.58,0.000864491
30/09/2013,92.5,-0.005390849
27/09/2013,93,-0.001182097
26/09/2013,93.11,0.010038403
25/09/2013,92.18,-0.007026676
24/09/2013,92.83,-0.003548582
23/09/2013,93.16,-0.004711938
20/09/2013,93.6,-0.002027857
19/09/2013,93.79,-0.004574233
18/09/2013,94.22,0.006815788
17/09/2013,93.58,0.009340344
16/09/2013,92.71,0.012263434
13/09/2013,91.58,0.004048367
12/09/2013,91.21,-0.004485048
11/09/2013,91.62,0.001419912
10/09/2013,91.49,0.00317478
09/09/2013,91.2,0.005056623
06/09/2013,90.74,0.006079718
05/09/2013,90.19,-0.008831054
04/09/2013,90.99,-0.00054936
03/09/2013,91.04,-0.009945981
30/08/2013,91.95,0.005671299
29/08/2013,91.43,0.003835411
28/08/2013,91.08,-0.011679443
27/08/2013,92.15,-0.013045304
26/08/2013,93.36,-0.022349074
23/08/2013,95.47,0.016155781
22/08/2013,93.94,0.002771561
21/08/2013,93.68,-0.016620295
20/08/2013,95.25,0.007058977
19/08/2013,94.58,-0.006218729
16/08/2013,95.17,-0.002518629
15/08/2013,95.41,-0.007101858
14/08/2013,96.09,-0.012822014
13/08/2013,97.33,0.004737393
12/08/2013,96.87,-0.006995194
09/08/2013,97.55,0.001538856
08/08/2013,97.4,0.00421833
07/08/2013,96.99,-0.007191319
06/08/2013,97.69,0.002665028
05/08/2013,97.43,0.002054866
02/08/2013,97.23,0.002883924
01/08/2013,96.95,0.021687848
31/07/2013,94.87,0.004013525
30/07/2013,94.49,-0.005067043
29/07/2013,94.97,0.005384588
26/07/2013,94.46,0.005946078
25/07/2013,93.9,0.01102972
24/07/2013,92.87,-0.007722874
