Date,Close,PCG
04/04/2014,44.47,0.015180987
03/04/2014,43.8,0.010327114
02/04/2014,43.35,0.022866139
01/04/2014,42.37,-0.019399931
31/03/2014,43.2,0.03079336
28/03/2014,41.89,-0.040927026
27/03/2014,43.64,-0.014558947
26/03/2014,44.28,-0.009664082
25/03/2014,44.71,-0.000447227
24/03/2014,44.73,0.008080852
21/03/2014,44.37,0.00135318
20/03/2014,44.31,0.000225708
19/03/2014,44.3,-0.004729206
18/03/2014,44.51,-0.002468306
17/03/2014,44.62,0.00606948
14/03/2014,44.35,0.007014397
13/03/2014,44.04,0.010499982
12/03/2014,43.58,0.013165683
11/03/2014,43.01,0.007233727
10/03/2014,42.7,-0.001170275
07/03/2014,42.75,0
06/03/2014,42.75,-0.010934156
05/03/2014,43.22,-0.015838733
04/03/2014,43.91,0.006397097
03/03/2014,43.63,-0.009807354
28/02/2014,44.06,0.015323342
27/02/2014,43.39,-0.002302027
26/02/2014,43.49,-0.006874454
25/02/2014,43.79,-0.005238595
24/02/2014,44.02,0.001819009
21/02/2014,43.94,0.006392716
20/02/2014,43.66,0.009897652
19/02/2014,43.23,-0.006226239
18/02/2014,43.5,-0.010064129
14/02/2014,43.94,0.000682982
13/02/2014,43.91,0.017459667
12/02/2014,43.15,0.016591104
11/02/2014,42.44,0.005671093
10/02/2014,42.2,0.008806436
07/02/2014,41.83,0.011541364
06/02/2014,41.35,0.005821021
05/02/2014,41.11,-0.00412672
04/02/2014,41.28,-0.005797118
03/02/2014,41.52,-0.015059446
31/01/2014,42.15,0.004517901
30/01/2014,41.96,0.024853493
29/01/2014,40.93,-0.001952649
28/01/2014,41.01,0.002196998
27/01/2014,40.92,0.002446784
24/01/2014,40.82,-0.011448183
23/01/2014,41.29,0.003639456
22/01/2014,41.14,-0.00315496
21/01/2014,41.27,0.014645124
17/01/2014,40.67,0.000491884
16/01/2014,40.65,0.003449979
15/01/2014,40.51,0.005197388
14/01/2014,40.3,0.00024817
13/01/2014,40.29,-0.005939141
10/01/2014,40.53,0.011414516
09/01/2014,40.07,0.006761012
08/01/2014,39.8,-0.005262511
07/01/2014,40.01,0.008030156
06/01/2014,39.69,0.002270149
03/01/2014,39.6,-0.001514005
02/01/2014,39.66,-0.015511945
31/12/2013,40.28,0.000248293
30/12/2013,40.27,-0.000248293
27/12/2013,40.28,-0.006927291
26/12/2013,40.56,-0.011521147
24/12/2013,41.03,0.001219364
23/12/2013,40.98,0.010301784
20/12/2013,40.56,0.008417975
19/12/2013,40.22,-0.017987426
18/12/2013,40.95,0.007599007
17/12/2013,40.64,-0.00833134
16/12/2013,40.98,0.013759431
13/12/2013,40.42,0.005457716
12/12/2013,40.2,-0.001491425
11/12/2013,40.26,-0.001489204
10/12/2013,40.32,-0.020619287
09/12/2013,41.16,0.00121551
06/12/2013,41.11,0.018412205
05/12/2013,40.36,-0.008634567
04/12/2013,40.71,-0.002208319
03/12/2013,40.8,0.00836825
02/12/2013,40.46,0.002226897
29/11/2013,40.37,0.002728515
27/11/2013,40.26,0.000248416
26/11/2013,40.25,-0.007918873
25/11/2013,40.57,-0.001477833
22/11/2013,40.63,0.002711031
21/11/2013,40.52,-0.000740101
20/11/2013,40.55,-0.00932751
19/11/2013,40.93,-0.002196462
18/11/2013,41.02,-0.003407158
15/11/2013,41.16,0.003650972
14/11/2013,41.01,0.000975848
13/11/2013,40.97,0.011785062
12/11/2013,40.49,-0.022708826
11/11/2013,41.42,-0.008414523
08/11/2013,41.77,-0.006681008
07/11/2013,42.05,-0.016509809
06/11/2013,42.75,0.01746151
05/11/2013,42.01,-0.006169929
04/11/2013,42.27,-0.001182173
01/11/2013,42.32,0.011167991
31/10/2013,41.85,-0.000716589
30/10/2013,41.88,-0.005001797
29/10/2013,42.09,0.000950796
28/10/2013,42.05,-0.001663301
25/10/2013,42.12,0.01482926
24/10/2013,41.5,-0.000240935
23/10/2013,41.51,-0.011020715
22/10/2013,41.97,0.014157405
21/10/2013,41.38,0.003874097
18/10/2013,41.22,-0.003390655
17/10/2013,41.36,0.014858391
16/10/2013,40.75,0.015580877
15/10/2013,40.12,-0.020965128
14/10/2013,40.97,-0.00923233
11/10/2013,41.35,0
10/10/2013,41.35,0.01045348
09/10/2013,40.92,0.006620105
08/10/2013,40.65,0.014370911
07/10/2013,40.07,-0.004730496
04/10/2013,40.26,-0.001241157
03/10/2013,40.31,-0.017216362
02/10/2013,41.01,0.003419642
01/10/2013,40.87,-0.001222644
30/09/2013,40.92,0.003427176
27/09/2013,40.78,-0.006355436
26/09/2013,41.04,-0.020022379
25/09/2013,41.87,-0.007613646
24/09/2013,42.19,0.00142315
23/09/2013,42.13,0.016030969
20/09/2013,41.46,-0.012702388
19/09/2013,41.99,-0.003091193
18/09/2013,42.12,0.025244759
17/09/2013,41.07,0.001705861
16/09/2013,41,-0.008016562
13/09/2013,41.33,0.01388742
12/09/2013,40.76,-0.006845993
11/09/2013,41.04,-0.008975197
10/09/2013,41.41,0.010194263
09/09/2013,40.99,0.002687189
06/09/2013,40.88,0.000734125
05/09/2013,40.85,-0.001223242
04/09/2013,40.9,-0.002685876
03/09/2013,41.01,-0.008498291
