Date,Close,PVH
04/04/2014,124.97,0.003527058
03/04/2014,124.53,-0.0095901
02/04/2014,125.73,-0.001510034
01/04/2014,125.92,0.009174742
31/03/2014,124.77,0.00772391
28/03/2014,123.81,0.005913582
27/03/2014,123.08,0.013496585
26/03/2014,121.43,0.035029558
25/03/2014,117.25,-0.017249096
24/03/2014,119.29,-0.004933739
21/03/2014,119.88,0.006359854
20/03/2014,119.12,0.005640458
19/03/2014,118.45,-0.005136637
18/03/2014,119.06,0.023196588
17/03/2014,116.33,0.011151086
14/03/2014,115.04,0
13/03/2014,115.04,-0.059068966
12/03/2014,122.04,-0.005719437
11/03/2014,122.74,-0.015922745
10/03/2014,124.71,-0.012668987
07/03/2014,126.3,0.003569308
06/03/2014,125.85,0.001431298
05/03/2014,125.67,-0.005317262
04/03/2014,126.34,0.010662948
03/03/2014,125,-0.011375058
28/02/2014,126.43,0.001741609
27/02/2014,126.21,0.003651377
26/02/2014,125.75,0.001830701
25/02/2014,125.52,0.018818408
24/02/2014,123.18,0.015874648
21/02/2014,121.24,0.026325007
20/02/2014,118.09,-0.000931059
19/02/2014,118.2,0.005259152
18/02/2014,117.58,-0.005682074
14/02/2014,118.25,-0.01018056
13/02/2014,119.46,0.016202886
12/02/2014,117.54,-0.023376159
11/02/2014,120.32,-0.003815849
10/02/2014,120.78,-0.008902136
07/02/2014,121.86,0.009564717
06/02/2014,120.7,0.029852963
05/02/2014,117.15,0.003677261
04/02/2014,116.72,0.001114397
03/02/2014,116.59,-0.036052081
31/01/2014,120.87,-0.004787068
30/01/2014,121.45,0.007852903
29/01/2014,120.5,-0.014254763
28/01/2014,122.23,0.00879253
27/01/2014,121.16,0.002892923
24/01/2014,120.81,-0.004789439
23/01/2014,121.39,-0.012443877
22/01/2014,122.91,0.005793333
21/01/2014,122.2,-0.013008314
17/01/2014,123.8,-0.01076575
16/01/2014,125.14,-0.013808647
15/01/2014,126.88,0.00299945
14/01/2014,126.5,-0.023824599
13/01/2014,129.55,-0.019719379
10/01/2014,132.13,-0.006713206
09/01/2014,133.02,0.005427422
08/01/2014,132.3,-0.020721091
07/01/2014,135.07,-0.002070853
06/01/2014,135.35,-0.016632248
03/01/2014,137.62,0.00758574
02/01/2014,136.58,0.00410859
31/12/2013,136.02,0.009826092
30/12/2013,134.69,0.001411643
27/12/2013,134.5,-0.003488332
26/12/2013,134.97,0.003934529
24/12/2013,134.44,0.000371982
23/12/2013,134.39,0.026465148
20/12/2013,130.88,-0.000763767
19/12/2013,130.98,-0.012518657
18/12/2013,132.63,0.00924109
17/12/2013,131.41,0.007102248
16/12/2013,130.48,0.010942546
13/12/2013,129.06,0.008247149
12/12/2013,128,-0.020797843
11/12/2013,130.69,-0.008988482
10/12/2013,131.87,0.034249395
09/12/2013,127.43,-0.020813052
06/12/2013,130.11,-0.004983335
05/12/2013,130.76,-0.010271327
04/12/2013,132.11,0.001439231
03/12/2013,131.92,-0.000606244
02/12/2013,132,-0.014440684
29/11/2013,133.92,-0.006846284
27/11/2013,134.84,0.002599044
26/11/2013,134.49,0.01264561
25/11/2013,132.8,0.00596656
22/11/2013,132.01,0.005621406
21/11/2013,131.27,0.004275142
20/11/2013,130.71,-0.007621407
19/11/2013,131.71,-0.002426633
18/11/2013,132.03,-0.007695828
15/11/2013,133.05,-0.002851998
14/11/2013,133.43,0.00398003
13/11/2013,132.9,0.043914934
12/11/2013,127.19,0.002992128
11/11/2013,126.81,0.009826531
08/11/2013,125.57,0.00743379
07/11/2013,124.64,-0.011407726
06/11/2013,126.07,0.009804391
05/11/2013,124.84,-0.006706077
04/11/2013,125.68,0.009192343
01/11/2013,124.53,-0.000321156
31/10/2013,124.57,-0.001443928
30/10/2013,124.75,0.012259207
29/10/2013,123.23,0.019171487
28/10/2013,120.89,0.019546229
25/10/2013,118.55,-0.00420876
24/10/2013,119.05,-0.019217762
23/10/2013,121.36,-0.013016434
22/10/2013,122.95,-0.001625356
21/10/2013,123.15,0.005945369
18/10/2013,122.42,0.018300733
17/10/2013,120.2,-0.005310334
16/10/2013,120.84,0.014252023
15/10/2013,119.13,0.000755763
14/10/2013,119.04,0.001008573
11/10/2013,118.92,-0.008040244
10/10/2013,119.88,0.016060888
09/10/2013,117.97,0.002376306
08/10/2013,117.69,-0.033751429
07/10/2013,121.73,-0.018072781
04/10/2013,123.95,0.01021741
03/10/2013,122.69,0.042797074
02/10/2013,117.55,0.020107225
01/10/2013,115.21,-0.029758502
30/09/2013,118.69,0.001517707
27/09/2013,118.51,-0.010909809
26/09/2013,119.81,0.000500918
25/09/2013,119.75,-0.027590797
24/09/2013,123.1,0.004314738
23/09/2013,122.57,-0.020351183
20/09/2013,125.09,-0.015153608
19/09/2013,127,0.004419199
18/09/2013,126.44,0.029944039
17/09/2013,122.71,-0.008358742
16/09/2013,123.74,-0.005721439
13/09/2013,124.45,0.005559823
12/09/2013,123.76,0.007787191
11/09/2013,122.8,-0.015033016
10/09/2013,124.66,-0.058044878
09/09/2013,132.11,0.016331254
06/09/2013,129.97,0.005168369
05/09/2013,129.3,-0.009314566
04/09/2013,130.51,0.009005256
03/09/2013,129.34,0.004572056
30/08/2013,128.75,-0.001397082
29/08/2013,128.93,0.011859388
28/08/2013,127.41,-0.004698153
27/08/2013,128.01,-0.010181567
26/08/2013,129.32,-0.008853362
23/08/2013,130.47,-0.003061149
22/08/2013,130.87,0.004672011
21/08/2013,130.26,0.006701354
20/08/2013,129.39,0.027978785
19/08/2013,125.82,-0.009728396
16/08/2013,127.05,0.001811951
15/08/2013,126.82,-0.01378252
14/08/2013,128.58,-0.0257202
13/08/2013,131.93,-0.005291818
12/08/2013,132.63,0.019798103
09/08/2013,130.03,0.001616317
08/08/2013,129.82,-0.001462495
07/08/2013,130.01,-0.019046744
06/08/2013,132.51,-0.009164728
05/08/2013,133.73,0.000972581
02/08/2013,133.6,-0.005895759
01/08/2013,134.39,0.019536274
31/07/2013,131.79,-0.002727894
30/07/2013,132.15,0.001438795
29/07/2013,131.96,-0.001514463
26/07/2013,132.16,-0.001814334
25/07/2013,132.4,0.009104767
24/07/2013,131.2,0.001983673
23/07/2013,130.94,0.007204753
22/07/2013,130,0.002695938
19/07/2013,129.65,0.001852853
18/07/2013,129.41,0.016282056
17/07/2013,127.32,-0.005639113
16/07/2013,128.04,-0.019873068
15/07/2013,130.61,-0.004354642
12/07/2013,131.18,-0.002284323
11/07/2013,131.48,-0.003492525
10/07/2013,131.94,0.008219224
09/07/2013,130.86,0.019912675
08/07/2013,128.28,0.011131259
05/07/2013,126.86,0.006484799
03/07/2013,126.04,0.003656311
02/07/2013,125.58,-0.010535168
01/07/2013,126.91,0.014764516
28/06/2013,125.05,0.000319923
27/06/2013,125.01,0.006903222
26/06/2013,124.15,0.005897339
25/06/2013,123.42,0.018728824
24/06/2013,121.13,0.001073803
21/06/2013,121,0.005635685
20/06/2013,120.32,-0.039997186
19/06/2013,125.23,-0.008191226
18/06/2013,126.26,0.00851069
17/06/2013,125.19,0.015374392
14/06/2013,123.28,0.005531168
