Date,Close,BTU
04/04/2014,17.22,0.028270434
03/04/2014,16.74,0.012624153
02/04/2014,16.53,0.014625489
01/04/2014,16.29,-0.003064667
31/03/2014,16.34,0.013555352
28/03/2014,16.12,0.011229064
27/03/2014,15.94,0.008821733
26/03/2014,15.8,-0.026851441
25/03/2014,16.23,0.011775779
24/03/2014,16.04,0.018880359
21/03/2014,15.74,0.017302578
20/03/2014,15.47,-0.017302578
19/03/2014,15.74,-0.008225292
18/03/2014,15.87,0.008225292
17/03/2014,15.74,0.016656375
14/03/2014,15.48,-0.001291156
13/03/2014,15.5,-0.02106685
12/03/2014,15.83,0.001896934
11/03/2014,15.8,-0.017566324
10/03/2014,16.08,-0.037233474
07/03/2014,16.69,-0.054792259
06/03/2014,17.63,0.024111386
05/03/2014,17.21,-0.021839949
04/03/2014,17.59,0.016624057
03/03/2014,17.3,-0.014917087
28/02/2014,17.56,-0.000569314
27/02/2014,17.57,0.036515213
26/02/2014,16.94,0.000590493
25/02/2014,16.93,-0.010575892
24/02/2014,17.11,0.007626907
21/02/2014,16.98,-0.005286356
20/02/2014,17.07,-0.001755927
19/02/2014,17.1,0.02787017
18/02/2014,16.63,-0.001201923
14/02/2014,16.65,0.012692827
13/02/2014,16.44,-0.005459522
12/02/2014,16.53,-0.009033485
11/02/2014,16.68,0.018760006
10/02/2014,16.37,-0.006090153
07/02/2014,16.47,0.003649639
06/02/2014,16.41,0.023428938
05/02/2014,16.03,-0.034940729
04/02/2014,16.6,0.000602591
03/02/2014,16.59,-0.0273501
31/01/2014,17.05,0.009428473
30/01/2014,16.89,-0.029173598
29/01/2014,17.39,0.004033425
28/01/2014,17.32,0.020414824
27/01/2014,16.97,0.005910183
24/01/2014,16.87,-0.033802752
23/01/2014,17.45,-0.009127274
22/01/2014,17.61,-0.008481815
21/01/2014,17.76,-0.011754963
17/01/2014,17.97,0.007260574
16/01/2014,17.84,-0.002239643
15/01/2014,17.88,0.017489868
14/01/2014,17.57,0.012024193
13/01/2014,17.36,-0.010885241
10/01/2014,17.55,0.004568826
09/01/2014,17.47,-0.026547732
08/01/2014,17.94,-0.019321606
07/01/2014,18.29,-0.010334604
06/01/2014,18.48,-0.016103408
03/01/2014,18.78,-0.039671173
02/01/2014,19.54,0.000511902
31/12/2013,19.53,0.015480185
30/12/2013,19.23,-0.001039501
27/12/2013,19.25,0.032201251
26/12/2013,18.64,0.005918769
24/12/2013,18.53,0.014678165
23/12/2013,18.26,0.001644286
20/12/2013,18.23,-0.048189195
19/12/2013,19.13,0.027021512
18/12/2013,18.62,0.0102565
17/12/2013,18.43,-0.005950788
16/12/2013,18.54,0.007036565
13/12/2013,18.41,0.004354933
12/12/2013,18.33,-0.008690984
11/12/2013,18.49,-0.030361853
10/12/2013,19.06,-0.001048768
09/12/2013,19.08,0.023330857
06/12/2013,18.64,-0.017548975
05/12/2013,18.97,0.035411425
04/12/2013,18.31,-0.007074859
03/12/2013,18.44,0.007074859
02/12/2013,18.31,0.006025765
29/11/2013,18.2,0.004957322
27/11/2013,18.11,-0.000552029
26/11/2013,18.12,-0.014246816
25/11/2013,18.38,-0.003801254
22/11/2013,18.45,-0.010245439
21/11/2013,18.64,-0.029079501
20/11/2013,19.19,-0.012428953
19/11/2013,19.43,0.003609182
18/11/2013,19.36,-0.037510733
15/11/2013,20.1,0.019086466
14/11/2013,19.72,-0.033901552
13/11/2013,20.4,0.010842886
12/11/2013,20.18,-0.029298971
11/11/2013,20.78,-0.004321735
08/11/2013,20.87,0.039584939
07/11/2013,20.06,-0.00645965
06/11/2013,20.19,-0.004447746
05/11/2013,20.28,-0.025798462
04/11/2013,20.81,0.037204487
01/11/2013,20.05,0.028840856
31/10/2013,19.48,-0.021331434
30/10/2013,19.9,0.020818218
29/10/2013,19.49,0.004628447
28/10/2013,19.4,0.012448294
25/10/2013,19.16,-0.003126631
24/10/2013,19.22,0.005216496
23/10/2013,19.12,0.00157027
22/10/2013,19.09,0.012651724
21/10/2013,18.85,0.018742182
18/10/2013,18.5,-0.004315001
17/10/2013,18.58,0.037843836
16/10/2013,17.89,0.011242389
15/10/2013,17.69,-0.013475779
14/10/2013,17.93,0.030005081
11/10/2013,17.4,0.017391743
10/10/2013,17.1,0.00881063
09/10/2013,16.95,0.001180638
08/10/2013,16.93,-0.018145069
07/10/2013,17.24,-0.007512315
04/10/2013,17.37,0.00925397
03/10/2013,17.21,-0.021271282
02/10/2013,17.58,0.011441772
01/10/2013,17.38,0.007507976
30/09/2013,17.25,-0.013817146
27/09/2013,17.49,-0.020374219
26/09/2013,17.85,0.006745388
25/09/2013,17.73,-0.014557928
24/09/2013,17.99,-0.012703844
23/09/2013,18.22,0.003298519
20/09/2013,18.16,-0.031438904
19/09/2013,18.74,-0.007442884
18/09/2013,18.88,0.032295595
17/09/2013,18.28,0.012661881
16/09/2013,18.05,0.003885656
13/09/2013,17.98,-0.032287346
12/09/2013,18.57,-0.006441246
11/09/2013,18.69,-0.004271229
10/09/2013,18.77,0.005341893
09/09/2013,18.67,0.024398066
06/09/2013,18.22,0.012148134
05/09/2013,18,0.032752786
04/09/2013,17.42,0.005757068
03/09/2013,17.32,0.006952519
30/08/2013,17.2,-0.001162115
29/08/2013,17.22,-0.038170399
28/08/2013,17.89,0.00504344
27/08/2013,17.8,-0.024966623
26/08/2013,18.25,0.022161572
23/08/2013,17.85,0.012968888
22/08/2013,17.62,0.060234516
21/08/2013,16.59,-0.022646975
20/08/2013,16.97,0.013646014
19/08/2013,16.74,-0.040965353
16/08/2013,17.44,-0.024916351
15/08/2013,17.88,0
14/08/2013,17.88,0.03819216
13/08/2013,17.21,-0.03258362
12/08/2013,17.78,-0.006726483
09/08/2013,17.9,0.075398017
08/08/2013,16.6,0.055105243
07/08/2013,15.71,-0.008872048
06/08/2013,15.85,-0.014406763
05/08/2013,16.08,-0.002484473
02/08/2013,16.12,-0.025720953
01/08/2013,16.54,-0.001208459
31/07/2013,16.56,0.004236012
30/07/2013,16.49,-0.006648559
29/07/2013,16.6,-0.013760313
26/07/2013,16.83,0.025881673
25/07/2013,16.4,0.001220256
24/07/2013,16.38,-0.045353835
23/07/2013,17.14,0.049023564
22/07/2013,16.32,-0.009756175
19/07/2013,16.48,-0.016250734
18/07/2013,16.75,0.033387016
17/07/2013,16.2,0.0180634
16/07/2013,15.91,0.000628733
15/07/2013,15.9,-0.005644418
12/07/2013,15.99,-0.017973834
11/07/2013,16.28,0.056219413
10/07/2013,15.39,-0.019942765
09/07/2013,15.7,0.021243155
08/07/2013,15.37,0.047977222
05/07/2013,14.65,0
03/07/2013,14.65,-0.014232704
02/07/2013,14.86,0.010145505
01/07/2013,14.71,0.004770026
28/06/2013,14.64,0
27/06/2013,14.64,0.006854036
26/06/2013,14.54,-0.033144732
25/06/2013,15.03,0.012048339
24/06/2013,14.85,-0.074588857
21/06/2013,16,-0.001249219
20/06/2013,16.02,-0.028309583
19/06/2013,16.48,-0.02042113
