Date,Close,GLW
04/04/2014,21.35,-0.011178505
03/04/2014,21.59,0.01071023
02/04/2014,21.36,0.018427169
01/04/2014,20.97,0.007178782
31/03/2014,20.82,0.010137668
28/03/2014,20.61,0.007304634
27/03/2014,20.46,0.001467352
26/03/2014,20.43,0.018276626
25/03/2014,20.06,0.022688142
24/03/2014,19.61,0.004600059
21/03/2014,19.52,0.005136118
20/03/2014,19.42,0.019761433
19/03/2014,19.04,-0.014081067
18/03/2014,19.31,0.009365313
17/03/2014,19.13,0.013684424
14/03/2014,18.87,-0.015773198
13/03/2014,19.17,-0.006758539
12/03/2014,19.3,0.00207469
11/03/2014,19.26,-0.006727063
10/03/2014,19.39,-0.012810834
07/03/2014,19.64,0.005104656
06/03/2014,19.54,-0.006122468
05/03/2014,19.66,0.008171649
04/03/2014,19.5,0.023872436
03/03/2014,19.04,-0.012007453
28/02/2014,19.27,-0.003626008
27/02/2014,19.34,0.003626008
26/02/2014,19.27,-0.000518807
25/02/2014,19.28,-0.001554807
24/02/2014,19.31,0.012506677
21/02/2014,19.07,0.00367744
20/02/2014,19,0.004219416
19/02/2014,18.92,-0.008421102
18/02/2014,19.08,-0.001571092
14/02/2014,19.11,0.001047121
13/02/2014,19.09,0.004199481
12/02/2014,19.01,0.011108287
11/02/2014,18.8,0.019877098
10/02/2014,18.43,0.003805386
07/02/2014,18.36,0.01536803
06/02/2014,18.08,0.029752405
05/02/2014,17.55,0.020726131
04/02/2014,17.19,0.008177616
03/02/2014,17.05,-0.009340406
31/01/2014,17.21,-0.00982951
30/01/2014,17.38,0.012739026
29/01/2014,17.16,0.003502631
28/01/2014,17.1,-0.063441428
27/01/2014,18.22,0.000548998
24/01/2014,18.21,-0.041414899
23/01/2014,18.98,-0.001053186
22/01/2014,19,0.012712036
21/01/2014,18.76,-0.000532907
17/01/2014,18.77,0.013948724
16/01/2014,18.51,0.005417131
15/01/2014,18.41,-0.00433605
14/01/2014,18.49,0.025747793
13/01/2014,18.02,-0.01487221
10/01/2014,18.29,0.015982705
09/01/2014,18,0.001111729
08/01/2014,17.98,0.007816902
07/01/2014,17.84,0.006185007
06/01/2014,17.73,-0.008983777
03/01/2014,17.89,0.006730255
02/01/2014,17.77,-0.00280978
31/12/2013,17.82,0.002247192
30/12/2013,17.78,0.000562588
27/12/2013,17.77,0.002253522
26/12/2013,17.73,0.00508907
24/12/2013,17.64,0.004545462
23/12/2013,17.56,0.007430729
20/12/2013,17.43,0.000573888
19/12/2013,17.42,0.002874391
18/12/2013,17.37,0.008673081
17/12/2013,17.22,0.009921295
16/12/2013,17.05,0.010020715
13/12/2013,16.88,-0.007671917
12/12/2013,17.01,0.004123717
11/12/2013,16.94,-0.018713996
10/12/2013,17.26,0.014002563
09/12/2013,17.02,-0.005273965
06/12/2013,17.11,0.028454795
05/12/2013,16.63,-0.008979408
04/12/2013,16.78,0
03/12/2013,16.78,-0.016548841
02/12/2013,17.06,-0.001171646
29/11/2013,17.08,-0.005255487
27/11/2013,17.17,0.005255487
26/11/2013,17.08,0
25/11/2013,17.08,-0.010483497
22/11/2013,17.26,0.006976772
21/11/2013,17.14,0.017657904
20/11/2013,16.84,-0.001186944
19/11/2013,16.86,0.004756252
18/11/2013,16.78,-0.013613705
15/11/2013,17.01,0.013017935
14/11/2013,16.79,-0.003567186
13/11/2013,16.85,0.007147142
12/11/2013,16.73,0.008403411
11/11/2013,16.59,0.000602954
08/11/2013,16.58,0.016418733
07/11/2013,16.31,-0.014607685
06/11/2013,16.55,0.003025721
05/11/2013,16.5,-0.045031305
04/11/2013,17.26,0.007560373
01/11/2013,17.13,0.002337815
31/10/2013,17.09,0.005280153
30/10/2013,17,-0.029558802
29/10/2013,17.51,0.012065645
28/10/2013,17.3,-0.002886005
25/10/2013,17.35,-0.007464864
24/10/2013,17.48,-0.002285715
23/10/2013,17.52,0.132227611
22/10/2013,15.35,0.017083201
21/10/2013,15.09,0.005982072
18/10/2013,15,0.011398045
17/10/2013,14.83,0.028036024
16/10/2013,14.42,0.0104567
15/10/2013,14.27,-0.009762979
14/10/2013,14.41,-0.002772005
11/10/2013,14.45,-0.000691802
10/10/2013,14.46,0.031614856
09/10/2013,14.01,0.000714031
08/10/2013,14,-0.033711057
07/10/2013,14.48,-0.010305828
04/10/2013,14.63,0.022814678
03/10/2013,14.3,-0.01595594
02/10/2013,14.53,-0.014349409
01/10/2013,14.74,0.010228524
30/09/2013,14.59,-0.009549868
27/09/2013,14.73,-0.014155949
26/09/2013,14.94,0.001339585
25/09/2013,14.92,0.002684565
24/09/2013,14.88,0.00404041
23/09/2013,14.82,0.010173028
20/09/2013,14.67,-0.013541168
19/09/2013,14.87,-0.010036886
18/09/2013,15.02,0.024942311
17/09/2013,14.65,0.010981579
16/09/2013,14.49,-0.010298752
13/09/2013,14.64,0.010298752
12/09/2013,14.49,-0.02723109
11/09/2013,14.89,0.002016807
10/09/2013,14.86,0.015598824
09/09/2013,14.63,0.015846008
06/09/2013,14.4,-0.003466208
05/09/2013,14.45,0.018861893
04/09/2013,14.18,0.018505866
03/09/2013,13.92,-0.008583744
30/08/2013,14.04,-0.009922123
29/08/2013,14.18,0.000705467
28/08/2013,14.17,-0.003522371
27/08/2013,14.22,-0.036593658
26/08/2013,14.75,-0.001355014
23/08/2013,14.77,0.010207642
22/08/2013,14.62,0.004799461
21/08/2013,14.55,0.005513453
