Date,Close,MOS
04/04/2014,49.17,-0.005071519
03/04/2014,49.42,-0.002021428
02/04/2014,49.52,-0.005638356
01/04/2014,49.8,-0.004008021
31/03/2014,50,0.016739324
28/03/2014,49.17,0.009604651
27/03/2014,48.7,0.003702946
26/03/2014,48.52,-0.003497586
25/03/2014,48.69,0.005354214
24/03/2014,48.43,-0.004532352
21/03/2014,48.65,-0.007984483
20/03/2014,49.04,0.002245586
19/03/2014,48.93,0.008002505
18/03/2014,48.54,0.01077061
17/03/2014,48.02,0.002502086
14/03/2014,47.9,0.005023033
13/03/2014,47.66,-0.013132028
12/03/2014,48.29,-0.01071071
11/03/2014,48.81,-0.021885372
10/03/2014,49.89,0.003212209
07/03/2014,49.73,-0.005414633
06/03/2014,50,0.003004509
05/03/2014,49.85,0.017810631
04/03/2014,48.97,-0.000204186
03/03/2014,48.98,0.002452986
28/02/2014,48.86,0.009872561
27/02/2014,48.38,0.005180822
26/02/2014,48.13,0.002496361
25/02/2014,48.01,0.000208312
24/02/2014,48,-0.000624805
21/02/2014,48.03,-0.007053971
20/02/2014,48.37,0.019203262
19/02/2014,47.45,-0.009647726
18/02/2014,47.91,0.002717109
14/02/2014,47.78,0.003144327
13/02/2014,47.63,-0.007321443
12/02/2014,47.98,0.000416927
11/02/2014,47.96,0.024056868
10/02/2014,46.82,0.007933997
07/02/2014,46.45,0.00518024
06/02/2014,46.21,0.029649696
05/02/2014,44.86,-0.005779078
04/02/2014,45.12,0.0104713
03/02/2014,44.65,-0.000223939
31/01/2014,44.66,-0.006027477
30/01/2014,44.93,0.005579749
29/01/2014,44.68,-0.010464306
28/01/2014,45.15,0.010016778
27/01/2014,44.7,-0.015097978
24/01/2014,45.38,-0.035501564
23/01/2014,47.02,-0.015824784
22/01/2014,47.77,-0.011447726
21/01/2014,48.32,-0.004542647
17/01/2014,48.54,-0.015941478
16/01/2014,49.32,0.000202778
15/01/2014,49.31,0.026301085
14/01/2014,48.03,0.039928855
13/01/2014,46.15,-0.008630043
10/01/2014,46.55,0.009063506
09/01/2014,46.13,-0.017406693
08/01/2014,46.94,0.012648898
07/01/2014,46.35,-0.004949972
06/01/2014,46.58,-0.005352759
03/01/2014,46.83,-0.003623579
02/01/2014,47,-0.005728243
31/12/2013,47.27,0.0055155
30/12/2013,47.01,-0.000212698
27/12/2013,47.02,0.001702853
26/12/2013,46.94,0.005340181
24/12/2013,46.69,0.004077696
23/12/2013,46.5,0.016916474
20/12/2013,45.72,0.023009865
19/12/2013,44.68,-0.002235637
18/12/2013,44.78,0.005823085
17/12/2013,44.52,0.009932362
16/12/2013,44.08,0.002498582
13/12/2013,43.97,0.004102102
12/12/2013,43.79,-0.012481723
11/12/2013,44.34,-0.022522972
10/12/2013,45.35,-0.01423122
09/12/2013,46,-0.017028108
06/12/2013,46.79,-0.003839595
