Date,Close,AIV
04/04/2014,30.2,0.001325381
03/04/2014,30.16,0.003986716
02/04/2014,30.04,0.000999167
01/04/2014,30.01,-0.006973297
31/03/2014,30.22,0.009642635
28/03/2014,29.93,0.003011547
27/03/2014,29.84,-0.000335065
26/03/2014,29.85,-0.021869659
25/03/2014,30.51,0.017524006
24/03/2014,29.98,-0.011606829
21/03/2014,30.33,0.004295397
20/03/2014,30.2,0.01770549
19/03/2014,29.67,-0.02233054
18/03/2014,30.34,-0.004275619
17/03/2014,30.47,0.001642306
14/03/2014,30.42,0.008915364
13/03/2014,30.15,-0.004962789
12/03/2014,30.3,-0.003952574
11/03/2014,30.42,0.00098668
10/03/2014,30.39,-0.008192738
07/03/2014,30.64,-0.001304632
06/03/2014,30.68,-0.012953549
05/03/2014,31.08,-0.000321699
04/03/2014,31.09,0.022443616
03/03/2014,30.4,0.016918632
28/02/2014,29.89,0.002680069
27/02/2014,29.81,0.001678698
26/02/2014,29.76,-0.001343184
25/02/2014,29.8,0.00774806
24/02/2014,29.57,0.003387537
21/02/2014,29.47,0.006468108
20/02/2014,29.28,-0.016260521
19/02/2014,29.76,-0.000671817
18/02/2014,29.78,0.001344086
14/02/2014,29.74,-0.008371052
13/02/2014,29.99,0.008034861
12/02/2014,29.75,-0.014018921
11/02/2014,30.17,0.00033151
10/02/2014,30.16,0.021448543
07/02/2014,29.52,0.026430232
06/02/2014,28.75,0.013658066
05/02/2014,28.36,0.012061161
04/02/2014,28.02,0.010764367
03/02/2014,27.72,-0.008978333
31/01/2014,27.97,0.005017932
30/01/2014,27.83,0.01886164
29/01/2014,27.31,0.008457487
28/01/2014,27.08,0.017508363
27/01/2014,26.61,-0.004499445
24/01/2014,26.73,-0.011900475
23/01/2014,27.05,-0.010297995
22/01/2014,27.33,0.005871577
21/01/2014,27.17,0.001473297
17/01/2014,27.13,0.008885656
16/01/2014,26.89,0.006342122
15/01/2014,26.72,0.001123385
14/01/2014,26.69,0.015100325
13/01/2014,26.29,-0.004554088
10/01/2014,26.41,0.026473827
09/01/2014,25.72,-0.001165728
08/01/2014,25.75,-0.003489052
07/01/2014,25.84,-0.004247931
06/01/2014,25.95,0.001542615
03/01/2014,25.91,0
02/01/2014,25.91,0
31/12/2013,25.91,-0.00807231
30/12/2013,26.12,0.002299733
27/12/2013,26.06,0.005772577
26/12/2013,25.91,0.001544998
24/12/2013,25.87,0.003872972
23/12/2013,25.77,-0.004645769
20/12/2013,25.89,0.007365802
19/12/2013,25.7,-0.01391058
18/12/2013,26.06,0.010414752
17/12/2013,25.79,0.002717921
16/12/2013,25.72,0.001945904
13/12/2013,25.67,0.008607252
12/12/2013,25.45,-0.002746715
11/12/2013,25.52,-0.021706279
10/12/2013,26.08,0.00153492
09/12/2013,26.04,0.007323216
06/12/2013,25.85,0.0034877
05/12/2013,25.76,-0.002713706
04/12/2013,25.83,0.032660782
03/12/2013,25,0
02/12/2013,25,-0.004390348
29/11/2013,25.11,-0.008723291
27/11/2013,25.33,0.006734032
26/11/2013,25.16,-0.014990419
25/11/2013,25.54,-0.002346501
22/11/2013,25.6,-0.004676548
21/11/2013,25.72,0.008590447
