Date,Close,ITW
04/04/2014,83.57,-0.000598122
03/04/2014,83.62,0.00563652
02/04/2014,83.15,0.011490904
01/04/2014,82.2,0.01064035
31/03/2014,81.33,0.007033159
28/03/2014,80.76,0.011457161
27/03/2014,79.84,-0.010342127
26/03/2014,80.67,-0.006794763
25/03/2014,81.22,0.013386417
24/03/2014,80.14,-0.007706688
21/03/2014,80.76,0.001115034
20/03/2014,80.67,0
19/03/2014,80.67,-0.013421368
18/03/2014,81.76,-0.000244588
17/03/2014,81.78,0.018387635
14/03/2014,80.29,-0.009791241
13/03/2014,81.08,-0.012501695
12/03/2014,82.1,0.00158469
11/03/2014,81.97,-0.003653195
10/03/2014,82.27,-0.006179965
07/03/2014,82.78,0.004965193
06/03/2014,82.37,-0.000121396
05/03/2014,82.38,-0.002424831
04/03/2014,82.58,0.009001399
03/03/2014,81.84,-0.008032172
28/02/2014,82.5,0.003278094
27/02/2014,82.23,-0.00267185
26/02/2014,82.45,0.007181578
25/02/2014,81.86,0.001466993
24/02/2014,81.74,0.003185887
21/02/2014,81.48,0.008875798
20/02/2014,80.76,0.016857489
19/02/2014,79.41,-0.006401829
18/02/2014,79.92,0.016781669
14/02/2014,78.59,0.005230605
13/02/2014,78.18,-0.007772225
12/02/2014,78.79,0.000253872
11/02/2014,78.77,-0.000380783
10/02/2014,78.8,-0.011105616
07/02/2014,79.68,0.019772507
06/02/2014,78.12,0.006807553
05/02/2014,77.59,0.002064251
04/02/2014,77.43,0.008430113
03/02/2014,76.78,-0.026856738
31/01/2014,78.87,-0.00531109
30/01/2014,79.29,0.012309019
29/01/2014,78.32,-0.008771429
28/01/2014,79.01,0.009154546
27/01/2014,78.29,-0.011682673
24/01/2014,79.21,-0.028991144
23/01/2014,81.54,-0.016179417
22/01/2014,82.87,-0.001928873
21/01/2014,83.03,0.004466179
17/01/2014,82.66,-0.002175227
16/01/2014,82.84,0.003991538
15/01/2014,82.51,0.003399299
14/01/2014,82.23,0.013713941
13/01/2014,81.11,-0.016628333
10/01/2014,82.47,0.004740209
09/01/2014,82.08,0.000243694
08/01/2014,82.06,-0.006558994
07/01/2014,82.6,-0.001330833
