Date,Close,TXT
04/04/2014,39.08,-0.025765507
03/04/2014,40.1,-0.008195749
02/04/2014,40.43,0.013446418
01/04/2014,39.89,0.015155632
31/03/2014,39.29,0.019532875
28/03/2014,38.53,0.019657297
27/03/2014,37.78,-0.006332475
26/03/2014,38.02,-0.022881914
25/03/2014,38.9,0.026307026
24/03/2014,37.89,-0.013630617
21/03/2014,38.41,-0.001560874
20/03/2014,38.47,-0.002336753
19/03/2014,38.56,-0.005947012
18/03/2014,38.79,0.010105022
17/03/2014,38.4,0.017071984
14/03/2014,37.75,-0.001852588
13/03/2014,37.82,-0.025324418
12/03/2014,38.79,-0.011024339
11/03/2014,39.22,-0.010399586
10/03/2014,39.63,-0.013782952
07/03/2014,40.18,0.00174368
06/03/2014,40.11,0.003496507
05/03/2014,39.97,0.002003507
04/03/2014,39.89,0.019747477
03/03/2014,39.11,-0.014972999
28/02/2014,39.7,-0.004774478
27/02/2014,39.89,0.027705419
26/02/2014,38.8,0
25/02/2014,38.8,-0.010001366
24/02/2014,39.19,0.022710653
21/02/2014,38.31,-0.0057262
20/02/2014,38.53,0.033248445
19/02/2014,37.27,-0.014913725
18/02/2014,37.83,0.013305146
14/02/2014,37.33,0.013213082
13/02/2014,36.84,0.000271481
12/02/2014,36.83,0.018635782
11/02/2014,36.15,0.026062846
10/02/2014,35.22,-0.016892294
07/02/2014,35.82,0.015473652
06/02/2014,35.27,0.01255366
05/02/2014,34.83,-0.007722046
04/02/2014,35.1,0.023639037
03/02/2014,34.28,-0.034970603
31/01/2014,35.5,-0.024761315
30/01/2014,36.39,0.008001146
29/01/2014,36.1,-0.020019865
28/01/2014,36.83,0.001630435
27/01/2014,36.77,0.009838833
24/01/2014,36.41,-0.037201055
23/01/2014,37.79,-0.005541642
22/01/2014,38,0.051293294
21/01/2014,36.1,0
17/01/2014,36.1,0.012543718
16/01/2014,35.65,0.00112265
15/01/2014,35.61,0.011580415
14/01/2014,35.2,0.012866511
13/01/2014,34.75,-0.026130427
10/01/2014,35.67,-0.004196397
09/01/2014,35.82,0.001117319
08/01/2014,35.78,0.000559128
07/01/2014,35.76,-0.011123585
06/01/2014,36.16,-0.00413965
03/01/2014,36.31,0.000550964
02/01/2014,36.29,-0.012868076
31/12/2013,36.76,0.009017686
30/12/2013,36.43,-0.004928816
27/12/2013,36.61,0.011262308
26/12/2013,36.2,0.00554018
24/12/2013,36,-0.010500235
23/12/2013,36.38,-0.024706021
20/12/2013,37.29,0.135333575
19/12/2013,32.57,-0.006731972
18/12/2013,32.79,0.021267561
17/12/2013,32.1,-0.000311478
16/12/2013,32.11,0.02045061
13/12/2013,31.46,-0.001588058
12/12/2013,31.51,-0.002535659
11/12/2013,31.59,-0.020367303
10/12/2013,32.24,-0.0052591
09/12/2013,32.41,-0.00645858
06/12/2013,32.62,0.009858367
05/12/2013,32.3,0.001239158
04/12/2013,32.26,-0.011404038
03/12/2013,32.63,-0.014905219
02/12/2013,33.12,-0.003315753
29/11/2013,33.23,-0.000601685
27/11/2013,33.25,0.014541304
26/11/2013,32.77,0.001832621
25/11/2013,32.71,0.022570134
22/11/2013,31.98,0.014805752
21/11/2013,31.51,0.032250457
20/11/2013,30.51,0.00361189
19/11/2013,30.4,-0.00884237
18/11/2013,30.67,0.000652316
15/11/2013,30.65,-0.000652316
14/11/2013,30.67,-0.013279547
13/11/2013,31.08,0.013279547
12/11/2013,30.67,0.010818004
11/11/2013,30.34,0.001979545
08/11/2013,30.28,0.030173258
07/11/2013,29.38,-0.002379739
06/11/2013,29.45,0.011955736
05/11/2013,29.1,-0.012295237
04/11/2013,29.46,0.015737581
01/11/2013,29,0.007267725
31/10/2013,28.79,-0.006922838
30/10/2013,28.99,-0.00447428
29/10/2013,29.12,0.002751033
28/10/2013,29.04,-0.001032525
25/10/2013,29.07,0.001032525
24/10/2013,29.04,0.018419287
23/10/2013,28.51,0.003513707
22/10/2013,28.41,0.008128689
21/10/2013,28.18,-0.002480951
18/10/2013,28.25,0.026180445
17/10/2013,27.52,0.01685639
16/10/2013,27.06,0.014517285
15/10/2013,26.67,-0.022980997
14/10/2013,27.29,-0.000732601
11/10/2013,27.31,0.001832509
10/10/2013,27.26,0.029786268
09/10/2013,26.46,-0.005277057
08/10/2013,26.6,-0.0104713
07/10/2013,26.88,-0.008888947
04/10/2013,27.12,0.000737735
03/10/2013,27.1,-0.019368411
02/10/2013,27.63,-0.008648703
