Date,Close,MSI
04/04/2014,64.26,-0.012833574
03/04/2014,65.09,-0.000153622
02/04/2014,65.1,0.002922854
01/04/2014,64.91,0.009597597
31/03/2014,64.29,-0.000155533
28/03/2014,64.3,-0.000932691
27/03/2014,64.36,-0.012353462
26/03/2014,65.16,-0.015532519
25/03/2014,66.18,0.001966272
24/03/2014,66.05,-0.011440739
21/03/2014,66.81,0.002247697
20/03/2014,66.66,0.014506147
19/03/2014,65.7,-0.000304368
18/03/2014,65.72,0.009786011
17/03/2014,65.08,0.021903788
14/03/2014,63.67,-0.008445468
13/03/2014,64.21,-0.012535953
12/03/2014,65.02,-0.016171214
11/03/2014,66.08,-0.005282632
10/03/2014,66.43,-0.003156236
07/03/2014,66.64,0.001050972
06/03/2014,66.57,0.003611742
05/03/2014,66.33,-0.006461815
04/03/2014,66.76,0.011752433
03/03/2014,65.98,-0.003328797
28/02/2014,66.2,0.004542021
27/02/2014,65.9,0.006851949
26/02/2014,65.45,0.005361943
25/02/2014,65.1,0.002152853
24/02/2014,64.96,-0.000923219
21/02/2014,65.02,-0.003071255
20/02/2014,65.22,0.004456404
19/02/2014,64.93,-0.013006074
18/02/2014,65.78,0.002587717
14/02/2014,65.61,-0.000914077
13/02/2014,65.67,-0.001673641
12/02/2014,65.78,0.011467139
11/02/2014,65.03,-0.00076858
10/02/2014,65.08,0.007402872
07/02/2014,64.6,0.018750549
06/02/2014,63.4,0.008076693
05/02/2014,62.89,-0.001588815
04/02/2014,62.99,0.004295608
03/02/2014,62.72,-0.017072814
31/01/2014,63.8,-0.017248505
30/01/2014,64.91,0.014431161
29/01/2014,63.98,-0.005610987
28/01/2014,64.34,-0.001397841
27/01/2014,64.43,0.000155219
24/01/2014,64.42,-0.014180262
23/01/2014,65.34,0.012784156
22/01/2014,64.51,-0.039512814
21/01/2014,67.11,0.015164317
17/01/2014,66.1,0.004396944
16/01/2014,65.81,0.002891275
15/01/2014,65.62,-0.011063233
14/01/2014,66.35,0.013046302
13/01/2014,65.49,-0.010027431
10/01/2014,66.15,-0.005277057
09/01/2014,66.5,0.007698732
08/01/2014,65.99,-0.003026179
07/01/2014,66.19,0.004087509
06/01/2014,65.92,-0.004238577
03/01/2014,66.2,-0.001961821
02/01/2014,66.33,-0.017485314
31/12/2013,67.5,0.003710579
30/12/2013,67.25,-0.001188884
27/12/2013,67.33,0.002230318
26/12/2013,67.18,0.00119154
24/12/2013,67.1,0.004780409
23/12/2013,66.78,0.017675511
20/12/2013,65.61,-0.003651305
19/12/2013,65.85,-0.004696623
18/12/2013,66.16,0.009720611
17/12/2013,65.52,0.002444989
16/12/2013,65.36,0.004754246
13/12/2013,65.05,0.002925104
12/12/2013,64.86,0.00401669
11/12/2013,64.6,-0.012460741
10/12/2013,65.41,-0.005792699
09/12/2013,65.79,-0.005910451
06/12/2013,66.18,0.014458817
05/12/2013,65.23,0.004609719
04/12/2013,64.93,-0.013158085
03/12/2013,65.79,0.001977939
02/12/2013,65.66,-0.003344993
29/11/2013,65.88,0.005784763
27/11/2013,65.5,-0.001068132
26/11/2013,65.57,-0.003349577
25/11/2013,65.79,-0.001367054
22/11/2013,65.88,0.007159753
21/11/2013,65.41,0.012770387
20/11/2013,64.58,-0.000464432
19/11/2013,64.61,-0.012458825
18/11/2013,65.42,-0.002290252
15/11/2013,65.57,0.015213509
14/11/2013,64.58,0.002015036
13/11/2013,64.45,0.00326366
12/11/2013,64.24,0.011428696
11/11/2013,63.51,0.006159697
08/11/2013,63.12,0.010031133
07/11/2013,62.49,-0.002557137
06/11/2013,62.65,-0.000478736
05/11/2013,62.68,-0.000478507
04/11/2013,62.71,0.005115918
01/11/2013,62.39,-0.002081499
31/10/2013,62.52,0.00432797
30/10/2013,62.25,-0.007681267
29/10/2013,62.73,0.004633706
28/10/2013,62.44,-0.008769888
25/10/2013,62.99,0.00764944
24/10/2013,62.51,0.001761269
23/10/2013,62.4,0.032079605
22/10/2013,60.43,-0.012334668
21/10/2013,61.18,0.00606609
18/10/2013,60.81,-0.001807279
17/10/2013,60.92,0.003453099
16/10/2013,60.71,0.003630367
15/10/2013,60.49,-0.008887484
14/10/2013,61.03,0.008391658
11/10/2013,60.52,-0.001486007
10/10/2013,60.61,0.020334034
09/10/2013,59.39,-0.003865226
08/10/2013,59.62,-0.021077869
07/10/2013,60.89,-0.004097359
04/10/2013,61.14,0.009531707
03/10/2013,60.56,-0.002309089
02/10/2013,60.7,-0.00312526
01/10/2013,60.89,0.025111488
30/09/2013,59.38,-0.006211721
27/09/2013,59.75,-0.002006354
26/09/2013,59.87,0.000334113
25/09/2013,59.85,-0.00233645
24/09/2013,59.99,-0.006314411
23/09/2013,60.37,-0.000331236
20/09/2013,60.39,0.011659026
19/09/2013,59.69,0.00722996
18/09/2013,59.26,0.016675561
17/09/2013,58.28,0.00809721
16/09/2013,57.81,0.006072718
13/09/2013,57.46,-0.000695894
12/09/2013,57.5,0.004357305
11/09/2013,57.25,-0.002093876
10/09/2013,57.37,-0.003827423
09/09/2013,57.59,0.019639418
06/09/2013,56.47,0.005326717
05/09/2013,56.17,0.001603564
04/09/2013,56.08,-0.00355999
03/09/2013,56.28,0.004808986
30/08/2013,56.01,-0.003208559
29/08/2013,56.19,-0.003553033
28/08/2013,56.39,0.004799583
27/08/2013,56.12,-0.007632947
26/08/2013,56.55,-0.003354227
23/08/2013,56.74,0.007252176
22/08/2013,56.33,0.004804707
21/08/2013,56.06,-0.017505531
20/08/2013,57.05,-0.000700894
19/08/2013,57.09,-0.00105042
16/08/2013,57.15,0.003330123
15/08/2013,56.96,-0.013081202
14/08/2013,57.71,-0.002250109
13/08/2013,57.84,0.006939653
12/08/2013,57.44,0.001393728
09/08/2013,57.36,0.004017824
08/08/2013,57.13,0.01144278
07/08/2013,56.48,0.001417435
06/08/2013,56.4,0.005333346
05/08/2013,56.1,0.001427043
02/08/2013,56.02,0.012574263
01/08/2013,55.32,0.008897017
31/07/2013,54.83,0.008792876
30/07/2013,54.35,0.006275399
29/07/2013,54.01,-0.004618093
26/07/2013,54.26,0.000184315
25/07/2013,54.25,-0.032462729
24/07/2013,56.04,-0.067945452
23/07/2013,59.98,0.001835628
22/07/2013,59.87,0.000334113
19/07/2013,59.85,0.008220833
18/07/2013,59.36,-0.001010271
17/07/2013,59.42,0.001684353
16/07/2013,59.32,0.002531861
15/07/2013,59.17,-0.006233699
12/07/2013,59.54,0.008263813
11/07/2013,59.05,0.010555086
10/07/2013,58.43,0.006869338
09/07/2013,58.03,0.002933819
08/07/2013,57.86,-0.001209086
05/07/2013,57.93,0.011633085
03/07/2013,57.26,-0.00400872
02/07/2013,57.49,-0.008487104
01/07/2013,57.98,0.004321154
28/06/2013,57.73,-0.001903609
27/06/2013,57.84,0.006069558
26/06/2013,57.49,0.020028779
25/06/2013,56.35,0.013578912
24/06/2013,55.59,-0.004128899
21/06/2013,55.82,0.005749207
20/06/2013,55.5,-0.02280113
19/06/2013,56.78,-0.009988693
18/06/2013,57.35,0.000348797
17/06/2013,57.33,0.007001604
14/06/2013,56.93,-0.004556615
13/06/2013,57.19,0.016395255
12/06/2013,56.26,-0.002130683
11/06/2013,56.38,-0.004071162
10/06/2013,56.61,-0.005812434
07/06/2013,56.94,0.000351309
06/06/2013,56.92,0.01148524
05/06/2013,56.27,-0.020056971
04/06/2013,57.41,-0.007289168
03/06/2013,57.83,-0.002245445
31/05/2013,57.96,-0.009957164
30/05/2013,58.54,0.003765194
29/05/2013,58.32,-0.003594356
28/05/2013,58.53,0.012377672
24/05/2013,57.81,0.00572471
23/05/2013,57.48,0.003136437
22/05/2013,57.3,-0.008168986
21/05/2013,57.77,-0.008274483
20/05/2013,58.25,0.007063515
17/05/2013,57.84,0.005374027
16/05/2013,57.53,0.007502434
15/05/2013,57.1,0.003684538
14/05/2013,56.89,0.012736772
13/05/2013,56.17,-0.005503787
10/05/2013,56.48,-0.005297558
09/05/2013,56.78,-0.003867117
08/05/2013,57,0.003691014
07/05/2013,56.79,-0.002813436
06/05/2013,56.95,-0.005952399
03/05/2013,57.29,0.00700651
02/05/2013,56.89,0.009182477
01/05/2013,56.37,-0.014616796
30/04/2013,57.2,-0.004187026
29/04/2013,57.44,0.011204599
26/04/2013,56.8,0.007244488
25/04/2013,56.39,0.006583068
24/04/2013,56.02,-0.097385206
23/04/2013,61.75,-0.000485712
22/04/2013,61.78,0.00097166
19/04/2013,61.72,0.009278165
18/04/2013,61.15,-0.015899102
17/04/2013,62.13,-0.01327064
16/04/2013,62.96,0.018110921
15/04/2013,61.83,-0.032461084
12/04/2013,63.87,-0.011828932
11/04/2013,64.63,-0.000927931
10/04/2013,64.69,0.016364427
09/04/2013,63.64,0.007412699
08/04/2013,63.17,0.007946641
05/04/2013,62.67,-0.005093119
04/04/2013,62.99,0.00302091
03/04/2013,62.8,-0.014229489
02/04/2013,63.7,0
01/04/2013,63.7,-0.005167161
28/03/2013,64.03,0.007367382
27/03/2013,63.56,0.001574556
26/03/2013,63.46,0.002682447
25/03/2013,63.29,-0.005043352
22/03/2013,63.61,0.018724762
21/03/2013,62.43,0.000480654
20/03/2013,62.4,0.011767686
19/03/2013,61.67,0.000486579
18/03/2013,61.64,-0.00695177
15/03/2013,62.07,-0.004340494
14/03/2013,62.34,0.001926783
13/03/2013,62.22,0.001447527
12/03/2013,62.13,-0.006897132
11/03/2013,62.56,-0.003032482
08/03/2013,62.75,0.001754526
07/03/2013,62.64,-0.007475184
06/03/2013,63.11,0.002220813
05/03/2013,62.97,0.007491866
04/03/2013,62.5,0.007548418
01/03/2013,62.03,-0.00289762
28/02/2013,62.21,0.001930813
27/02/2013,62.09,0.023795125
26/02/2013,60.63,0.005789446
25/02/2013,60.28,-0.026519806
22/02/2013,61.9,0.016615466
21/02/2013,60.88,-0.006222388
20/02/2013,61.26,-0.012491038
19/02/2013,62.03,0.009719824
15/02/2013,61.43,0.00505917
14/02/2013,61.12,0.005084896
13/02/2013,60.81,-0.000328839
12/02/2013,60.83,-0.001150086
11/02/2013,60.9,0.009901071
08/02/2013,60.3,0.004654264
07/02/2013,60.02,0.010551978
06/02/2013,59.39,-0.008884477
05/02/2013,59.92,0.020740985
04/02/2013,58.69,-0.003062268
01/02/2013,58.87,0.008186981
31/01/2013,58.39,-0.005124712
30/01/2013,58.69,-0.004250623
29/01/2013,58.94,-0.001186944
28/01/2013,59.01,0.006972224
25/01/2013,58.6,-0.003407158
24/01/2013,58.8,0.004431574
23/01/2013,58.54,0.004279729
22/01/2013,58.29,-0.012276369
18/01/2013,59.01,0.016574493
17/01/2013,58.04,0.001551858
16/01/2013,57.95,0.007274019
15/01/2013,57.53,-0.002430557
14/01/2013,57.67,0.00295216
11/01/2013,57.5,0.012600797
10/01/2013,56.78,0.00937811
09/01/2013,56.25,0.005526353
08/01/2013,55.94,-0.011375878
07/01/2013,56.58,0.005316334
04/01/2013,56.28,0.004808986
03/01/2013,56.01,-0.003386511
02/01/2013,56.2,0.009295741
31/12/2012,55.68,0.029156584
28/12/2012,54.08,-0.014684552
27/12/2012,54.88,0.009888379
26/12/2012,54.34,-0.00806456
24/12/2012,54.78,0.003657649
21/12/2012,54.58,-0.005299236
20/12/2012,54.87,0.009890191
19/12/2012,54.33,-0.009890191
