Date,Close,EXC
04/04/2014,34.47,0.020220469
03/04/2014,33.78,0.00802501
02/04/2014,33.51,0.000597015
01/04/2014,33.49,-0.002087995
31/03/2014,33.56,0.00807783
28/03/2014,33.29,0.014218966
27/03/2014,32.82,0.011645856
26/03/2014,32.44,-0.014991867
25/03/2014,32.93,0
24/03/2014,32.93,0.011606728
21/03/2014,32.55,0.036925346
20/03/2014,31.37,0.009931204
19/03/2014,31.06,-0.002893428
18/03/2014,31.15,0.004182087
17/03/2014,31.02,0.012325813
14/03/2014,30.64,0.004251846
13/03/2014,30.51,0.010875045
12/03/2014,30.18,0.011329678
11/03/2014,29.84,-0.001339585
10/03/2014,29.88,0.002010051
07/03/2014,29.82,0.000335402
06/03/2014,29.81,-0.015643521
05/03/2014,30.28,-0.00395518
04/03/2014,30.4,0.012245726
03/03/2014,30.03,-0.01257462
28/02/2014,30.41,0.007923449
27/02/2014,30.17,-0.008252234
26/02/2014,30.42,0.001974334
25/02/2014,30.36,-0.000987654
24/02/2014,30.39,-0.00098668
21/02/2014,30.42,0.006265478
20/02/2014,30.23,0.00897165
19/02/2014,29.96,-0.002999502
18/02/2014,30.05,0.01036972
14/02/2014,29.74,0.011498267
13/02/2014,29.4,0.015769953
12/02/2014,28.94,-0.018148076
11/02/2014,29.47,0.002378122
10/02/2014,29.4,-0.00135962
07/02/2014,29.44,-0.001696929
06/02/2014,29.49,0.021594669
05/02/2014,28.86,-0.001731003
04/02/2014,28.91,-0.002073256
03/02/2014,28.97,-0.001035018
31/01/2014,29,0.000344887
30/01/2014,28.99,0.027983638
29/01/2014,28.19,0.003197729
28/01/2014,28.1,-0.003552402
27/01/2014,28.2,-0.002479194
24/01/2014,28.27,-0.001767097
23/01/2014,28.32,0.006731646
22/01/2014,28.13,0.012880321
21/01/2014,27.77,0.020739328
17/01/2014,27.2,-0.007690937
16/01/2014,27.41,0.023626053
15/01/2014,26.77,-0.004472613
14/01/2014,26.89,-0.00334138
13/01/2014,26.98,-0.007017573
